Date,IG
2023-05-12 00:00:00+00:00,-0.01210957
2023-05-15 00:00:00+00:00,-0.01210555
2023-05-16 00:00:00+00:00,-0.00992988
2023-05-17 00:00:00+00:00,-0.00098231
2023-05-18 00:00:00+00:00,-0.00927132
2023-05-19 00:00:00+00:00,-0.00349487
2023-05-22 00:00:00+00:00,-0.00206536
2023-05-23 00:00:00+00:00,0.00436098
2023-05-24 00:00:00+00:00,-0.00457495
2023-05-25 00:00:00+00:00,-0.01046148
2023-05-26 00:00:00+00:00,0.00823857
2023-05-30 00:00:00+00:00,0.01419949
2023-05-31 00:00:00+00:00,0.00754720
2023-06-01 00:00:00+00:00,0.00627178
2023-06-02 00:00:00+00:00,-0.00612422
2023-06-05 00:00:00+00:00,-0.00491879
2023-06-06 00:00:00+00:00,0.00355963
2023-06-07 00:00:00+00:00,-0.02234834
2023-06-08 00:00:00+00:00,0.01531428
2023-06-09 00:00:00+00:00,-0.00505279
2023-06-12 00:00:00+00:00,0.00627283
2023-06-13 00:00:00+00:00,-0.00844908
2023-06-14 00:00:00+00:00,0.00596261
2023-06-15 00:00:00+00:00,0.01694581
2023-06-16 00:00:00+00:00,-0.00407258
2023-06-20 00:00:00+00:00,0.00480289
2023-06-21 00:00:00+00:00,-0.00132731
2023-06-22 00:00:00+00:00,-0.01078442
2023-06-23 00:00:00+00:00,0.00525363
2023-06-26 00:00:00+00:00,0.00063542
2023-06-27 00:00:00+00:00,-0.00392284
2023-06-28 00:00:00+00:00,0.00973818
2023-06-29 00:00:00+00:00,-0.01552249
2023-06-30 00:00:00+00:00,0.00980252
2023-07-03 00:00:00+00:00,-0.00527118
2023-07-05 00:00:00+00:00,-0.01422339
2023-07-06 00:00:00+00:00,-0.01977115
2023-07-07 00:00:00+00:00,-0.00398061
2023-07-10 00:00:00+00:00,0.01006849
2023-07-11 00:00:00+00:00,0.00870703
2023-07-12 00:00:00+00:00,0.01784536
2023-07-13 00:00:00+00:00,0.01247280
2023-07-14 00:00:00+00:00,-0.01484337
2023-07-17 00:00:00+00:00,0.00192659
2023-07-18 00:00:00+00:00,0.00510056
2023-07-19 00:00:00+00:00,0.01071883
2023-07-20 00:00:00+00:00,-0.01388645
2023-07-21 00:00:00+00:00,0.00286136
2023-07-24 00:00:00+00:00,-0.00277476
2023-07-25 00:00:00+00:00,-0.00320976
2023-07-26 00:00:00+00:00,0.00867214
2023-07-27 00:00:00+00:00,-0.02480038
2023-07-28 00:00:00+00:00,0.00617267
2023-07-31 00:00:00+00:00,0.00253466
2023-08-01 00:00:00+00:00,-0.01051569
2023-08-02 00:00:00+00:00,-0.00616549
2023-08-03 00:00:00+00:00,-0.00952723
2023-08-04 00:00:00+00:00,0.00992960
2023-08-07 00:00:00+00:00,-0.00331843
2023-08-08 00:00:00+00:00,0.00383863
2023-08-09 00:00:00+00:00,-0.00019462
2023-08-10 00:00:00+00:00,-0.00731266
2023-08-11 00:00:00+00:00,-0.01470762
2023-08-14 00:00:00+00:00,-0.00179510
2023-08-15 00:00:00+00:00,-0.01172957
2023-08-16 00:00:00+00:00,-0.01067093
2023-08-17 00:00:00+00:00,-0.00687714
2023-08-18 00:00:00+00:00,0.00654981
2023-08-21 00:00:00+00:00,-0.01263476
2023-08-22 00:00:00+00:00,0.00563520
2023-08-23 00:00:00+00:00,0.03074616
2023-08-24 00:00:00+00:00,-0.00736107
2023-08-25 00:00:00+00:00,0.00394187
2023-08-28 00:00:00+00:00,0.00913226
2023-08-29 00:00:00+00:00,0.00860241
2023-08-30 00:00:00+00:00,-0.00555633
2023-08-31 00:00:00+00:00,0.00295009
2023-09-01 00:00:00+00:00,-0.01194222
2023-09-04 00:00:00+00:00,-0.00015502
2023-09-05 00:00:00+00:00,-0.00815713
2023-09-06 00:00:00+00:00,-0.00968266
2023-09-07 00:00:00+00:00,0.00563796
2023-09-08 00:00:00+00:00,0.00401424
2023-09-11 00:00:00+00:00,-0.00455758
2023-09-12 00:00:00+00:00,0.00080668
2023-09-13 00:00:00+00:00,0.00297120
2023-09-14 00:00:00+00:00,-0.00271762
2023-09-15 00:00:00+00:00,-0.00360280
2023-09-18 00:00:00+00:00,0.00104844
2023-09-19 00:00:00+00:00,-0.00480747
2023-09-20 00:00:00+00:00,0.00153257
2023-09-21 00:00:00+00:00,-0.02151645
2023-09-22 00:00:00+00:00,0.01169842
2023-09-25 00:00:00+00:00,-0.02033687
2023-09-26 00:00:00+00:00,-0.00880253
2023-09-27 00:00:00+00:00,-0.00892284
2023-09-28 00:00:00+00:00,0.00749959
2023-09-29 00:00:00+00:00,-0.00547422
2023-10-02 00:00:00+00:00,-0.01878412
2023-10-03 00:00:00+00:00,-0.02532448
2023-10-04 00:00:00+00:00,0.01535697
2023-10-05 00:00:00+00:00,-0.00115555
2023-10-06 00:00:00+00:00,-0.00823164
2023-10-09 00:00:00+00:00,0.02475725
2023-10-10 00:00:00+00:00,-0.00106503
2023-10-11 00:00:00+00:00,0.01231649
2023-10-12 00:00:00+00:00,-0.01969548
2023-10-13 00:00:00+00:00,0.01177886
2023-10-16 00:00:00+00:00,-0.01539788
2023-10-17 00:00:00+00:00,-0.01667826
2023-10-18 00:00:00+00:00,-0.01623827
2023-10-19 00:00:00+00:00,-0.01417767
2023-10-20 00:00:00+00:00,0.00963313
2023-10-23 00:00:00+00:00,0.01488072
2023-10-24 00:00:00+00:00,0.01091130
2023-10-25 00:00:00+00:00,-0.01966746
2023-10-26 00:00:00+00:00,0.01020103
2023-10-27 00:00:00+00:00,-0.00241498
2023-10-30 00:00:00+00:00,-0.00820029
2023-10-31 00:00:00+00:00,-0.00108092
2023-11-01 00:00:00+00:00,0.03297586
2023-11-02 00:00:00+00:00,0.02350243
2023-11-03 00:00:00+00:00,0.00952146
2023-11-06 00:00:00+00:00,-0.01222728
2023-11-07 00:00:00+00:00,0.01650483
2023-11-08 00:00:00+00:00,0.01335660
2023-11-09 00:00:00+00:00,-0.01479033
2023-11-10 00:00:00+00:00,0.00595637
2023-11-13 00:00:00+00:00,-0.00072298
2023-11-14 00:00:00+00:00,0.03169493
