Date,EUROSTX-LARGE
2014-07-17 00:00:00+00:00,-0.02612051
2014-07-18 00:00:00+00:00,0.00240602
2014-07-21 00:00:00+00:00,-0.01201562
2014-07-22 00:00:00+00:00,0.02840737
2014-07-23 00:00:00+00:00,0.00178784
2014-07-24 00:00:00+00:00,0.01786246
2014-07-25 00:00:00+00:00,-0.02832694
2014-07-28 00:00:00+00:00,-0.00179587
2014-07-29 00:00:00+00:00,0.00958658
2014-07-30 00:00:00+00:00,-0.01132976
2014-07-31 00:00:00+00:00,-0.03298351
2014-08-01 00:00:00+00:00,-0.02987805
2014-08-04 00:00:00+00:00,0.00061900
2014-08-05 00:00:00+00:00,-0.00185644
2014-08-06 00:00:00+00:00,-0.01486528
2014-08-07 00:00:00+00:00,-0.02184087
2014-08-08 00:00:00+00:00,-0.00378549
2014-08-11 00:00:00+00:00,0.02844501
2014-08-12 00:00:00+00:00,-0.01433468
2014-08-13 00:00:00+00:00,0.02008788
2014-08-14 00:00:00+00:00,0.00062150
2014-08-15 00:00:00+00:00,-0.02112457
2014-08-18 00:00:00+00:00,0.03265306
2014-08-19 00:00:00+00:00,0.01235712
2014-08-20 00:00:00+00:00,-0.00491250
2014-08-21 00:00:00+00:00,0.02339181
2014-08-22 00:00:00+00:00,-0.01277761
2014-08-25 00:00:00+00:00,0.03674219
2014-08-26 00:00:00+00:00,0.02044498
2014-08-27 00:00:00+00:00,-0.00178571
2014-08-28 00:00:00+00:00,-0.01846887
2014-08-29 00:00:00+00:00,0.00180397
2014-09-01 00:00:00+00:00,0.00360469
2014-09-02 00:00:00+00:00,0.00509745
2014-09-03 00:00:00+00:00,0.02243494
2014-09-04 00:00:00+00:00,0.03371783
2014-09-05 00:00:00+00:00,-0.00064473
2014-09-08 00:00:00+00:00,-0.00407332
2014-09-09 00:00:00+00:00,-0.01107872
2014-09-10 00:00:00+00:00,-0.00058634
2014-09-11 00:00:00+00:00,-0.00703812
2014-09-12 00:00:00+00:00,-0.00500294
2014-09-15 00:00:00+00:00,-0.00177462
2014-09-16 00:00:00+00:00,-0.00592066
2014-09-17 00:00:00+00:00,0.01128266
2014-09-18 00:00:00+00:00,0.01653381
2014-09-19 00:00:00+00:00,0.00585652
