Date,MSCIEAFA
2010-11-30 00:00:00+00:00,-0.02450717
2010-12-01 00:00:00+00:00,0.05855537
2010-12-02 00:00:00+00:00,0.04459404
2010-12-03 00:00:00+00:00,0.01684005
2010-12-06 00:00:00+00:00,-0.01145937
2010-12-07 00:00:00+00:00,0.00436904
2010-12-08 00:00:00+00:00,0.00442470
2010-12-09 00:00:00+00:00,0.00515429
2010-12-10 00:00:00+00:00,0.00587832
2010-12-13 00:00:00+00:00,0.02222112
2010-12-14 00:00:00+00:00,0.00397991
2010-12-15 00:00:00+00:00,-0.02870242
2010-12-16 00:00:00+00:00,0.00347655
2010-12-17 00:00:00+00:00,-0.01614883
2010-12-20 00:00:00+00:00,0.00392089
2010-12-21 00:00:00+00:00,0.01805034
2010-12-22 00:00:00+00:00,0.00424245
2010-12-23 00:00:00+00:00,-0.00099453
2010-12-27 00:00:00+00:00,-0.00427911
2010-12-28 00:00:00+00:00,0.00058741
2010-12-29 00:00:00+00:00,0.01813578
2010-12-30 00:00:00+00:00,-0.01004480
2010-12-31 00:00:00+00:00,0.01612121
2011-01-03 00:00:00+00:00,0.01105547
2011-01-04 00:00:00+00:00,-0.00541020
2011-01-05 00:00:00+00:00,-0.00867111
2011-01-06 00:00:00+00:00,-0.02053243
2011-01-07 00:00:00+00:00,-0.00953008
2011-01-10 00:00:00+00:00,-0.00443128
2011-01-11 00:00:00+00:00,0.01409427
2011-01-12 00:00:00+00:00,0.04690616
2011-01-13 00:00:00+00:00,0.00593278
2011-01-14 00:00:00+00:00,0.01078345
2011-01-18 00:00:00+00:00,0.01367803
2011-01-19 00:00:00+00:00,-0.01245652
2011-01-20 00:00:00+00:00,-0.01938039
2011-01-21 00:00:00+00:00,0.01118145
2011-01-24 00:00:00+00:00,0.00780032
2011-01-25 00:00:00+00:00,0.00729759
2011-01-26 00:00:00+00:00,0.01444639
2011-01-27 00:00:00+00:00,0.00406551
2011-01-28 00:00:00+00:00,-0.04431113
2011-01-31 00:00:00+00:00,0.01904810
2011-02-01 00:00:00+00:00,0.04543218
2011-02-02 00:00:00+00:00,-0.00013780
2011-02-03 00:00:00+00:00,-0.00036856
2011-02-04 00:00:00+00:00,0.00032418
2011-02-07 00:00:00+00:00,0.00436481
