Date,BBCOMM
2007-12-10 00:00:00+00:00,-0.00121010
2007-12-11 00:00:00+00:00,0.01338933
2007-12-12 00:00:00+00:00,0.01990418
2007-12-13 00:00:00+00:00,-0.01205466
2007-12-14 00:00:00+00:00,-0.00613852
2007-12-17 00:00:00+00:00,-0.00285315
2007-12-18 00:00:00+00:00,0.00047336
2007-12-19 00:00:00+00:00,0.00936639
2007-12-20 00:00:00+00:00,-0.00338187
2007-12-21 00:00:00+00:00,0.01096362
2007-12-24 00:00:00+00:00,-0.00172775
2007-12-26 00:00:00+00:00,0.01413833
2007-12-27 00:00:00+00:00,-0.00008472
2007-12-28 00:00:00+00:00,-0.00008542
2007-12-31 00:00:00+00:00,-0.00117069
2008-01-02 00:00:00+00:00,0.02205003
2008-01-03 00:00:00+00:00,0.00677977
2008-01-04 00:00:00+00:00,-0.00638257
2008-01-07 00:00:00+00:00,-0.00959189
2008-01-08 00:00:00+00:00,0.01803617
2008-01-09 00:00:00+00:00,-0.00479954
2008-01-10 00:00:00+00:00,-0.00587407
2008-01-11 00:00:00+00:00,0.01102722
2008-01-14 00:00:00+00:00,0.00671675
2008-01-15 00:00:00+00:00,-0.02035555
2008-01-16 00:00:00+00:00,-0.01069480
2008-01-17 00:00:00+00:00,0.00045508
2008-01-18 00:00:00+00:00,0.00045896
2008-01-22 00:00:00+00:00,-0.00809622
2008-01-23 00:00:00+00:00,-0.02057891
2008-01-24 00:00:00+00:00,0.02363952
2008-01-25 00:00:00+00:00,0.01070839
2008-01-28 00:00:00+00:00,0.00952866
2008-01-29 00:00:00+00:00,0.00732564
2008-01-30 00:00:00+00:00,0.00256098
2008-01-31 00:00:00+00:00,0.00726189
2008-02-01 00:00:00+00:00,-0.01613662
2008-02-04 00:00:00+00:00,0.01100928
2008-02-05 00:00:00+00:00,-0.00944505
2008-02-06 00:00:00+00:00,0.00362741
2008-02-07 00:00:00+00:00,0.01252507
2008-02-08 00:00:00+00:00,0.03049356
2008-02-11 00:00:00+00:00,-0.00207144
2008-02-12 00:00:00+00:00,-0.01265048
2008-02-13 00:00:00+00:00,0.00044828
2008-02-14 00:00:00+00:00,0.01726703
2008-02-15 00:00:00+00:00,-0.00006000
2008-02-19 00:00:00+00:00,0.02849628
2008-02-20 00:00:00+00:00,0.00286172
2008-02-21 00:00:00+00:00,0.00188297
2008-02-22 00:00:00+00:00,0.00624150
2008-02-25 00:00:00+00:00,0.00716571
2008-02-26 00:00:00+00:00,0.01237605
2008-02-27 00:00:00+00:00,0.00703203
