Date,LEANHOG
2000-10-05 00:00:00+00:00,0.01045856
2000-10-06 00:00:00+00:00,-0.00863266
2000-10-09 00:00:00+00:00,-0.00850041
2000-10-10 00:00:00+00:00,0.02921582
2000-10-11 00:00:00+00:00,0.00945910
2000-10-12 00:00:00+00:00,0.02473557
2000-10-13 00:00:00+00:00,-0.01580466
2000-10-16 00:00:00+00:00,-0.01469788
2000-10-17 00:00:00+00:00,0.01151095
2000-10-18 00:00:00+00:00,-0.00799779
2000-10-19 00:00:00+00:00,-0.01410468
2000-10-20 00:00:00+00:00,0.00595547
2000-10-23 00:00:00+00:00,0.01554222
2000-10-24 00:00:00+00:00,0.01892413
2000-10-25 00:00:00+00:00,-0.01772986
2000-10-26 00:00:00+00:00,-0.00155985
2000-10-27 00:00:00+00:00,-0.00919603
2000-10-30 00:00:00+00:00,-0.00104624
2000-10-31 00:00:00+00:00,0.01185774
2000-11-01 00:00:00+00:00,0.00416164
2000-11-02 00:00:00+00:00,0.00467316
2000-11-03 00:00:00+00:00,0.02627379
2000-11-06 00:00:00+00:00,0.01980789
2000-11-07 00:00:00+00:00,-0.00051276
2000-11-08 00:00:00+00:00,0.00743500
2000-11-09 00:00:00+00:00,0.01075017
2000-11-10 00:00:00+00:00,0.01183636
2000-11-13 00:00:00+00:00,-0.00631982
2000-11-14 00:00:00+00:00,0.02513887
2000-11-15 00:00:00+00:00,0.00262609
2000-11-16 00:00:00+00:00,0.00935541
2000-11-17 00:00:00+00:00,-0.00017309
2000-11-20 00:00:00+00:00,-0.00947779
2000-11-21 00:00:00+00:00,0.00589221
2000-11-22 00:00:00+00:00,0.01077077
2000-11-24 00:00:00+00:00,0.00194149
2000-11-27 00:00:00+00:00,-0.01185887
2000-11-28 00:00:00+00:00,-0.01617087
2000-11-29 00:00:00+00:00,0.00065465
2000-11-30 00:00:00+00:00,0.00526728
2000-12-01 00:00:00+00:00,0.00919796
2000-12-04 00:00:00+00:00,0.02270787
2000-12-05 00:00:00+00:00,0.01247623
2000-12-06 00:00:00+00:00,0.01273708
