Date,EU-CHEM
2021-05-12 00:00:00+00:00,-0.00082061
2021-05-13 00:00:00+00:00,0.00238173
2021-05-14 00:00:00+00:00,0.00434248
2021-05-17 00:00:00+00:00,0.00073421
2021-05-18 00:00:00+00:00,-0.00260862
2021-05-19 00:00:00+00:00,-0.01307724
2021-05-20 00:00:00+00:00,0.01126294
2021-05-21 00:00:00+00:00,0.00606011
2021-05-24 00:00:00+00:00,0.00390720
2021-05-25 00:00:00+00:00,-0.00397308
2021-05-26 00:00:00+00:00,-0.00374471
2021-05-27 00:00:00+00:00,0.00065370
2021-05-28 00:00:00+00:00,0.00481790
2021-05-31 00:00:00+00:00,-0.00341325
2021-06-01 00:00:00+00:00,0.00807307
2021-06-02 00:00:00+00:00,0.00056625
2021-06-03 00:00:00+00:00,0.00210203
2021-06-04 00:00:00+00:00,0.00555787
2021-06-07 00:00:00+00:00,-0.00906611
2021-06-08 00:00:00+00:00,-0.00129544
2021-06-09 00:00:00+00:00,-0.00089177
2021-06-10 00:00:00+00:00,0.07124310
2021-06-14 00:00:00+00:00,-0.00252115
2021-06-15 00:00:00+00:00,0.00676722
2021-06-16 00:00:00+00:00,0.00745060
2021-06-17 00:00:00+00:00,-0.00836013
2021-06-18 00:00:00+00:00,-0.01224060
2021-06-21 00:00:00+00:00,0.01707017
2021-06-22 00:00:00+00:00,0.01250706
2021-06-23 00:00:00+00:00,-0.01059930
2021-06-24 00:00:00+00:00,0.00193315
2021-06-25 00:00:00+00:00,-0.00369805
2021-06-28 00:00:00+00:00,-0.00056483
2021-06-29 00:00:00+00:00,0.01041498
2021-06-30 00:00:00+00:00,-0.00535358
2021-07-01 00:00:00+00:00,0.00634640
2021-07-02 00:00:00+00:00,-0.00015966
2021-07-05 00:00:00+00:00,0.00279441
2021-07-06 00:00:00+00:00,-0.01194268
2021-07-07 00:00:00+00:00,0.01410153
2021-07-08 00:00:00+00:00,-0.01350814
2021-07-09 00:00:00+00:00,0.01828433
2021-07-12 00:00:00+00:00,0.00783104
2021-07-13 00:00:00+00:00,-0.00204066
2021-07-14 00:00:00+00:00,-0.00086512
2021-07-15 00:00:00+00:00,0.00228275
2021-07-16 00:00:00+00:00,-0.00369120
2021-07-19 00:00:00+00:00,-0.02065269
2021-07-20 00:00:00+00:00,0.01271732
2021-07-21 00:00:00+00:00,0.00866317
2021-07-22 00:00:00+00:00,0.00307304
2021-07-23 00:00:00+00:00,0.00974077
2021-07-26 00:00:00+00:00,-0.00505679
2021-07-27 00:00:00+00:00,0.00390961
2021-07-28 00:00:00+00:00,-0.00155775
2021-07-29 00:00:00+00:00,-0.00358842
2021-07-30 00:00:00+00:00,0.01002114
2021-08-02 00:00:00+00:00,-0.00147275
2021-08-03 00:00:00+00:00,0.00023288
2021-08-04 00:00:00+00:00,0.00752813
2021-08-05 00:00:00+00:00,0.00469881
2021-08-06 00:00:00+00:00,-0.00130338
2021-08-09 00:00:00+00:00,-0.00015354
2021-08-10 00:00:00+00:00,0.00552826
2021-08-11 00:00:00+00:00,0.00229078
2021-08-12 00:00:00+00:00,0.00358068
2021-08-13 00:00:00+00:00,0.00425112
2021-08-16 00:00:00+00:00,-0.00105828
2021-08-17 00:00:00+00:00,0.00015134
2021-08-18 00:00:00+00:00,0.00552319
2021-08-19 00:00:00+00:00,-0.01203913
2021-08-20 00:00:00+00:00,0.00060929
2021-08-23 00:00:00+00:00,0.00502360
2021-08-24 00:00:00+00:00,-0.00007573
2021-08-25 00:00:00+00:00,-0.00257517
2021-08-26 00:00:00+00:00,-0.00212621
2021-08-27 00:00:00+00:00,0.00342440
2021-08-30 00:00:00+00:00,0.00728045
2021-08-31 00:00:00+00:00,-0.00978768
2021-09-01 00:00:00+00:00,-0.00372567
2021-09-02 00:00:00+00:00,0.00381592
2021-09-03 00:00:00+00:00,-0.00311716
2021-09-06 00:00:00+00:00,0.01029591
2021-09-07 00:00:00+00:00,-0.01004001
2021-09-08 00:00:00+00:00,-0.00434650
2021-09-09 00:00:00+00:00,0.00183809
2021-09-10 00:00:00+00:00,0.05848177
2021-09-13 00:00:00+00:00,0.00091954
2021-09-14 00:00:00+00:00,-0.00084240
2021-09-15 00:00:00+00:00,-0.00436882
2021-09-16 00:00:00+00:00,0.00023095
2021-09-17 00:00:00+00:00,-0.02139614
2021-09-20 00:00:00+00:00,-0.01525757
2021-09-21 00:00:00+00:00,0.01054229
2021-09-22 00:00:00+00:00,0.00790326
2021-09-23 00:00:00+00:00,0.00854701
2021-09-24 00:00:00+00:00,-0.00730835
2021-09-27 00:00:00+00:00,-0.00493421
2021-09-28 00:00:00+00:00,-0.01298701
2021-09-29 00:00:00+00:00,0.00023923
2021-09-30 00:00:00+00:00,0.00438492
2021-10-01 00:00:00+00:00,-0.01023972
2021-10-04 00:00:00+00:00,-0.00360895
2021-10-05 00:00:00+00:00,0.00796845
2021-10-06 00:00:00+00:00,-0.02052224
2021-10-07 00:00:00+00:00,0.02250122
2021-10-08 00:00:00+00:00,-0.00534205
2021-10-11 00:00:00+00:00,0.00176353
2021-10-12 00:00:00+00:00,-0.00032008
2021-10-13 00:00:00+00:00,0.01104619
2021-10-14 00:00:00+00:00,0.01337978
2021-10-15 00:00:00+00:00,0.00250000
2021-10-18 00:00:00+00:00,-0.00249377
2021-10-19 00:00:00+00:00,-0.00289063
2021-10-20 00:00:00+00:00,0.00101857
2021-10-21 00:00:00+00:00,0.00023482
2021-10-22 00:00:00+00:00,0.00782534
2021-10-25 00:00:00+00:00,0.00093175
2021-10-26 00:00:00+00:00,0.00969669
2021-10-27 00:00:00+00:00,0.00414874
2021-10-28 00:00:00+00:00,-0.00635042
2021-10-29 00:00:00+00:00,0.00500501
2021-11-01 00:00:00+00:00,0.00658903
2021-11-02 00:00:00+00:00,0.00540417
2021-11-03 00:00:00+00:00,0.00310394
2021-11-04 00:00:00+00:00,0.00218868
2021-11-05 00:00:00+00:00,-0.00188267
2021-11-08 00:00:00+00:00,0.00618681
2021-11-09 00:00:00+00:00,0.00404919
2021-11-10 00:00:00+00:00,0.00440627
2021-11-11 00:00:00+00:00,-0.00044613
2021-11-12 00:00:00+00:00,0.00543034
2021-11-15 00:00:00+00:00,-0.00562297
2021-11-16 00:00:00+00:00,0.00543155
2021-11-17 00:00:00+00:00,0.00044402
2021-11-18 00:00:00+00:00,-0.00244101
2021-11-19 00:00:00+00:00,0.00259528
2021-11-22 00:00:00+00:00,0.00569485
2021-11-23 00:00:00+00:00,-0.00956023
2021-11-24 00:00:00+00:00,-0.00749926
2021-11-25 00:00:00+00:00,-0.00067330
2021-11-26 00:00:00+00:00,-0.02889654
2021-11-29 00:00:00+00:00,0.00092507
2021-11-30 00:00:00+00:00,-0.00516020
2021-12-01 00:00:00+00:00,0.01060618
2021-12-02 00:00:00+00:00,-0.00474950
2021-12-03 00:00:00+00:00,-0.00230911
2021-12-06 00:00:00+00:00,0.01612405
2021-12-07 00:00:00+00:00,0.02695315
2021-12-08 00:00:00+00:00,-0.00251368
2021-12-09 00:00:00+00:00,-0.00541061
2021-12-10 00:00:00+00:00,0.00223564
2021-12-13 00:00:00+00:00,0.01628374
2021-12-14 00:00:00+00:00,-0.00680120
2021-12-15 00:00:00+00:00,0.00496651
2021-12-16 00:00:00+00:00,0.02806833
2021-12-17 00:00:00+00:00,-0.01954687
2021-12-20 00:00:00+00:00,-0.04125561
2021-12-21 00:00:00+00:00,0.01365891
2021-12-22 00:00:00+00:00,0.00212137
2021-12-23 00:00:00+00:00,0.02794184
2021-12-27 00:00:00+00:00,0.01508025
2021-12-28 00:00:00+00:00,0.01979391
2021-12-29 00:00:00+00:00,-0.00381371
2021-12-30 00:00:00+00:00,0.00698529
2022-01-03 00:00:00+00:00,0.00190462
2022-01-04 00:00:00+00:00,0.01758499
2022-01-05 00:00:00+00:00,0.02450874
2022-01-06 00:00:00+00:00,-0.03899642
2022-01-07 00:00:00+00:00,-0.01817651
2022-01-10 00:00:00+00:00,-0.02430376
2022-01-11 00:00:00+00:00,0.00918733
2022-01-12 00:00:00+00:00,0.00921659
2022-01-13 00:00:00+00:00,-0.01205889
2022-01-14 00:00:00+00:00,-0.03271725
2022-01-17 00:00:00+00:00,0.01975178
2022-01-18 00:00:00+00:00,-0.03129680
2022-01-19 00:00:00+00:00,0.01612781
2022-01-20 00:00:00+00:00,0.00550611
2022-01-21 00:00:00+00:00,-0.03773159
2022-01-24 00:00:00+00:00,-0.03284475
2022-01-25 00:00:00+00:00,0.00872808
2022-01-26 00:00:00+00:00,0.01565327
2022-01-27 00:00:00+00:00,0.00410471
2022-01-28 00:00:00+00:00,-0.01534902
2022-01-31 00:00:00+00:00,0.00234999
2022-02-01 00:00:00+00:00,0.00515786
2022-02-02 00:00:00+00:00,0.01430571
2022-02-03 00:00:00+00:00,-0.02491185
2022-02-04 00:00:00+00:00,-0.02688468
2022-02-07 00:00:00+00:00,0.00016156
2022-02-08 00:00:00+00:00,-0.00153461
2022-02-09 00:00:00+00:00,0.01367093
2022-02-10 00:00:00+00:00,0.01021467
2022-02-11 00:00:00+00:00,-0.01216526
2022-02-14 00:00:00+00:00,-0.02463015
2022-02-15 00:00:00+00:00,0.02066082
2022-02-16 00:00:00+00:00,0.00779179
2022-02-17 00:00:00+00:00,0.00087677
2022-02-18 00:00:00+00:00,-0.00613204
2022-02-21 00:00:00+00:00,-0.01955128
2022-02-22 00:00:00+00:00,-0.00351422
2022-02-23 00:00:00+00:00,0.00410071
2022-02-24 00:00:00+00:00,-0.03160990
2022-02-25 00:00:00+00:00,0.00413293
2022-02-28 00:00:00+00:00,0.01654767
2022-03-01 00:00:00+00:00,-0.01503884
2022-03-02 00:00:00+00:00,0.01166107
2022-03-03 00:00:00+00:00,-0.01774608
2022-03-04 00:00:00+00:00,-0.03588012
2022-03-07 00:00:00+00:00,-0.01383538
2022-03-08 00:00:00+00:00,-0.01811401
2022-03-09 00:00:00+00:00,0.06529210
2022-03-10 00:00:00+00:00,-0.02504244
2022-03-11 00:00:00+00:00,0.00531128
2022-03-14 00:00:00+00:00,-0.06959883
2022-03-15 00:00:00+00:00,-0.01283819
2022-03-16 00:00:00+00:00,0.07295875
2022-03-17 00:00:00+00:00,-0.00075314
2022-03-18 00:00:00+00:00,0.01914358
2022-03-21 00:00:00+00:00,0.00779889
2022-03-22 00:00:00+00:00,-0.00099116
2022-03-23 00:00:00+00:00,0.00148466
2022-03-24 00:00:00+00:00,0.01080323
2022-03-25 00:00:00+00:00,-0.00123355
2022-03-28 00:00:00+00:00,0.01323251
2022-03-29 00:00:00+00:00,0.02036144
2022-03-30 00:00:00+00:00,-0.01157895
2022-03-31 00:00:00+00:00,-0.00788297
2022-04-01 00:00:00+00:00,-0.00325309
2022-04-04 00:00:00+00:00,0.01750654
2022-04-05 00:00:00+00:00,0.00162219
2022-04-06 00:00:00+00:00,-0.03785233
2022-04-07 00:00:00+00:00,0.00859078
2022-04-08 00:00:00+00:00,0.03280980
2022-04-11 00:00:00+00:00,-0.01536098
2022-04-12 00:00:00+00:00,-0.00481004
2022-04-13 00:00:00+00:00,-0.00465953
2022-04-14 00:00:00+00:00,0.02842864
2022-04-19 00:00:00+00:00,-0.01921524
2022-04-20 00:00:00+00:00,0.02722752
2022-04-21 00:00:00+00:00,0.02695309
2022-04-22 00:00:00+00:00,-0.05180073
2022-04-25 00:00:00+00:00,-0.02069584
2022-04-26 00:00:00+00:00,-0.02043675
2022-04-27 00:00:00+00:00,0.01289732
2022-04-28 00:00:00+00:00,0.01059722
2022-04-29 00:00:00+00:00,0.01438790
2022-05-02 00:00:00+00:00,-0.01714881
2022-05-03 00:00:00+00:00,0.00513657
2022-05-04 00:00:00+00:00,0.01038287
2022-05-05 00:00:00+00:00,-0.01204239
2022-05-06 00:00:00+00:00,-0.01982773
2022-05-09 00:00:00+00:00,-0.02594926
2022-05-10 00:00:00+00:00,0.01353307
2022-05-11 00:00:00+00:00,0.00470272
2022-05-12 00:00:00+00:00,0.00175527
2022-05-13 00:00:00+00:00,0.02294535
