Date,BB3M
2022-11-21 00:00:00+00:00,-0.00021099
2022-11-22 00:00:00+00:00,-0.00065942
2022-11-23 00:00:00+00:00,0.00142555
2022-11-25 00:00:00+00:00,0.00010552
2022-11-28 00:00:00+00:00,0.00063308
2022-11-29 00:00:00+00:00,0.00369179
2022-11-30 00:00:00+00:00,0.00157638
2022-12-01 00:00:00+00:00,0.00299275
2022-12-02 00:00:00+00:00,-0.00183477
2022-12-05 00:00:00+00:00,-0.00115473
2022-12-06 00:00:00+00:00,0.00104998
2022-12-07 00:00:00+00:00,0.00209886
2022-12-08 00:00:00+00:00,-0.00073383
2022-12-09 00:00:00+00:00,-0.00068173
2022-12-12 00:00:00+00:00,-0.00115395
2022-12-13 00:00:00+00:00,0.00419881
2022-12-14 00:00:00+00:00,0.00204253
2022-12-15 00:00:00+00:00,-0.00308610
2022-12-16 00:00:00+00:00,0.00146697
2022-12-19 00:00:00+00:00,-0.00104718
2022-12-20 00:00:00+00:00,-0.00015717
2022-12-21 00:00:00+00:00,0.00104794
2022-12-22 00:00:00+00:00,-0.00073318
2022-12-23 00:00:00+00:00,-0.00094300
2022-12-27 00:00:00+00:00,-0.00188709
2022-12-28 00:00:00+00:00,0.00057716
2022-12-29 00:00:00+00:00,-0.00047209
2022-12-30 00:00:00+00:00,-0.00115431
2023-01-03 00:00:00+00:00,0.00041995
2023-01-04 00:00:00+00:00,0.00010498
2023-01-05 00:00:00+00:00,-0.00209974
2023-01-06 00:00:00+00:00,0.00315242
2023-01-09 00:00:00+00:00,0.00167812
2023-01-10 00:00:00+00:00,-0.00083822
2023-01-11 00:00:00+00:00,0.00010483
2023-01-12 00:00:00+00:00,0.00141509
2023-01-13 00:00:00+00:00,-0.00130911
2023-01-17 00:00:00+00:00,0.00052419
2023-01-18 00:00:00+00:00,0.00172893
2023-01-19 00:00:00+00:00,-0.00094211
2023-01-20 00:00:00+00:00,-0.00120444
2023-01-23 00:00:00+00:00,-0.00089085
2023-01-24 00:00:00+00:00,0.00026218
2023-01-25 00:00:00+00:00,0.00120583
2023-01-26 00:00:00+00:00,-0.00073356
2023-01-27 00:00:00+00:00,-0.00031448
2023-01-30 00:00:00+00:00,-0.00089131
2023-01-31 00:00:00+00:00,0.00057700
2023-02-01 00:00:00+00:00,0.00115364
2023-02-02 00:00:00+00:00,0.00136261
2023-02-03 00:00:00+00:00,-0.00555032
2023-02-06 00:00:00+00:00,-0.00315093
2023-02-07 00:00:00+00:00,-0.00063128
2023-02-08 00:00:00+00:00,0.00010525
2023-02-09 00:00:00+00:00,-0.00089455
2023-02-10 00:00:00+00:00,-0.00078976
2023-02-13 00:00:00+00:00,-0.00057944
2023-02-14 00:00:00+00:00,-0.00242373
2023-02-15 00:00:00+00:00,0.00058044
2023-02-16 00:00:00+00:00,0.00063308
2023-02-17 00:00:00+00:00,-0.00084379
2023-02-21 00:00:00+00:00,-0.00189913
2023-02-22 00:00:00+00:00,0.00005282
2023-02-23 00:00:00+00:00,0.00015842
2023-02-24 00:00:00+00:00,-0.00190104
2023-02-27 00:00:00+00:00,-0.00021149
2023-02-28 00:00:00+00:00,-0.00021153
2023-03-01 00:00:00+00:00,-0.00100487
2023-03-02 00:00:00+00:00,0.00042328
2023-03-03 00:00:00+00:00,0.00031743
2023-03-06 00:00:00+00:00,-0.00063465
2023-03-07 00:00:00+00:00,-0.00375622
2023-03-08 00:00:00+00:00,-0.00100710
2023-03-09 00:00:00+00:00,0.00286351
2023-03-10 00:00:00+00:00,0.00656641
2023-03-13 00:00:00+00:00,0.01886991
2023-03-14 00:00:00+00:00,-0.00203677
2023-03-15 00:00:00+00:00,0.00497148
2023-03-16 00:00:00+00:00,-0.00741282
2023-03-17 00:00:00+00:00,0.00576037
2023-03-20 00:00:00+00:00,-0.00114883
