Date,GBPJPY
2022-11-11 00:00:00+00:00,-0.02038269
2022-11-14 00:00:00+00:00,0.00770399
2022-11-15 00:00:00+00:00,0.00420153
2022-11-16 00:00:00+00:00,0.00971910
2022-11-17 00:00:00+00:00,0.00296230
2022-11-18 00:00:00+00:00,0.00929301
2022-11-21 00:00:00+00:00,0.01291352
2022-11-22 00:00:00+00:00,-0.00203157
2022-11-23 00:00:00+00:00,0.00447698
2022-11-24 00:00:00+00:00,-0.00012223
2022-11-25 00:00:00+00:00,0.00190652
2022-11-28 00:00:00+00:00,-0.02715171
2022-11-29 00:00:00+00:00,-0.00350398
2022-11-30 00:00:00+00:00,0.00803792
2022-12-01 00:00:00+00:00,-0.00578255
2022-12-02 00:00:00+00:00,-0.00809341
2022-12-05 00:00:00+00:00,0.01454893
2022-12-06 00:00:00+00:00,-0.00126729
2022-12-07 00:00:00+00:00,0.00246740
2022-12-08 00:00:00+00:00,0.01082372
2022-12-09 00:00:00+00:00,0.00197175
2022-12-12 00:00:00+00:00,0.00609224
2022-12-13 00:00:00+00:00,-0.01459281
2022-12-14 00:00:00+00:00,0.00415298
2022-12-15 00:00:00+00:00,0.00071890
2022-12-16 00:00:00+00:00,-0.02187381
2022-12-19 00:00:00+00:00,0.00170056
2022-12-20 00:00:00+00:00,-0.07547376
2022-12-21 00:00:00+00:00,-0.00396980
2022-12-22 00:00:00+00:00,-0.00473598
2022-12-23 00:00:00+00:00,0.00861745
2022-12-27 00:00:00+00:00,0.00801255
2022-12-28 00:00:00+00:00,0.01262265
2022-12-29 00:00:00+00:00,-0.01298018
2022-12-30 00:00:00+00:00,-0.03046015
2023-01-03 00:00:00+00:00,-0.01587743
2023-01-04 00:00:00+00:00,0.04095748
2023-01-05 00:00:00+00:00,-0.01424191
2023-01-06 00:00:00+00:00,0.01255704
2023-01-09 00:00:00+00:00,0.01020858
2023-01-10 00:00:00+00:00,0.00363055
2023-01-11 00:00:00+00:00,0.00174562
2023-01-12 00:00:00+00:00,-0.03515451
2023-01-13 00:00:00+00:00,-0.02075848
2023-01-16 00:00:00+00:00,-0.00013073
2023-01-17 00:00:00+00:00,0.01434586
2023-01-18 00:00:00+00:00,0.01570594
2023-01-19 00:00:00+00:00,0.00506312
2023-01-20 00:00:00+00:00,0.01806600
2023-01-23 00:00:00+00:00,0.01232799
2023-01-24 00:00:00+00:00,-0.01407097
2023-01-25 00:00:00+00:00,0.00212366
2023-01-26 00:00:00+00:00,0.01288744
2023-01-27 00:00:00+00:00,-0.00734625
2023-01-30 00:00:00+00:00,0.00230228
2023-01-31 00:00:00+00:00,-0.00923387
2023-02-01 00:00:00+00:00,-0.01372141
2023-02-02 00:00:00+00:00,-0.02415702
2023-02-03 00:00:00+00:00,0.00854940
2023-02-06 00:00:00+00:00,0.01696472
2023-02-07 00:00:00+00:00,-0.01979401
2023-02-08 00:00:00+00:00,0.01036818
2023-02-09 00:00:00+00:00,0.01157699
2023-02-10 00:00:00+00:00,-0.01221805
2023-02-13 00:00:00+00:00,0.02804192
2023-02-14 00:00:00+00:00,0.01590911
2023-02-15 00:00:00+00:00,-0.00843271
2023-02-16 00:00:00+00:00,-0.00535964
2023-02-17 00:00:00+00:00,0.01002787
2023-02-20 00:00:00+00:00,-0.00013612
2023-02-21 00:00:00+00:00,0.02294458
2023-02-22 00:00:00+00:00,-0.01160398
2023-02-23 00:00:00+00:00,-0.00809271
2023-02-24 00:00:00+00:00,0.01422956
2023-02-27 00:00:00+00:00,0.01640070
2023-02-28 00:00:00+00:00,-0.00245411
2023-03-01 00:00:00+00:00,-0.00489863
2023-03-02 00:00:00+00:00,-0.01390501
2023-03-03 00:00:00+00:00,0.00358713
2023-03-06 00:00:00+00:00,-0.00137628
2023-03-07 00:00:00+00:00,-0.01631466
2023-03-08 00:00:00+00:00,0.00404312
2023-03-09 00:00:00+00:00,-0.00319605
2023-03-10 00:00:00+00:00,-0.00051469
2023-03-13 00:00:00+00:00,0.00673242
2023-03-14 00:00:00+00:00,0.00857732
2023-03-15 00:00:00+00:00,-0.02721678
2023-03-16 00:00:00+00:00,0.01035875
2023-03-17 00:00:00+00:00,-0.01525126
2023-03-20 00:00:00+00:00,0.00856163
2023-03-21 00:00:00+00:00,0.00814403
2023-03-22 00:00:00+00:00,-0.00363064
2023-03-23 00:00:00+00:00,-0.01558124
2023-03-24 00:00:00+00:00,-0.00643626
2023-03-27 00:00:00+00:00,0.02301111
2023-03-28 00:00:00+00:00,-0.00413568
2023-03-29 00:00:00+00:00,0.02466617
2023-03-30 00:00:00+00:00,0.01044163
2023-03-31 00:00:00+00:00,-0.00548865
2023-04-03 00:00:00+00:00,0.00733095
2023-04-04 00:00:00+00:00,0.00342675
2023-04-05 00:00:00+00:00,-0.01351385
2023-04-06 00:00:00+00:00,0.00881916
2023-04-10 00:00:00+00:00,0.01676925
2023-04-11 00:00:00+00:00,0.00870139
2023-04-12 00:00:00+00:00,0.00192221
2023-04-13 00:00:00+00:00,-0.00396233
2023-04-14 00:00:00+00:00,0.00156097
2023-04-17 00:00:00+00:00,0.00313440
2023-04-18 00:00:00+00:00,0.00342919
2023-04-19 00:00:00+00:00,0.01134938
2023-04-20 00:00:00+00:00,-0.00573640
2023-04-21 00:00:00+00:00,-0.00599567
2023-04-24 00:00:00+00:00,0.01209647
2023-04-25 00:00:00+00:00,-0.02161056
2023-04-26 00:00:00+00:00,0.00769382
2023-04-27 00:00:00+00:00,0.01244333
2023-04-28 00:00:00+00:00,0.04468943
2023-05-01 00:00:00+00:00,0.00868550
2023-05-02 00:00:00+00:00,-0.01419912
2023-05-03 00:00:00+00:00,-0.00628089
2023-05-04 00:00:00+00:00,-0.01715110
2023-05-05 00:00:00+00:00,0.02213863
2023-05-08 00:00:00+00:00,0.00197605
2023-05-09 00:00:00+00:00,0.00102994
2023-05-10 00:00:00+00:00,-0.01346300
2023-05-11 00:00:00+00:00,-0.01533027
2023-05-12 00:00:00+00:00,0.00984613
2023-05-15 00:00:00+00:00,0.01870267
2023-05-16 00:00:00+00:00,-0.00338762
2023-05-17 00:00:00+00:00,0.01920592
2023-05-18 00:00:00+00:00,0.00177834
2023-05-19 00:00:00+00:00,-0.00044041
2023-05-22 00:00:00+00:00,0.00604005
2023-05-23 00:00:00+00:00,-0.00492339
2023-05-24 00:00:00+00:00,0.00119090
2023-05-25 00:00:00+00:00,0.00421748
2023-05-26 00:00:00+00:00,0.01485587
2023-05-29 00:00:00+00:00,-0.00015023
2023-05-30 00:00:00+00:00,-0.00372679
2023-05-31 00:00:00+00:00,-0.00142528
2023-06-01 00:00:00+00:00,0.00898413
2023-06-02 00:00:00+00:00,0.00370813
2023-06-05 00:00:00+00:00,-0.00762493
2023-06-06 00:00:00+00:00,0.00054235
2023-06-07 00:00:00+00:00,0.00804282
2023-06-08 00:00:00+00:00,0.00232233
2023-06-09 00:00:00+00:00,0.00995178
2023-06-12 00:00:00+00:00,-0.00682923
2023-06-13 00:00:00+00:00,0.02281293
2023-06-14 00:00:00+00:00,-0.01057502
2023-06-15 00:00:00+00:00,0.02711255
2023-06-16 00:00:00+00:00,0.02883201
2023-06-19 00:00:00+00:00,-0.00014776
2023-06-20 00:00:00+00:00,-0.01723890
2023-06-21 00:00:00+00:00,0.00726361
2023-06-22 00:00:00+00:00,0.01288377
2023-06-23 00:00:00+00:00,0.00479526
2023-06-26 00:00:00+00:00,-0.00319825
2023-06-27 00:00:00+00:00,0.01311522
2023-06-28 00:00:00+00:00,-0.01200470
2023-06-29 00:00:00+00:00,0.00334361
2023-06-30 00:00:00+00:00,0.00510998
2023-07-03 00:00:00+00:00,0.00183798
2023-07-04 00:00:00+00:00,0.00310400
2023-07-05 00:00:00+00:00,0.00017914
2023-07-06 00:00:00+00:00,0.00028871
2023-07-07 00:00:00+00:00,-0.01221087
2023-07-10 00:00:00+00:00,-0.00873843
2023-07-11 00:00:00+00:00,-0.00215607
2023-07-12 00:00:00+00:00,-0.01910232
2023-07-13 00:00:00+00:00,0.01846730
2023-07-14 00:00:00+00:00,0.00876045
2023-07-17 00:00:00+00:00,-0.00392063
2023-07-18 00:00:00+00:00,-0.00442458
2023-07-19 00:00:00+00:00,-0.00755478
2023-07-20 00:00:00+00:00,-0.00194205
2023-07-21 00:00:00+00:00,0.02312617
2023-07-24 00:00:00+00:00,-0.00994272
2023-07-25 00:00:00+00:00,0.00468157
2023-07-26 00:00:00+00:00,-0.00458952
2023-07-27 00:00:00+00:00,-0.03383319
2023-07-28 00:00:00+00:00,0.03153167
2023-07-31 00:00:00+00:00,0.01845729
2023-08-01 00:00:00+00:00,0.00431105
2023-08-02 00:00:00+00:00,-0.00917946
2023-08-03 00:00:00+00:00,-0.01004621
2023-08-04 00:00:00+00:00,-0.00381929
2023-08-07 00:00:00+00:00,0.01270499
2023-08-08 00:00:00+00:00,0.00205827
2023-08-09 00:00:00+00:00,0.00743719
2023-08-10 00:00:00+00:00,0.01019330
2023-08-11 00:00:00+00:00,0.00406150
2023-08-14 00:00:00+00:00,0.00547208
2023-08-15 00:00:00+00:00,0.00588700
2023-08-16 00:00:00+00:00,0.01010399
2023-08-17 00:00:00+00:00,-0.00090984
2023-08-18 00:00:00+00:00,-0.00918068
2023-08-21 00:00:00+00:00,0.01559526
2023-08-22 00:00:00+00:00,-0.00720851
2023-08-23 00:00:00+00:00,-0.02063635
2023-08-24 00:00:00+00:00,0.00044704
2023-08-25 00:00:00+00:00,0.00530703
2023-08-28 00:00:00+00:00,0.00414617
2023-08-29 00:00:00+00:00,0.00017110
2023-08-30 00:00:00+00:00,0.00629414
2023-08-31 00:00:00+00:00,-0.00977050
2023-09-01 00:00:00+00:00,-0.00113279
2023-09-04 00:00:00+00:00,-0.00086103
2023-09-05 00:00:00+00:00,0.01814531
2023-09-06 00:00:00+00:00,-0.01202384
2023-09-07 00:00:00+00:00,-0.00993184
2023-09-08 00:00:00+00:00,0.00519030
2023-09-11 00:00:00+00:00,-0.00793342
2023-09-12 00:00:00+00:00,-0.01233501
2023-09-13 00:00:00+00:00,0.00526686
2023-09-14 00:00:00+00:00,-0.01256269
2023-09-15 00:00:00+00:00,0.00217638
2023-09-18 00:00:00+00:00,-0.00270367
2023-09-19 00:00:00+00:00,0.00384102
2023-09-20 00:00:00+00:00,-0.00170532
2023-09-21 00:00:00+00:00,-0.01667358
2023-09-22 00:00:00+00:00,0.00420554
2023-09-25 00:00:00+00:00,0.00062629
2023-09-26 00:00:00+00:00,-0.00511749
2023-09-27 00:00:00+00:00,0.00370164
2023-09-28 00:00:00+00:00,0.00553546
2023-09-29 00:00:00+00:00,0.00407309
2023-10-02 00:00:00+00:00,-0.01142318
2023-10-03 00:00:00+00:00,-0.01461420
2023-10-04 00:00:00+00:00,0.01097959
2023-10-05 00:00:00+00:00,0.00174612
2023-10-06 00:00:00+00:00,0.02146688
2023-10-09 00:00:00+00:00,-0.01397315
2023-10-10 00:00:00+00:00,0.01119908
2023-10-11 00:00:00+00:00,0.01146621
2023-10-12 00:00:00+00:00,-0.01281020
2023-10-13 00:00:00+00:00,-0.01067616
2023-10-16 00:00:00+00:00,0.01303796
2023-10-17 00:00:00+00:00,-0.00225690
2023-10-18 00:00:00+00:00,-0.00353200
2023-10-19 00:00:00+00:00,-0.00021027
2023-10-20 00:00:00+00:00,0.00272907
2023-10-23 00:00:00+00:00,0.01230496
2023-10-24 00:00:00+00:00,-0.01033512
2023-10-25 00:00:00+00:00,-0.00607347
2023-10-26 00:00:00+00:00,0.00877695
2023-10-27 00:00:00+00:00,-0.01479057
2023-10-30 00:00:00+00:00,0.00118076
2023-10-31 00:00:00+00:00,0.03315254
2023-11-01 00:00:00+00:00,-0.01027129
2023-11-02 00:00:00+00:00,0.00501331
2023-11-03 00:00:00+00:00,0.01360773
2023-11-06 00:00:00+00:00,0.00436610
2023-11-07 00:00:00+00:00,-0.00270669
2023-11-08 00:00:00+00:00,0.00610212
2023-11-09 00:00:00+00:00,-0.00568406
2023-11-10 00:00:00+00:00,0.00343620
2023-11-13 00:00:00+00:00,0.00988867
2023-11-14 00:00:00+00:00,0.01945179
2023-11-15 00:00:00+00:00,0.00070271
2023-11-16 00:00:00+00:00,-0.00934753
2023-11-17 00:00:00+00:00,-0.00767163
2023-11-20 00:00:00+00:00,-0.00775444
2023-11-21 00:00:00+00:00,0.00536715
2023-11-22 00:00:00+00:00,0.00972320
2023-11-23 00:00:00+00:00,-0.00015321
2023-11-24 00:00:00+00:00,0.01800088
2023-11-27 00:00:00+00:00,-0.00808239
2023-11-28 00:00:00+00:00,-0.00549612
2023-11-29 00:00:00+00:00,-0.00084896
2023-11-30 00:00:00+00:00,0.00070506
2023-12-01 00:00:00+00:00,-0.00636657
2023-12-04 00:00:00+00:00,-0.00579491
2023-12-05 00:00:00+00:00,-0.00661985
2023-12-06 00:00:00+00:00,-0.00188289
2023-12-07 00:00:00+00:00,-0.04593660
2023-12-08 00:00:00+00:00,0.01287499
2023-12-11 00:00:00+00:00,0.01734810
2023-12-12 00:00:00+00:00,-0.00620813
2023-12-13 00:00:00+00:00,-0.02351740
2023-12-14 00:00:00+00:00,0.00416728
