Date,FTSEINDO
2021-09-18 00:00:00+00:00,-0.00573848
2021-09-20 00:00:00+00:00,-0.00067972
2021-09-21 00:00:00+00:00,-0.00305776
2021-09-22 00:00:00+00:00,0.00238418
2021-09-23 00:00:00+00:00,0.00227327
2021-09-24 00:00:00+00:00,-0.00235470
2021-09-27 00:00:00+00:00,-0.00134900
2021-09-28 00:00:00+00:00,-0.00675105
2021-09-29 00:00:00+00:00,0.01630875
2021-09-30 00:00:00+00:00,0.02808320
2021-10-01 00:00:00+00:00,-0.00357829
2021-10-02 00:00:00+00:00,-0.00130654
2021-10-04 00:00:00+00:00,0.02548914
2021-10-05 00:00:00+00:00,-0.00892402
2021-10-06 00:00:00+00:00,0.02893763
2021-10-07 00:00:00+00:00,0.00249853
2021-10-08 00:00:00+00:00,0.01464946
2021-10-09 00:00:00+00:00,0.00307078
2021-10-11 00:00:00+00:00,-0.00398304
2021-10-12 00:00:00+00:00,0.01106869
2021-10-13 00:00:00+00:00,0.01703021
2021-10-14 00:00:00+00:00,0.00956810
2021-10-15 00:00:00+00:00,0.00059108
2021-10-18 00:00:00+00:00,0.00473506
2021-10-19 00:00:00+00:00,-0.00353721
2021-10-20 00:00:00+00:00,-0.00029724
2021-10-21 00:00:00+00:00,0.10736313
2021-10-22 00:00:00+00:00,0.00200894
2021-10-25 00:00:00+00:00,-0.01575193
2021-10-26 00:00:00+00:00,0.00654467
2021-10-27 00:00:00+00:00,-0.01225866
2021-10-28 00:00:00+00:00,-0.01059478
2021-10-29 00:00:00+00:00,0.00581056
2021-11-01 00:00:00+00:00,0.00182348
2021-11-02 00:00:00+00:00,-0.01366262
2021-11-03 00:00:00+00:00,0.01169449
2021-11-04 00:00:00+00:00,-0.00517303
2021-11-05 00:00:00+00:00,0.00458588
2021-11-08 00:00:00+00:00,0.00334742
2021-11-09 00:00:00+00:00,0.00121231
2021-11-10 00:00:00+00:00,0.00030161
2021-11-11 00:00:00+00:00,0.00938968
2021-11-12 00:00:00+00:00,-0.00720435
2021-11-15 00:00:00+00:00,-0.00937250
2021-11-16 00:00:00+00:00,-0.00427348
2021-11-17 00:00:00+00:00,0.00398265
2021-11-18 00:00:00+00:00,-0.00946418
2021-11-19 00:00:00+00:00,0.01879673
2021-11-22 00:00:00+00:00,-0.00302622
2021-11-23 00:00:00+00:00,-0.00474431
2021-11-24 00:00:00+00:00,0.00068003
2021-11-25 00:00:00+00:00,0.00756260
2021-11-26 00:00:00+00:00,-0.02552700
2021-11-29 00:00:00+00:00,0.00647016
2021-11-30 00:00:00+00:00,-0.00888084
2021-12-01 00:00:00+00:00,-0.00339976
2021-12-02 00:00:00+00:00,0.02138724
2021-12-03 00:00:00+00:00,-0.01547947
2021-12-06 00:00:00+00:00,0.00678028
2021-12-07 00:00:00+00:00,0.01622605
2021-12-08 00:00:00+00:00,-0.01235495
2021-12-09 00:00:00+00:00,0.00060838
2021-12-10 00:00:00+00:00,0.00274215
2021-12-13 00:00:00+00:00,0.00060653
2021-12-14 00:00:00+00:00,-0.03158573
2021-12-15 00:00:00+00:00,0.01816013
2021-12-16 00:00:00+00:00,-0.01444286
2021-12-17 00:00:00+00:00,0.00146539
2021-12-20 00:00:00+00:00,0.00123055
2021-12-22 00:00:00+00:00,-0.00492656
2021-12-23 00:00:00+00:00,-0.00618818
2021-12-24 00:00:00+00:00,-0.00186939
2021-12-27 00:00:00+00:00,0.00186935
2021-12-28 00:00:00+00:00,0.00777920
2021-12-29 00:00:00+00:00,-0.00247208
2021-12-30 00:00:00+00:00,0.00804826
2021-12-31 00:00:00+00:00,-0.00706535
2022-01-03 00:00:00+00:00,0.00649376
2022-01-04 00:00:00+00:00,0.00614389
2022-01-05 00:00:00+00:00,-0.01557980
2022-01-06 00:00:00+00:00,0.01271826
2022-01-07 00:00:00+00:00,0.00735027
2022-01-10 00:00:00+00:00,-0.00943097
2022-01-11 00:00:00+00:00,0.01626912
2022-01-12 00:00:00+00:00,-0.00181608
2022-01-13 00:00:00+00:00,0.00241792
2022-01-14 00:00:00+00:00,0.00573313
2022-01-17 00:00:00+00:00,0.00029663
2022-01-18 00:00:00+00:00,-0.01140851
2022-01-19 00:00:00+00:00,-0.00091552
2022-01-20 00:00:00+00:00,-0.00425903
2022-01-21 00:00:00+00:00,0.04668432
2022-01-22 00:00:00+00:00,-0.00366738
2022-01-24 00:00:00+00:00,-0.03329806
2022-01-25 00:00:00+00:00,-0.00919335
2022-01-26 00:00:00+00:00,0.01855015
2022-01-27 00:00:00+00:00,-0.00750195
2022-01-28 00:00:00+00:00,0.00271376
2022-01-31 00:00:00+00:00,-0.00572975
2022-02-01 00:00:00+00:00,0.00120612
2022-02-02 00:00:00+00:00,-0.00575597
2022-02-03 00:00:00+00:00,0.00121196
2022-02-04 00:00:00+00:00,0.00394596
