Date,SOYMEAL
2000-11-15 00:00:00+00:00,0.01301005
2000-11-16 00:00:00+00:00,-0.01410106
2000-11-17 00:00:00+00:00,0.07282416
2000-11-20 00:00:00+00:00,0.04280822
2000-11-21 00:00:00+00:00,-0.02687570
2000-11-22 00:00:00+00:00,0.02376910
2000-11-24 00:00:00+00:00,0.07731092
2000-11-27 00:00:00+00:00,0.01244019
2000-11-28 00:00:00+00:00,0.00107296
2000-11-29 00:00:00+00:00,0.02518757
2000-11-30 00:00:00+00:00,0.03073662
2000-12-01 00:00:00+00:00,0.00261917
2000-12-04 00:00:00+00:00,-0.03030303
2000-12-05 00:00:00+00:00,-0.01778017
2000-12-06 00:00:00+00:00,0.00488865
2000-12-07 00:00:00+00:00,-0.01674770
2000-12-08 00:00:00+00:00,0.02618658
2000-12-11 00:00:00+00:00,0.01667563
2000-12-12 00:00:00+00:00,-0.00053390
2000-12-13 00:00:00+00:00,-0.00589181
2000-12-14 00:00:00+00:00,-0.00375940
2000-12-15 00:00:00+00:00,0.00968263
2000-12-18 00:00:00+00:00,0.02139037
2000-12-19 00:00:00+00:00,0.01004759
2000-12-20 00:00:00+00:00,-0.00734523
2000-12-21 00:00:00+00:00,0.01057641
2000-12-22 00:00:00+00:00,0.02161307
2000-12-26 00:00:00+00:00,-0.01409186
2000-12-27 00:00:00+00:00,-0.01786653
2000-12-28 00:00:00+00:00,0.01059883
2000-12-29 00:00:00+00:00,0.00791557
2001-01-02 00:00:00+00:00,-0.03164557
2001-01-03 00:00:00+00:00,-0.00374332
2001-01-04 00:00:00+00:00,-0.01554126
2001-01-05 00:00:00+00:00,-0.02424569
2001-01-08 00:00:00+00:00,-0.00109170
2001-01-09 00:00:00+00:00,0.03382433
2001-01-10 00:00:00+00:00,-0.00858369
2001-01-11 00:00:00+00:00,-0.05669546
2001-01-12 00:00:00+00:00,-0.01939058
2001-01-16 00:00:00+00:00,-0.00334635
2001-01-17 00:00:00+00:00,-0.00335758
2001-01-18 00:00:00+00:00,-0.01066816
2001-01-19 00:00:00+00:00,0.00567537
