Date,TWD-mini
2023-01-06 00:00:00+00:00,-0.00074012
2023-01-07 00:00:00+00:00,0.00446146
2023-01-09 00:00:00+00:00,0.01418798
2023-01-10 00:00:00+00:00,0.00047656
2023-01-12 00:00:00+00:00,0.00290411
2023-01-13 00:00:00+00:00,0.00803370
2023-01-14 00:00:00+00:00,-0.00012835
2023-01-16 00:00:00+00:00,-0.00133606
2023-01-17 00:00:00+00:00,-0.00495627
2023-01-18 00:00:00+00:00,0.00289559
2023-01-19 00:00:00+00:00,-0.00164066
2023-01-23 00:00:00+00:00,-0.00497379
2023-01-25 00:00:00+00:00,-0.00012988
2023-01-26 00:00:00+00:00,0.01228702
2023-01-27 00:00:00+00:00,-0.00012993
2023-01-30 00:00:00+00:00,0.01609649
2023-01-31 00:00:00+00:00,0.00016840
2023-02-01 00:00:00+00:00,0.00494832
2023-02-02 00:00:00+00:00,0.00700335
2023-02-06 00:00:00+00:00,-0.01134236
2023-02-07 00:00:00+00:00,-0.00371381
2023-02-08 00:00:00+00:00,0.00136741
2023-02-09 00:00:00+00:00,-0.00162780
2023-02-10 00:00:00+00:00,-0.00193061
2023-02-13 00:00:00+00:00,-0.01334197
2023-02-14 00:00:00+00:00,0.00288090
2023-02-15 00:00:00+00:00,-0.01006637
2023-02-16 00:00:00+00:00,-0.00043586
2023-02-17 00:00:00+00:00,0.00471769
2023-02-20 00:00:00+00:00,0.00077153
2023-02-21 00:00:00+00:00,-0.00284791
2023-02-22 00:00:00+00:00,-0.00497233
2023-02-23 00:00:00+00:00,0.00624682
2023-02-24 00:00:00+00:00,-0.00828642
2023-02-25 00:00:00+00:00,0.00169223
2023-02-27 00:00:00+00:00,-0.01168009
2023-02-28 00:00:00+00:00,-0.00013493
2023-03-01 00:00:00+00:00,-0.00135248
2023-03-02 00:00:00+00:00,-0.00226810
2023-03-06 00:00:00+00:00,0.00230741
2023-03-07 00:00:00+00:00,-0.00074828
2023-03-08 00:00:00+00:00,-0.00928066
2023-03-09 00:00:00+00:00,-0.00106168
2023-03-10 00:00:00+00:00,-0.00136879
2023-03-11 00:00:00+00:00,0.00448486
2023-03-13 00:00:00+00:00,-0.00412190
2023-03-14 00:00:00+00:00,0.00537529
2023-03-15 00:00:00+00:00,-0.00500271
2023-03-20 00:00:00+00:00,0.00904879
2023-03-21 00:00:00+00:00,0.00260935
2023-03-22 00:00:00+00:00,-0.00104238
2023-03-23 00:00:00+00:00,0.00564708
2023-03-24 00:00:00+00:00,0.00803175
2023-03-27 00:00:00+00:00,-0.00134120
2023-03-28 00:00:00+00:00,-0.00104026
2023-03-29 00:00:00+00:00,-0.00649046
2023-03-30 00:00:00+00:00,-0.00802688
2023-03-31 00:00:00+00:00,-0.00196211
2023-04-01 00:00:00+00:00,-0.00013339
2023-04-03 00:00:00+00:00,-0.00776523
2023-04-04 00:00:00+00:00,0.00751891
2023-04-05 00:00:00+00:00,0.00230500
2023-04-06 00:00:00+00:00,-0.00348732
2023-04-10 00:00:00+00:00,0.00474356
2023-04-11 00:00:00+00:00,-0.00470606
2023-04-12 00:00:00+00:00,0.00138606
2023-04-13 00:00:00+00:00,-0.00196839
2023-04-14 00:00:00+00:00,0.00565465
2023-04-17 00:00:00+00:00,-0.00652877
2023-04-18 00:00:00+00:00,0.00138021
2023-04-19 00:00:00+00:00,-0.00897388
2023-04-20 00:00:00+00:00,0.00291639
2023-04-21 00:00:00+00:00,0.00016319
2023-04-22 00:00:00+00:00,-0.00258414
2023-04-24 00:00:00+00:00,-0.00258856
2023-04-25 00:00:00+00:00,-0.00809817
2023-04-26 00:00:00+00:00,0.00200766
2023-04-27 00:00:00+00:00,-0.00045116
2023-04-28 00:00:00+00:00,-0.00044864
2023-04-29 00:00:00+00:00,-0.00014178
2023-05-01 00:00:00+00:00,-0.00505129
2023-05-02 00:00:00+00:00,-0.00199136
2023-05-03 00:00:00+00:00,0.00693739
2023-05-04 00:00:00+00:00,0.00108140
2023-05-05 00:00:00+00:00,0.00138748
2023-05-06 00:00:00+00:00,-0.00045253
2023-05-08 00:00:00+00:00,-0.00229055
2023-05-09 00:00:00+00:00,-0.00198777
2023-05-10 00:00:00+00:00,0.00384728
2023-05-11 00:00:00+00:00,-0.00167400
2023-05-12 00:00:00+00:00,-0.00443542
2023-05-13 00:00:00+00:00,-0.00014489
2023-05-15 00:00:00+00:00,-0.00260607
2023-05-16 00:00:00+00:00,0.00047059
2023-05-17 00:00:00+00:00,0.00016146
2023-05-18 00:00:00+00:00,0.00169796
2023-05-19 00:00:00+00:00,0.00292331
2023-05-20 00:00:00+00:00,0.00260792
2023-05-22 00:00:00+00:00,0.00290496
