Date,FTSECHINAH
2021-08-31 00:00:00+00:00,0.01781328
2021-09-01 00:00:00+00:00,0.00937028
2021-09-02 00:00:00+00:00,0.00641598
2021-09-03 00:00:00+00:00,-0.00569928
2021-09-04 00:00:00+00:00,-0.00136572
2021-09-06 00:00:00+00:00,0.01325190
2021-09-07 00:00:00+00:00,0.00808948
2021-09-08 00:00:00+00:00,-0.00575302
2021-09-09 00:00:00+00:00,-0.00847699
2021-09-10 00:00:00+00:00,0.00569745
2021-09-13 00:00:00+00:00,-0.00850106
2021-09-14 00:00:00+00:00,-0.01973172
2021-09-15 00:00:00+00:00,-0.01707499
2021-09-16 00:00:00+00:00,-0.03954341
2021-09-17 00:00:00+00:00,0.00726070
2021-09-20 00:00:00+00:00,-0.03367849
2021-09-21 00:00:00+00:00,-0.01186187
2021-09-22 00:00:00+00:00,0.03156897
2021-09-23 00:00:00+00:00,-0.00859209
2021-09-24 00:00:00+00:00,-0.03421627
2021-09-27 00:00:00+00:00,0.02738889
2021-09-28 00:00:00+00:00,0.00231678
2021-09-29 00:00:00+00:00,-0.00362643
2021-09-30 00:00:00+00:00,0.00640267
2021-10-01 00:00:00+00:00,-0.01706541
2021-10-04 00:00:00+00:00,-0.01544905
2021-10-05 00:00:00+00:00,0.01494208
2021-10-06 00:00:00+00:00,-0.01266323
2021-10-07 00:00:00+00:00,0.04607667
2021-10-08 00:00:00+00:00,0.00826658
2021-10-11 00:00:00+00:00,0.00819878
2021-10-12 00:00:00+00:00,-0.01164074
2021-10-13 00:00:00+00:00,0.01588962
2021-10-14 00:00:00+00:00,-0.00838117
2021-10-15 00:00:00+00:00,0.01351979
2021-10-18 00:00:00+00:00,0.00930926
2021-10-19 00:00:00+00:00,0.02065107
2021-10-20 00:00:00+00:00,0.00633866
2021-10-21 00:00:00+00:00,0.07868477
2021-10-22 00:00:00+00:00,0.00334119
2021-10-25 00:00:00+00:00,0.00146581
2021-10-26 00:00:00+00:00,-0.01315230
2021-10-27 00:00:00+00:00,-0.00625325
2021-10-28 00:00:00+00:00,-0.00437792
2021-10-29 00:00:00+00:00,-0.01483678
2021-11-01 00:00:00+00:00,0.00836453
2021-11-02 00:00:00+00:00,-0.01922155
2021-11-03 00:00:00+00:00,0.00662483
2021-11-04 00:00:00+00:00,-0.00420282
2021-11-05 00:00:00+00:00,-0.01575374
2021-11-08 00:00:00+00:00,0.00400000
2021-11-09 00:00:00+00:00,-0.00170922
2021-11-10 00:00:00+00:00,0.00641432
2021-11-11 00:00:00+00:00,0.03838929
2021-11-12 00:00:00+00:00,0.00299989
2021-11-15 00:00:00+00:00,-0.00340171
2021-11-16 00:00:00+00:00,0.00545798
2021-11-17 00:00:00+00:00,-0.00638122
2021-11-18 00:00:00+00:00,-0.02513803
2021-11-19 00:00:00+00:00,0.01022840
2021-11-22 00:00:00+00:00,-0.05756835
2021-11-23 00:00:00+00:00,-0.01604915
2021-11-24 00:00:00+00:00,0.00239382
2021-11-25 00:00:00+00:00,0.00775352
2021-11-26 00:00:00+00:00,-0.05582909
2021-11-29 00:00:00+00:00,-0.00452098
2021-11-30 00:00:00+00:00,-0.00570406
2021-12-01 00:00:00+00:00,0.00867491
2021-12-02 00:00:00+00:00,-0.00583323
2021-12-03 00:00:00+00:00,-0.02185218
2021-12-06 00:00:00+00:00,0.01873916
2021-12-07 00:00:00+00:00,0.01706963
2021-12-08 00:00:00+00:00,-0.00231698
2021-12-09 00:00:00+00:00,0.00478433
2021-12-10 00:00:00+00:00,-0.00231122
2021-12-13 00:00:00+00:00,-0.00593327
2021-12-14 00:00:00+00:00,-0.01586539
2021-12-15 00:00:00+00:00,-0.01730399
2021-12-16 00:00:00+00:00,0.00361046
2021-12-21 00:00:00+00:00,-0.02834205
2021-12-23 00:00:00+00:00,0.01064618
2021-12-24 00:00:00+00:00,-0.00290318
2021-12-27 00:00:00+00:00,0.00306123
2021-12-28 00:00:00+00:00,-0.00641391
2021-12-29 00:00:00+00:00,-0.01075741
2021-12-30 00:00:00+00:00,0.03121960
2021-12-31 00:00:00+00:00,-0.00361647
2022-01-03 00:00:00+00:00,-0.01194431
2022-01-04 00:00:00+00:00,-0.01377228
2022-01-05 00:00:00+00:00,-0.00263982
2022-01-06 00:00:00+00:00,0.00684118
2022-01-07 00:00:00+00:00,0.01343778
2022-01-10 00:00:00+00:00,-0.00046007
2022-01-11 00:00:00+00:00,0.03187080
2022-01-12 00:00:00+00:00,0.02054051
2022-01-13 00:00:00+00:00,-0.00478253
2022-01-14 00:00:00+00:00,-0.00495120
2022-01-17 00:00:00+00:00,-0.00804687
2022-01-18 00:00:00+00:00,-0.00604847
2022-01-19 00:00:00+00:00,0.00711477
2022-01-20 00:00:00+00:00,0.03578292
2022-01-21 00:00:00+00:00,-0.01962651
2022-01-24 00:00:00+00:00,-0.07278917
2022-01-25 00:00:00+00:00,0.01239372
2022-01-26 00:00:00+00:00,0.00530967
2022-01-27 00:00:00+00:00,-0.06844453
2022-01-28 00:00:00+00:00,0.02774185
2022-01-31 00:00:00+00:00,0.03236179
2022-02-01 00:00:00+00:00,-0.01709367
2022-02-03 00:00:00+00:00,0.02070481
2022-02-04 00:00:00+00:00,0.00384410
2022-02-07 00:00:00+00:00,0.00441989
2022-02-08 00:00:00+00:00,0.00528001
2022-02-09 00:00:00+00:00,0.00817460
2022-02-10 00:00:00+00:00,-0.00204035
2022-02-11 00:00:00+00:00,-0.00073647
2022-02-14 00:00:00+00:00,-0.02224600
2022-02-15 00:00:00+00:00,0.00712281
2022-02-16 00:00:00+00:00,0.01341911
2022-02-17 00:00:00+00:00,-0.00306824
2022-02-18 00:00:00+00:00,-0.03141515
2022-02-21 00:00:00+00:00,-0.04887135
2022-02-22 00:00:00+00:00,-0.01700027
2022-02-23 00:00:00+00:00,0.00184113
2022-02-24 00:00:00+00:00,-0.04604436
2022-02-25 00:00:00+00:00,-0.04503872
2022-02-26 00:00:00+00:00,0.07131026
2022-02-28 00:00:00+00:00,-0.01152496
2022-03-01 00:00:00+00:00,-0.00000922
2022-03-02 00:00:00+00:00,-0.00160522
2022-03-03 00:00:00+00:00,-0.02558559
2022-03-04 00:00:00+00:00,-0.03134133
2022-03-07 00:00:00+00:00,-0.01728294
2022-03-08 00:00:00+00:00,-0.00862665
2022-03-09 00:00:00+00:00,-0.00452996
2022-03-10 00:00:00+00:00,-0.03825092
2022-03-11 00:00:00+00:00,-0.04067912
2022-03-14 00:00:00+00:00,-0.06113971
2022-03-15 00:00:00+00:00,-0.02198427
2022-03-16 00:00:00+00:00,0.14378278
2022-03-17 00:00:00+00:00,-0.04102100
2022-03-18 00:00:00+00:00,0.03780437
2022-03-21 00:00:00+00:00,-0.02197859
2022-03-22 00:00:00+00:00,-0.09750798
2022-03-23 00:00:00+00:00,0.04543169
2022-03-24 00:00:00+00:00,-0.04615378
2022-03-25 00:00:00+00:00,-0.00890493
2022-03-28 00:00:00+00:00,-0.00794238
2022-03-29 00:00:00+00:00,0.04285412
2022-03-30 00:00:00+00:00,0.02520442
2022-03-31 00:00:00+00:00,-0.05197113
2022-04-01 00:00:00+00:00,0.04092949
2022-04-04 00:00:00+00:00,0.05150691
2022-04-05 00:00:00+00:00,-0.01251956
2022-04-06 00:00:00+00:00,-0.04618307
2022-04-07 00:00:00+00:00,-0.03808922
2022-04-08 00:00:00+00:00,0.00853940
2022-04-11 00:00:00+00:00,-0.06695811
2022-04-12 00:00:00+00:00,0.00536608
2022-04-13 00:00:00+00:00,0.01224632
2022-04-14 00:00:00+00:00,0.02453348
2022-04-15 00:00:00+00:00,-0.01136334
2022-04-18 00:00:00+00:00,-0.01061562
2022-04-19 00:00:00+00:00,-0.04431902
2022-04-20 00:00:00+00:00,-0.02293672
2022-04-21 00:00:00+00:00,-0.03782057
2022-04-22 00:00:00+00:00,-0.00479261
2022-04-25 00:00:00+00:00,-0.08482806
2022-04-26 00:00:00+00:00,-0.00725493
2022-04-27 00:00:00+00:00,0.01624806
2022-04-28 00:00:00+00:00,0.00430935
2022-04-29 00:00:00+00:00,0.15452549
2022-05-02 00:00:00+00:00,0.00593713
2022-05-03 00:00:00+00:00,0.00617305
2022-05-04 00:00:00+00:00,-0.01614128
2022-05-05 00:00:00+00:00,-0.04806634
2022-05-06 00:00:00+00:00,-0.03157337
2022-05-09 00:00:00+00:00,-0.04181531
2022-05-10 00:00:00+00:00,0.00154651
2022-05-11 00:00:00+00:00,-0.04965242
2022-05-12 00:00:00+00:00,-0.04486124
2022-05-13 00:00:00+00:00,0.04639252
2022-05-16 00:00:00+00:00,0.03930779
2022-05-17 00:00:00+00:00,0.06652836
2022-05-18 00:00:00+00:00,-0.01793438
2022-05-19 00:00:00+00:00,-0.02782137
2022-05-20 00:00:00+00:00,0.00382484
2022-05-23 00:00:00+00:00,0.04193586
2022-05-24 00:00:00+00:00,-0.04262328
2022-05-25 00:00:00+00:00,0.00358168
2022-05-26 00:00:00+00:00,0.04466766
2022-05-27 00:00:00+00:00,0.00087623
2022-05-30 00:00:00+00:00,0.02043708
2022-05-31 00:00:00+00:00,0.03458165
2022-06-01 00:00:00+00:00,-0.02902438
2022-06-02 00:00:00+00:00,0.02699997
2022-06-03 00:00:00+00:00,-0.01517140
2022-06-06 00:00:00+00:00,0.02721502
2022-06-07 00:00:00+00:00,0.01373828
2022-06-08 00:00:00+00:00,0.02579515
2022-06-09 00:00:00+00:00,-0.03159196
2022-06-10 00:00:00+00:00,-0.09576638
2022-06-22 00:00:00+00:00,-0.00004425
2022-06-23 00:00:00+00:00,0.10507037
2022-06-24 00:00:00+00:00,0.02140947
2022-06-27 00:00:00+00:00,0.01434287
2022-06-28 00:00:00+00:00,0.01397306
2022-06-29 00:00:00+00:00,-0.02947476
2022-06-30 00:00:00+00:00,0.00227219
2022-07-01 00:00:00+00:00,0.00127481
2022-07-04 00:00:00+00:00,0.00606013
2022-07-05 00:00:00+00:00,-0.06977737
2022-07-06 00:00:00+00:00,0.05232859
2022-07-07 00:00:00+00:00,0.02625727
2022-07-08 00:00:00+00:00,-0.02716099
2022-07-11 00:00:00+00:00,-0.03261851
2022-07-12 00:00:00+00:00,0.05909906
2022-07-13 00:00:00+00:00,-0.01124236
2022-07-14 00:00:00+00:00,-0.00253185
2022-07-19 00:00:00+00:00,-0.00499396
2022-07-20 00:00:00+00:00,0.01566072
2022-07-21 00:00:00+00:00,-0.01555462
2022-07-25 00:00:00+00:00,-0.00731543
2022-07-26 00:00:00+00:00,0.02040328
2022-07-27 00:00:00+00:00,-0.00303389
2022-07-28 00:00:00+00:00,-0.02158859
2022-07-29 00:00:00+00:00,-0.02367107
2022-08-01 00:00:00+00:00,-0.02149485
2022-08-02 00:00:00+00:00,0.00610594
2022-08-03 00:00:00+00:00,0.00346514
2022-08-04 00:00:00+00:00,0.01272176
2022-08-05 00:00:00+00:00,-0.01452855
2022-08-08 00:00:00+00:00,-0.00062735
2022-08-09 00:00:00+00:00,-0.01047819
2022-08-10 00:00:00+00:00,-0.00514161
2022-08-11 00:00:00+00:00,0.02219730
2022-08-12 00:00:00+00:00,-0.00450169
2022-08-15 00:00:00+00:00,-0.00767434
2022-08-17 00:00:00+00:00,-0.00661297
2022-08-18 00:00:00+00:00,-0.00816141
2022-08-22 00:00:00+00:00,-0.01429723
2022-08-23 00:00:00+00:00,-0.00823689
2022-08-24 00:00:00+00:00,0.01234395
2022-08-25 00:00:00+00:00,0.02672479
2022-08-26 00:00:00+00:00,0.00800940
2022-08-27 00:00:00+00:00,0.00666807
2022-08-29 00:00:00+00:00,0.01748911
2022-08-30 00:00:00+00:00,-0.00357936
2022-08-31 00:00:00+00:00,-0.00026565
2022-09-01 00:00:00+00:00,-0.01574448
2022-09-02 00:00:00+00:00,-0.01243573
2022-09-03 00:00:00+00:00,-0.00690416
2022-09-05 00:00:00+00:00,-0.05447012
2022-09-06 00:00:00+00:00,0.00144642
2022-09-07 00:00:00+00:00,-0.00833800
2022-09-08 00:00:00+00:00,-0.01014801
2022-09-09 00:00:00+00:00,0.03158708
2022-09-10 00:00:00+00:00,0.02625625
2022-09-12 00:00:00+00:00,-0.01060968
2022-09-13 00:00:00+00:00,-0.00975750
2022-09-14 00:00:00+00:00,-0.02685786
2022-09-15 00:00:00+00:00,-0.02484292
2022-09-16 00:00:00+00:00,-0.03696185
2022-09-17 00:00:00+00:00,-0.00348322
2022-09-19 00:00:00+00:00,-0.02606091
2022-09-20 00:00:00+00:00,0.02875052
2022-09-21 00:00:00+00:00,-0.04247313
2022-09-22 00:00:00+00:00,-0.02854962
2022-09-23 00:00:00+00:00,-0.03102078
2022-09-24 00:00:00+00:00,-0.02291714
2022-09-26 00:00:00+00:00,0.03132073
2022-09-27 00:00:00+00:00,0.00677725
2022-09-28 00:00:00+00:00,-0.06368238
2022-09-29 00:00:00+00:00,-0.01705565
2022-09-30 00:00:00+00:00,-0.00139685
2022-10-03 00:00:00+00:00,-0.01153986
2022-10-04 00:00:00+00:00,0.02125453
2022-10-05 00:00:00+00:00,0.07993139
2022-10-06 00:00:00+00:00,0.01196536
2022-10-07 00:00:00+00:00,-0.01946994
2022-10-08 00:00:00+00:00,-0.00240476
2022-10-10 00:00:00+00:00,-0.02809973
2022-10-11 00:00:00+00:00,-0.02847516
2022-10-12 00:00:00+00:00,-0.00545178
2022-10-17 00:00:00+00:00,-0.06466451
2022-10-18 00:00:00+00:00,0.02012935
2022-10-19 00:00:00+00:00,-0.03133312
2022-10-20 00:00:00+00:00,-0.02796565
2022-10-21 00:00:00+00:00,0.00533548
2022-10-24 00:00:00+00:00,-0.16521066
2022-10-25 00:00:00+00:00,0.01431897
2022-10-26 00:00:00+00:00,0.00471892
2022-10-27 00:00:00+00:00,0.00596046
2022-10-28 00:00:00+00:00,-0.04035484
2022-10-29 00:00:00+00:00,0.00722414
2022-10-31 00:00:00+00:00,-0.06983265
2022-11-01 00:00:00+00:00,0.09673183
2022-11-02 00:00:00+00:00,0.06925575
2022-11-03 00:00:00+00:00,-0.07258105
2022-11-04 00:00:00+00:00,0.11198153
2022-11-05 00:00:00+00:00,0.01091139
2022-11-07 00:00:00+00:00,0.07085720
2022-11-08 00:00:00+00:00,-0.01714929
2022-11-09 00:00:00+00:00,-0.03022528
2022-11-10 00:00:00+00:00,-0.04524695
2022-11-11 00:00:00+00:00,0.09364393
2022-11-12 00:00:00+00:00,0.01461888
2022-11-14 00:00:00+00:00,0.10197407
2022-11-15 00:00:00+00:00,0.10424353
2022-11-16 00:00:00+00:00,-0.01182489
2022-11-17 00:00:00+00:00,-0.05937217
2022-11-18 00:00:00+00:00,0.02021799
2022-11-21 00:00:00+00:00,-0.04233048
2022-11-22 00:00:00+00:00,-0.03515716
2022-11-23 00:00:00+00:00,0.03084026
2022-11-24 00:00:00+00:00,-0.00801751
2022-11-25 00:00:00+00:00,-0.00449779
2022-11-26 00:00:00+00:00,-0.00889151
2022-11-28 00:00:00+00:00,-0.03109573
2022-11-29 00:00:00+00:00,0.06794707
2022-11-30 00:00:00+00:00,0.02391222
2022-12-01 00:00:00+00:00,0.09559440
2022-12-02 00:00:00+00:00,-0.00665723
2022-12-03 00:00:00+00:00,0.03677052
2022-12-05 00:00:00+00:00,0.07046615
2022-12-06 00:00:00+00:00,-0.01089053
2022-12-07 00:00:00+00:00,-0.03663142
2022-12-08 00:00:00+00:00,0.04100213
2022-12-09 00:00:00+00:00,0.02272680
2022-12-12 00:00:00+00:00,-0.04403358
2022-12-13 00:00:00+00:00,0.00123416
2022-12-14 00:00:00+00:00,0.00864269
2022-12-15 00:00:00+00:00,-0.01865301
2022-12-16 00:00:00+00:00,0.00597834
2022-12-19 00:00:00+00:00,-0.00989414
2022-12-20 00:00:00+00:00,-0.01975055
2022-12-21 00:00:00+00:00,0.00528296
2022-12-22 00:00:00+00:00,0.02754686
2022-12-23 00:00:00+00:00,-0.00399413
2022-12-24 00:00:00+00:00,-0.01081456
2022-12-26 00:00:00+00:00,0.01894405
2022-12-27 00:00:00+00:00,-0.00012997
2022-12-28 00:00:00+00:00,0.01932766
2022-12-29 00:00:00+00:00,-0.01443311
2022-12-30 00:00:00+00:00,0.00684628
2022-12-31 00:00:00+00:00,-0.00761948
2023-01-03 00:00:00+00:00,0.05546637
2023-01-04 00:00:00+00:00,0.04140527
2023-01-05 00:00:00+00:00,0.01510004
2023-01-06 00:00:00+00:00,-0.00619993
2023-01-07 00:00:00+00:00,0.01855637
2023-01-09 00:00:00+00:00,0.07324041
2023-01-10 00:00:00+00:00,-0.00365371
2023-01-11 00:00:00+00:00,0.01045023
2023-01-12 00:00:00+00:00,0.01522706
2023-01-13 00:00:00+00:00,0.01508569
2023-01-14 00:00:00+00:00,0.00228463
2023-01-16 00:00:00+00:00,-0.01199216
2023-01-17 00:00:00+00:00,-0.01694537
2023-01-18 00:00:00+00:00,0.00685725
2023-01-19 00:00:00+00:00,-0.00396679
2023-01-20 00:00:00+00:00,0.04493600
2023-01-21 00:00:00+00:00,0.01198573
2023-01-23 00:00:00+00:00,0.00748467
2023-01-24 00:00:00+00:00,0.01788799
2023-01-25 00:00:00+00:00,-0.00881680
2023-01-26 00:00:00+00:00,0.01604826
2023-01-27 00:00:00+00:00,0.00832780
2023-01-28 00:00:00+00:00,-0.00012992
2023-01-30 00:00:00+00:00,-0.04420117
2023-01-31 00:00:00+00:00,-0.01725341
2023-02-01 00:00:00+00:00,0.04042797
2023-02-02 00:00:00+00:00,-0.01181299
2023-02-03 00:00:00+00:00,-0.03911031
2023-02-04 00:00:00+00:00,-0.01364944
2023-02-06 00:00:00+00:00,-0.04034032
2023-02-07 00:00:00+00:00,0.02642942
2023-02-08 00:00:00+00:00,-0.01544903
