Date,GILT
2000-12-11 00:00:00+00:00,0.00000000
2000-12-12 00:00:00+00:00,-0.00354886
2000-12-13 00:00:00+00:00,0.00641748
2000-12-14 00:00:00+00:00,-0.00414938
2000-12-15 00:00:00+00:00,0.00493720
2000-12-18 00:00:00+00:00,0.00017230
2000-12-19 00:00:00+00:00,-0.00570145
2000-12-20 00:00:00+00:00,0.00216581
2000-12-21 00:00:00+00:00,-0.00380788
2000-12-22 00:00:00+00:00,0.00242761
2000-12-27 00:00:00+00:00,-0.00190443
2000-12-28 00:00:00+00:00,-0.00086730
2000-12-29 00:00:00+00:00,0.00347072
2001-01-02 00:00:00+00:00,0.01489822
2001-01-03 00:00:00+00:00,0.00964187
2001-01-04 00:00:00+00:00,-0.00909091
2001-01-05 00:00:00+00:00,-0.00198122
2001-01-08 00:00:00+00:00,-0.00086259
2001-01-09 00:00:00+00:00,-0.00845702
2001-01-10 00:00:00+00:00,0.00138672
2001-01-11 00:00:00+00:00,-0.00069300
2001-01-12 00:00:00+00:00,-0.01066043
2001-01-15 00:00:00+00:00,0.00409372
2001-01-16 00:00:00+00:00,-0.00417029
2001-01-17 00:00:00+00:00,0.00043524
2001-01-18 00:00:00+00:00,0.00330838
2001-01-19 00:00:00+00:00,0.00060870
2001-01-22 00:00:00+00:00,-0.00608537
2001-01-23 00:00:00+00:00,0.00156958
2001-01-24 00:00:00+00:00,0.00139434
2001-01-25 00:00:00+00:00,0.00174246
2001-01-26 00:00:00+00:00,0.00696682
2001-01-29 00:00:00+00:00,-0.00026039
2001-01-30 00:00:00+00:00,0.00000000
2001-01-31 00:00:00+00:00,0.00885340
2001-02-01 00:00:00+00:00,-0.00146906
2001-02-02 00:00:00+00:00,-0.00103797
2001-02-05 00:00:00+00:00,0.00129803
2001-02-06 00:00:00+00:00,0.00051890
2001-02-07 00:00:00+00:00,0.00596628
2001-02-08 00:00:00+00:00,-0.00905719
2001-02-09 00:00:00+00:00,0.00511044
2001-02-12 00:00:00+00:00,-0.00146881
2001-02-13 00:00:00+00:00,0.00025936
2001-02-14 00:00:00+00:00,-0.00873249
2001-02-15 00:00:00+00:00,-0.00469076
2001-02-16 00:00:00+00:00,0.00034834
2001-02-19 00:00:00+00:00,0.00104466
2001-02-20 00:00:00+00:00,-0.00078302
2001-02-21 00:00:00+00:00,-0.00313343
2001-02-22 00:00:00+00:00,-0.00392225
2001-02-23 00:00:00+00:00,0.00270648
2001-02-26 00:00:00+00:00,-0.00122132
2001-02-27 00:00:00+00:00,0.00898622
2001-02-28 00:00:00+00:00,0.00269121
2001-03-01 00:00:00+00:00,0.00797573
2001-03-02 00:00:00+00:00,-0.00025918
2001-03-05 00:00:00+00:00,-0.00380130
2001-03-06 00:00:00+00:00,-0.00017315
2001-03-07 00:00:00+00:00,-0.00095263
2001-03-08 00:00:00+00:00,0.00251147
2001-03-09 00:00:00+00:00,-0.00043238
2001-03-12 00:00:00+00:00,0.00164303
2001-03-13 00:00:00+00:00,-0.00086393
2001-03-14 00:00:00+00:00,0.01243846
