Date,EUROSTX-SMALL
2013-11-06 00:00:00+00:00,0.01812023
2013-11-07 00:00:00+00:00,-0.00705605
2013-11-08 00:00:00+00:00,-0.01762297
2013-11-11 00:00:00+00:00,0.01812913
2013-11-12 00:00:00+00:00,-0.00607419
2013-11-13 00:00:00+00:00,-0.01817088
2013-11-14 00:00:00+00:00,0.01010433
2013-11-15 00:00:00+00:00,0.00196804
2013-11-18 00:00:00+00:00,0.01408088
2013-11-19 00:00:00+00:00,-0.01609356
2013-11-20 00:00:00+00:00,-0.01319120
2013-11-21 00:00:00+00:00,-0.00107041
2013-11-22 00:00:00+00:00,0.00503594
2013-11-25 00:00:00+00:00,0.01009917
2013-11-26 00:00:00+00:00,-0.00409338
2013-11-27 00:00:00+00:00,0.01512943
2013-11-28 00:00:00+00:00,0.00798333
2013-11-29 00:00:00+00:00,-0.00005269
2013-12-02 00:00:00+00:00,-0.00200269
2013-12-03 00:00:00+00:00,-0.03210083
2013-12-04 00:00:00+00:00,-0.01023067
2013-12-05 00:00:00+00:00,-0.01130561
2013-12-06 00:00:00+00:00,0.00509134
2013-12-09 00:00:00+00:00,0.01636570
2013-12-10 00:00:00+00:00,-0.00056188
2013-12-11 00:00:00+00:00,-0.00819554
2013-12-12 00:00:00+00:00,-0.01333854
2013-12-13 00:00:00+00:00,-0.00776983
2013-12-16 00:00:00+00:00,0.01553954
2013-12-17 00:00:00+00:00,-0.00521013
2013-12-18 00:00:00+00:00,0.01442479
2013-12-19 00:00:00+00:00,0.03333172
2013-12-20 00:00:00+00:00,0.01003799
2013-12-23 00:00:00+00:00,0.02404327
2013-12-27 00:00:00+00:00,0.02082192
2013-12-30 00:00:00+00:00,0.00093080
2014-01-02 00:00:00+00:00,-0.01185231
2014-01-03 00:00:00+00:00,0.01775125
2014-01-06 00:00:00+00:00,-0.00005255
2014-01-07 00:00:00+00:00,0.02254761
2014-01-08 00:00:00+00:00,0.00770350
2014-01-09 00:00:00+00:00,0.00381067
2014-01-10 00:00:00+00:00,0.01151414
2014-01-13 00:00:00+00:00,0.01336433
2014-01-14 00:00:00+00:00,-0.00481162
2014-01-15 00:00:00+00:00,0.02380276
2014-01-16 00:00:00+00:00,-0.00476674
2014-01-17 00:00:00+00:00,0.00372873
2014-01-20 00:00:00+00:00,-0.00854269
2014-01-21 00:00:00+00:00,-0.00857875
2014-01-22 00:00:00+00:00,-0.00861526
2014-01-23 00:00:00+00:00,-0.00674109
2014-01-24 00:00:00+00:00,-0.04319704
2014-01-27 00:00:00+00:00,-0.01965071
2014-01-28 00:00:00+00:00,0.02468782
2014-01-29 00:00:00+00:00,-0.00493978
2014-01-30 00:00:00+00:00,0.00190826
2014-01-31 00:00:00+00:00,-0.00690423
2014-02-03 00:00:00+00:00,-0.02461043
2014-02-04 00:00:00+00:00,0.01287634
2014-02-05 00:00:00+00:00,0.00488802
2014-02-06 00:00:00+00:00,0.04134680
2014-02-07 00:00:00+00:00,0.00574091
2014-02-10 00:00:00+00:00,0.00283588
2014-02-11 00:00:00+00:00,0.01917787
2014-02-12 00:00:00+00:00,0.01613807
2014-02-13 00:00:00+00:00,0.00183755
2014-02-14 00:00:00+00:00,0.01504990
2014-02-17 00:00:00+00:00,0.01399989
2014-02-18 00:00:00+00:00,-0.00377341
2014-02-19 00:00:00+00:00,-0.00005255
2014-02-20 00:00:00+00:00,-0.00279731
2014-02-21 00:00:00+00:00,0.01301367
2014-02-24 00:00:00+00:00,0.00643816
2014-02-25 00:00:00+00:00,0.01103831
2014-02-26 00:00:00+00:00,-0.00097146
2014-02-27 00:00:00+00:00,0.00086727
2014-02-28 00:00:00+00:00,0.01189612
2014-03-03 00:00:00+00:00,-0.04208073
2014-03-04 00:00:00+00:00,0.04567788
2014-03-05 00:00:00+00:00,0.00998395
2014-03-06 00:00:00+00:00,0.01084176
2014-03-07 00:00:00+00:00,-0.01630530
2014-03-10 00:00:00+00:00,-0.00551454
2014-03-11 00:00:00+00:00,0.00086042
2014-03-12 00:00:00+00:00,-0.02742453
2014-03-13 00:00:00+00:00,-0.01782505
2014-03-14 00:00:00+00:00,-0.01803639
2014-03-17 00:00:00+00:00,0.03433155
2014-03-18 00:00:00+00:00,0.00933712
2014-03-19 00:00:00+00:00,0.00368570
2014-03-20 00:00:00+00:00,-0.01217955
2014-03-21 00:00:00+00:00,-0.01225332
2014-03-24 00:00:00+00:00,-0.03310239
2014-03-25 00:00:00+00:00,0.01820804
2014-03-26 00:00:00+00:00,0.02185235
2014-03-27 00:00:00+00:00,-0.00287832
2014-03-28 00:00:00+00:00,0.01787240
2014-03-31 00:00:00+00:00,0.01303796
2014-04-01 00:00:00+00:00,0.02410022
2014-04-02 00:00:00+00:00,0.00086629
2014-04-03 00:00:00+00:00,0.00361816
2014-04-04 00:00:00+00:00,0.00910580
2014-04-07 00:00:00+00:00,-0.01828339
2014-04-08 00:00:00+00:00,-0.02857070
2014-04-09 00:00:00+00:00,0.01301381
2014-04-10 00:00:00+00:00,-0.01674176
2014-04-11 00:00:00+00:00,-0.02810255
2014-04-14 00:00:00+00:00,-0.02375991
2014-04-15 00:00:00+00:00,-0.02980247
2014-04-16 00:00:00+00:00,0.04086382
2014-04-17 00:00:00+00:00,0.01426796
2014-04-22 00:00:00+00:00,0.03122778
2014-04-23 00:00:00+00:00,-0.01125082
2014-04-24 00:00:00+00:00,-0.00005142
2014-04-25 00:00:00+00:00,-0.02346358
2014-04-28 00:00:00+00:00,-0.00479997
2014-04-29 00:00:00+00:00,0.02945819
2014-04-30 00:00:00+00:00,-0.00380405
2014-05-02 00:00:00+00:00,0.00746716
2014-05-05 00:00:00+00:00,-0.01035140
2014-05-06 00:00:00+00:00,-0.00852229
2014-05-07 00:00:00+00:00,-0.01517472
2014-05-08 00:00:00+00:00,0.01804332
2014-05-09 00:00:00+00:00,-0.00854635
2014-05-12 00:00:00+00:00,0.01606190
2014-05-13 00:00:00+00:00,-0.00381294
2014-05-14 00:00:00+00:00,-0.01324059
2014-05-15 00:00:00+00:00,-0.04367427
2014-05-16 00:00:00+00:00,-0.01362403
2014-05-19 00:00:00+00:00,0.01458959
2014-05-20 00:00:00+00:00,0.00479312
2014-05-21 00:00:00+00:00,0.00961452
2014-05-22 00:00:00+00:00,0.00956802
2014-05-23 00:00:00+00:00,0.01335163
2014-05-26 00:00:00+00:00,0.03038073
2014-05-27 00:00:00+00:00,0.00931570
2014-05-28 00:00:00+00:00,0.00833969
2014-05-29 00:00:00+00:00,-0.00098049
2014-05-30 00:00:00+00:00,0.01016631
2014-06-02 00:00:00+00:00,0.01658387
2014-06-03 00:00:00+00:00,-0.01655075
2014-06-04 00:00:00+00:00,0.00641751
2014-06-05 00:00:00+00:00,0.01376653
2014-06-06 00:00:00+00:00,0.02739548
2014-06-09 00:00:00+00:00,0.01258339
2014-06-10 00:00:00+00:00,0.00846819
2014-06-11 00:00:00+00:00,-0.03657767
2014-06-12 00:00:00+00:00,-0.00050585
2014-06-13 00:00:00+00:00,-0.01725019
2014-06-16 00:00:00+00:00,-0.00692026
2014-06-17 00:00:00+00:00,0.00178780
2014-06-18 00:00:00+00:00,0.00502678
2014-06-19 00:00:00+00:00,-0.00189318
2014-06-20 00:00:00+00:00,-0.00189396
2014-06-23 00:00:00+00:00,-0.03140255
2014-06-24 00:00:00+00:00,-0.02614691
2014-06-25 00:00:00+00:00,-0.00099599
2014-06-26 00:00:00+00:00,0.00656129
2014-06-27 00:00:00+00:00,-0.01040959
2014-06-30 00:00:00+00:00,-0.00478487
2014-07-01 00:00:00+00:00,0.02746210
2014-07-02 00:00:00+00:00,0.00837146
2014-07-03 00:00:00+00:00,0.01486018
2014-07-04 00:00:00+00:00,-0.01300225
2014-07-07 00:00:00+00:00,-0.02146719
2014-07-08 00:00:00+00:00,-0.04711074
2014-07-09 00:00:00+00:00,-0.00487098
2014-07-10 00:00:00+00:00,-0.03483417
2014-07-11 00:00:00+00:00,0.00683143
2014-07-14 00:00:00+00:00,0.01562689
2014-07-15 00:00:00+00:00,-0.01463605
2014-07-16 00:00:00+00:00,0.02933126
2014-07-17 00:00:00+00:00,-0.01549544
2014-07-18 00:00:00+00:00,-0.01172457
2014-07-21 00:00:00+00:00,-0.01570735
2014-07-22 00:00:00+00:00,0.01474112
2014-07-23 00:00:00+00:00,0.00973782
2014-07-24 00:00:00+00:00,0.02625127
