Date,EU-DJ-TECH
2019-04-02 00:00:00+00:00,0.00566572
2019-04-03 00:00:00+00:00,0.01560130
2019-04-04 00:00:00+00:00,-0.00256027
2019-04-05 00:00:00+00:00,0.00085561
2019-04-08 00:00:00+00:00,-0.00021372
2019-04-09 00:00:00+00:00,-0.01111586
2019-04-10 00:00:00+00:00,0.00108085
2019-04-11 00:00:00+00:00,0.00043187
2019-04-12 00:00:00+00:00,0.00366933
2019-04-15 00:00:00+00:00,-0.00172043
2019-04-16 00:00:00+00:00,0.00495476
2019-04-17 00:00:00+00:00,0.00535906
2019-04-18 00:00:00+00:00,0.01002132
2019-04-23 00:00:00+00:00,0.00168883
2019-04-24 00:00:00+00:00,0.04025290
2019-04-25 00:00:00+00:00,-0.00364668
2019-04-26 00:00:00+00:00,-0.00467670
2019-04-29 00:00:00+00:00,0.00143003
2019-04-30 00:00:00+00:00,-0.00713994
2019-05-02 00:00:00+00:00,-0.00965687
2019-05-03 00:00:00+00:00,0.00041494
2019-05-06 00:00:00+00:00,-0.01182082
2019-05-07 00:00:00+00:00,-0.02035677
2019-05-08 00:00:00+00:00,0.01113967
2019-05-09 00:00:00+00:00,-0.02288136
2019-05-10 00:00:00+00:00,0.00650477
2019-05-13 00:00:00+00:00,-0.01723395
2019-05-14 00:00:00+00:00,-0.00701447
2019-05-15 00:00:00+00:00,0.03554084
2019-05-16 00:00:00+00:00,0.02472820
2019-05-17 00:00:00+00:00,-0.00085344
2019-05-20 00:00:00+00:00,-0.02769103
2019-05-21 00:00:00+00:00,0.01970021
2019-05-22 00:00:00+00:00,0.00881982
2019-05-23 00:00:00+00:00,0.04725229
2019-06-24 00:00:00+00:00,0.00000000
2019-06-25 00:00:00+00:00,0.01784197
2019-06-26 00:00:00+00:00,0.00208681
2019-06-27 00:00:00+00:00,-0.00020825
2019-06-28 00:00:00+00:00,0.01520517
2019-07-01 00:00:00+00:00,0.02462043
2019-07-02 00:00:00+00:00,-0.00120144
2019-07-03 00:00:00+00:00,0.00521251
2019-07-04 00:00:00+00:00,-0.00179497
2019-07-05 00:00:00+00:00,-0.01478521
2019-07-08 00:00:00+00:00,-0.00993713
2019-07-09 00:00:00+00:00,0.00696436
2019-07-10 00:00:00+00:00,-0.00325468
2019-07-11 00:00:00+00:00,0.00244898
2019-07-12 00:00:00+00:00,-0.00183225
2019-07-15 00:00:00+00:00,0.00489496
2019-07-16 00:00:00+00:00,0.00040593
2019-07-17 00:00:00+00:00,-0.00142017
