Date,COPPER-mini
2000-08-25 00:00:00+00:00,0.00272976
2000-08-28 00:00:00+00:00,-0.00596785
2000-08-29 00:00:00+00:00,0.04285279
2000-08-30 00:00:00+00:00,0.02030707
2000-08-31 00:00:00+00:00,0.00038714
2000-09-01 00:00:00+00:00,0.00597589
2000-09-05 00:00:00+00:00,0.03492869
2000-09-06 00:00:00+00:00,-0.01003070
2000-09-07 00:00:00+00:00,0.00699118
2000-09-08 00:00:00+00:00,0.01079889
2000-09-11 00:00:00+00:00,0.00528116
2000-09-12 00:00:00+00:00,0.03351272
2000-09-13 00:00:00+00:00,-0.00123301
2000-09-14 00:00:00+00:00,-0.00070050
2000-09-15 00:00:00+00:00,-0.01086102
2000-09-18 00:00:00+00:00,-0.00393149
2000-09-19 00:00:00+00:00,0.00630242
2000-09-20 00:00:00+00:00,-0.04100456
2000-09-21 00:00:00+00:00,0.04980624
2000-09-22 00:00:00+00:00,-0.01354988
2000-09-25 00:00:00+00:00,0.01491963
2000-09-26 00:00:00+00:00,-0.02423103
2000-09-27 00:00:00+00:00,-0.00449876
2000-09-28 00:00:00+00:00,-0.00559474
2000-09-29 00:00:00+00:00,0.00200803
2000-10-02 00:00:00+00:00,-0.04525188
2000-10-03 00:00:00+00:00,0.00706173
2000-10-04 00:00:00+00:00,-0.00903279
2000-10-05 00:00:00+00:00,0.02152197
2000-10-06 00:00:00+00:00,-0.01334086
2000-10-09 00:00:00+00:00,-0.01782857
2000-10-10 00:00:00+00:00,0.01767894
2000-10-11 00:00:00+00:00,-0.00624224
2000-10-12 00:00:00+00:00,-0.04063277
2000-10-13 00:00:00+00:00,0.02194143
2000-10-16 00:00:00+00:00,0.00487349
2000-10-17 00:00:00+00:00,-0.02366012
2000-10-18 00:00:00+00:00,-0.02225400
2000-10-19 00:00:00+00:00,0.00154944
2000-10-20 00:00:00+00:00,-0.02479819
2000-10-23 00:00:00+00:00,0.01258972
2000-10-24 00:00:00+00:00,-0.00305342
2000-10-25 00:00:00+00:00,-0.02790205
2000-10-26 00:00:00+00:00,-0.04591966
2000-10-27 00:00:00+00:00,0.02809060
2000-10-30 00:00:00+00:00,0.00338237
2000-10-31 00:00:00+00:00,0.00811679
2000-11-01 00:00:00+00:00,-0.02963562
2000-11-02 00:00:00+00:00,0.00461255
2000-11-03 00:00:00+00:00,0.00042425
2000-11-06 00:00:00+00:00,-0.02760327
2000-11-07 00:00:00+00:00,0.00828597
2000-11-08 00:00:00+00:00,0.01307207
2000-11-09 00:00:00+00:00,0.01059286
2000-11-10 00:00:00+00:00,-0.00433632
2000-11-13 00:00:00+00:00,-0.04072073
2000-11-14 00:00:00+00:00,0.01566249
2000-11-15 00:00:00+00:00,-0.00138059
2000-11-16 00:00:00+00:00,-0.01649564
2000-11-17 00:00:00+00:00,0.00897476
2000-11-20 00:00:00+00:00,0.00043457
2000-11-21 00:00:00+00:00,0.00649500
2000-11-22 00:00:00+00:00,-0.01647620
2000-11-27 00:00:00+00:00,0.05159539
2000-11-28 00:00:00+00:00,0.02239596
2000-11-29 00:00:00+00:00,0.00687429
2000-11-30 00:00:00+00:00,-0.02755678
2000-12-01 00:00:00+00:00,0.02821774
2000-12-04 00:00:00+00:00,0.00740491
2000-12-05 00:00:00+00:00,0.01491713
2000-12-06 00:00:00+00:00,0.01882271
2000-12-07 00:00:00+00:00,0.00667256
2000-12-08 00:00:00+00:00,0.02196958
2000-12-11 00:00:00+00:00,0.00264148
2000-12-12 00:00:00+00:00,-0.01362482
2000-12-13 00:00:00+00:00,-0.00468330
2000-12-14 00:00:00+00:00,0.01682402
2000-12-15 00:00:00+00:00,-0.04222746
2000-12-18 00:00:00+00:00,0.00213283
2000-12-19 00:00:00+00:00,-0.00817365
2000-12-20 00:00:00+00:00,-0.02373529
2000-12-21 00:00:00+00:00,-0.01295439
2000-12-22 00:00:00+00:00,0.00630220
2000-12-26 00:00:00+00:00,0.01210373
2000-12-27 00:00:00+00:00,-0.02914278
2000-12-28 00:00:00+00:00,0.00574174
2000-12-29 00:00:00+00:00,-0.01487376
2001-01-02 00:00:00+00:00,-0.06836647
