Date,DAX
2001-04-18 00:00:00+00:00,0.04131258
2001-04-19 00:00:00+00:00,0.00129282
2001-04-20 00:00:00+00:00,-0.01000646
2001-04-23 00:00:00+00:00,-0.01092273
2001-04-24 00:00:00+00:00,0.01401022
2001-04-25 00:00:00+00:00,0.00056892
2001-04-26 00:00:00+00:00,0.00186825
2001-04-27 00:00:00+00:00,0.00437814
2001-04-30 00:00:00+00:00,0.01388440
2001-05-02 00:00:00+00:00,-0.00565287
2001-05-03 00:00:00+00:00,-0.02458163
2001-05-04 00:00:00+00:00,0.01124610
2001-05-07 00:00:00+00:00,-0.00332819
2001-05-08 00:00:00+00:00,-0.00228050
2001-05-09 00:00:00+00:00,-0.00767347
2001-05-10 00:00:00+00:00,0.01875617
2001-05-11 00:00:00+00:00,-0.00742894
2001-05-14 00:00:00+00:00,-0.01350472
2001-05-15 00:00:00+00:00,-0.00049480
2001-05-16 00:00:00+00:00,0.02046205
2001-05-17 00:00:00+00:00,-0.00161708
2001-05-18 00:00:00+00:00,0.00388727
2001-05-21 00:00:00+00:00,0.00887383
2001-05-22 00:00:00+00:00,0.00383816
2001-05-23 00:00:00+00:00,-0.00430142
2001-05-24 00:00:00+00:00,0.00592000
2001-05-25 00:00:00+00:00,-0.00827104
2001-05-28 00:00:00+00:00,-0.00176423
2001-05-29 00:00:00+00:00,-0.01518316
2001-05-30 00:00:00+00:00,-0.01215434
2001-05-31 00:00:00+00:00,0.01610239
2001-06-01 00:00:00+00:00,-0.00146282
2001-06-04 00:00:00+00:00,0.00512737
2001-06-05 00:00:00+00:00,0.02938668
2001-06-06 00:00:00+00:00,-0.01787995
2001-06-07 00:00:00+00:00,0.00330219
2001-06-08 00:00:00+00:00,-0.01149887
2001-06-11 00:00:00+00:00,-0.00307344
2001-06-12 00:00:00+00:00,-0.00647826
2001-06-13 00:00:00+00:00,0.00969924
2001-06-14 00:00:00+00:00,-0.01590249
2001-06-15 00:00:00+00:00,-0.01550324
2001-06-18 00:00:00+00:00,-0.01024829
2001-06-19 00:00:00+00:00,0.00951259
2001-06-20 00:00:00+00:00,-0.00967312
2001-06-21 00:00:00+00:00,0.00740990
2001-06-22 00:00:00+00:00,-0.00234035
2001-06-25 00:00:00+00:00,-0.00067024
2001-06-26 00:00:00+00:00,-0.00955734
2001-06-27 00:00:00+00:00,-0.00186220
2001-06-28 00:00:00+00:00,0.02323609
2001-06-29 00:00:00+00:00,0.01359191
2001-07-02 00:00:00+00:00,0.00858545
2001-07-03 00:00:00+00:00,-0.00721524
2001-07-04 00:00:00+00:00,-0.01012576
2001-07-05 00:00:00+00:00,-0.00280482
