Date,CNH-onshore
2016-11-21 00:00:00+00:00,0.00137240
2016-11-22 00:00:00+00:00,0.00116208
2016-11-23 00:00:00+00:00,-0.00049798
2016-11-24 00:00:00+00:00,-0.00900558
2016-11-25 00:00:00+00:00,0.00276415
2016-11-28 00:00:00+00:00,0.00553544
2016-11-29 00:00:00+00:00,0.00268392
2016-11-30 00:00:00+00:00,0.00323298
2016-12-01 00:00:00+00:00,-0.00201437
2016-12-02 00:00:00+00:00,0.00205927
2016-12-05 00:00:00+00:00,-0.00215185
2016-12-06 00:00:00+00:00,0.00205715
2016-12-07 00:00:00+00:00,-0.00539193
2016-12-08 00:00:00+00:00,0.00358214
2016-12-09 00:00:00+00:00,-0.00546751
2016-12-12 00:00:00+00:00,-0.00416384
2016-12-13 00:00:00+00:00,-0.00348016
2016-12-14 00:00:00+00:00,0.00033268
2016-12-15 00:00:00+00:00,-0.00550975
2016-12-16 00:00:00+00:00,-0.00126977
2016-12-19 00:00:00+00:00,-0.00148010
2016-12-20 00:00:00+00:00,-0.00245990
2016-12-21 00:00:00+00:00,0.00488073
2016-12-22 00:00:00+00:00,-0.00057259
2016-12-23 00:00:00+00:00,-0.00259651
2016-12-27 00:00:00+00:00,-0.00294816
2016-12-28 00:00:00+00:00,-0.00211310
2016-12-29 00:00:00+00:00,-0.00022293
2016-12-30 00:00:00+00:00,-0.00001402
2017-01-03 00:00:00+00:00,0.00418339
2017-01-04 00:00:00+00:00,0.00138120
2017-01-05 00:00:00+00:00,0.02213086
2017-01-06 00:00:00+00:00,-0.01218365
2017-01-09 00:00:00+00:00,-0.00692726
2017-01-10 00:00:00+00:00,0.00248462
2017-01-11 00:00:00+00:00,0.00081717
2017-01-12 00:00:00+00:00,-0.00001446
2017-01-13 00:00:00+00:00,0.00275632
2017-01-16 00:00:00+00:00,-0.00036070
2017-01-17 00:00:00+00:00,0.00538500
2017-01-18 00:00:00+00:00,0.00619987
2017-01-19 00:00:00+00:00,-0.00324876
2017-01-20 00:00:00+00:00,0.00039977
2017-01-23 00:00:00+00:00,0.00694890
2017-01-24 00:00:00+00:00,0.00039791
2017-01-25 00:00:00+00:00,-0.00434118
2017-01-26 00:00:00+00:00,0.00260262
2017-01-27 00:00:00+00:00,-0.00620207
2017-01-30 00:00:00+00:00,-0.00339061
2017-01-31 00:00:00+00:00,0.00274854
2017-02-01 00:00:00+00:00,0.00688352
2017-02-02 00:00:00+00:00,0.00507286
2017-02-03 00:00:00+00:00,-0.00111142
2017-02-06 00:00:00+00:00,0.00245547
2017-02-07 00:00:00+00:00,-0.00413010
2017-02-08 00:00:00+00:00,-0.00324806
2017-02-09 00:00:00+00:00,0.00170613
2017-02-10 00:00:00+00:00,-0.00166575
2017-02-13 00:00:00+00:00,-0.00338743
2017-02-14 00:00:00+00:00,0.00564723
2017-02-15 00:00:00+00:00,0.00205081
2017-02-16 00:00:00+00:00,0.00184331
2017-02-17 00:00:00+00:00,-0.00276380
2017-02-20 00:00:00+00:00,-0.00077171
