Date,NIKKEI
2012-04-04 00:00:00+00:00,-0.04627414
2012-04-05 00:00:00+00:00,-0.00764680
2012-04-06 00:00:00+00:00,-0.02147790
2012-04-09 00:00:00+00:00,-0.02687926
2012-04-10 00:00:00+00:00,-0.00262509
2012-04-11 00:00:00+00:00,-0.00840058
2012-04-12 00:00:00+00:00,0.02010335
2012-04-13 00:00:00+00:00,0.02043425
2012-04-16 00:00:00+00:00,-0.03529384
2012-04-17 00:00:00+00:00,-0.00264710
2012-04-18 00:00:00+00:00,0.04386335
2012-04-19 00:00:00+00:00,-0.01242151
2012-04-20 00:00:00+00:00,-0.00885512
2012-04-23 00:00:00+00:00,-0.00262086
2012-04-24 00:00:00+00:00,-0.01362573
2012-04-25 00:00:00+00:00,0.01422690
2012-04-26 00:00:00+00:00,0.00104099
2012-04-27 00:00:00+00:00,-0.01257155
2012-05-01 00:00:00+00:00,-0.03372581
2012-05-02 00:00:00+00:00,0.00642502
2012-05-07 00:00:00+00:00,-0.05390174
2012-05-08 00:00:00+00:00,0.01425589
2012-05-09 00:00:00+00:00,-0.02943414
2012-05-10 00:00:00+00:00,-0.00332314
2012-05-11 00:00:00+00:00,-0.00831662
2012-05-14 00:00:00+00:00,0.00502518
2012-05-15 00:00:00+00:00,-0.01282699
2012-05-16 00:00:00+00:00,-0.03479884
2012-05-17 00:00:00+00:00,0.02227921
2012-05-18 00:00:00+00:00,-0.05593835
2012-05-21 00:00:00+00:00,0.00406353
2012-05-22 00:00:00+00:00,0.02493550
2012-05-23 00:00:00+00:00,-0.03723430
2012-05-24 00:00:00+00:00,-0.00117344
2012-05-25 00:00:00+00:00,0.00467050
2012-05-28 00:00:00+00:00,0.00465563
2012-05-29 00:00:00+00:00,0.01104015
2012-05-30 00:00:00+00:00,-0.00809841
2012-05-31 00:00:00+00:00,-0.01916967
2012-06-01 00:00:00+00:00,-0.02521101
2012-06-04 00:00:00+00:00,-0.03147892
2012-06-05 00:00:00+00:00,0.02834112
2012-06-06 00:00:00+00:00,0.02853096
