Date,FTSE250
2000-09-08 00:00:00+00:00,-0.00342808
2000-09-11 00:00:00+00:00,-0.00994491
2000-09-12 00:00:00+00:00,0.00301984
2000-09-13 00:00:00+00:00,0.00028674
2000-09-14 00:00:00+00:00,0.00745306
2000-09-15 00:00:00+00:00,-0.00270309
2000-09-18 00:00:00+00:00,-0.00613409
2000-09-19 00:00:00+00:00,-0.02827616
2000-09-20 00:00:00+00:00,-0.00713246
2000-09-21 00:00:00+00:00,-0.02307580
2000-09-22 00:00:00+00:00,-0.01758274
2000-09-25 00:00:00+00:00,0.02877162
2000-09-26 00:00:00+00:00,-0.01366642
2000-09-27 00:00:00+00:00,-0.00103550
2000-09-28 00:00:00+00:00,-0.00843570
2000-09-29 00:00:00+00:00,0.00594530
2000-10-02 00:00:00+00:00,0.00177830
2000-10-03 00:00:00+00:00,-0.00074030
2000-10-04 00:00:00+00:00,-0.00962678
2000-10-05 00:00:00+00:00,0.00528352
2000-10-06 00:00:00+00:00,-0.00423037
2000-10-09 00:00:00+00:00,-0.03078983
2000-10-10 00:00:00+00:00,0.00755287
2000-10-11 00:00:00+00:00,-0.04093303
2000-10-12 00:00:00+00:00,-0.00499232
2000-10-13 00:00:00+00:00,-0.01331999
2000-10-16 00:00:00+00:00,0.02015191
2000-10-17 00:00:00+00:00,-0.00629269
2000-10-18 00:00:00+00:00,-0.02340262
2000-10-19 00:00:00+00:00,0.01931765
2000-10-20 00:00:00+00:00,0.01913285
2000-10-23 00:00:00+00:00,0.00412592
2000-10-24 00:00:00+00:00,0.01372579
2000-10-25 00:00:00+00:00,-0.00598304
2000-10-26 00:00:00+00:00,0.00174706
2000-10-27 00:00:00+00:00,0.00576806
2000-10-30 00:00:00+00:00,0.00544877
2000-10-31 00:00:00+00:00,0.01086792
2000-11-01 00:00:00+00:00,0.01531302
2000-11-02 00:00:00+00:00,0.00953516
2000-11-03 00:00:00+00:00,0.01030546
2000-11-06 00:00:00+00:00,0.02286810
2000-11-07 00:00:00+00:00,-0.00590810
2000-11-08 00:00:00+00:00,0.00204828
2000-11-09 00:00:00+00:00,-0.00789358
2000-11-10 00:00:00+00:00,-0.01570066
2000-11-13 00:00:00+00:00,-0.03342206
2000-11-14 00:00:00+00:00,0.01819549
2000-11-15 00:00:00+00:00,0.00923994
2000-11-16 00:00:00+00:00,-0.00089008
2000-11-17 00:00:00+00:00,-0.00326506
2000-11-20 00:00:00+00:00,-0.01397146
2000-11-21 00:00:00+00:00,-0.00718455
2000-11-22 00:00:00+00:00,-0.02643834
2000-11-23 00:00:00+00:00,-0.00411021
2000-11-24 00:00:00+00:00,0.00556742
2000-11-27 00:00:00+00:00,0.00798540
2000-11-28 00:00:00+00:00,-0.02212121
2000-11-29 00:00:00+00:00,-0.01287159
2000-11-30 00:00:00+00:00,-0.02050570
2000-12-01 00:00:00+00:00,0.01580751
2000-12-04 00:00:00+00:00,-0.00857606
2000-12-05 00:00:00+00:00,0.02062628
2000-12-06 00:00:00+00:00,0.01013825
2000-12-07 00:00:00+00:00,-0.01879872
2000-12-08 00:00:00+00:00,0.01249807
2000-12-11 00:00:00+00:00,0.00935368
2000-12-12 00:00:00+00:00,0.00992063
2000-12-13 00:00:00+00:00,-0.00392927
2000-12-14 00:00:00+00:00,-0.00622060
2000-12-15 00:00:00+00:00,-0.01778626
2000-12-18 00:00:00+00:00,0.01531048
2000-12-19 00:00:00+00:00,0.00367422
2000-12-20 00:00:00+00:00,-0.01482727
2000-12-21 00:00:00+00:00,-0.00554273
2000-12-22 00:00:00+00:00,0.00988417
2000-12-27 00:00:00+00:00,0.00875711
2000-12-28 00:00:00+00:00,0.00841493
2000-12-29 00:00:00+00:00,0.00838159
2001-01-02 00:00:00+00:00,-0.00440061
2001-01-03 00:00:00+00:00,-0.02007605
2001-01-04 00:00:00+00:00,0.03533569
2001-01-05 00:00:00+00:00,0.00271739
2001-01-08 00:00:00+00:00,-0.00226142
2001-01-09 00:00:00+00:00,0.00301841
2001-01-10 00:00:00+00:00,0.00075301
2001-01-11 00:00:00+00:00,-0.01023788
2001-01-12 00:00:00+00:00,0.00953678
2001-01-15 00:00:00+00:00,0.00150648
2001-01-16 00:00:00+00:00,-0.00662551
2001-01-17 00:00:00+00:00,0.02100015
2001-01-18 00:00:00+00:00,0.00478469
