Date,SGX
2001-05-23 00:00:00+00:00,0.00596303
2001-05-24 00:00:00+00:00,0.01426873
2001-05-25 00:00:00+00:00,-0.01062574
2001-05-28 00:00:00+00:00,-0.00949555
2001-05-29 00:00:00+00:00,-0.00238521
2001-05-30 00:00:00+00:00,-0.03223881
2001-05-31 00:00:00+00:00,-0.00971769
2001-06-01 00:00:00+00:00,-0.00121951
2001-06-04 00:00:00+00:00,0.03538743
2001-06-05 00:00:00+00:00,0.00599520
2001-06-06 00:00:00+00:00,0.01554094
2001-06-07 00:00:00+00:00,-0.00237248
2001-06-08 00:00:00+00:00,0.03804994
2001-06-11 00:00:00+00:00,-0.02217036
2001-06-12 00:00:00+00:00,-0.02005900
2001-06-13 00:00:00+00:00,0.01668653
2001-06-14 00:00:00+00:00,-0.01536643
2001-06-15 00:00:00+00:00,0.01548541
2001-06-18 00:00:00+00:00,0.00354610
2001-06-19 00:00:00+00:00,0.00235988
2001-06-20 00:00:00+00:00,-0.02710666
2001-06-21 00:00:00+00:00,0.01314217
2001-06-22 00:00:00+00:00,0.02373887
2001-06-25 00:00:00+00:00,0.00117302
2001-06-26 00:00:00+00:00,-0.00117233
2001-06-27 00:00:00+00:00,-0.00586510
2001-06-28 00:00:00+00:00,-0.00117647
2001-06-29 00:00:00+00:00,0.02589759
2001-07-02 00:00:00+00:00,-0.01395421
2001-07-03 00:00:00+00:00,-0.00468110
2001-07-04 00:00:00+00:00,-0.02463343
2001-07-05 00:00:00+00:00,0.00000000
2001-07-06 00:00:00+00:00,-0.03562945
2001-07-09 00:00:00+00:00,-0.00423216
2001-07-10 00:00:00+00:00,0.02914390
2001-07-11 00:00:00+00:00,-0.02752843
2001-07-12 00:00:00+00:00,0.02427184
2001-07-13 00:00:00+00:00,-0.01318945
2001-07-16 00:00:00+00:00,-0.00724200
2001-07-17 00:00:00+00:00,-0.02180497
2001-07-18 00:00:00+00:00,-0.01837110
2001-07-19 00:00:00+00:00,0.00000000
2001-07-20 00:00:00+00:00,-0.00123609
2001-07-23 00:00:00+00:00,0.00494743
2001-07-24 00:00:00+00:00,0.01727329
2001-07-25 00:00:00+00:00,0.00000000
2001-07-26 00:00:00+00:00,-0.00366972
2001-07-27 00:00:00+00:00,0.00000000
2001-07-30 00:00:00+00:00,0.01593137
2001-07-31 00:00:00+00:00,0.01458047
2001-08-01 00:00:00+00:00,0.01569101
2001-08-02 00:00:00+00:00,0.00119760
2001-08-03 00:00:00+00:00,-0.02393776
2001-08-06 00:00:00+00:00,0.00484555
2001-08-07 00:00:00+00:00,-0.00483384
2001-08-08 00:00:00+00:00,-0.00485732
2001-08-10 00:00:00+00:00,-0.01339014
2001-08-13 00:00:00+00:00,-0.01102941
2001-08-14 00:00:00+00:00,0.02711029
2001-08-15 00:00:00+00:00,-0.01094225
