Date,COCOA_LDN
2001-03-12 00:00:00+00:00,-0.04545426
2001-03-13 00:00:00+00:00,-0.00264318
2001-03-14 00:00:00+00:00,-0.03829295
2001-03-15 00:00:00+00:00,-0.05115591
2001-03-16 00:00:00+00:00,0.02027165
2001-03-19 00:00:00+00:00,-0.00262591
2001-03-20 00:00:00+00:00,-0.03266144
2001-03-21 00:00:00+00:00,-0.07776619
2001-03-22 00:00:00+00:00,0.14250965
2001-03-23 00:00:00+00:00,0.04669541
2001-03-26 00:00:00+00:00,0.04683044
2001-03-27 00:00:00+00:00,-0.00721293
2001-03-28 00:00:00+00:00,-0.01786471
2001-03-29 00:00:00+00:00,0.01173560
2001-03-30 00:00:00+00:00,0.06478091
2001-04-02 00:00:00+00:00,-0.01841873
2001-04-03 00:00:00+00:00,-0.03129090
2001-04-04 00:00:00+00:00,-0.04464589
2001-04-05 00:00:00+00:00,0.00104986
2001-04-06 00:00:00+00:00,0.01304762
2001-04-09 00:00:00+00:00,-0.06079065
2001-04-10 00:00:00+00:00,-0.00873728
2001-04-11 00:00:00+00:00,0.00847129
2001-04-12 00:00:00+00:00,0.01212053
2001-04-17 00:00:00+00:00,-0.06844361
2001-04-18 00:00:00+00:00,0.01626901
2001-04-19 00:00:00+00:00,-0.05528256
2001-04-20 00:00:00+00:00,0.04624596
2001-04-23 00:00:00+00:00,0.00363627
2001-04-24 00:00:00+00:00,-0.00391192
2001-04-25 00:00:00+00:00,0.01495053
2001-04-26 00:00:00+00:00,0.02232791
2001-04-27 00:00:00+00:00,-0.01619281
2001-04-30 00:00:00+00:00,-0.03999576
2001-05-01 00:00:00+00:00,-0.01412253
2001-05-02 00:00:00+00:00,-0.03343631
2001-05-03 00:00:00+00:00,0.03110542
2001-05-04 00:00:00+00:00,-0.01809122
2001-05-08 00:00:00+00:00,0.09947073
2001-05-09 00:00:00+00:00,-0.00383612
2001-05-10 00:00:00+00:00,0.02948939
2001-05-11 00:00:00+00:00,0.01079526
2001-05-14 00:00:00+00:00,-0.01584020
2001-05-15 00:00:00+00:00,0.03514102
2001-05-16 00:00:00+00:00,-0.02124839
2001-05-17 00:00:00+00:00,-0.05291835
2001-05-18 00:00:00+00:00,0.00602144
2001-05-21 00:00:00+00:00,-0.01111480
2001-05-22 00:00:00+00:00,-0.03594039
2001-05-23 00:00:00+00:00,0.03240214
2001-05-24 00:00:00+00:00,-0.02476962
2001-05-25 00:00:00+00:00,-0.07343036
2001-05-29 00:00:00+00:00,-0.02564940
2001-05-30 00:00:00+00:00,-0.10233948
2001-05-31 00:00:00+00:00,-0.00013973
2001-06-01 00:00:00+00:00,-0.01642461
2001-06-04 00:00:00+00:00,-0.02063481
2001-06-05 00:00:00+00:00,0.02198755
2001-06-06 00:00:00+00:00,0.02577856
2001-06-07 00:00:00+00:00,-0.06348431
2001-06-08 00:00:00+00:00,0.01935687
2001-06-11 00:00:00+00:00,0.03429278
2001-06-12 00:00:00+00:00,-0.03943600
2001-06-13 00:00:00+00:00,0.03300956
2001-06-14 00:00:00+00:00,-0.02875039
2001-06-15 00:00:00+00:00,-0.00152065
2001-06-18 00:00:00+00:00,0.00263005
2001-06-19 00:00:00+00:00,-0.04723074
2001-06-20 00:00:00+00:00,-0.06661740
2001-06-21 00:00:00+00:00,-0.01327839
2001-06-22 00:00:00+00:00,0.04684912
2001-06-25 00:00:00+00:00,-0.05179067
2001-06-26 00:00:00+00:00,0.03962484
2001-06-27 00:00:00+00:00,0.03178793
2001-06-28 00:00:00+00:00,0.02699919
2001-06-29 00:00:00+00:00,0.04767704
2001-07-02 00:00:00+00:00,-0.00704031
2001-07-03 00:00:00+00:00,-0.01117793
2001-07-04 00:00:00+00:00,-0.02239657
2001-07-05 00:00:00+00:00,0.00126321
2001-07-06 00:00:00+00:00,0.02236004
2001-07-09 00:00:00+00:00,-0.04882262
2001-07-10 00:00:00+00:00,-0.05127920
2001-07-11 00:00:00+00:00,0.01004669
2001-07-12 00:00:00+00:00,-0.03900226
2001-07-13 00:00:00+00:00,0.03211390
2001-07-16 00:00:00+00:00,-0.01741158
2001-07-17 00:00:00+00:00,0.02594300
2001-07-18 00:00:00+00:00,-0.02693199
2001-07-19 00:00:00+00:00,0.06137528
2001-07-20 00:00:00+00:00,0.01235853
2001-07-23 00:00:00+00:00,-0.02085879
2001-07-24 00:00:00+00:00,-0.00850851
2001-07-25 00:00:00+00:00,-0.00573542
2001-07-26 00:00:00+00:00,-0.00575940
2001-07-27 00:00:00+00:00,-0.03676077
2001-07-30 00:00:00+00:00,0.01705024
2001-07-31 00:00:00+00:00,0.05383546
2001-08-01 00:00:00+00:00,-0.03471902
2001-08-02 00:00:00+00:00,0.00267695
2001-08-03 00:00:00+00:00,0.00411793
2001-08-06 00:00:00+00:00,0.08974714
2001-08-07 00:00:00+00:00,0.03207454
2001-08-08 00:00:00+00:00,-0.00542854
2001-08-09 00:00:00+00:00,0.04097798
2001-08-10 00:00:00+00:00,-0.02611008
2001-08-13 00:00:00+00:00,0.00249683
2001-08-14 00:00:00+00:00,-0.00407720
2001-08-15 00:00:00+00:00,0.01960201
2001-08-16 00:00:00+00:00,0.00508080
2001-08-17 00:00:00+00:00,-0.02484052
2001-08-20 00:00:00+00:00,-0.01723951
