Date,VNKI
2021-11-16 00:00:00+00:00,-0.02110818
2021-11-17 00:00:00+00:00,-0.00269542
2021-11-18 00:00:00+00:00,0.01081081
2021-11-19 00:00:00+00:00,-0.00802139
2021-11-22 00:00:00+00:00,0.15902965
2021-11-24 00:00:00+00:00,-0.00930233
2021-11-25 00:00:00+00:00,0.00696056
2021-11-26 00:00:00+00:00,0.09195402
2021-11-29 00:00:00+00:00,0.15720524
2021-11-30 00:00:00+00:00,-0.08067941
2021-12-01 00:00:00+00:00,0.09051724
2021-12-02 00:00:00+00:00,0.05496829
2021-12-03 00:00:00+00:00,0.02244898
2021-12-06 00:00:00+00:00,-0.16089613
2021-12-07 00:00:00+00:00,0.08653846
2021-12-09 00:00:00+00:00,-0.08185841
2021-12-13 00:00:00+00:00,0.03539823
2021-12-14 00:00:00+00:00,0.06194690
2021-12-15 00:00:00+00:00,-0.04791667
2021-12-16 00:00:00+00:00,-0.02547771
2021-12-17 00:00:00+00:00,0.03821656
2021-12-20 00:00:00+00:00,0.05485232
2021-12-21 00:00:00+00:00,-0.01224490
2021-12-23 00:00:00+00:00,-0.01836735
2021-12-24 00:00:00+00:00,-0.02244898
2021-12-27 00:00:00+00:00,-0.01836735
2021-12-28 00:00:00+00:00,-0.00816327
2021-12-29 00:00:00+00:00,0.00612245
2021-12-30 00:00:00+00:00,-0.08367347
2022-01-04 00:00:00+00:00,-0.01781737
2022-01-05 00:00:00+00:00,-0.04454343
2022-01-06 00:00:00+00:00,0.04008909
2022-01-07 00:00:00+00:00,-0.01113586
2022-01-11 00:00:00+00:00,0.06458797
2022-01-12 00:00:00+00:00,-0.10173160
2022-01-13 00:00:00+00:00,-0.01801802
2022-01-14 00:00:00+00:00,0.06802721
2022-01-17 00:00:00+00:00,-0.01108647
2022-01-18 00:00:00+00:00,-0.04026846
2022-01-19 00:00:00+00:00,0.21300448
2022-01-20 00:00:00+00:00,-0.01221996
2022-01-21 00:00:00+00:00,0.07430998
2022-01-24 00:00:00+00:00,-0.00813008
2022-01-25 00:00:00+00:00,0.07959184
2022-01-26 00:00:00+00:00,-0.02156863
2022-01-27 00:00:00+00:00,0.10000000
2022-01-28 00:00:00+00:00,-0.07692308
2022-02-07 00:00:00+00:00,-0.04615385
2022-02-08 00:00:00+00:00,-0.01153846
2022-02-09 00:00:00+00:00,-0.02884615
2022-02-10 00:00:00+00:00,-0.02692308
2022-02-14 00:00:00+00:00,0.07884615
2022-02-15 00:00:00+00:00,-0.04807692
2022-02-16 00:00:00+00:00,-0.01020408
2022-02-17 00:00:00+00:00,-0.02244898
2022-02-18 00:00:00+00:00,0.02040816
2022-02-21 00:00:00+00:00,0.06185567
2022-02-22 00:00:00+00:00,-0.01400000
2022-02-24 00:00:00+00:00,-0.02400000
2022-02-25 00:00:00+00:00,-0.01037344
2022-02-28 00:00:00+00:00,0.00414938
2022-03-01 00:00:00+00:00,-0.05601660
2022-03-02 00:00:00+00:00,0.02282158
2022-03-03 00:00:00+00:00,0.01452282
2022-03-04 00:00:00+00:00,0.02697095
2022-03-07 00:00:00+00:00,0.06016598
2022-03-08 00:00:00+00:00,0.15767635
2022-03-09 00:00:00+00:00,-0.07984791
2022-03-10 00:00:00+00:00,-0.00600000
2022-03-11 00:00:00+00:00,-0.01176471
2022-03-14 00:00:00+00:00,-0.01800000
2022-03-15 00:00:00+00:00,0.00600000
2022-03-16 00:00:00+00:00,-0.04600000
2022-03-17 00:00:00+00:00,-0.03469388
2022-03-18 00:00:00+00:00,0.00612245
2022-03-22 00:00:00+00:00,-0.05306122
2022-03-23 00:00:00+00:00,-0.01632653
2022-03-24 00:00:00+00:00,0.00816327
2022-03-25 00:00:00+00:00,-0.00204082
2022-03-28 00:00:00+00:00,0.01224490
2022-03-29 00:00:00+00:00,-0.01632653
2022-03-30 00:00:00+00:00,-0.01020408
2022-03-31 00:00:00+00:00,0.00000000
2022-04-01 00:00:00+00:00,-0.00408163
2022-04-04 00:00:00+00:00,-0.04489796
2022-04-05 00:00:00+00:00,-0.00833333
2022-04-06 00:00:00+00:00,0.00630252
