Date,BITCOIN
2018-12-21 00:00:00+00:00,-0.08518519
2018-12-23 00:00:00+00:00,0.02346806
2018-12-24 00:00:00+00:00,0.06242038
2018-12-26 00:00:00+00:00,-0.19029851
2018-12-27 00:00:00+00:00,-0.09164420
2018-12-28 00:00:00+00:00,0.16925247
2018-12-30 00:00:00+00:00,-0.03780965
2018-12-31 00:00:00+00:00,-0.07692308
2019-01-01 00:00:00+00:00,0.06796117
2019-01-02 00:00:00+00:00,0.02635229
2019-01-03 00:00:00+00:00,-0.03038309
2019-01-04 00:00:00+00:00,0.01335113
2019-01-06 00:00:00+00:00,0.13385827
2019-01-07 00:00:00+00:00,-0.01494396
2019-01-08 00:00:00+00:00,-0.01378446
2019-01-09 00:00:00+00:00,0.01513241
2019-01-10 00:00:00+00:00,-0.19924812
2019-01-11 00:00:00+00:00,0.02785515
2019-01-13 00:00:00+00:00,-0.05170068
2019-01-14 00:00:00+00:00,0.05308465
2019-01-15 00:00:00+00:00,-0.06181319
2019-01-16 00:00:00+00:00,0.02272727
2019-01-17 00:00:00+00:00,0.02672293
2019-01-18 00:00:00+00:00,-0.02766088
2019-01-20 00:00:00+00:00,-0.04207574
2019-01-21 00:00:00+00:00,0.00000000
2019-01-22 00:00:00+00:00,0.04415954
2019-01-23 00:00:00+00:00,-0.03370787
2019-01-24 00:00:00+00:00,-0.00142653
2019-01-25 00:00:00+00:00,-0.00569801
2019-01-28 00:00:00+00:00,-0.07593123
2019-01-29 00:00:00+00:00,-0.00443787
2019-01-30 00:00:00+00:00,0.02980626
2019-01-31 00:00:00+00:00,-0.00881057
2019-02-01 00:00:00+00:00,0.01186944
2019-02-03 00:00:00+00:00,-0.01169591
2019-02-04 00:00:00+00:00,0.00000000
2019-02-05 00:00:00+00:00,0.00443787
2019-02-06 00:00:00+00:00,-0.03829161
2019-02-07 00:00:00+00:00,-0.00149925
2019-02-08 00:00:00+00:00,0.16191904
2019-02-10 00:00:00+00:00,0.01390821
2019-02-11 00:00:00+00:00,-0.02197802
2019-02-12 00:00:00+00:00,-0.00696379
2019-02-13 00:00:00+00:00,-0.00140252
2019-02-14 00:00:00+00:00,-0.01120448
2019-02-15 00:00:00+00:00,0.00418894
2019-02-17 00:00:00+00:00,0.02957746
2019-02-18 00:00:00+00:00,0.14758621
2019-02-19 00:00:00+00:00,0.01679587
2019-02-20 00:00:00+00:00,0.01792574
2019-02-21 00:00:00+00:00,-0.01269036
2019-02-22 00:00:00+00:00,0.01156812
2019-02-24 00:00:00+00:00,-0.00381194
2019-02-25 00:00:00+00:00,-0.02933673
2019-02-26 00:00:00+00:00,-0.05650460
2019-02-27 00:00:00+00:00,-0.01726428
2019-02-28 00:00:00+00:00,0.03513514
2019-03-01 00:00:00+00:00,-0.00130548
2019-03-04 00:00:00+00:00,-0.04705882
2019-03-05 00:00:00+00:00,0.03794038
2019-03-06 00:00:00+00:00,0.00391645
2019-03-07 00:00:00+00:00,0.00130039
2019-03-08 00:00:00+00:00,0.05324675
2019-03-10 00:00:00+00:00,0.00000000
2019-03-11 00:00:00+00:00,-0.01285347
2019-03-12 00:00:00+00:00,-0.00520833
2019-03-13 00:00:00+00:00,-0.00778210
2019-03-14 00:00:00+00:00,0.00391134
2019-03-15 00:00:00+00:00,0.02860858
2019-03-17 00:00:00+00:00,0.03717949
2019-03-18 00:00:00+00:00,-0.00505051
2019-03-19 00:00:00+00:00,0.01508052
2019-03-20 00:00:00+00:00,0.02252816
2019-03-21 00:00:00+00:00,-0.03960396
2019-03-22 00:00:00+00:00,0.01134931
2019-03-25 00:00:00+00:00,-0.03015075
2019-03-26 00:00:00+00:00,0.01032258
2019-03-27 00:00:00+00:00,0.05249680
2019-03-28 00:00:00+00:00,-0.00249377
2019-03-29 00:00:00+00:00,0.03875000
2019-03-31 00:00:00+00:00,0.00733496
2019-04-01 00:00:00+00:00,0.01831502
2019-04-02 00:00:00+00:00,0.31801693
2019-04-03 00:00:00+00:00,0.11770833
2019-04-04 00:00:00+00:00,-0.08366142
2019-04-05 00:00:00+00:00,0.06347555
2019-04-07 00:00:00+00:00,0.04581673
2019-04-08 00:00:00+00:00,0.04666667
2019-04-09 00:00:00+00:00,-0.01442308
2019-04-10 00:00:00+00:00,0.02684564
2019-04-11 00:00:00+00:00,-0.08979206
2019-04-12 00:00:00+00:00,0.00989120
2019-04-14 00:00:00+00:00,0.03838583
2019-04-15 00:00:00+00:00,-0.04937076
