Date,R1000
2016-08-29 00:00:00+00:00,0.00770490
2016-08-30 00:00:00+00:00,-0.00019115
2016-08-31 00:00:00+00:00,-0.00353695
2016-09-01 00:00:00+00:00,-0.00076746
2016-09-02 00:00:00+00:00,0.03705837
2016-09-06 00:00:00+00:00,0.00568792
2016-09-07 00:00:00+00:00,0.00076154
2016-09-08 00:00:00+00:00,0.00190313
2016-09-09 00:00:00+00:00,-0.04971956
2016-09-12 00:00:00+00:00,0.01004094
2016-09-13 00:00:00+00:00,-0.01756587
2016-09-14 00:00:00+00:00,-0.00373318
2016-09-15 00:00:00+00:00,0.00956513
2016-09-16 00:00:00+00:00,-0.00517679
2016-09-19 00:00:00+00:00,0.00176730
2016-09-20 00:00:00+00:00,-0.00088209
2016-09-21 00:00:00+00:00,0.01177163
2016-09-22 00:00:00+00:00,0.00630211
2016-09-23 00:00:00+00:00,-0.00578090
2016-09-26 00:00:00+00:00,-0.00881868
2016-09-27 00:00:00+00:00,0.00439969
2016-09-28 00:00:00+00:00,0.00924754
2016-09-29 00:00:00+00:00,-0.00993441
2016-09-30 00:00:00+00:00,0.01139795
2016-10-03 00:00:00+00:00,-0.00414178
2016-10-04 00:00:00+00:00,-0.00531966
2016-10-05 00:00:00+00:00,0.00505640
2016-10-06 00:00:00+00:00,-0.00019350
2016-10-07 00:00:00+00:00,-0.00251597
2016-10-10 00:00:00+00:00,0.00543267
2016-10-11 00:00:00+00:00,-0.01263991
2016-10-12 00:00:00+00:00,0.00048862
2016-10-13 00:00:00+00:00,-0.00332096
2016-10-14 00:00:00+00:00,0.00000000
2016-10-17 00:00:00+00:00,-0.00392003
2016-10-18 00:00:00+00:00,0.00619835
2016-10-19 00:00:00+00:00,0.00361787
2016-10-20 00:00:00+00:00,-0.00097428
2016-10-21 00:00:00+00:00,-0.00419349
2016-10-24 00:00:00+00:00,0.00215454
2016-10-25 00:00:00+00:00,-0.00166129
2016-10-26 00:00:00+00:00,0.00058731
2016-10-27 00:00:00+00:00,-0.00225005
2016-10-28 00:00:00+00:00,-0.00294146
2016-10-31 00:00:00+00:00,0.00344183
2016-11-01 00:00:00+00:00,-0.00793806
2016-11-02 00:00:00+00:00,-0.00740887
2016-11-03 00:00:00+00:00,-0.00199045
2016-11-04 00:00:00+00:00,-0.00089749
2016-11-07 00:00:00+00:00,0.02115980
2016-11-08 00:00:00+00:00,0.00371420
2016-11-09 00:00:00+00:00,0.01548349
2016-11-10 00:00:00+00:00,0.00891830
2016-11-11 00:00:00+00:00,-0.00209106
2016-11-14 00:00:00+00:00,0.00752453
2016-11-15 00:00:00+00:00,0.00718472
2016-11-16 00:00:00+00:00,-0.00525624
2016-11-17 00:00:00+00:00,0.00254765
2016-11-18 00:00:00+00:00,-0.00018824
2016-11-21 00:00:00+00:00,0.00658948
2016-11-22 00:00:00+00:00,0.00243150
2016-11-23 00:00:00+00:00,0.00167926
2016-11-25 00:00:00+00:00,0.00419111
2016-11-28 00:00:00+00:00,-0.00584307
2016-11-29 00:00:00+00:00,-0.00046646
2016-11-30 00:00:00+00:00,0.00457346
2016-12-01 00:00:00+00:00,0.00120784
2016-12-02 00:00:00+00:00,0.00064959
2016-12-05 00:00:00+00:00,0.00574979
2016-12-06 00:00:00+00:00,0.00544030
2016-12-07 00:00:00+00:00,0.01481693
2016-12-08 00:00:00+00:00,0.00415688
2016-12-09 00:00:00+00:00,0.06102568
2016-12-12 00:00:00+00:00,0.00736152
2016-12-13 00:00:00+00:00,0.00196569
2016-12-14 00:00:00+00:00,-0.00993644
2016-12-15 00:00:00+00:00,0.00343580
2016-12-16 00:00:00+00:00,-0.00279330
2016-12-19 00:00:00+00:00,0.00189753
2016-12-20 00:00:00+00:00,0.00360750
2016-12-21 00:00:00+00:00,-0.00134795
2016-12-22 00:00:00+00:00,-0.00233960
2016-12-23 00:00:00+00:00,0.00162352
2016-12-27 00:00:00+00:00,0.00162089
2016-12-28 00:00:00+00:00,-0.00917019
2016-12-29 00:00:00+00:00,0.00018147
2016-12-30 00:00:00+00:00,0.00136079
2017-01-03 00:00:00+00:00,0.00036238
2017-01-04 00:00:00+00:00,0.01041478
2017-01-05 00:00:00+00:00,-0.00501927
2017-01-06 00:00:00+00:00,0.00234213
2017-01-09 00:00:00+00:00,-0.00692010
2017-01-10 00:00:00+00:00,0.00036199
2017-01-11 00:00:00+00:00,0.00280441
2017-01-12 00:00:00+00:00,-0.00189445
2017-01-13 00:00:00+00:00,0.00126537
2017-01-17 00:00:00+00:00,-0.00731179
2017-01-18 00:00:00+00:00,0.00236428
2017-01-19 00:00:00+00:00,-0.00235870
2017-01-20 00:00:00+00:00,0.00272802
2017-01-23 00:00:00+00:00,-0.00344609
2017-01-24 00:00:00+00:00,0.00937301
2017-01-25 00:00:00+00:00,0.00766318
2017-01-26 00:00:00+00:00,-0.00089469
2017-01-27 00:00:00+00:00,-0.00349243
2017-01-30 00:00:00+00:00,-0.00656003
2017-01-31 00:00:00+00:00,0.00027137
2017-02-01 00:00:00+00:00,-0.00280340
2017-02-02 00:00:00+00:00,0.00235785
2017-02-03 00:00:00+00:00,0.00977110
2017-02-06 00:00:00+00:00,-0.00349431
2017-02-07 00:00:00+00:00,-0.00332674
2017-02-08 00:00:00+00:00,0.00081191
2017-02-09 00:00:00+00:00,0.00748152
2017-02-10 00:00:00+00:00,0.00384719
2017-02-13 00:00:00+00:00,0.00597148
2017-02-14 00:00:00+00:00,0.00407549
2017-02-15 00:00:00+00:00,0.00485308
2017-02-16 00:00:00+00:00,-0.00096593
2017-02-17 00:00:00+00:00,0.00026369
2017-02-21 00:00:00+00:00,0.00782074
2017-02-22 00:00:00+00:00,-0.00191821
2017-02-23 00:00:00+00:00,0.00034944
2017-02-24 00:00:00+00:00,-0.00061130
2017-02-27 00:00:00+00:00,0.00288361
2017-02-28 00:00:00+00:00,-0.00200401
2017-03-01 00:00:00+00:00,0.01641348
2017-03-02 00:00:00+00:00,-0.00996392
2017-03-03 00:00:00+00:00,-0.00026028
2017-03-06 00:00:00+00:00,-0.00208279
2017-03-07 00:00:00+00:00,-0.00525785
2017-03-08 00:00:00+00:00,-0.00498295
2017-03-09 00:00:00+00:00,0.00061501
2017-03-10 00:00:00+00:00,0.00272192
2017-03-13 00:00:00+00:00,0.01812609
2017-03-15 00:00:00+00:00,0.00852298
2017-03-16 00:00:00+00:00,-0.00348493
2017-03-17 00:00:00+00:00,-0.00174856
2017-03-20 00:00:00+00:00,-0.00297775
2017-03-21 00:00:00+00:00,-0.01589951
2017-03-22 00:00:00+00:00,0.00107114
2017-03-23 00:00:00+00:00,-0.00008917
2017-03-24 00:00:00+00:00,-0.00115927
2017-03-27 00:00:00+00:00,-0.00160700
2017-03-28 00:00:00+00:00,0.00795851
2017-03-29 00:00:00+00:00,0.00044358
2017-03-30 00:00:00+00:00,0.00514321
2017-03-31 00:00:00+00:00,-0.00282311
2017-04-03 00:00:00+00:00,-0.00353888
2017-04-04 00:00:00+00:00,0.00097665
2017-04-05 00:00:00+00:00,-0.00204009
2017-04-06 00:00:00+00:00,0.00195538
2017-04-07 00:00:00+00:00,-0.00070966
2017-04-10 00:00:00+00:00,0.00053262
2017-04-11 00:00:00+00:00,-0.00177447
2017-04-12 00:00:00+00:00,-0.00417741
2017-04-13 00:00:00+00:00,-0.00865762
2017-04-17 00:00:00+00:00,0.00540200
2017-04-18 00:00:00+00:00,-0.00062685
2017-04-19 00:00:00+00:00,-0.00367384
2017-04-20 00:00:00+00:00,0.00872381
2017-04-21 00:00:00+00:00,-0.00570613
