Date,SMI-MID
2006-09-25 00:00:00+00:00,-0.00743739
2006-09-26 00:00:00+00:00,0.01726363
2006-09-27 00:00:00+00:00,0.00701895
2006-09-28 00:00:00+00:00,0.00483867
2006-09-29 00:00:00+00:00,0.00984515
2006-10-02 00:00:00+00:00,-0.00233023
2006-10-03 00:00:00+00:00,-0.01447654
2006-10-04 00:00:00+00:00,0.00700333
2006-10-05 00:00:00+00:00,0.01271120
2006-10-06 00:00:00+00:00,-0.00161632
2006-10-09 00:00:00+00:00,0.00194683
2006-10-10 00:00:00+00:00,0.01831274
2006-10-11 00:00:00+00:00,0.00192217
2006-10-12 00:00:00+00:00,0.01178592
2006-10-13 00:00:00+00:00,0.00540849
2006-10-16 00:00:00+00:00,0.00469405
2006-10-17 00:00:00+00:00,-0.01064716
2006-10-18 00:00:00+00:00,0.01101026
2006-10-19 00:00:00+00:00,0.02974965
2006-10-20 00:00:00+00:00,0.00804192
2006-10-23 00:00:00+00:00,-0.00361170
2006-10-24 00:00:00+00:00,-0.00224736
2006-10-25 00:00:00+00:00,0.01899704
2006-10-26 00:00:00+00:00,0.00523696
2006-10-27 00:00:00+00:00,0.00793139
2006-10-30 00:00:00+00:00,-0.00828446
2006-10-31 00:00:00+00:00,0.01199516
2006-11-01 00:00:00+00:00,0.00922962
2006-11-02 00:00:00+00:00,-0.00755931
2006-11-03 00:00:00+00:00,0.01862517
2006-11-06 00:00:00+00:00,0.01579727
2006-11-07 00:00:00+00:00,0.00179107
2006-11-08 00:00:00+00:00,-0.00019159
2006-11-09 00:00:00+00:00,0.01306354
2006-11-10 00:00:00+00:00,0.00374304
2006-11-13 00:00:00+00:00,-0.00149979
2006-11-14 00:00:00+00:00,0.01028713
2006-11-15 00:00:00+00:00,0.01805036
2006-11-16 00:00:00+00:00,0.00755653
2006-11-17 00:00:00+00:00,-0.00726389
2006-11-20 00:00:00+00:00,0.00626230
2006-11-21 00:00:00+00:00,0.00238466
2006-11-22 00:00:00+00:00,0.00752329
2006-11-23 00:00:00+00:00,-0.00402995
2006-11-24 00:00:00+00:00,-0.02135566
2006-11-27 00:00:00+00:00,-0.02222348
2006-11-28 00:00:00+00:00,-0.01722703
2006-11-29 00:00:00+00:00,0.04012806
2006-11-30 00:00:00+00:00,-0.00148582
2006-12-01 00:00:00+00:00,-0.00148548
2006-12-04 00:00:00+00:00,0.01668408
2006-12-05 00:00:00+00:00,0.00560408
2006-12-06 00:00:00+00:00,0.01455647
2006-12-07 00:00:00+00:00,0.02209230
2006-12-08 00:00:00+00:00,-0.00270462
2006-12-11 00:00:00+00:00,0.01683892
2006-12-12 00:00:00+00:00,0.00606909
2006-12-13 00:00:00+00:00,0.00608157
2006-12-14 00:00:00+00:00,0.00788029
2006-12-15 00:00:00+00:00,0.01030433
2006-12-18 00:00:00+00:00,0.01639142
2006-12-19 00:00:00+00:00,-0.00018375
2006-12-20 00:00:00+00:00,0.01387286
2006-12-21 00:00:00+00:00,0.00828042
2006-12-22 00:00:00+00:00,-0.00319630
2006-12-27 00:00:00+00:00,0.01187879
2006-12-28 00:00:00+00:00,-0.00318201
2006-12-29 00:00:00+00:00,0.00702309
2007-01-03 00:00:00+00:00,0.02375245
2007-01-04 00:00:00+00:00,-0.00728126
2007-01-05 00:00:00+00:00,-0.00315207
