Date,EUR
2000-12-01 00:00:00+00:00,0.01420878
2000-12-04 00:00:00+00:00,0.02082148
2000-12-05 00:00:00+00:00,-0.01565315
2000-12-06 00:00:00+00:00,0.02326637
2000-12-07 00:00:00+00:00,-0.00482441
2000-12-08 00:00:00+00:00,-0.01304543
2000-12-11 00:00:00+00:00,-0.01335749
2000-12-12 00:00:00+00:00,0.00683761
2000-12-13 00:00:00+00:00,-0.01022147
2000-12-14 00:00:00+00:00,0.03013699
2000-12-15 00:00:00+00:00,0.01147099
2000-12-18 00:00:00+00:00,-0.00500334
2000-12-19 00:00:00+00:00,-0.00089166
2000-12-20 00:00:00+00:00,0.03256021
2000-12-21 00:00:00+00:00,0.01294711
2000-12-22 00:00:00+00:00,0.02071296
2000-12-26 00:00:00+00:00,0.01348727
2000-12-27 00:00:00+00:00,0.00107170
2000-12-28 00:00:00+00:00,-0.00428449
2000-12-29 00:00:00+00:00,0.02404465
2001-01-02 00:00:00+00:00,0.01909207
2001-01-03 00:00:00+00:00,-0.04192057
2001-01-04 00:00:00+00:00,0.04356691
2001-01-05 00:00:00+00:00,0.01417472
2001-01-08 00:00:00+00:00,-0.01480246
2001-01-09 00:00:00+00:00,-0.01386118
2001-01-10 00:00:00+00:00,-0.01036269
2001-01-11 00:00:00+00:00,0.02636054
2001-01-12 00:00:00+00:00,-0.00272765
2001-01-16 00:00:00+00:00,-0.01890955
2001-01-17 00:00:00+00:00,-0.01463570
2001-01-18 00:00:00+00:00,0.02083333
2001-01-19 00:00:00+00:00,-0.02188623
2001-01-22 00:00:00+00:00,0.00812400
2001-01-23 00:00:00+00:00,0.00170340
2001-01-24 00:00:00+00:00,-0.03297522
2001-01-25 00:00:00+00:00,-0.00454250
2001-01-26 00:00:00+00:00,0.00531165
2001-01-29 00:00:00+00:00,-0.01221622
2001-01-30 00:00:00+00:00,0.01849032
2001-01-31 00:00:00+00:00,0.01379459
2001-02-01 00:00:00+00:00,0.01808841
2001-02-02 00:00:00+00:00,-0.01506152
2001-02-05 00:00:00+00:00,0.00854975
2001-02-06 00:00:00+00:00,-0.01894222
2001-02-07 00:00:00+00:00,0.00171895
2001-02-08 00:00:00+00:00,-0.02823100
2001-02-09 00:00:00+00:00,0.01850844
2001-02-12 00:00:00+00:00,0.01078749
2001-02-13 00:00:00+00:00,-0.02339056
2001-02-14 00:00:00+00:00,-0.00325698
2001-02-15 00:00:00+00:00,-0.03414528
2001-02-16 00:00:00+00:00,0.02832172
2001-02-20 00:00:00+00:00,-0.01418130
2001-02-21 00:00:00+00:00,-0.00340584
2001-02-22 00:00:00+00:00,-0.00726312
2001-02-23 00:00:00+00:00,0.03036996
2001-02-26 00:00:00+00:00,-0.01653432
2001-02-27 00:00:00+00:00,0.01173503
2001-02-28 00:00:00+00:00,0.01330135
2001-03-01 00:00:00+00:00,0.01938698
2001-03-02 00:00:00+00:00,0.00504184
2001-03-05 00:00:00+00:00,-0.00920278
2001-03-06 00:00:00+00:00,0.00752526
2001-03-07 00:00:00+00:00,-0.01038878
2001-03-08 00:00:00+00:00,0.00613629
2001-03-09 00:00:00+00:00,0.00160978
2001-03-12 00:00:00+00:00,-0.00965147
2001-03-13 00:00:00+00:00,-0.02963362
2001-03-14 00:00:00+00:00,-0.00995297
2001-03-15 00:00:00+00:00,-0.00967246
2001-03-16 00:00:00+00:00,-0.01043285
2001-03-19 00:00:00+00:00,0.00535535
2001-03-20 00:00:00+00:00,0.02247691
2001-03-21 00:00:00+00:00,-0.02827905
