Date,US-ENERGY
2013-10-15 00:00:00+00:00,-0.00142143
2013-10-16 00:00:00+00:00,0.01478672
2013-10-17 00:00:00+00:00,-0.00116725
2013-10-18 00:00:00+00:00,0.01342276
2013-10-21 00:00:00+00:00,-0.00276547
2013-10-22 00:00:00+00:00,0.00577388
2013-10-23 00:00:00+00:00,-0.01699685
2013-10-24 00:00:00+00:00,0.00525602
2013-10-25 00:00:00+00:00,0.00615822
2013-10-28 00:00:00+00:00,0.00092280
2013-10-29 00:00:00+00:00,0.00634538
2013-10-30 00:00:00+00:00,-0.00630774
2013-10-31 00:00:00+00:00,-0.00415522
2013-11-01 00:00:00+00:00,-0.00243450
2013-11-04 00:00:00+00:00,0.01265976
2013-11-05 00:00:00+00:00,-0.00986606
2013-11-06 00:00:00+00:00,0.00185216
2013-11-07 00:00:00+00:00,-0.01387759
2013-11-08 00:00:00+00:00,0.01360056
2013-11-11 00:00:00+00:00,0.00242774
2013-11-12 00:00:00+00:00,-0.00900385
2013-11-13 00:00:00+00:00,0.00838265
2013-11-14 00:00:00+00:00,0.00692709
2013-11-15 00:00:00+00:00,0.00492957
2013-11-18 00:00:00+00:00,-0.00890447
2013-11-19 00:00:00+00:00,0.00287639
2013-11-20 00:00:00+00:00,-0.00195426
2013-11-21 00:00:00+00:00,0.00908670
2013-11-22 00:00:00+00:00,0.00478639
2013-11-25 00:00:00+00:00,-0.00794493
2013-11-26 00:00:00+00:00,-0.00263265
2013-11-27 00:00:00+00:00,-0.00768525
2013-11-29 00:00:00+00:00,0.00542995
2013-12-02 00:00:00+00:00,-0.00551893
2013-12-03 00:00:00+00:00,0.00242542
2013-12-04 00:00:00+00:00,-0.00276876
2013-12-05 00:00:00+00:00,-0.00312316
2013-12-06 00:00:00+00:00,-0.00104553
2013-12-09 00:00:00+00:00,0.00580321
2013-12-10 00:00:00+00:00,-0.00496561
2013-12-11 00:00:00+00:00,-0.01322710
2013-12-12 00:00:00+00:00,0.00611143
2013-12-13 00:00:00+00:00,0.00221350
2013-12-16 00:00:00+00:00,0.00813386
2013-12-17 00:00:00+00:00,-0.00549891
2013-12-18 00:00:00+00:00,0.01516914
2013-12-19 00:00:00+00:00,0.00231499
2013-12-20 00:00:00+00:00,0.00242535
2013-12-23 00:00:00+00:00,0.00092029
2013-12-24 00:00:00+00:00,0.00541208
2013-12-26 00:00:00+00:00,0.00675788
2013-12-27 00:00:00+00:00,0.00420894
2013-12-30 00:00:00+00:00,-0.00521503
2013-12-31 00:00:00+00:00,0.00660539
2014-01-02 00:00:00+00:00,-0.01165876
2014-01-03 00:00:00+00:00,-0.00297912
2014-01-06 00:00:00+00:00,0.00034300
2014-01-07 00:00:00+00:00,0.00700204
