Date,BUXL
2016-12-15 00:00:00+00:00,-0.01277955
2016-12-16 00:00:00+00:00,0.01402373
2016-12-19 00:00:00+00:00,0.01784870
2016-12-20 00:00:00+00:00,-0.00139357
2016-12-21 00:00:00+00:00,0.00697756
2016-12-22 00:00:00+00:00,-0.00311814
2016-12-23 00:00:00+00:00,0.00892030
2016-12-27 00:00:00+00:00,0.00585601
2016-12-28 00:00:00+00:00,-0.00388128
2016-12-29 00:00:00+00:00,0.00859500
2016-12-30 00:00:00+00:00,-0.01420293
2017-01-02 00:00:00+00:00,0.00184417
2017-01-03 00:00:00+00:00,-0.01760239
2017-01-04 00:00:00+00:00,-0.00398173
2017-01-05 00:00:00+00:00,0.01011170
2017-01-06 00:00:00+00:00,-0.01164009
2017-01-09 00:00:00+00:00,-0.00153103
2017-01-10 00:00:00+00:00,0.00200519
2017-01-11 00:00:00+00:00,0.00517952
2017-01-12 00:00:00+00:00,0.00175665
2017-01-13 00:00:00+00:00,-0.01075520
2017-01-16 00:00:00+00:00,0.00165446
2017-01-17 00:00:00+00:00,0.00519113
2017-01-18 00:00:00+00:00,-0.00680751
2017-01-19 00:00:00+00:00,-0.00779957
2017-01-20 00:00:00+00:00,-0.01429252
2017-01-23 00:00:00+00:00,0.01486225
2017-01-24 00:00:00+00:00,-0.00380998
2017-01-25 00:00:00+00:00,-0.01290785
2017-01-26 00:00:00+00:00,-0.00290592
2017-01-27 00:00:00+00:00,0.00983607
2017-01-30 00:00:00+00:00,0.00276575
2017-01-31 00:00:00+00:00,0.00263821
2017-02-01 00:00:00+00:00,-0.01184069
2017-02-02 00:00:00+00:00,0.01065117
2017-02-03 00:00:00+00:00,-0.00191617
2017-02-06 00:00:00+00:00,0.00551956
2017-02-07 00:00:00+00:00,-0.00107399
2017-02-08 00:00:00+00:00,0.01385736
2017-02-09 00:00:00+00:00,0.00365265
2017-02-10 00:00:00+00:00,-0.00868749
2017-02-13 00:00:00+00:00,-0.00260540
2017-02-14 00:00:00+00:00,-0.00688673
2017-02-15 00:00:00+00:00,-0.00633668
2017-02-16 00:00:00+00:00,0.01191192
2017-02-17 00:00:00+00:00,0.01034483
2017-02-20 00:00:00+00:00,-0.00164764
2017-02-21 00:00:00+00:00,-0.00400802
