Date,EU-REALESTATE
2016-04-04 00:00:00+00:00,0.00751445
2016-04-05 00:00:00+00:00,-0.00803213
2016-04-06 00:00:00+00:00,0.00520532
2016-04-07 00:00:00+00:00,-0.00057537
2016-04-08 00:00:00+00:00,0.00575705
2016-04-11 00:00:00+00:00,-0.01831712
2016-04-12 00:00:00+00:00,0.02099125
2016-04-13 00:00:00+00:00,0.01541976
2016-04-14 00:00:00+00:00,-0.01181102
2016-04-15 00:00:00+00:00,-0.00113830
2016-04-18 00:00:00+00:00,-0.00455840
2016-04-19 00:00:00+00:00,0.00686892
2016-04-20 00:00:00+00:00,0.00170551
2016-04-21 00:00:00+00:00,-0.01191827
2016-04-22 00:00:00+00:00,-0.00402068
2016-04-26 00:00:00+00:00,0.02018454
2016-04-27 00:00:00+00:00,0.00113058
2016-04-28 00:00:00+00:00,0.00169396
2016-04-29 00:00:00+00:00,-0.00901917
2016-05-05 00:00:00+00:00,-0.00682594
2016-05-06 00:00:00+00:00,0.00400916
2016-05-09 00:00:00+00:00,0.01483172
2016-05-10 00:00:00+00:00,0.00000000
2016-05-11 00:00:00+00:00,-0.01124227
2016-05-12 00:00:00+00:00,-0.00682206
2016-05-16 00:00:00+00:00,0.00228964
2016-05-17 00:00:00+00:00,0.01884637
2016-05-18 00:00:00+00:00,-0.00728700
2016-05-19 00:00:00+00:00,0.00169396
2016-05-20 00:00:00+00:00,0.00281849
2016-05-23 00:00:00+00:00,0.00224845
2016-05-24 00:00:00+00:00,0.02131239
2016-05-25 00:00:00+00:00,0.00000000
2016-05-26 00:00:00+00:00,-0.00109830
2016-05-27 00:00:00+00:00,0.00109951
2016-05-30 00:00:00+00:00,0.00713893
2016-05-31 00:00:00+00:00,-0.00981461
2016-06-01 00:00:00+00:00,-0.01211454
2016-06-02 00:00:00+00:00,-0.00222965
2016-06-03 00:00:00+00:00,0.00446927
2016-06-06 00:00:00+00:00,0.00111235
2016-06-07 00:00:00+00:00,0.01166667
2016-06-08 00:00:00+00:00,0.00054915
2016-06-09 00:00:00+00:00,0.00437578
2016-06-10 00:00:00+00:00,-0.02185792
2016-06-13 00:00:00+00:00,-0.00223464
2016-06-14 00:00:00+00:00,-0.01985252
2016-06-15 00:00:00+00:00,-0.02025463
2016-06-16 00:00:00+00:00,-0.01799187
2016-06-17 00:00:00+00:00,0.01300236
2016-06-20 00:00:00+00:00,0.03908985
2016-06-21 00:00:00+00:00,0.01572150
2016-06-22 00:00:00+00:00,0.00386954
2016-06-23 00:00:00+00:00,0.00991189
2016-06-24 00:00:00+00:00,-0.07142857
2016-06-27 00:00:00+00:00,-0.06576629
2016-06-28 00:00:00+00:00,0.03079824
2016-06-29 00:00:00+00:00,0.02439024
2016-06-30 00:00:00+00:00,0.00892857
2016-07-01 00:00:00+00:00,0.00294985
2016-07-04 00:00:00+00:00,-0.01470588
2016-07-05 00:00:00+00:00,-0.02089552
2016-07-06 00:00:00+00:00,-0.02500000
2016-07-07 00:00:00+00:00,0.01250782
2016-07-08 00:00:00+00:00,0.02285361
2016-07-11 00:00:00+00:00,0.02958937
2016-07-12 00:00:00+00:00,0.00645161
2016-07-13 00:00:00+00:00,-0.00407925
2016-07-14 00:00:00+00:00,0.00468110
2016-07-15 00:00:00+00:00,-0.00174723
2016-07-18 00:00:00+00:00,0.00641774
2016-07-19 00:00:00+00:00,0.00695652
2016-07-20 00:00:00+00:00,0.01266552
2016-07-22 00:00:00+00:00,-0.00113701
2016-07-25 00:00:00+00:00,0.00910643
2016-07-26 00:00:00+00:00,0.00451213
2016-07-27 00:00:00+00:00,0.00393038
2016-07-28 00:00:00+00:00,-0.00055928
2016-07-29 00:00:00+00:00,0.01175154
2016-08-01 00:00:00+00:00,-0.00497788
2016-08-02 00:00:00+00:00,-0.00833797
2016-08-03 00:00:00+00:00,-0.00112108
2016-08-05 00:00:00+00:00,0.01290685
2016-08-10 00:00:00+00:00,0.00277008
2016-08-11 00:00:00+00:00,-0.00497238
2016-08-12 00:00:00+00:00,0.00499722
2016-08-16 00:00:00+00:00,-0.00773481
2016-08-17 00:00:00+00:00,-0.01002227
2016-08-19 00:00:00+00:00,0.00056243
2016-08-22 00:00:00+00:00,0.00730748
2016-08-23 00:00:00+00:00,0.00892857
2016-08-24 00:00:00+00:00,0.00000000
2016-08-25 00:00:00+00:00,-0.00829646
2016-08-26 00:00:00+00:00,0.00334635
2016-08-29 00:00:00+00:00,-0.00222346
2016-08-30 00:00:00+00:00,0.00167131
2016-08-31 00:00:00+00:00,0.00333704
2016-09-02 00:00:00+00:00,0.01164080
2016-09-06 00:00:00+00:00,0.00000000
2016-09-07 00:00:00+00:00,0.00383562
2016-09-08 00:00:00+00:00,-0.01037118
2016-09-09 00:00:00+00:00,-0.00661886
2016-09-12 00:00:00+00:00,-0.02265006
2016-09-15 00:00:00+00:00,-0.01771429
2016-09-16 00:00:00+00:00,-0.00058173
2016-09-19 00:00:00+00:00,0.00349243
2016-09-20 00:00:00+00:00,0.01392111
2016-09-21 00:00:00+00:00,-0.01144165
2016-09-22 00:00:00+00:00,0.02141204
2016-09-23 00:00:00+00:00,-0.00283286
2016-09-26 00:00:00+00:00,-0.00681818
2016-09-27 00:00:00+00:00,0.00972540
2016-09-28 00:00:00+00:00,-0.00339943
2016-09-29 00:00:00+00:00,-0.00739056
2016-09-30 00:00:00+00:00,0.00171821
2016-10-03 00:00:00+00:00,-0.00228702
2016-10-04 00:00:00+00:00,-0.00859599
2016-10-05 00:00:00+00:00,-0.02485549
2016-10-06 00:00:00+00:00,-0.02430350
2016-10-07 00:00:00+00:00,-0.01275820
2016-10-10 00:00:00+00:00,0.00369231
2016-10-11 00:00:00+00:00,0.00122624
2016-10-12 00:00:00+00:00,-0.01592162
2016-10-13 00:00:00+00:00,0.00995644
2016-10-14 00:00:00+00:00,0.01047443
2016-10-17 00:00:00+00:00,-0.00975610
2016-10-18 00:00:00+00:00,0.01785714
2016-10-19 00:00:00+00:00,-0.00060496
2016-10-20 00:00:00+00:00,0.01513317
2016-10-21 00:00:00+00:00,-0.00596303
2016-10-24 00:00:00+00:00,0.00359928
2016-10-25 00:00:00+00:00,0.00358637
2016-10-26 00:00:00+00:00,-0.02263252
2016-10-27 00:00:00+00:00,-0.01706277
2016-10-28 00:00:00+00:00,-0.00123993
2016-10-31 00:00:00+00:00,0.00869025
2016-11-01 00:00:00+00:00,-0.00923077
2016-11-02 00:00:00+00:00,-0.00496894
2016-11-03 00:00:00+00:00,0.01747815
2016-11-04 00:00:00+00:00,-0.02331288
2016-11-07 00:00:00+00:00,0.01381910
2016-11-08 00:00:00+00:00,-0.00185874
2016-11-09 00:00:00+00:00,-0.00931099
2016-11-10 00:00:00+00:00,-0.02255639
2016-11-11 00:00:00+00:00,0.00705128
