Date,EUA
2023-04-03 00:00:00+00:00,0.08270051
2023-04-04 00:00:00+00:00,-0.01608070
2023-04-05 00:00:00+00:00,0.03433692
2023-04-06 00:00:00+00:00,0.00148456
2023-04-11 00:00:00+00:00,0.01968348
2023-04-12 00:00:00+00:00,-0.03005678
2023-04-13 00:00:00+00:00,-0.03002287
2023-04-14 00:00:00+00:00,-0.01322297
2023-04-17 00:00:00+00:00,-0.01605528
2023-04-18 00:00:00+00:00,0.04640443
2023-04-19 00:00:00+00:00,-0.01641806
2023-04-20 00:00:00+00:00,-0.05208438
2023-04-21 00:00:00+00:00,-0.04767828
2023-04-24 00:00:00+00:00,-0.02899012
2023-04-25 00:00:00+00:00,-0.03308190
2023-04-26 00:00:00+00:00,-0.03189041
2023-04-27 00:00:00+00:00,0.00946759
2023-04-28 00:00:00+00:00,0.02837823
2023-05-01 00:00:00+00:00,-0.03147885
2023-05-02 00:00:00+00:00,0.05652415
2023-05-03 00:00:00+00:00,-0.07516199
2023-05-04 00:00:00+00:00,-0.00931538
2023-05-05 00:00:00+00:00,0.00766802
2023-05-08 00:00:00+00:00,0.01078288
2023-05-09 00:00:00+00:00,0.03172830
2023-05-10 00:00:00+00:00,0.06080932
2023-05-11 00:00:00+00:00,-0.02422367
2023-05-12 00:00:00+00:00,0.00226855
2023-05-15 00:00:00+00:00,-0.03453113
2023-05-16 00:00:00+00:00,0.03689470
2023-05-17 00:00:00+00:00,-0.00927124
2023-05-18 00:00:00+00:00,0.03899058
2023-05-19 00:00:00+00:00,0.00063728
2023-05-22 00:00:00+00:00,-0.04555107
2023-05-23 00:00:00+00:00,-0.04998913
2023-05-24 00:00:00+00:00,-0.00757914
2023-05-25 00:00:00+00:00,-0.04922802
2023-05-26 00:00:00+00:00,-0.01594585
2023-05-29 00:00:00+00:00,0.01445588
2023-05-30 00:00:00+00:00,-0.05751349
2023-05-31 00:00:00+00:00,0.01099551
2023-06-01 00:00:00+00:00,-0.05703869
2023-06-02 00:00:00+00:00,0.00775006
2023-06-05 00:00:00+00:00,0.08767487
2023-06-06 00:00:00+00:00,-0.01894202
2023-06-07 00:00:00+00:00,0.04559235
2023-06-08 00:00:00+00:00,0.01037273
2023-06-09 00:00:00+00:00,0.06531353
2023-06-12 00:00:00+00:00,0.02327624
2023-06-13 00:00:00+00:00,0.04416712
2023-06-14 00:00:00+00:00,0.07486461
2023-06-15 00:00:00+00:00,0.00051167
2023-06-16 00:00:00+00:00,-0.02004910
2023-06-19 00:00:00+00:00,-0.00372055
2023-06-20 00:00:00+00:00,0.05611928
2023-06-21 00:00:00+00:00,-0.08692587
2023-06-22 00:00:00+00:00,-0.00895114
2023-06-23 00:00:00+00:00,-0.04865665
2023-06-26 00:00:00+00:00,-0.03361162
2023-06-27 00:00:00+00:00,0.05799338
2023-06-28 00:00:00+00:00,-0.02453659
2023-06-29 00:00:00+00:00,0.00498970
2023-06-30 00:00:00+00:00,0.02661474
2023-07-03 00:00:00+00:00,-0.03757873
2023-07-04 00:00:00+00:00,-0.00076161
2023-07-05 00:00:00+00:00,-0.03243571
2023-07-06 00:00:00+00:00,0.00298739
2023-07-07 00:00:00+00:00,0.00419797
2023-07-10 00:00:00+00:00,0.00352773
2023-07-11 00:00:00+00:00,0.00902487
2023-07-12 00:00:00+00:00,-0.00186281
2023-07-13 00:00:00+00:00,-0.02051672
2023-07-14 00:00:00+00:00,0.00509695
2023-07-17 00:00:00+00:00,0.01038904
2023-07-18 00:00:00+00:00,0.01737409
2023-07-19 00:00:00+00:00,0.03989971
2023-07-20 00:00:00+00:00,0.02896537
2023-07-21 00:00:00+00:00,0.01938475
2023-07-24 00:00:00+00:00,-0.00511215
2023-07-25 00:00:00+00:00,0.01757322
2023-07-26 00:00:00+00:00,-0.02219226
2023-07-27 00:00:00+00:00,0.00387963
2023-07-28 00:00:00+00:00,-0.05054945
2023-07-31 00:00:00+00:00,-0.04402448
2023-08-01 00:00:00+00:00,-0.03513781
2023-08-02 00:00:00+00:00,-0.03957076
2023-08-03 00:00:00+00:00,0.03057267
2023-08-04 00:00:00+00:00,-0.02539326
2023-08-07 00:00:00+00:00,-0.02207807
2023-08-08 00:00:00+00:00,0.03670886
2023-08-09 00:00:00+00:00,-0.00869958
2023-08-10 00:00:00+00:00,0.02246936
2023-08-11 00:00:00+00:00,0.04219504
2023-08-14 00:00:00+00:00,0.02143093
2023-08-15 00:00:00+00:00,-0.01315646
2023-08-16 00:00:00+00:00,0.03064463
2023-08-17 00:00:00+00:00,0.01002479
2023-08-18 00:00:00+00:00,-0.01813110
2023-08-21 00:00:00+00:00,-0.00205717
2023-08-22 00:00:00+00:00,0.04389292
2023-08-23 00:00:00+00:00,-0.03658537
2023-08-24 00:00:00+00:00,-0.05316045
2023-08-25 00:00:00+00:00,-0.00999223
2023-08-28 00:00:00+00:00,0.00769917
2023-08-29 00:00:00+00:00,-0.02022897
2023-08-30 00:00:00+00:00,0.03301145
2023-08-31 00:00:00+00:00,-0.01170883
2023-09-01 00:00:00+00:00,-0.01222086
2023-09-04 00:00:00+00:00,-0.02504192
2023-09-05 00:00:00+00:00,-0.00871731
2023-09-06 00:00:00+00:00,-0.00432113
2023-09-07 00:00:00+00:00,-0.01732194
2023-09-08 00:00:00+00:00,-0.03264743
2023-09-11 00:00:00+00:00,0.00350590
2023-09-12 00:00:00+00:00,-0.01329911
2023-09-13 00:00:00+00:00,0.04674105
2023-09-14 00:00:00+00:00,0.00344234
2023-09-15 00:00:00+00:00,-0.01855670
2023-09-18 00:00:00+00:00,-0.03387675
2023-09-19 00:00:00+00:00,0.00858521
2023-09-20 00:00:00+00:00,0.03724526
2023-09-21 00:00:00+00:00,0.03208003
2023-09-22 00:00:00+00:00,0.03044019
2023-09-25 00:00:00+00:00,-0.00601872
2023-09-26 00:00:00+00:00,-0.05373701
2023-09-27 00:00:00+00:00,-0.01527156
2023-09-28 00:00:00+00:00,0.01018283
2023-09-29 00:00:00+00:00,-0.02417684
2023-10-02 00:00:00+00:00,-0.02074350
2023-10-03 00:00:00+00:00,-0.02791519
2023-10-04 00:00:00+00:00,0.04970131
2023-10-05 00:00:00+00:00,-0.02820842
2023-10-06 00:00:00+00:00,-0.00165524
2023-10-09 00:00:00+00:00,0.03112058
2023-10-10 00:00:00+00:00,0.07223581
2023-10-11 00:00:00+00:00,-0.01596761
2023-10-12 00:00:00+00:00,0.02539107
2023-10-13 00:00:00+00:00,0.01667599
2023-10-16 00:00:00+00:00,-0.05904550
2023-10-17 00:00:00+00:00,-0.01830035
2023-10-18 00:00:00+00:00,-0.01592982
2023-10-19 00:00:00+00:00,-0.00267629
2023-10-20 00:00:00+00:00,-0.00897122
2023-10-23 00:00:00+00:00,-0.02235487
2023-10-24 00:00:00+00:00,0.00189394
2023-10-25 00:00:00+00:00,-0.01631977
2023-10-26 00:00:00+00:00,-0.00596232
2023-10-27 00:00:00+00:00,-0.00741449
2023-10-30 00:00:00+00:00,-0.01524427
2023-10-31 00:00:00+00:00,0.00737784
2023-11-01 00:00:00+00:00,-0.01253314
2023-11-02 00:00:00+00:00,0.00339517
2023-11-03 00:00:00+00:00,-0.02423949
2023-11-06 00:00:00+00:00,-0.04649166
2023-11-07 00:00:00+00:00,-0.01582716
2023-11-08 00:00:00+00:00,0.01152190
2023-11-09 00:00:00+00:00,0.04280499
2023-11-10 00:00:00+00:00,0.03327992
2023-11-13 00:00:00+00:00,-0.03177298
2023-11-14 00:00:00+00:00,0.02970175
2023-11-15 00:00:00+00:00,0.02829043
2023-11-16 00:00:00+00:00,-0.06716150
2023-11-17 00:00:00+00:00,-0.01226614
2023-11-20 00:00:00+00:00,0.00049863
2023-11-21 00:00:00+00:00,-0.03152255
2023-11-22 00:00:00+00:00,-0.00455927
2023-11-23 00:00:00+00:00,0.03643519
2023-11-24 00:00:00+00:00,-0.00012467
2023-11-27 00:00:00+00:00,-0.07604089
2023-11-28 00:00:00+00:00,-0.01828082
2023-11-29 00:00:00+00:00,-0.05364386
2023-11-30 00:00:00+00:00,-0.00874008
2023-12-01 00:00:00+00:00,0.04647393
2023-12-04 00:00:00+00:00,-0.05943733
2023-12-05 00:00:00+00:00,-0.05023142
2023-12-06 00:00:00+00:00,0.00474993
2023-12-07 00:00:00+00:00,0.02522297
2023-12-08 00:00:00+00:00,-0.02738030
2023-12-11 00:00:00+00:00,-0.03947552
2023-12-12 00:00:00+00:00,0.02604241
2023-12-13 00:00:00+00:00,0.02219725
2023-12-14 00:00:00+00:00,-0.06403667
2023-12-15 00:00:00+00:00,-0.01220563
2023-12-18 00:00:00+00:00,0.08046807
2023-12-19 00:00:00+00:00,-0.00750000
2023-12-20 00:00:00+00:00,0.10539523
2023-12-21 00:00:00+00:00,0.06209453
2023-12-22 00:00:00+00:00,0.02619414
2023-12-27 00:00:00+00:00,0.02724968
2023-12-28 00:00:00+00:00,0.00487561
2023-12-29 00:00:00+00:00,0.00436409
2024-01-02 00:00:00+00:00,-0.10787607
2024-01-03 00:00:00+00:00,0.03488678
2024-01-04 00:00:00+00:00,-0.03956044
2024-01-05 00:00:00+00:00,0.01398048
2024-01-08 00:00:00+00:00,-0.10229208
2024-01-09 00:00:00+00:00,-0.01325601
2024-01-10 00:00:00+00:00,-0.05448985
2024-01-11 00:00:00+00:00,-0.05872267
2024-01-12 00:00:00+00:00,-0.06124853
2024-01-15 00:00:00+00:00,0.04285063
2024-01-16 00:00:00+00:00,-0.04936803
2024-01-17 00:00:00+00:00,-0.07455405
2024-01-18 00:00:00+00:00,-0.00459224
2024-01-19 00:00:00+00:00,0.02031424
2024-01-22 00:00:00+00:00,-0.05043205
2024-01-23 00:00:00+00:00,0.03223727
2024-01-24 00:00:00+00:00,0.08802538
2024-01-25 00:00:00+00:00,-0.07915527
2024-01-26 00:00:00+00:00,0.01186521
2024-01-29 00:00:00+00:00,-0.05662158
2024-01-30 00:00:00+00:00,0.05568145
2024-01-31 00:00:00+00:00,0.02062667
2024-02-01 00:00:00+00:00,-0.06094140
2024-02-02 00:00:00+00:00,0.03891301
2024-02-05 00:00:00+00:00,-0.02318612
2024-02-06 00:00:00+00:00,0.02888144
2024-02-07 00:00:00+00:00,-0.03680403
2024-02-08 00:00:00+00:00,-0.05223522
2024-02-09 00:00:00+00:00,-0.06548207
2024-02-12 00:00:00+00:00,-0.06446675
2024-02-13 00:00:00+00:00,-0.01599578
2024-02-14 00:00:00+00:00,0.00726564
2024-02-15 00:00:00+00:00,0.04520572
2024-02-16 00:00:00+00:00,-0.02503885
2024-02-19 00:00:00+00:00,-0.12698968
2024-02-20 00:00:00+00:00,0.02876354
2024-02-21 00:00:00+00:00,0.00865402
2024-02-22 00:00:00+00:00,-0.06434464
2024-02-23 00:00:00+00:00,-0.02234848
2024-02-26 00:00:00+00:00,0.06702413
2024-02-27 00:00:00+00:00,0.06281267
2024-02-28 00:00:00+00:00,0.07722701
2024-02-29 00:00:00+00:00,-0.06362379
2024-03-01 00:00:00+00:00,0.01321429
2024-03-04 00:00:00+00:00,0.02377151
2024-03-05 00:00:00+00:00,0.12291776
2024-03-06 00:00:00+00:00,-0.04294681
2024-03-07 00:00:00+00:00,-0.00287017
2024-03-08 00:00:00+00:00,-0.02620014
2024-03-11 00:00:00+00:00,-0.07398527
2024-03-12 00:00:00+00:00,0.01049635
2024-03-13 00:00:00+00:00,-0.01663422
2024-03-14 00:00:00+00:00,0.08208423
2024-03-15 00:00:00+00:00,0.03182718
2024-03-18 00:00:00+00:00,0.06865769
2024-03-19 00:00:00+00:00,-0.01882944
2024-03-20 00:00:00+00:00,-0.00601933
2024-03-21 00:00:00+00:00,-0.05131872
2024-03-22 00:00:00+00:00,0.08137639
2024-03-25 00:00:00+00:00,0.11203385
2024-03-26 00:00:00+00:00,-0.08218365
2024-03-27 00:00:00+00:00,0.00510599
2024-03-28 00:00:00+00:00,-0.01913285
