Date,FTSETAIWAN
2021-06-24 00:00:00+00:00,0.00921736
2021-06-25 00:00:00+00:00,0.00899850
2021-06-28 00:00:00+00:00,0.01476688
2021-06-29 00:00:00+00:00,-0.00099174
2021-06-30 00:00:00+00:00,0.01784610
2021-07-01 00:00:00+00:00,-0.00639239
2021-07-02 00:00:00+00:00,0.00098684
2021-07-05 00:00:00+00:00,0.02827552
2021-07-06 00:00:00+00:00,-0.00129681
2021-07-07 00:00:00+00:00,-0.01492053
2021-07-08 00:00:00+00:00,-0.00329272
2021-07-09 00:00:00+00:00,-0.02042834
2021-07-12 00:00:00+00:00,0.02047270
2021-07-13 00:00:00+00:00,0.01220518
2021-07-14 00:00:00+00:00,0.00065585
2021-07-15 00:00:00+00:00,0.01311475
2021-07-16 00:00:00+00:00,0.00228013
2021-07-19 00:00:00+00:00,-0.02472751
2021-07-20 00:00:00+00:00,-0.02668424
2021-07-21 00:00:00+00:00,-0.00600701
2021-07-22 00:00:00+00:00,0.02008368
2021-07-23 00:00:00+00:00,-0.00066280
2021-07-26 00:00:00+00:00,-0.02038787
2021-07-27 00:00:00+00:00,-0.00234467
2021-07-28 00:00:00+00:00,-0.02280349
2021-07-29 00:00:00+00:00,0.04138399
2021-07-30 00:00:00+00:00,-0.01196411
2021-08-02 00:00:00+00:00,0.03110529
2021-08-03 00:00:00+00:00,0.00148148
2021-08-04 00:00:00+00:00,0.01611842
2021-08-05 00:00:00+00:00,-0.00326211
2021-08-06 00:00:00+00:00,-0.00963737
2021-08-09 00:00:00+00:00,-0.00804334
2021-08-10 00:00:00+00:00,-0.01224557
2021-08-11 00:00:00+00:00,-0.01248751
2021-08-12 00:00:00+00:00,-0.00335121
2021-08-13 00:00:00+00:00,0.00000000
2021-08-16 00:00:00+00:00,-0.04632427
2021-08-17 00:00:00+00:00,-0.01786942
2021-08-18 00:00:00+00:00,0.02288488
2021-08-19 00:00:00+00:00,-0.03873843
2021-08-20 00:00:00+00:00,-0.01957700
2021-08-23 00:00:00+00:00,0.06037070
2021-08-24 00:00:00+00:00,0.00993831
2021-08-25 00:00:00+00:00,0.02182438
2021-08-26 00:00:00+00:00,-0.00033733
2021-08-27 00:00:00+00:00,0.02125506
2021-08-30 00:00:00+00:00,0.02336839
2021-08-31 00:00:00+00:00,0.00394574
2021-09-01 00:00:00+00:00,0.01020912
