Date,US-TECH
2013-06-04 00:00:00+00:00,-0.00408934
2013-06-05 00:00:00+00:00,-0.00979154
2013-06-06 00:00:00+00:00,-0.00063796
2013-06-07 00:00:00+00:00,0.01113640
2013-06-10 00:00:00+00:00,0.00284091
2013-06-11 00:00:00+00:00,-0.00598048
2013-06-12 00:00:00+00:00,0.02723243
2013-06-13 00:00:00+00:00,0.01411614
2013-06-17 00:00:00+00:00,-0.01013300
2013-06-18 00:00:00+00:00,0.01567498
2013-06-19 00:00:00+00:00,-0.00976378
2013-06-20 00:00:00+00:00,-0.02226463
2013-06-21 00:00:00+00:00,-0.00748211
2013-06-24 00:00:00+00:00,-0.01048836
2013-06-25 00:00:00+00:00,0.00596224
2013-06-26 00:00:00+00:00,0.00691472
2013-06-27 00:00:00+00:00,0.00490517
2013-06-28 00:00:00+00:00,-0.00325415
2013-07-01 00:00:00+00:00,0.00587659
2013-07-02 00:00:00+00:00,-0.00324570
2013-07-03 00:00:00+00:00,0.01009443
2013-07-05 00:00:00+00:00,0.00128949
2013-07-08 00:00:00+00:00,0.00257566
2013-07-09 00:00:00+00:00,0.00224791
2013-07-10 00:00:00+00:00,0.00256328
2013-07-11 00:00:00+00:00,0.02013423
2013-07-12 00:00:00+00:00,-0.00156642
2013-07-15 00:00:00+00:00,0.00282397
2013-07-16 00:00:00+00:00,0.00125156
2013-07-17 00:00:00+00:00,0.00343750
2013-07-18 00:00:00+00:00,-0.00467144
2013-07-19 00:00:00+00:00,-0.01846058
2013-07-22 00:00:00+00:00,0.00541919
2013-07-23 00:00:00+00:00,-0.00475587
2013-07-24 00:00:00+00:00,0.00605288
2013-07-25 00:00:00+00:00,0.00094997
2013-07-26 00:00:00+00:00,0.00126542
2013-07-29 00:00:00+00:00,-0.00094787
2013-07-30 00:00:00+00:00,0.00664137
2013-07-31 00:00:00+00:00,-0.00377003
2013-08-01 00:00:00+00:00,0.00946074
2013-08-02 00:00:00+00:00,-0.00062480
2013-08-05 00:00:00+00:00,0.00656455
2013-08-06 00:00:00+00:00,-0.00310559
2013-08-07 00:00:00+00:00,-0.00218069
2013-08-08 00:00:00+00:00,0.00437090
2013-08-09 00:00:00+00:00,-0.00714952
2013-08-12 00:00:00+00:00,0.00532248
2013-08-13 00:00:00+00:00,0.00809717
2013-08-14 00:00:00+00:00,-0.00092678
2013-08-15 00:00:00+00:00,-0.01607916
2013-08-16 00:00:00+00:00,-0.00125707
2013-08-19 00:00:00+00:00,0.00440529
2013-08-20 00:00:00+00:00,-0.00344612
2013-08-21 00:00:00+00:00,-0.00408677
2013-08-22 00:00:00+00:00,0.00378788
2013-08-23 00:00:00+00:00,0.00786164
2013-08-26 00:00:00+00:00,-0.00592824
2013-08-27 00:00:00+00:00,-0.00659134
2013-08-28 00:00:00+00:00,-0.00947867
2013-08-29 00:00:00+00:00,0.00478469
2013-08-30 00:00:00+00:00,-0.00444444
2013-09-03 00:00:00+00:00,0.00063776
2013-09-04 00:00:00+00:00,0.00637349
2013-09-05 00:00:00+00:00,0.00281491
2013-09-06 00:00:00+00:00,0.00221029
2013-09-09 00:00:00+00:00,0.00567108
2013-09-10 00:00:00+00:00,0.00908521
2013-09-11 00:00:00+00:00,0.01862776
2013-09-12 00:00:00+00:00,-0.00186800
2013-09-17 00:00:00+00:00,0.00530256
2013-09-18 00:00:00+00:00,0.01054918
2013-09-19 00:00:00+00:00,0.00153516
2013-09-20 00:00:00+00:00,0.00000000
2013-09-23 00:00:00+00:00,-0.00367872
2013-09-24 00:00:00+00:00,-0.00584615
2013-09-25 00:00:00+00:00,-0.00030950
2013-09-26 00:00:00+00:00,0.00123839
2013-09-27 00:00:00+00:00,-0.00556586
2013-09-30 00:00:00+00:00,-0.00590796
2013-10-01 00:00:00+00:00,0.01219894
2013-10-02 00:00:00+00:00,-0.00247219
2013-10-03 00:00:00+00:00,-0.00805452
2013-10-04 00:00:00+00:00,0.00437227
2013-10-07 00:00:00+00:00,-0.00497512
2013-10-08 00:00:00+00:00,-0.01593750
2013-10-09 00:00:00+00:00,0.00476342
