Date,US-INDUSTRY
2014-06-26 00:00:00+00:00,-0.00111338
2014-06-27 00:00:00+00:00,0.00111462
2014-06-30 00:00:00+00:00,-0.00018556
2014-07-01 00:00:00+00:00,0.00798070
2014-07-02 00:00:00+00:00,-0.00349843
2014-07-03 00:00:00+00:00,0.00849963
2014-07-07 00:00:00+00:00,-0.00622939
2014-07-08 00:00:00+00:00,-0.00884956
2014-07-09 00:00:00+00:00,0.00297619
2014-07-10 00:00:00+00:00,-0.00797478
2014-07-11 00:00:00+00:00,0.00486072
2014-07-14 00:00:00+00:00,0.00967442
2014-07-15 00:00:00+00:00,0.00018426
2014-07-16 00:00:00+00:00,0.00423729
2014-07-17 00:00:00+00:00,-0.00440286
2014-07-18 00:00:00+00:00,-0.00571218
2014-07-21 00:00:00+00:00,-0.00018532
2014-07-22 00:00:00+00:00,0.00444856
2014-07-23 00:00:00+00:00,-0.00184536
2014-07-24 00:00:00+00:00,-0.00610094
2014-07-25 00:00:00+00:00,-0.00111607
2014-07-28 00:00:00+00:00,-0.00689013
2014-07-29 00:00:00+00:00,-0.00993812
2014-07-30 00:00:00+00:00,-0.00284091
2014-07-31 00:00:00+00:00,-0.01671415
2014-08-01 00:00:00+00:00,-0.00154530
2014-08-04 00:00:00+00:00,0.00212807
2014-08-05 00:00:00+00:00,-0.00521236
2014-08-06 00:00:00+00:00,-0.00504560
2014-08-07 00:00:00+00:00,0.00351083
2014-08-08 00:00:00+00:00,0.01107872
2014-08-11 00:00:00+00:00,0.00480584
2014-08-12 00:00:00+00:00,-0.00382629
2014-08-13 00:00:00+00:00,0.00902631
2014-08-14 00:00:00+00:00,0.00532927
2014-08-15 00:00:00+00:00,-0.00227187
2014-08-18 00:00:00+00:00,0.01518027
2014-08-19 00:00:00+00:00,0.00299065
2014-08-20 00:00:00+00:00,0.01136787
2014-08-21 00:00:00+00:00,-0.00073706
2014-08-22 00:00:00+00:00,-0.00405680
2014-08-25 00:00:00+00:00,0.00240696
2014-08-26 00:00:00+00:00,-0.00240118
2014-08-27 00:00:00+00:00,-0.00111091
2014-08-28 00:00:00+00:00,-0.00203892
2014-08-29 00:00:00+00:00,0.00018574
2014-09-02 00:00:00+00:00,0.00204271
2014-09-03 00:00:00+00:00,-0.00074129
2014-09-04 00:00:00+00:00,0.00000000
2014-09-05 00:00:00+00:00,0.00386466
2014-09-08 00:00:00+00:00,-0.00018474
2014-09-09 00:00:00+00:00,-0.00110865
2014-09-10 00:00:00+00:00,-0.00203478
2014-09-11 00:00:00+00:00,-0.00426321
2014-09-12 00:00:00+00:00,-0.00520736
2014-09-15 00:00:00+00:00,0.00149561
2014-09-16 00:00:00+00:00,0.00560015
2014-09-17 00:00:00+00:00,0.00297011
2014-09-18 00:00:00+00:00,0.00647788
2014-09-19 00:00:00+00:00,-0.00073556
2014-09-22 00:00:00+00:00,-0.01196172
2014-09-23 00:00:00+00:00,-0.00596014
2014-09-24 00:00:00+00:00,0.00262320
2014-09-25 00:00:00+00:00,-0.01438983
2014-09-26 00:00:00+00:00,0.00948047
2014-09-29 00:00:00+00:00,-0.00338092
2014-09-30 00:00:00+00:00,-0.00018847
2014-10-01 00:00:00+00:00,-0.01866164
2014-10-02 00:00:00+00:00,-0.00134460
2014-10-03 00:00:00+00:00,0.01327178
2014-10-06 00:00:00+00:00,0.01499620
2014-10-07 00:00:00+00:00,-0.02362355
2014-10-08 00:00:00+00:00,0.01697561
2014-10-09 00:00:00+00:00,-0.02148887
2014-10-10 00:00:00+00:00,-0.01568627
2014-10-13 00:00:00+00:00,-0.01274900
2014-10-14 00:00:00+00:00,0.00988701
2014-10-15 00:00:00+00:00,-0.00039960
2014-10-16 00:00:00+00:00,0.00819508
2014-10-17 00:00:00+00:00,0.01843775
2014-10-20 00:00:00+00:00,-0.00136266
2014-10-21 00:00:00+00:00,0.01539961
2014-10-22 00:00:00+00:00,0.00000000
2014-10-23 00:00:00+00:00,0.02150125
2014-10-24 00:00:00+00:00,0.00676565
2014-10-27 00:00:00+00:00,-0.00280007
2014-10-28 00:00:00+00:00,0.01909397
2014-10-29 00:00:00+00:00,-0.00422483
2014-10-30 00:00:00+00:00,0.00332042
2014-10-31 00:00:00+00:00,0.01158301
2014-11-03 00:00:00+00:00,-0.00127226
2014-11-04 00:00:00+00:00,-0.00054595
2014-11-05 00:00:00+00:00,0.00218500
2014-11-06 00:00:00+00:00,0.01507994
2014-11-07 00:00:00+00:00,0.00071595
2014-11-10 00:00:00+00:00,0.00518691
