Date,SOFR
2000-10-25 00:00:00+00:00,-0.00117779
2000-10-26 00:00:00+00:00,-0.00042854
2000-10-27 00:00:00+00:00,-0.00150021
2000-10-30 00:00:00+00:00,-0.00032172
2000-10-31 00:00:00+00:00,-0.00005363
2000-11-01 00:00:00+00:00,0.00101899
2000-11-02 00:00:00+00:00,0.00042884
2000-11-03 00:00:00+00:00,-0.00166140
2000-11-06 00:00:00+00:00,-0.00128735
2000-11-07 00:00:00+00:00,0.00000000
2000-11-08 00:00:00+00:00,0.00000000
2000-11-09 00:00:00+00:00,0.00096613
2000-11-10 00:00:00+00:00,0.00026824
2000-11-13 00:00:00+00:00,0.00075099
2000-11-14 00:00:00+00:00,0.00005362
2000-11-15 00:00:00+00:00,0.00064343
2000-11-16 00:00:00+00:00,0.00091123
2000-11-17 00:00:00+00:00,-0.00058934
2000-11-20 00:00:00+00:00,0.00010719
2000-11-21 00:00:00+00:00,-0.00016077
2000-11-22 00:00:00+00:00,0.00064312
2000-11-24 00:00:00+00:00,-0.00032146
2000-11-27 00:00:00+00:00,0.00021434
2000-11-28 00:00:00+00:00,0.00123232
2000-11-29 00:00:00+00:00,0.00117805
2000-11-30 00:00:00+00:00,0.00187306
2000-12-01 00:00:00+00:00,-0.00085548
2000-12-04 00:00:00+00:00,0.00032094
2000-12-05 00:00:00+00:00,0.00278105
2000-12-06 00:00:00+00:00,0.00283059
2000-12-07 00:00:00+00:00,0.00122660
2000-12-08 00:00:00+00:00,-0.00095933
2000-12-11 00:00:00+00:00,-0.00026661
2000-12-12 00:00:00+00:00,-0.00031997
2000-12-13 00:00:00+00:00,0.00192010
2000-12-14 00:00:00+00:00,0.00154527
2000-12-15 00:00:00+00:00,0.00106485
2000-12-18 00:00:00+00:00,0.00074500
2000-12-19 00:00:00+00:00,-0.00026597
2000-12-20 00:00:00+00:00,0.00212834
2000-12-21 00:00:00+00:00,0.00106304
2000-12-22 00:00:00+00:00,0.00031874
2000-12-26 00:00:00+00:00,-0.00084984
2000-12-27 00:00:00+00:00,-0.00138158
2000-12-28 00:00:00+00:00,-0.00138254
2000-12-29 00:00:00+00:00,0.00042569
2001-01-02 00:00:00+00:00,0.00585231
2001-01-03 00:00:00+00:00,-0.00482733
2001-01-04 00:00:00+00:00,0.00297793
2001-01-05 00:00:00+00:00,0.00419454
2001-01-08 00:00:00+00:00,0.00201346
2001-01-09 00:00:00+00:00,-0.00232903
2001-01-10 00:00:00+00:00,-0.00302067
2001-01-11 00:00:00+00:00,-0.00132689
2001-01-12 00:00:00+00:00,-0.00297429
2001-01-16 00:00:00+00:00,-0.00010638
2001-01-17 00:00:00+00:00,0.00186180
2001-01-18 00:00:00+00:00,0.00164745
2001-01-19 00:00:00+00:00,-0.00207094
