Date,ALUMINIUM
2020-09-21 00:00:00+00:00,-0.00041841
2020-09-22 00:00:00+00:00,-0.01018131
2020-09-23 00:00:00+00:00,-0.01552013
2020-09-24 00:00:00+00:00,-0.01226734
2020-09-25 00:00:00+00:00,0.00831303
2020-09-28 00:00:00+00:00,0.02898756
2020-09-29 00:00:00+00:00,0.00655144
2020-10-01 00:00:00+00:00,-0.04072022
2020-10-02 00:00:00+00:00,-0.00481314
2020-10-05 00:00:00+00:00,0.02375533
2020-10-06 00:00:00+00:00,-0.00555787
2020-10-07 00:00:00+00:00,0.00111779
2020-10-08 00:00:00+00:00,0.02358688
2020-10-09 00:00:00+00:00,0.06517589
2020-10-12 00:00:00+00:00,-0.00106411
2020-10-13 00:00:00+00:00,-0.00159787
2020-10-14 00:00:00+00:00,-0.00080021
2020-10-15 00:00:00+00:00,0.00747464
2020-10-16 00:00:00+00:00,0.01313673
2020-10-19 00:00:00+00:00,-0.01078275
2020-10-20 00:00:00+00:00,-0.01139563
2020-10-21 00:00:00+00:00,0.00482638
2020-10-22 00:00:00+00:00,-0.00403226
2020-10-26 00:00:00+00:00,-0.00847366
2020-10-27 00:00:00+00:00,-0.00107527
2020-10-28 00:00:00+00:00,-0.03010753
2020-10-29 00:00:00+00:00,-0.00522768
2020-11-02 00:00:00+00:00,0.03905391
2020-11-03 00:00:00+00:00,-0.00052938
2020-11-04 00:00:00+00:00,0.02039195
2020-11-06 00:00:00+00:00,-0.00596937
2020-11-09 00:00:00+00:00,-0.00052219
2020-11-10 00:00:00+00:00,0.00640021
2020-11-11 00:00:00+00:00,-0.00051914
2020-11-12 00:00:00+00:00,0.00623296
2020-11-13 00:00:00+00:00,0.07329978
2020-11-16 00:00:00+00:00,0.00941085
2020-11-17 00:00:00+00:00,0.01330774
2020-11-18 00:00:00+00:00,0.00460653
2020-11-19 00:00:00+00:00,0.01906590
2020-11-20 00:00:00+00:00,0.00137672
2020-11-23 00:00:00+00:00,-0.01213714
2020-11-24 00:00:00+00:00,0.00625626
2020-11-25 00:00:00+00:00,-0.00938989
2020-11-30 00:00:00+00:00,0.05070814
2020-12-01 00:00:00+00:00,0.03240912
2020-12-02 00:00:00+00:00,-0.00242424
2020-12-03 00:00:00+00:00,-0.01202916
2020-12-04 00:00:00+00:00,0.00971590
2020-12-07 00:00:00+00:00,-0.01364190
2020-12-08 00:00:00+00:00,-0.00617436
2020-12-09 00:00:00+00:00,0.00745527
2020-12-10 00:00:00+00:00,0.01517020
2020-12-11 00:00:00+00:00,-0.00826145
2020-12-14 00:00:00+00:00,0.00845277
2020-12-15 00:00:00+00:00,-0.01081147
2020-12-16 00:00:00+00:00,0.00619534
