Date,DX
2000-11-29 00:00:00+00:00,0.00085977
2000-11-30 00:00:00+00:00,-0.02587022
2000-12-01 00:00:00+00:00,-0.00600731
2000-12-04 00:00:00+00:00,-0.01851367
2000-12-05 00:00:00+00:00,0.01428068
2000-12-06 00:00:00+00:00,-0.02100656
2000-12-07 00:00:00+00:00,0.00495356
2000-12-08 00:00:00+00:00,0.00705965
2000-12-11 00:00:00+00:00,0.00615439
2000-12-12 00:00:00+00:00,-0.00087673
2000-12-13 00:00:00+00:00,0.00754320
2000-12-14 00:00:00+00:00,-0.02132122
2000-12-15 00:00:00+00:00,-0.01042219
2000-12-18 00:00:00+00:00,0.00514960
2000-12-19 00:00:00+00:00,0.00212540
2000-12-20 00:00:00+00:00,-0.02264685
2000-12-21 00:00:00+00:00,-0.00751611
2000-12-22 00:00:00+00:00,-0.01311299
2000-12-26 00:00:00+00:00,-0.00867914
2000-12-27 00:00:00+00:00,0.00054481
2000-12-28 00:00:00+00:00,0.00254176
2000-12-29 00:00:00+00:00,-0.01831535
2001-01-02 00:00:00+00:00,-0.01125549
2001-01-03 00:00:00+00:00,0.02770619
2001-01-04 00:00:00+00:00,-0.02443012
2001-01-05 00:00:00+00:00,-0.00468966
2001-01-08 00:00:00+00:00,0.00672935
2001-01-09 00:00:00+00:00,0.01221977
2001-01-10 00:00:00+00:00,0.00511416
2001-01-11 00:00:00+00:00,-0.01530194
2001-01-12 00:00:00+00:00,0.00679211
2001-01-16 00:00:00+00:00,0.01619100
2001-01-17 00:00:00+00:00,0.01026899
2001-01-18 00:00:00+00:00,-0.01588878
2001-01-19 00:00:00+00:00,0.01383201
2001-01-22 00:00:00+00:00,-0.00795300
2001-01-23 00:00:00+00:00,0.00127030
2001-01-24 00:00:00+00:00,0.02656873
2001-01-25 00:00:00+00:00,-0.00259578
2001-01-26 00:00:00+00:00,-0.00215054
2001-01-29 00:00:00+00:00,0.00609975
2001-01-30 00:00:00+00:00,-0.01520300
2001-01-31 00:00:00+00:00,-0.00711904
2001-02-01 00:00:00+00:00,-0.01592328
2001-02-02 00:00:00+00:00,0.01130562
2001-02-05 00:00:00+00:00,-0.00625567
2001-02-06 00:00:00+00:00,0.01555225
2001-02-07 00:00:00+00:00,0.00216606
2001-02-08 00:00:00+00:00,0.02082582
2001-02-09 00:00:00+00:00,-0.00981354
2001-02-12 00:00:00+00:00,-0.00663439
2001-02-13 00:00:00+00:00,0.00764595
2001-02-14 00:00:00+00:00,0.00107124
2001-02-15 00:00:00+00:00,0.02194861
2001-02-16 00:00:00+00:00,-0.01712117
2001-02-20 00:00:00+00:00,0.00943564
2001-02-21 00:00:00+00:00,0.00513820
2001-02-22 00:00:00+00:00,0.00459526
2001-02-23 00:00:00+00:00,-0.02186949
2001-02-26 00:00:00+00:00,0.01381954
2001-02-27 00:00:00+00:00,-0.00743889
2001-02-28 00:00:00+00:00,-0.00675556
2001-03-01 00:00:00+00:00,-0.01320014
