Date,MSCIASIA
2022-03-03 00:00:00+00:00,-0.01137875
2022-03-04 00:00:00+00:00,-0.02436472
2022-03-07 00:00:00+00:00,-0.04243910
2022-03-08 00:00:00+00:00,0.00080000
2022-03-09 00:00:00+00:00,0.03101519
2022-03-10 00:00:00+00:00,-0.02651574
2022-03-11 00:00:00+00:00,-0.09074979
2022-03-14 00:00:00+00:00,-0.05028294
2022-03-15 00:00:00+00:00,-0.02724252
2022-03-16 00:00:00+00:00,0.09908304
2022-03-17 00:00:00+00:00,0.02169129
2022-03-18 00:00:00+00:00,0.01738462
2022-03-21 00:00:00+00:00,-0.02434599
2022-03-22 00:00:00+00:00,0.02076875
2022-03-23 00:00:00+00:00,-0.00652900
2022-03-24 00:00:00+00:00,0.00152835
2022-03-25 00:00:00+00:00,-0.01266595
2022-03-28 00:00:00+00:00,0.00525502
2022-03-29 00:00:00+00:00,0.01460640
2022-03-30 00:00:00+00:00,0.00015154
2022-03-31 00:00:00+00:00,-0.01242424
2022-04-01 00:00:00+00:00,0.00935870
2022-04-04 00:00:00+00:00,0.02249582
2022-04-05 00:00:00+00:00,-0.01531143
2022-04-06 00:00:00+00:00,-0.01343599
2022-04-07 00:00:00+00:00,-0.01040551
2022-04-08 00:00:00+00:00,-0.00185557
2022-04-11 00:00:00+00:00,-0.01316809
2022-04-12 00:00:00+00:00,-0.00549451
2022-04-13 00:00:00+00:00,0.01404893
2022-04-14 00:00:00+00:00,-0.00902864
2022-04-19 00:00:00+00:00,-0.01460886
2022-04-20 00:00:00+00:00,-0.00382592
2022-04-21 00:00:00+00:00,-0.02192351
2022-04-22 00:00:00+00:00,-0.00212696
2022-04-25 00:00:00+00:00,-0.01590425
2022-04-26 00:00:00+00:00,-0.00983006
2022-04-27 00:00:00+00:00,0.00824499
2022-04-28 00:00:00+00:00,0.00133511
2022-04-29 00:00:00+00:00,0.02783333
2022-05-02 00:00:00+00:00,-0.01297227
2022-05-03 00:00:00+00:00,0.01363562
2022-05-04 00:00:00+00:00,-0.01069692
2022-05-05 00:00:00+00:00,-0.01933159
2022-05-06 00:00:00+00:00,-0.01152690
2022-05-09 00:00:00+00:00,-0.02416765
2022-05-10 00:00:00+00:00,-0.00121233
2022-05-11 00:00:00+00:00,-0.00208080
2022-05-12 00:00:00+00:00,-0.01737619
2022-05-13 00:00:00+00:00,0.03183024
2022-05-16 00:00:00+00:00,0.00154242
2022-05-17 00:00:00+00:00,0.02310062
2022-05-18 00:00:00+00:00,-0.02425155
2022-05-19 00:00:00+00:00,0.01319849
2022-05-20 00:00:00+00:00,0.00473693
2022-05-23 00:00:00+00:00,0.00926082
2022-05-24 00:00:00+00:00,-0.02118785
2022-05-25 00:00:00+00:00,0.00698824
2022-05-26 00:00:00+00:00,0.01218687
2022-05-27 00:00:00+00:00,0.01287625
2022-05-30 00:00:00+00:00,0.02096748
2022-05-31 00:00:00+00:00,0.00210220
2022-06-01 00:00:00+00:00,-0.00952074
2022-06-02 00:00:00+00:00,0.01352232
2022-06-03 00:00:00+00:00,-0.01462787
2022-06-06 00:00:00+00:00,0.01533442
2022-06-07 00:00:00+00:00,-0.00498072
2022-06-08 00:00:00+00:00,0.01679315
2022-06-09 00:00:00+00:00,-0.02191520
2022-06-10 00:00:00+00:00,-0.06186069
2022-06-13 00:00:00+00:00,-0.03473132
2022-06-14 00:00:00+00:00,0.01629328
2022-06-15 00:00:00+00:00,0.00484302
2022-06-16 00:00:00+00:00,-0.02526176
2022-06-17 00:00:00+00:00,0.00716113
2022-06-20 00:00:00+00:00,0.00609446
2022-06-21 00:00:00+00:00,0.01497560
2022-06-22 00:00:00+00:00,-0.01740716
2022-06-23 00:00:00+00:00,0.00286823
2022-06-24 00:00:00+00:00,0.02002019
2022-06-27 00:00:00+00:00,0.01006103
2022-06-28 00:00:00+00:00,-0.00440888
2022-06-29 00:00:00+00:00,-0.01410530
2022-06-30 00:00:00+00:00,-0.00781900
2022-07-01 00:00:00+00:00,-0.00385647
2022-07-04 00:00:00+00:00,0.00084161
2022-07-05 00:00:00+00:00,-0.01732257
2022-07-06 00:00:00+00:00,0.00325175
2022-07-07 00:00:00+00:00,0.02814739
2022-07-08 00:00:00+00:00,0.00232288
2022-07-11 00:00:00+00:00,-0.03194835
2022-07-12 00:00:00+00:00,-0.00034200
2022-07-13 00:00:00+00:00,-0.00444749
2022-07-14 00:00:00+00:00,-0.01065292
2022-07-15 00:00:00+00:00,0.00347343
2022-07-18 00:00:00+00:00,0.01748010
2022-07-19 00:00:00+00:00,0.00544310
2022-07-20 00:00:00+00:00,-0.00152259
2022-07-21 00:00:00+00:00,0.00304981
2022-07-22 00:00:00+00:00,-0.00135135
2022-07-25 00:00:00+00:00,-0.03771989
2022-07-26 00:00:00+00:00,-0.01051739
2022-07-27 00:00:00+00:00,0.01432958
2022-07-28 00:00:00+00:00,0.00711382
2022-07-29 00:00:00+00:00,-0.01957806
2022-08-01 00:00:00+00:00,0.00025567
2022-08-02 00:00:00+00:00,-0.00332113
2022-08-03 00:00:00+00:00,-0.00102354
2022-08-04 00:00:00+00:00,0.02133470
2022-08-05 00:00:00+00:00,-0.00726229
2022-08-08 00:00:00+00:00,0.01050847
2022-08-09 00:00:00+00:00,-0.01247682
2022-08-10 00:00:00+00:00,0.01883271
2022-08-11 00:00:00+00:00,0.02529938
2022-08-12 00:00:00+00:00,-0.00666223
2022-08-15 00:00:00+00:00,0.00000000
2022-08-16 00:00:00+00:00,0.00066845
2022-08-17 00:00:00+00:00,-0.00935516
2022-08-18 00:00:00+00:00,-0.00587445
2022-08-19 00:00:00+00:00,-0.02928800
2022-08-22 00:00:00+00:00,-0.01451999
2022-08-23 00:00:00+00:00,0.00412939
2022-08-24 00:00:00+00:00,0.00910027
2022-08-25 00:00:00+00:00,0.02684679
2022-08-26 00:00:00+00:00,-0.00793115
2022-08-29 00:00:00+00:00,-0.02591902
2022-08-30 00:00:00+00:00,-0.01922087
2022-08-31 00:00:00+00:00,0.02356611
2022-09-01 00:00:00+00:00,-0.03030822
2022-09-02 00:00:00+00:00,0.00052329
2022-09-05 00:00:00+00:00,-0.02277469
2022-09-06 00:00:00+00:00,-0.01705944
2022-09-07 00:00:00+00:00,-0.00266005
2022-09-08 00:00:00+00:00,0.00479318
2022-09-09 00:00:00+00:00,0.03613177
2022-09-12 00:00:00+00:00,0.02896791
2022-09-13 00:00:00+00:00,-0.04564103
2022-09-14 00:00:00+00:00,-0.00279965
2022-09-15 00:00:00+00:00,-0.01735320
2022-09-16 00:00:00+00:00,-0.02175836
