Date,EU-UTILS
2014-12-09 00:00:00+00:00,-0.02871377
2014-12-10 00:00:00+00:00,-0.00691172
2014-12-11 00:00:00+00:00,-0.00316356
2014-12-12 00:00:00+00:00,-0.02284989
2014-12-15 00:00:00+00:00,-0.05001624
2014-12-16 00:00:00+00:00,-0.01212320
2014-12-17 00:00:00+00:00,0.01658375
2014-12-18 00:00:00+00:00,0.02381729
2014-12-19 00:00:00+00:00,-0.02198853
2014-12-22 00:00:00+00:00,0.02606712
2014-12-23 00:00:00+00:00,0.01079708
2014-12-29 00:00:00+00:00,-0.00973924
2014-12-30 00:00:00+00:00,-0.00475888
2015-01-02 00:00:00+00:00,-0.00573797
2015-01-05 00:00:00+00:00,-0.03174094
2015-01-06 00:00:00+00:00,-0.00165563
2015-01-07 00:00:00+00:00,0.00066335
2015-01-08 00:00:00+00:00,0.02618495
2015-01-09 00:00:00+00:00,-0.01905685
2015-01-12 00:00:00+00:00,-0.00559763
2015-01-13 00:00:00+00:00,0.01258278
2015-01-14 00:00:00+00:00,-0.02027469
2015-01-15 00:00:00+00:00,0.02803738
2015-01-16 00:00:00+00:00,0.00974026
2015-01-19 00:00:00+00:00,0.00000000
2015-01-20 00:00:00+00:00,0.00868167
2015-01-21 00:00:00+00:00,0.00095633
2015-01-22 00:00:00+00:00,0.03280255
2015-01-23 00:00:00+00:00,0.00524206
2015-01-26 00:00:00+00:00,0.00613497
2015-01-27 00:00:00+00:00,0.00152439
2015-01-28 00:00:00+00:00,0.00547945
2015-01-29 00:00:00+00:00,0.00877990
2015-01-30 00:00:00+00:00,-0.01110444
2015-02-02 00:00:00+00:00,-0.00515933
2015-02-03 00:00:00+00:00,0.00152532
2015-02-04 00:00:00+00:00,-0.00335059
2015-02-05 00:00:00+00:00,-0.00794621
2015-02-06 00:00:00+00:00,-0.00092421
2015-02-09 00:00:00+00:00,-0.01911810
2015-02-10 00:00:00+00:00,0.00565860
2015-02-11 00:00:00+00:00,0.00593936
2015-02-12 00:00:00+00:00,-0.00031075
2015-02-13 00:00:00+00:00,0.00031085
2015-02-16 00:00:00+00:00,-0.00932256
2015-02-17 00:00:00+00:00,0.00313676
2015-02-18 00:00:00+00:00,0.00000000
2015-02-19 00:00:00+00:00,-0.00218887
2015-02-20 00:00:00+00:00,-0.00125353
2015-02-23 00:00:00+00:00,0.01098211
2015-02-24 00:00:00+00:00,0.02079454
2015-02-25 00:00:00+00:00,0.00121618
2015-02-26 00:00:00+00:00,-0.00303674
2015-02-27 00:00:00+00:00,0.01066098
2015-03-02 00:00:00+00:00,-0.00693189
2015-03-03 00:00:00+00:00,-0.01122914
2015-03-04 00:00:00+00:00,-0.00214856
