Date,CAC
2010-05-06 00:00:00+00:00,-0.09969325
2010-05-07 00:00:00+00:00,-0.03080082
2010-05-10 00:00:00+00:00,0.14960991
2010-05-11 00:00:00+00:00,-0.01201028
2010-05-12 00:00:00+00:00,0.03040679
2010-05-13 00:00:00+00:00,-0.02251888
2010-05-14 00:00:00+00:00,-0.06494747
2010-05-17 00:00:00+00:00,-0.02368866
2010-05-18 00:00:00+00:00,0.00837473
2010-05-19 00:00:00+00:00,-0.02117916
2010-05-20 00:00:00+00:00,-0.07229604
2010-05-21 00:00:00+00:00,0.03145029
2010-05-24 00:00:00+00:00,-0.01506068
2010-05-25 00:00:00+00:00,-0.01024347
2010-05-26 00:00:00+00:00,-0.01663696
2010-05-27 00:00:00+00:00,0.11574839
2010-05-28 00:00:00+00:00,-0.01911099
2010-05-31 00:00:00+00:00,0.00588489
2010-06-01 00:00:00+00:00,-0.02956298
2010-06-02 00:00:00+00:00,0.03733411
2010-06-03 00:00:00+00:00,0.02061856
2010-06-04 00:00:00+00:00,-0.09062807
2010-06-07 00:00:00+00:00,0.00058824
2010-06-08 00:00:00+00:00,0.00267380
2010-06-09 00:00:00+00:00,-0.00909624
2010-06-10 00:00:00+00:00,0.08188442
2010-06-11 00:00:00+00:00,0.02528050
2010-06-14 00:00:00+00:00,0.01093969
2010-06-15 00:00:00+00:00,0.06582067
2010-06-16 00:00:00+00:00,-0.00648211
2010-06-17 00:00:00+00:00,-0.00203252
2010-06-18 00:00:00+00:00,-0.00284476
2010-06-21 00:00:00+00:00,0.00067797
2010-06-22 00:00:00+00:00,-0.01261872
2010-06-23 00:00:00+00:00,-0.00068474
2010-06-24 00:00:00+00:00,-0.05379877
2010-06-25 00:00:00+00:00,-0.00872011
2010-06-28 00:00:00+00:00,0.00621293
2010-06-29 00:00:00+00:00,-0.07437200
2010-06-30 00:00:00+00:00,-0.00336306
2010-07-01 00:00:00+00:00,-0.03569322
2010-07-02 00:00:00+00:00,-0.00712801
2010-07-05 00:00:00+00:00,-0.00508221
2010-07-06 00:00:00+00:00,0.03608480
2010-07-07 00:00:00+00:00,0.07683250
2010-07-08 00:00:00+00:00,0.02524107
2010-07-09 00:00:00+00:00,0.00868591
2010-07-12 00:00:00+00:00,-0.00157881
2010-07-13 00:00:00+00:00,0.03196985
2010-07-14 00:00:00+00:00,-0.00591147
2010-07-15 00:00:00+00:00,-0.01157982
2010-07-16 00:00:00+00:00,-0.03922928
2010-07-19 00:00:00+00:00,0.01692970
2010-07-20 00:00:00+00:00,-0.01451957
2010-07-21 00:00:00+00:00,-0.01637244
2010-07-22 00:00:00+00:00,0.08106936
2010-07-23 00:00:00+00:00,0.01597666
2010-07-26 00:00:00+00:00,0.00495595
2010-07-27 00:00:00+00:00,0.01509952
2010-07-28 00:00:00+00:00,-0.00327332
2010-07-29 00:00:00+00:00,-0.00779008
2010-07-30 00:00:00+00:00,0.00082259
2010-08-02 00:00:00+00:00,0.06138668
2010-08-03 00:00:00+00:00,-0.00664894
2010-08-04 00:00:00+00:00,0.01042223
2010-08-05 00:00:00+00:00,0.00477200
2010-08-06 00:00:00+00:00,-0.01919513
2010-08-09 00:00:00+00:00,0.02595847
2010-08-10 00:00:00+00:00,-0.01813697
2010-08-11 00:00:00+00:00,-0.06697736
2010-08-12 00:00:00+00:00,-0.00192997
2010-08-13 00:00:00+00:00,-0.01035340
2010-08-16 00:00:00+00:00,0.00221914
2010-08-17 00:00:00+00:00,0.03191785
2010-08-18 00:00:00+00:00,-0.00096035
2010-08-19 00:00:00+00:00,-0.03685436
2010-08-20 00:00:00+00:00,-0.02298206
2010-08-23 00:00:00+00:00,0.01146821
2010-08-24 00:00:00+00:00,-0.04013567
2010-08-25 00:00:00+00:00,-0.00704529
2010-08-26 00:00:00+00:00,-0.00619061
2010-08-27 00:00:00+00:00,0.03619712
2010-08-30 00:00:00+00:00,-0.02497517
2010-08-31 00:00:00+00:00,-0.00346620
2010-09-01 00:00:00+00:00,0.07918226
2010-09-02 00:00:00+00:00,0.01871102
2010-09-03 00:00:00+00:00,0.01822417
2010-09-06 00:00:00+00:00,0.00651554
2010-09-07 00:00:00+00:00,-0.02725054
2010-09-08 00:00:00+00:00,0.01857457
2010-09-09 00:00:00+00:00,0.01719198
2010-09-10 00:00:00+00:00,0.00994925
2010-09-13 00:00:00+00:00,0.02445251
2010-09-14 00:00:00+00:00,-0.00000000
2010-09-15 00:00:00+00:00,0.00199177
2010-09-16 00:00:00+00:00,-0.00901857
2010-09-17 00:00:00+00:00,-0.00798828
2010-09-20 00:00:00+00:00,0.03194202
