Date,EPRA-EUROPE
2022-10-21 00:00:00+00:00,-0.01526393
2022-10-24 00:00:00+00:00,0.01775186
2022-10-25 00:00:00+00:00,0.04937810
2022-10-26 00:00:00+00:00,-0.00178424
2022-10-27 00:00:00+00:00,0.02467820
2022-10-28 00:00:00+00:00,-0.01711241
2022-10-31 00:00:00+00:00,0.00387708
2022-11-01 00:00:00+00:00,0.02472727
2022-11-02 00:00:00+00:00,-0.01336640
2022-11-03 00:00:00+00:00,-0.02631859
2022-11-04 00:00:00+00:00,0.01973088
2022-11-07 00:00:00+00:00,0.00912122
2022-11-08 00:00:00+00:00,0.00413170
2022-11-09 00:00:00+00:00,0.00443906
2022-11-10 00:00:00+00:00,0.05527703
2022-11-11 00:00:00+00:00,0.00878461
2022-11-14 00:00:00+00:00,-0.01593604
2022-11-15 00:00:00+00:00,0.00173702
2022-11-16 00:00:00+00:00,-0.02325856
2022-11-17 00:00:00+00:00,-0.00896158
2022-11-18 00:00:00+00:00,0.01454096
2022-11-21 00:00:00+00:00,-0.00137339
2022-11-22 00:00:00+00:00,0.00019472
2022-11-23 00:00:00+00:00,-0.00420660
2022-11-24 00:00:00+00:00,0.02323875
2022-11-25 00:00:00+00:00,-0.00968158
2022-11-28 00:00:00+00:00,-0.01257946
2022-11-29 00:00:00+00:00,-0.00958252
2022-11-30 00:00:00+00:00,-0.01508461
2022-12-01 00:00:00+00:00,0.00828347
2022-12-02 00:00:00+00:00,0.01526462
2022-12-05 00:00:00+00:00,0.00366810
2022-12-06 00:00:00+00:00,-0.00546733
2022-12-07 00:00:00+00:00,0.08208097
2022-12-08 00:00:00+00:00,-0.00587498
2022-12-09 00:00:00+00:00,0.01935537
2022-12-12 00:00:00+00:00,-0.01311428
2022-12-13 00:00:00+00:00,0.04925374
2022-12-14 00:00:00+00:00,0.03522655
2022-12-15 00:00:00+00:00,-0.05147745
2022-12-16 00:00:00+00:00,-0.09199496
2022-12-19 00:00:00+00:00,0.00647677
2022-12-20 00:00:00+00:00,-0.04053952
2022-12-21 00:00:00+00:00,0.05393085
2022-12-22 00:00:00+00:00,-0.01626569
2022-12-27 00:00:00+00:00,0.01180345
2022-12-28 00:00:00+00:00,0.00381274
2022-12-29 00:00:00+00:00,0.02191001
2022-12-30 00:00:00+00:00,-0.00177209
2023-01-02 00:00:00+00:00,-0.01871943
2023-01-03 00:00:00+00:00,0.07356610
2023-01-04 00:00:00+00:00,0.03952344
2023-01-05 00:00:00+00:00,-0.02691496
2023-01-06 00:00:00+00:00,0.01120805
2023-01-09 00:00:00+00:00,0.01051661
2023-01-10 00:00:00+00:00,-0.00015030
2023-01-11 00:00:00+00:00,0.05849016
2023-01-12 00:00:00+00:00,0.03530655
2023-01-13 00:00:00+00:00,-0.00521177
2023-01-16 00:00:00+00:00,0.04253917
2023-01-17 00:00:00+00:00,-0.00628771
2023-01-18 00:00:00+00:00,-0.02067577
2023-01-19 00:00:00+00:00,-0.03748171
2023-01-20 00:00:00+00:00,0.00317279
2023-01-23 00:00:00+00:00,0.02306473
2023-01-24 00:00:00+00:00,-0.00610741
2023-01-25 00:00:00+00:00,-0.00492933
2023-01-26 00:00:00+00:00,-0.00014882
2023-01-27 00:00:00+00:00,0.01035226
2023-01-30 00:00:00+00:00,-0.00813184
2023-01-31 00:00:00+00:00,-0.02289020
2023-02-01 00:00:00+00:00,0.00378614
2023-02-02 00:00:00+00:00,0.12039555
2023-02-03 00:00:00+00:00,-0.03691136
2023-02-06 00:00:00+00:00,-0.03875453
2023-02-07 00:00:00+00:00,-0.02085928
2023-02-08 00:00:00+00:00,0.01898316
2023-02-09 00:00:00+00:00,0.00221814
2023-02-10 00:00:00+00:00,-0.01286967
2023-02-13 00:00:00+00:00,0.00106560
2023-02-14 00:00:00+00:00,0.00401455
2023-02-15 00:00:00+00:00,-0.02391165
2023-02-16 00:00:00+00:00,-0.00315808
2023-02-17 00:00:00+00:00,-0.00344997
2023-02-20 00:00:00+00:00,-0.00256338
2023-02-21 00:00:00+00:00,-0.03213857
2023-02-22 00:00:00+00:00,-0.02222577
2023-02-23 00:00:00+00:00,0.02063424
2023-02-24 00:00:00+00:00,-0.03053152
2023-02-27 00:00:00+00:00,0.02601514
2023-02-28 00:00:00+00:00,0.00476519
2023-03-01 00:00:00+00:00,-0.06948003
2023-03-02 00:00:00+00:00,0.00620038
2023-03-03 00:00:00+00:00,0.01948314
2023-03-06 00:00:00+00:00,0.02744791
2023-03-07 00:00:00+00:00,-0.04038210
2023-03-08 00:00:00+00:00,-0.02416474
2023-03-09 00:00:00+00:00,-0.05834353
2023-03-10 00:00:00+00:00,-0.02946333
2023-03-13 00:00:00+00:00,-0.00617934
2023-03-14 00:00:00+00:00,0.03656600
2023-03-15 00:00:00+00:00,-0.00940677
2023-03-16 00:00:00+00:00,-0.05616814
2023-03-17 00:00:00+00:00,-0.02200313
2023-03-20 00:00:00+00:00,0.02367578
2023-03-21 00:00:00+00:00,-0.00973989
2023-03-22 00:00:00+00:00,-0.03971268
2023-03-23 00:00:00+00:00,-0.03343920
2023-03-24 00:00:00+00:00,-0.03154813
2023-03-27 00:00:00+00:00,-0.01265502
2023-03-28 00:00:00+00:00,-0.04960665
2023-03-29 00:00:00+00:00,0.04821293
2023-03-30 00:00:00+00:00,0.07087853
2023-03-31 00:00:00+00:00,0.00479192
2023-04-03 00:00:00+00:00,0.00760667
2023-04-04 00:00:00+00:00,0.01037920
2023-04-05 00:00:00+00:00,-0.04068833
2023-04-06 00:00:00+00:00,0.05405022
2023-04-11 00:00:00+00:00,0.01303179
2023-04-12 00:00:00+00:00,0.02398478
2023-04-13 00:00:00+00:00,-0.00800087
2023-04-14 00:00:00+00:00,0.03817967
2023-04-17 00:00:00+00:00,0.01192891
2023-04-18 00:00:00+00:00,-0.01351235
2023-04-19 00:00:00+00:00,-0.02233449
2023-04-20 00:00:00+00:00,-0.00288058
2023-04-21 00:00:00+00:00,0.00119667
2023-04-24 00:00:00+00:00,0.00561603
2023-04-25 00:00:00+00:00,-0.03135042
2023-04-26 00:00:00+00:00,0.00672250
2023-04-27 00:00:00+00:00,0.02008074
2023-04-28 00:00:00+00:00,0.03174393
2023-05-02 00:00:00+00:00,-0.04297628
2023-05-03 00:00:00+00:00,-0.00665875
2023-05-04 00:00:00+00:00,0.00564178
2023-05-05 00:00:00+00:00,0.00871773
2023-05-08 00:00:00+00:00,0.00391910
2023-05-09 00:00:00+00:00,-0.06213925
2023-05-10 00:00:00+00:00,0.00891755
2023-05-11 00:00:00+00:00,0.00018146
2023-05-12 00:00:00+00:00,-0.02834106
2023-05-15 00:00:00+00:00,0.04110380
2023-05-16 00:00:00+00:00,-0.00779320
2023-05-17 00:00:00+00:00,-0.01547800
2023-05-18 00:00:00+00:00,-0.03418054
2023-05-19 00:00:00+00:00,0.01014445
2023-05-22 00:00:00+00:00,0.01463692
2023-05-23 00:00:00+00:00,0.03671040
2023-05-24 00:00:00+00:00,-0.05225807
2023-05-25 00:00:00+00:00,-0.02814580
2023-05-26 00:00:00+00:00,-0.00376116
2023-05-30 00:00:00+00:00,0.00381644
2023-05-31 00:00:00+00:00,-0.00517560
2023-06-01 00:00:00+00:00,0.00634392
2023-06-02 00:00:00+00:00,0.07261005
2023-06-05 00:00:00+00:00,0.00259835
