Date,COAL
2007-05-08 00:00:00+00:00,0.00671612
2007-05-09 00:00:00+00:00,0.00319430
2007-05-10 00:00:00+00:00,-0.00706784
2007-05-11 00:00:00+00:00,0.00183668
2007-05-14 00:00:00+00:00,0.00533724
2007-05-15 00:00:00+00:00,0.00122906
2007-05-16 00:00:00+00:00,-0.00148583
2007-05-17 00:00:00+00:00,-0.01848444
2007-05-18 00:00:00+00:00,-0.01672361
2007-05-21 00:00:00+00:00,0.01227308
2007-05-22 00:00:00+00:00,-0.01332278
2007-05-23 00:00:00+00:00,0.01919825
2007-05-24 00:00:00+00:00,-0.01464244
2007-05-25 00:00:00+00:00,0.01018272
2007-05-29 00:00:00+00:00,0.00873561
2007-05-30 00:00:00+00:00,-0.00708070
2007-05-31 00:00:00+00:00,0.02664417
2007-06-01 00:00:00+00:00,0.02218709
2007-06-04 00:00:00+00:00,0.03331879
2007-06-05 00:00:00+00:00,0.00109938
2007-06-06 00:00:00+00:00,-0.01722346
2007-06-07 00:00:00+00:00,-0.01284159
2007-06-08 00:00:00+00:00,0.00918653
2007-06-11 00:00:00+00:00,0.01847667
2007-06-12 00:00:00+00:00,0.00703215
2007-06-13 00:00:00+00:00,0.00772271
2007-06-14 00:00:00+00:00,-0.01647787
2007-06-15 00:00:00+00:00,0.02350480
2007-06-18 00:00:00+00:00,0.00891088
2007-06-19 00:00:00+00:00,0.01015616
2007-06-20 00:00:00+00:00,0.03247795
2007-06-21 00:00:00+00:00,0.03337246
2007-06-22 00:00:00+00:00,0.02598623
2007-06-25 00:00:00+00:00,0.01825674
2007-06-26 00:00:00+00:00,-0.04348996
2007-06-27 00:00:00+00:00,-0.00083947
2007-06-28 00:00:00+00:00,-0.01392305
2007-06-29 00:00:00+00:00,-0.01466410
2007-07-02 00:00:00+00:00,-0.03439561
2007-07-03 00:00:00+00:00,-0.02402986
2007-07-04 00:00:00+00:00,-0.01193908
2007-07-05 00:00:00+00:00,-0.02916770
2007-07-06 00:00:00+00:00,0.01305988
2007-07-09 00:00:00+00:00,0.00967454
2007-07-10 00:00:00+00:00,0.01159069
2007-07-11 00:00:00+00:00,0.01089749
2007-07-12 00:00:00+00:00,0.02571945
2007-07-13 00:00:00+00:00,0.01882973
2007-07-16 00:00:00+00:00,0.00791993
2007-07-17 00:00:00+00:00,-0.01706458
2007-07-18 00:00:00+00:00,0.00293170
2007-07-19 00:00:00+00:00,0.00921252
2007-07-20 00:00:00+00:00,0.01227883
2007-07-23 00:00:00+00:00,0.01587707
2007-07-24 00:00:00+00:00,-0.01255259
2007-07-25 00:00:00+00:00,-0.01759145
2007-07-26 00:00:00+00:00,-0.01899325
2007-07-27 00:00:00+00:00,-0.00593589
2007-07-30 00:00:00+00:00,0.04367474
2007-07-31 00:00:00+00:00,0.03469183
2007-08-01 00:00:00+00:00,0.01995220
2007-08-02 00:00:00+00:00,0.02036175
2007-08-03 00:00:00+00:00,0.03799182
2007-08-06 00:00:00+00:00,0.01442705
2007-08-07 00:00:00+00:00,-0.01013245
2007-08-08 00:00:00+00:00,0.00561724
2007-08-09 00:00:00+00:00,0.00855604
2007-08-10 00:00:00+00:00,0.01317788
2007-08-13 00:00:00+00:00,0.00384002
2007-08-14 00:00:00+00:00,0.01198531
2007-08-15 00:00:00+00:00,0.00208858
2007-08-16 00:00:00+00:00,-0.00466545
2007-08-17 00:00:00+00:00,-0.03102881
2007-08-20 00:00:00+00:00,0.01267958
2007-08-21 00:00:00+00:00,-0.04137029
2007-08-22 00:00:00+00:00,0.00870037
2007-08-23 00:00:00+00:00,0.02454145
2007-08-24 00:00:00+00:00,0.01142577
2007-08-27 00:00:00+00:00,-0.00020783
2007-08-28 00:00:00+00:00,0.03345204
2007-08-29 00:00:00+00:00,-0.01383128
2007-08-30 00:00:00+00:00,0.01582353
2007-08-31 00:00:00+00:00,0.01568320
2007-09-03 00:00:00+00:00,0.01559332
2007-09-04 00:00:00+00:00,0.02610935
2007-09-05 00:00:00+00:00,0.00587832
2007-09-06 00:00:00+00:00,0.03283598
2007-09-07 00:00:00+00:00,0.00519051
2007-09-10 00:00:00+00:00,-0.02498051
2007-09-11 00:00:00+00:00,-0.00184195
2007-09-12 00:00:00+00:00,0.00373388
2007-09-13 00:00:00+00:00,-0.00348453
2007-09-14 00:00:00+00:00,-0.00019519
2007-09-17 00:00:00+00:00,0.01964767
2007-09-18 00:00:00+00:00,0.01881621
2007-09-19 00:00:00+00:00,0.05837769
2007-09-20 00:00:00+00:00,0.04512244
2007-09-21 00:00:00+00:00,0.04725962
2007-09-24 00:00:00+00:00,-0.01213049
2007-09-25 00:00:00+00:00,-0.02323587
2007-09-26 00:00:00+00:00,-0.02049171
2007-09-27 00:00:00+00:00,0.06647967
2007-09-28 00:00:00+00:00,0.05453673
2007-10-01 00:00:00+00:00,-0.02058090
2007-10-02 00:00:00+00:00,-0.01095715
2007-10-03 00:00:00+00:00,-0.01298964
2007-10-04 00:00:00+00:00,0.01465810
2007-10-05 00:00:00+00:00,0.03411909
2007-10-08 00:00:00+00:00,0.05990151
2007-10-09 00:00:00+00:00,0.01230383
2007-10-10 00:00:00+00:00,0.03745208
2007-10-11 00:00:00+00:00,0.00025234
2007-10-12 00:00:00+00:00,-0.01143643
2007-10-15 00:00:00+00:00,0.02442920
2007-10-16 00:00:00+00:00,0.05642735
2007-10-17 00:00:00+00:00,0.03919142
2007-10-18 00:00:00+00:00,0.08135362
2007-10-19 00:00:00+00:00,0.08314300
2007-10-22 00:00:00+00:00,-0.03181478
2007-10-23 00:00:00+00:00,0.02585635
2007-10-24 00:00:00+00:00,-0.00217123
2007-10-25 00:00:00+00:00,0.00782956
2007-10-26 00:00:00+00:00,0.02668380
2007-10-29 00:00:00+00:00,0.05755033
2007-10-30 00:00:00+00:00,-0.09033038
2007-10-31 00:00:00+00:00,-0.00552453
2007-11-01 00:00:00+00:00,0.02679653
2007-11-02 00:00:00+00:00,0.00862552
2007-11-05 00:00:00+00:00,-0.00018839
2007-11-06 00:00:00+00:00,-0.00883279
2007-11-07 00:00:00+00:00,0.01244294
2007-11-08 00:00:00+00:00,-0.02763090
2007-11-09 00:00:00+00:00,-0.00097401
2007-11-12 00:00:00+00:00,-0.01135326
2007-11-13 00:00:00+00:00,-0.00493901
2007-11-14 00:00:00+00:00,-0.03058108
2007-11-15 00:00:00+00:00,0.00106025
2007-11-16 00:00:00+00:00,0.01102762
2007-11-19 00:00:00+00:00,-0.02270091
2007-11-20 00:00:00+00:00,0.02886823
2007-11-21 00:00:00+00:00,0.02236940
2007-11-22 00:00:00+00:00,0.01270568
2007-11-23 00:00:00+00:00,0.06536686
2007-11-26 00:00:00+00:00,-0.06013304
