Date,GICS
2001-03-16 00:00:00+00:00,0.00214141
2001-03-19 00:00:00+00:00,-0.01007648
2001-03-20 00:00:00+00:00,-0.00041043
2001-03-21 00:00:00+00:00,0.00866315
2001-03-22 00:00:00+00:00,-0.00897443
2001-03-23 00:00:00+00:00,0.03494222
2001-03-26 00:00:00+00:00,0.01192364
2001-03-27 00:00:00+00:00,0.02571400
2001-03-28 00:00:00+00:00,-0.05545551
2001-03-29 00:00:00+00:00,-0.01425773
2001-03-30 00:00:00+00:00,-0.02156746
2001-04-02 00:00:00+00:00,-0.02032206
2001-04-03 00:00:00+00:00,0.02717339
2001-04-04 00:00:00+00:00,0.04740591
2001-04-05 00:00:00+00:00,0.02177157
2001-04-06 00:00:00+00:00,-0.01914504
2001-04-09 00:00:00+00:00,0.01353235
2001-04-10 00:00:00+00:00,0.05169152
2001-04-11 00:00:00+00:00,-0.01198233
2001-04-12 00:00:00+00:00,0.00644776
2001-04-16 00:00:00+00:00,0.03634740
2001-04-17 00:00:00+00:00,-0.02046128
2001-04-18 00:00:00+00:00,-0.01982135
2001-04-19 00:00:00+00:00,-0.00811084
2001-04-20 00:00:00+00:00,-0.01567588
2001-04-23 00:00:00+00:00,-0.00619440
2001-04-24 00:00:00+00:00,-0.03091074
2001-04-25 00:00:00+00:00,0.01465352
2001-04-26 00:00:00+00:00,0.03284206
2001-04-27 00:00:00+00:00,-0.00704683
2001-04-30 00:00:00+00:00,-0.00105336
2001-05-01 00:00:00+00:00,0.01544951
2001-05-02 00:00:00+00:00,-0.04217781
2001-05-03 00:00:00+00:00,0.03065144
2001-05-04 00:00:00+00:00,-0.00372031
2001-05-07 00:00:00+00:00,-0.03046662
2001-05-08 00:00:00+00:00,-0.00242371
2001-05-09 00:00:00+00:00,0.00830895
2001-05-10 00:00:00+00:00,0.01521387
2001-05-11 00:00:00+00:00,-0.01491533
2001-05-14 00:00:00+00:00,0.00435784
2001-05-15 00:00:00+00:00,0.02233599
2001-05-16 00:00:00+00:00,-0.02326392
2001-05-17 00:00:00+00:00,0.01201991
2001-05-18 00:00:00+00:00,0.03877240
2001-05-21 00:00:00+00:00,-0.01549231
2001-05-22 00:00:00+00:00,-0.00547154
2001-05-23 00:00:00+00:00,-0.00791556
2001-05-24 00:00:00+00:00,-0.03467619
2001-05-25 00:00:00+00:00,-0.01723931
2001-05-29 00:00:00+00:00,-0.00542463
2001-05-30 00:00:00+00:00,0.00076367
2001-05-31 00:00:00+00:00,-0.00908699
2001-06-01 00:00:00+00:00,-0.00222637
2001-06-04 00:00:00+00:00,0.00675368
2001-06-05 00:00:00+00:00,-0.00153343
2001-06-06 00:00:00+00:00,-0.02598431
2001-06-07 00:00:00+00:00,0.00801369
2001-06-08 00:00:00+00:00,0.02258657
2001-06-11 00:00:00+00:00,0.02588537
2001-06-12 00:00:00+00:00,0.01519043
2001-06-13 00:00:00+00:00,-0.02252362
2001-06-14 00:00:00+00:00,0.00437305
2001-06-15 00:00:00+00:00,-0.01911346
2001-06-18 00:00:00+00:00,-0.04024295
2001-06-19 00:00:00+00:00,-0.00154635
2001-06-20 00:00:00+00:00,-0.06204190
2001-06-21 00:00:00+00:00,-0.00207908
2001-06-22 00:00:00+00:00,0.00658088
2001-06-25 00:00:00+00:00,-0.00014975
2001-06-26 00:00:00+00:00,-0.01044162
2001-06-27 00:00:00+00:00,-0.05866320
2001-06-28 00:00:00+00:00,-0.01007386
2001-06-29 00:00:00+00:00,0.01483928
2001-07-02 00:00:00+00:00,-0.00956535
2001-07-03 00:00:00+00:00,0.01081726
2001-07-05 00:00:00+00:00,0.01669361
2001-07-06 00:00:00+00:00,0.05095118
2001-07-09 00:00:00+00:00,-0.01449866
2001-07-10 00:00:00+00:00,-0.00082596
2001-07-11 00:00:00+00:00,-0.00252427
2001-07-12 00:00:00+00:00,0.00908339
2001-07-13 00:00:00+00:00,-0.02631685
2001-07-16 00:00:00+00:00,-0.02175486
2001-07-17 00:00:00+00:00,0.00877465
2001-07-18 00:00:00+00:00,-0.03572496
2001-07-19 00:00:00+00:00,-0.02179264
2001-07-20 00:00:00+00:00,0.02325797
2001-07-23 00:00:00+00:00,0.00839060
2001-07-24 00:00:00+00:00,0.00109789
2001-07-25 00:00:00+00:00,0.03860524
2001-07-26 00:00:00+00:00,-0.00162325
2001-07-27 00:00:00+00:00,0.00917075
2001-07-30 00:00:00+00:00,-0.01528939
2001-07-31 00:00:00+00:00,-0.02057520
2001-08-01 00:00:00+00:00,-0.00288162
2001-08-02 00:00:00+00:00,0.04557395
2001-08-03 00:00:00+00:00,-0.02053991
2001-08-06 00:00:00+00:00,0.00720860
2001-08-07 00:00:00+00:00,0.00670139
2001-08-08 00:00:00+00:00,-0.00884519
2001-08-09 00:00:00+00:00,-0.00210478
2001-08-10 00:00:00+00:00,0.02016365
2001-08-13 00:00:00+00:00,-0.00281070
2001-08-14 00:00:00+00:00,0.00638545
2001-08-15 00:00:00+00:00,0.00322960
2001-08-16 00:00:00+00:00,-0.01629669
2001-08-17 00:00:00+00:00,-0.04150992
2001-08-20 00:00:00+00:00,0.00457069
2001-08-21 00:00:00+00:00,0.01446715
2001-08-22 00:00:00+00:00,-0.01884859
2001-08-23 00:00:00+00:00,0.01079161
2001-08-24 00:00:00+00:00,0.00973753
2001-08-27 00:00:00+00:00,-0.01687339
2001-08-28 00:00:00+00:00,0.01796550
2001-08-29 00:00:00+00:00,-0.00285572
2001-08-30 00:00:00+00:00,-0.02403929
2001-08-31 00:00:00+00:00,0.01952869
2001-09-04 00:00:00+00:00,-0.01100267
2001-09-05 00:00:00+00:00,0.00704767
2001-09-06 00:00:00+00:00,0.02037754
2001-09-07 00:00:00+00:00,0.01698692
2001-09-10 00:00:00+00:00,-0.01332249
2001-09-13 00:00:00+00:00,0.08010959
2001-09-14 00:00:00+00:00,0.01653383
2001-09-17 00:00:00+00:00,-0.04644186
2001-09-18 00:00:00+00:00,-0.06631818
2001-09-19 00:00:00+00:00,-0.05613719
2001-09-20 00:00:00+00:00,-0.00365879
2001-09-21 00:00:00+00:00,-0.03959052
2001-09-24 00:00:00+00:00,-0.13846641
2001-09-25 00:00:00+00:00,-0.00575052
2001-09-26 00:00:00+00:00,0.02011509
2001-09-27 00:00:00+00:00,0.00543511
2001-09-28 00:00:00+00:00,0.01292786
2001-10-01 00:00:00+00:00,-0.00149823
2001-10-02 00:00:00+00:00,-0.02493966
2001-10-03 00:00:00+00:00,-0.01800337
2001-10-04 00:00:00+00:00,0.02584337
2001-10-05 00:00:00+00:00,-0.01682909
2001-10-08 00:00:00+00:00,0.01564089
2001-10-09 00:00:00+00:00,-0.00116803
2001-10-10 00:00:00+00:00,0.00653533
2001-10-11 00:00:00+00:00,0.03054532
2001-10-12 00:00:00+00:00,-0.05309240
2001-10-15 00:00:00+00:00,-0.02633072
2001-10-16 00:00:00+00:00,0.01348903
2001-10-17 00:00:00+00:00,-0.02146487
2001-10-18 00:00:00+00:00,-0.02539981
2001-10-19 00:00:00+00:00,0.04224739
2001-10-22 00:00:00+00:00,0.00241935
2001-10-23 00:00:00+00:00,-0.02067345
2001-10-24 00:00:00+00:00,0.03287687
2001-10-25 00:00:00+00:00,-0.01687425
2001-10-26 00:00:00+00:00,0.01032557
2001-10-29 00:00:00+00:00,0.00857742
2001-10-30 00:00:00+00:00,-0.01792921
2001-10-31 00:00:00+00:00,-0.02290278
2001-11-01 00:00:00+00:00,-0.03655802
2001-11-02 00:00:00+00:00,-0.01374265
2001-11-05 00:00:00+00:00,-0.02993570
2001-11-06 00:00:00+00:00,-0.01138280
2001-11-07 00:00:00+00:00,0.02767275
2001-11-08 00:00:00+00:00,0.05371372
2001-11-09 00:00:00+00:00,0.04860569
2001-11-12 00:00:00+00:00,-0.06000084
2001-11-13 00:00:00+00:00,0.03693076
2001-11-14 00:00:00+00:00,-0.08176259
2001-11-15 00:00:00+00:00,-0.09940701
2001-11-16 00:00:00+00:00,0.03029663
2001-11-19 00:00:00+00:00,0.01347408
2001-11-20 00:00:00+00:00,0.03108512
2001-11-21 00:00:00+00:00,-0.00719734
2001-11-23 00:00:00+00:00,0.01530250
2001-11-26 00:00:00+00:00,-0.02952165
2001-11-27 00:00:00+00:00,0.05138851
2001-11-28 00:00:00+00:00,-0.04143382
2001-11-29 00:00:00+00:00,-0.02510503
2001-11-30 00:00:00+00:00,0.03668684
2001-12-03 00:00:00+00:00,0.04020418
2001-12-04 00:00:00+00:00,-0.03448565
2001-12-05 00:00:00+00:00,-0.00662465
2001-12-06 00:00:00+00:00,-0.04980588
2001-12-07 00:00:00+00:00,0.01881200
2001-12-10 00:00:00+00:00,-0.02729218
2001-12-11 00:00:00+00:00,-0.00586906
2001-12-12 00:00:00+00:00,0.00293754
2001-12-13 00:00:00+00:00,-0.01773171
2001-12-14 00:00:00+00:00,0.05994566
2001-12-17 00:00:00+00:00,0.00820990
2001-12-18 00:00:00+00:00,-0.00187992
2001-12-19 00:00:00+00:00,0.00581505
2001-12-20 00:00:00+00:00,-0.02429035
2001-12-21 00:00:00+00:00,0.02619823
2001-12-24 00:00:00+00:00,0.01169619
2001-12-26 00:00:00+00:00,0.06089398
2001-12-27 00:00:00+00:00,-0.01490117
2001-12-28 00:00:00+00:00,-0.01615771
2001-12-31 00:00:00+00:00,-0.04984254
2002-01-02 00:00:00+00:00,0.05145289
2002-01-03 00:00:00+00:00,-0.02959976
2002-01-04 00:00:00+00:00,0.05832350
2002-01-07 00:00:00+00:00,0.00189434
2002-01-08 00:00:00+00:00,0.00674260
2002-01-09 00:00:00+00:00,-0.04820419
2002-01-10 00:00:00+00:00,0.00803311
2002-01-11 00:00:00+00:00,-0.01715191
2002-01-14 00:00:00+00:00,-0.03780719
2002-01-15 00:00:00+00:00,0.00912151
2002-01-16 00:00:00+00:00,0.00790513
2002-01-17 00:00:00+00:00,-0.04611814
2002-01-18 00:00:00+00:00,-0.00704042
2002-01-22 00:00:00+00:00,-0.00192236
2002-01-23 00:00:00+00:00,0.02357026
2002-01-24 00:00:00+00:00,0.00739822
2002-01-25 00:00:00+00:00,0.01602623
2002-01-28 00:00:00+00:00,-0.00957054
2002-01-29 00:00:00+00:00,-0.01978108
2002-01-30 00:00:00+00:00,-0.03078956
2002-01-31 00:00:00+00:00,0.03473716
2002-02-01 00:00:00+00:00,-0.00010406
2002-02-04 00:00:00+00:00,-0.00905152
2002-02-05 00:00:00+00:00,0.00109670
2002-02-06 00:00:00+00:00,-0.00730610
2002-02-07 00:00:00+00:00,-0.00130329
2002-02-08 00:00:00+00:00,0.01610395
2002-02-11 00:00:00+00:00,0.02690758
2002-02-12 00:00:00+00:00,-0.00910724
2002-02-13 00:00:00+00:00,0.00589876
2002-02-14 00:00:00+00:00,-0.00310498
2002-02-15 00:00:00+00:00,0.00049674
2002-02-19 00:00:00+00:00,0.02570669
2002-02-20 00:00:00+00:00,-0.01975682
2002-02-21 00:00:00+00:00,0.02547776
2002-02-22 00:00:00+00:00,-0.00124977
2002-02-25 00:00:00+00:00,-0.03572559
2002-02-26 00:00:00+00:00,0.04434080
2002-02-27 00:00:00+00:00,0.00732069
2002-02-28 00:00:00+00:00,0.00217556
2002-03-01 00:00:00+00:00,-0.00010447
2002-03-04 00:00:00+00:00,0.00566554
2002-03-05 00:00:00+00:00,0.01703811
2002-03-06 00:00:00+00:00,0.00560954
2002-03-07 00:00:00+00:00,0.02275253
2002-03-08 00:00:00+00:00,-0.00010503
2002-03-11 00:00:00+00:00,0.02566484
2002-03-12 00:00:00+00:00,-0.00010600
2002-03-13 00:00:00+00:00,0.10509286
2002-03-14 00:00:00+00:00,0.00503803
2002-03-15 00:00:00+00:00,-0.00010642
2002-03-18 00:00:00+00:00,0.03878675
2002-03-19 00:00:00+00:00,-0.00363717
2002-03-20 00:00:00+00:00,-0.01448207
2002-03-21 00:00:00+00:00,0.01614604
2002-03-22 00:00:00+00:00,0.00954357
2002-03-25 00:00:00+00:00,-0.03027973
2002-03-26 00:00:00+00:00,0.01420245
2002-03-27 00:00:00+00:00,0.02312464
2002-03-28 00:00:00+00:00,0.01483535
2002-04-01 00:00:00+00:00,0.00978142
2002-04-02 00:00:00+00:00,0.02312766
2002-04-03 00:00:00+00:00,-0.00751962
2002-04-04 00:00:00+00:00,-0.02234880
2002-04-05 00:00:00+00:00,-0.01468636
2002-04-08 00:00:00+00:00,0.00409790
2002-04-09 00:00:00+00:00,-0.01147248
2002-04-10 00:00:00+00:00,-0.00059698
2002-04-11 00:00:00+00:00,-0.02976187
2002-04-12 00:00:00+00:00,-0.02976159
2002-04-15 00:00:00+00:00,0.02708440
2002-04-16 00:00:00+00:00,0.00483965
2002-04-17 00:00:00+00:00,0.02214097
2002-04-18 00:00:00+00:00,0.00484021
2002-04-19 00:00:00+00:00,-0.00010322
2002-04-22 00:00:00+00:00,-0.01388778
2002-04-23 00:00:00+00:00,0.01296210
2002-04-24 00:00:00+00:00,-0.01004825
2002-04-25 00:00:00+00:00,-0.00631931
2002-04-26 00:00:00+00:00,0.00441316
2002-04-29 00:00:00+00:00,0.01244244
2002-04-30 00:00:00+00:00,0.03276894
2002-05-01 00:00:00+00:00,-0.00010433
2002-05-02 00:00:00+00:00,-0.01132284
2002-05-03 00:00:00+00:00,0.00136653
2002-05-06 00:00:00+00:00,-0.00990853
2002-05-07 00:00:00+00:00,0.01215085
2002-05-08 00:00:00+00:00,0.01705281
2002-05-09 00:00:00+00:00,-0.00255531
2002-05-10 00:00:00+00:00,0.00724861
2002-05-13 00:00:00+00:00,0.01116962
2002-05-14 00:00:00+00:00,0.01803264
2002-05-15 00:00:00+00:00,-0.02461386
2002-05-16 00:00:00+00:00,-0.00990770
