Date,BTP
2011-02-02 00:00:00+00:00,0.01734859
2011-02-03 00:00:00+00:00,-0.01398335
2011-02-04 00:00:00+00:00,0.00306319
2011-02-07 00:00:00+00:00,-0.01135717
2011-02-08 00:00:00+00:00,-0.00960978
2011-02-09 00:00:00+00:00,-0.00237173
2011-02-10 00:00:00+00:00,-0.00000388
2011-02-11 00:00:00+00:00,-0.00219109
2011-02-14 00:00:00+00:00,-0.00529682
2011-02-15 00:00:00+00:00,0.00374727
2011-02-16 00:00:00+00:00,0.01095811
2011-02-17 00:00:00+00:00,-0.00445501
2011-02-18 00:00:00+00:00,-0.00636173
2011-02-21 00:00:00+00:00,0.00036120
2011-02-22 00:00:00+00:00,-0.00291919
2011-02-23 00:00:00+00:00,-0.00237642
2011-02-24 00:00:00+00:00,-0.00402307
2011-02-25 00:00:00+00:00,-0.00275004
2011-02-28 00:00:00+00:00,0.00036203
2011-03-01 00:00:00+00:00,0.00274494
2011-03-02 00:00:00+00:00,0.00301555
2011-03-03 00:00:00+00:00,-0.01499096
2011-03-04 00:00:00+00:00,-0.01363193
2011-03-07 00:00:00+00:00,0.00018360
2011-03-08 00:00:00+00:00,-0.00438989
2011-03-09 00:00:00+00:00,-0.00319021
2011-03-10 00:00:00+00:00,0.00150272
2011-03-11 00:00:00+00:00,0.00835548
2011-03-14 00:00:00+00:00,0.00791348
2011-03-15 00:00:00+00:00,0.00517136
2011-03-16 00:00:00+00:00,0.00247918
2011-03-17 00:00:00+00:00,-0.00403673
2011-03-18 00:00:00+00:00,0.00432504
2011-03-21 00:00:00+00:00,-0.00339381
2011-03-22 00:00:00+00:00,-0.00368198
2011-03-23 00:00:00+00:00,0.00027385
2011-03-24 00:00:00+00:00,0.00045908
2011-03-25 00:00:00+00:00,0.00138129
2011-03-28 00:00:00+00:00,-0.00230548
2011-03-29 00:00:00+00:00,-0.00101845
2011-03-30 00:00:00+00:00,0.00129141
2011-03-31 00:00:00+00:00,-0.00341810
2011-04-01 00:00:00+00:00,0.00138765
2011-04-04 00:00:00+00:00,0.00434629
2011-04-05 00:00:00+00:00,-0.00055456
2011-04-06 00:00:00+00:00,0.00303908
2011-04-07 00:00:00+00:00,-0.00064423
2011-04-08 00:00:00+00:00,-0.00082850
2011-04-11 00:00:00+00:00,0.00303502
