Date,EU-RETAIL
2021-03-29 00:00:00+00:00,-0.00192534
2021-03-30 00:00:00+00:00,0.01566956
2021-03-31 00:00:00+00:00,-0.00925770
2021-04-01 00:00:00+00:00,0.01676998
2021-04-06 00:00:00+00:00,0.00141321
2021-04-07 00:00:00+00:00,-0.00164748
2021-04-08 00:00:00+00:00,0.00377050
2021-04-09 00:00:00+00:00,0.00915672
2021-04-12 00:00:00+00:00,-0.00977249
2021-04-13 00:00:00+00:00,0.01597689
2021-04-14 00:00:00+00:00,0.00693746
2021-04-15 00:00:00+00:00,0.00321502
2021-04-16 00:00:00+00:00,0.01053064
2021-04-19 00:00:00+00:00,0.00702255
2021-04-20 00:00:00+00:00,-0.03082184
2021-04-21 00:00:00+00:00,0.02042647
2021-04-22 00:00:00+00:00,0.00887115
2021-04-23 00:00:00+00:00,-0.00383370
2021-04-26 00:00:00+00:00,0.00543191
2021-04-27 00:00:00+00:00,-0.00495314
2021-04-28 00:00:00+00:00,0.00497688
2021-04-29 00:00:00+00:00,0.00585286
2021-04-30 00:00:00+00:00,-0.00022417
2021-05-03 00:00:00+00:00,0.00514845
2021-05-04 00:00:00+00:00,-0.00601378
2021-05-05 00:00:00+00:00,0.02240595
2021-05-06 00:00:00+00:00,0.00153366
2021-05-07 00:00:00+00:00,0.00459477
2021-05-10 00:00:00+00:00,0.01001933
2021-05-11 00:00:00+00:00,-0.02393831
2021-05-12 00:00:00+00:00,-0.00110514
2021-05-13 00:00:00+00:00,0.00044202
2021-05-14 00:00:00+00:00,0.02056130
2021-05-17 00:00:00+00:00,0.00281601
2021-05-18 00:00:00+00:00,0.00518429
2021-05-19 00:00:00+00:00,-0.00838211
2021-05-20 00:00:00+00:00,0.00866904
2021-05-21 00:00:00+00:00,0.00107421
2021-05-24 00:00:00+00:00,0.00257538
2021-05-25 00:00:00+00:00,0.00342497
2021-05-26 00:00:00+00:00,0.00789390
2021-05-27 00:00:00+00:00,-0.00084702
2021-05-28 00:00:00+00:00,0.00762676
2021-05-31 00:00:00+00:00,-0.00315427
2021-06-01 00:00:00+00:00,0.00316347
2021-06-02 00:00:00+00:00,0.00378414
2021-06-03 00:00:00+00:00,-0.00586566
2021-06-04 00:00:00+00:00,-0.00021126
2021-06-07 00:00:00+00:00,0.00758624
2021-06-08 00:00:00+00:00,0.00376421
2021-06-09 00:00:00+00:00,-0.00937765
2021-06-10 00:00:00+00:00,-0.00946641
2021-06-11 00:00:00+00:00,0.08770362
2021-06-14 00:00:00+00:00,0.00152925
2021-06-15 00:00:00+00:00,-0.00516022
2021-06-16 00:00:00+00:00,0.00021035
2021-06-17 00:00:00+00:00,0.00804127
2021-06-18 00:00:00+00:00,-0.01637737
2021-06-21 00:00:00+00:00,0.01088467
2021-06-22 00:00:00+00:00,0.00781131
2021-06-23 00:00:00+00:00,-0.01320052
2021-06-24 00:00:00+00:00,0.01188812
2021-06-25 00:00:00+00:00,0.00419492
2021-06-28 00:00:00+00:00,-0.01567212
2021-06-29 00:00:00+00:00,0.00466850
2021-06-30 00:00:00+00:00,-0.00655103
2021-07-01 00:00:00+00:00,0.00233810
2021-07-02 00:00:00+00:00,0.00127166
2021-07-05 00:00:00+00:00,0.00911068
2021-07-06 00:00:00+00:00,-0.01134111
2021-07-07 00:00:00+00:00,0.01104356
2021-07-08 00:00:00+00:00,-0.03088382
2021-07-09 00:00:00+00:00,0.02059250
2021-07-12 00:00:00+00:00,0.00042334
2021-07-13 00:00:00+00:00,0.00106015
2021-07-14 00:00:00+00:00,0.00317992
2021-07-15 00:00:00+00:00,-0.03002248
2021-07-16 00:00:00+00:00,-0.00479640
2021-07-19 00:00:00+00:00,-0.02518744
2021-07-20 00:00:00+00:00,0.00516596
2021-07-21 00:00:00+00:00,0.02793779
2021-07-22 00:00:00+00:00,0.00673926
2021-07-23 00:00:00+00:00,0.01252558
2021-07-26 00:00:00+00:00,0.00063865
2021-07-27 00:00:00+00:00,-0.01279187
2021-07-28 00:00:00+00:00,0.01425037
2021-07-29 00:00:00+00:00,-0.00553673
2021-07-30 00:00:00+00:00,-0.00899293
2021-08-02 00:00:00+00:00,0.01620087
2021-08-03 00:00:00+00:00,-0.00106434
2021-08-04 00:00:00+00:00,0.00276513
2021-08-05 00:00:00+00:00,-0.00254816
2021-08-06 00:00:00+00:00,-0.00000142
2021-08-09 00:00:00+00:00,-0.00063971
2021-08-10 00:00:00+00:00,0.00319197
2021-08-11 00:00:00+00:00,0.00403084
2021-08-12 00:00:00+00:00,0.00760797
2021-08-13 00:00:00+00:00,0.00293539
2021-08-16 00:00:00+00:00,-0.02782020
2021-08-17 00:00:00+00:00,-0.00817761
2021-08-18 00:00:00+00:00,-0.00238781
2021-08-19 00:00:00+00:00,-0.03957529
2021-08-20 00:00:00+00:00,0.01154483
2021-08-23 00:00:00+00:00,0.01521792
2021-08-24 00:00:00+00:00,-0.00176528
2021-08-25 00:00:00+00:00,0.00839081
2021-08-26 00:00:00+00:00,-0.01073297
2021-08-27 00:00:00+00:00,-0.00088702
2021-08-30 00:00:00+00:00,0.00221454
2021-08-31 00:00:00+00:00,-0.00574967
2021-09-01 00:00:00+00:00,0.02090155
2021-09-02 00:00:00+00:00,-0.00087255
2021-09-03 00:00:00+00:00,-0.00872157
2021-09-06 00:00:00+00:00,0.00813596
2021-09-07 00:00:00+00:00,-0.00000114
2021-09-08 00:00:00+00:00,0.00174392
2021-09-09 00:00:00+00:00,-0.00174344
2021-09-10 00:00:00+00:00,-0.03163310
2021-09-13 00:00:00+00:00,-0.02015384
2021-09-14 00:00:00+00:00,-0.00093790
2021-09-15 00:00:00+00:00,-0.02036864
2021-09-16 00:00:00+00:00,0.00768264
2021-09-17 00:00:00+00:00,0.00807250
2021-09-20 00:00:00+00:00,-0.00934455
2021-09-21 00:00:00+00:00,-0.00426748
2021-09-22 00:00:00+00:00,0.01127567
2021-09-23 00:00:00+00:00,0.00869676
2021-09-24 00:00:00+00:00,-0.01790944
2021-09-27 00:00:00+00:00,-0.00067620
2021-09-28 00:00:00+00:00,-0.02072653
2021-09-29 00:00:00+00:00,0.00897057
2021-09-30 00:00:00+00:00,-0.00752500
2021-10-01 00:00:00+00:00,-0.00229832
2021-10-04 00:00:00+00:00,-0.00690872
2021-10-05 00:00:00+00:00,0.00556343
2021-10-06 00:00:00+00:00,-0.02720902
2021-10-07 00:00:00+00:00,0.01469395
2021-10-08 00:00:00+00:00,-0.00257091
2021-10-11 00:00:00+00:00,-0.00632460
2021-10-12 00:00:00+00:00,-0.00589347
2021-10-13 00:00:00+00:00,0.01920200
2021-10-14 00:00:00+00:00,0.01255978
