Date,JPY
2000-09-08 00:00:00+00:00,-0.02103631
2000-09-11 00:00:00+00:00,0.00089449
2000-09-12 00:00:00+00:00,-0.01711180
2000-09-13 00:00:00+00:00,-0.00550518
2000-09-14 00:00:00+00:00,-0.00884100
2000-09-15 00:00:00+00:00,0.01822720
2000-09-18 00:00:00+00:00,0.00617130
2000-09-19 00:00:00+00:00,-0.00058753
2000-09-20 00:00:00+00:00,0.00552049
2000-09-21 00:00:00+00:00,-0.00237130
2000-09-22 00:00:00+00:00,-0.02665645
2000-09-25 00:00:00+00:00,0.00579867
2000-09-26 00:00:00+00:00,0.00195738
2000-09-27 00:00:00+00:00,0.00556161
2000-09-28 00:00:00+00:00,-0.00588108
2000-09-29 00:00:00+00:00,-0.01141355
2000-10-02 00:00:00+00:00,-0.01414382
2000-10-03 00:00:00+00:00,0.00047627
2000-10-04 00:00:00+00:00,-0.00983432
2000-10-05 00:00:00+00:00,0.00177397
2000-10-06 00:00:00+00:00,0.00565377
2000-10-10 00:00:00+00:00,0.01993515
2000-10-11 00:00:00+00:00,0.00217362
2000-10-12 00:00:00+00:00,0.00036463
2000-10-13 00:00:00+00:00,-0.00590641
2000-10-16 00:00:00+00:00,-0.00677673
2000-10-17 00:00:00+00:00,0.00132717
2000-10-18 00:00:00+00:00,0.00538674
2000-10-19 00:00:00+00:00,-0.01231889
2000-10-20 00:00:00+00:00,-0.01282172
2000-10-23 00:00:00+00:00,0.01256087
2000-10-24 00:00:00+00:00,0.00476053
2000-10-25 00:00:00+00:00,-0.00402249
2000-10-26 00:00:00+00:00,-0.00488663
2000-10-27 00:00:00+00:00,-0.00489749
2000-10-30 00:00:00+00:00,-0.00749322
2000-10-31 00:00:00+00:00,-0.00168480
2000-11-01 00:00:00+00:00,0.01323809
2000-11-02 00:00:00+00:00,0.00068744
2000-11-03 00:00:00+00:00,0.02334329
2000-11-06 00:00:00+00:00,-0.00951318
2000-11-07 00:00:00+00:00,0.00558510
2000-11-08 00:00:00+00:00,-0.00400053
2000-11-09 00:00:00+00:00,-0.00304882
2000-11-10 00:00:00+00:00,-0.01041304
2000-11-13 00:00:00+00:00,0.00454605
2000-11-14 00:00:00+00:00,-0.01001334
2000-11-15 00:00:00+00:00,-0.01489996
2000-11-16 00:00:00+00:00,-0.00277048
2000-11-17 00:00:00+00:00,0.00178047
2000-11-20 00:00:00+00:00,-0.01956285
2000-11-21 00:00:00+00:00,-0.00575031
2000-11-22 00:00:00+00:00,-0.00302348
2000-11-24 00:00:00+00:00,-0.02038256
2000-11-27 00:00:00+00:00,0.01469851
2000-11-28 00:00:00+00:00,0.00688007
2000-11-29 00:00:00+00:00,-0.01948509
2000-11-30 00:00:00+00:00,0.01324267
2000-12-01 00:00:00+00:00,-0.01656830
2000-12-04 00:00:00+00:00,0.00227521
2000-12-05 00:00:00+00:00,-0.00182649
2000-12-06 00:00:00+00:00,0.01392319
2000-12-07 00:00:00+00:00,-0.00556193
2000-12-08 00:00:00+00:00,-0.01374782
2000-12-11 00:00:00+00:00,0.01061840
2000-12-12 00:00:00+00:00,-0.01354468
2000-12-13 00:00:00+00:00,-0.01819940
2000-12-14 00:00:00+00:00,0.00096014
2000-12-15 00:00:00+00:00,0.01241105
2000-12-18 00:00:00+00:00,0.00649207
2000-12-19 00:00:00+00:00,-0.00756386
2000-12-20 00:00:00+00:00,-0.00559312
2000-12-21 00:00:00+00:00,0.00819214
2000-12-22 00:00:00+00:00,-0.00988696
2000-12-26 00:00:00+00:00,-0.01662534
2000-12-27 00:00:00+00:00,-0.01283519
2000-12-28 00:00:00+00:00,-0.00094811
2000-12-29 00:00:00+00:00,-0.00637091
2001-01-02 00:00:00+00:00,0.00278801
2001-01-03 00:00:00+00:00,0.01296791
2001-01-04 00:00:00+00:00,-0.03678389
2001-01-05 00:00:00+00:00,-0.01707834
2001-01-08 00:00:00+00:00,0.01440405
2001-01-09 00:00:00+00:00,-0.01790060
2001-01-10 00:00:00+00:00,0.00447990
2001-01-11 00:00:00+00:00,-0.02204998
2001-01-12 00:00:00+00:00,-0.01063529
2001-01-16 00:00:00+00:00,0.01473951
2001-01-17 00:00:00+00:00,-0.02457483
2001-01-18 00:00:00+00:00,0.01069056
2001-01-19 00:00:00+00:00,0.01602382
2001-01-22 00:00:00+00:00,0.01147813
2001-01-23 00:00:00+00:00,-0.01030747
2001-01-24 00:00:00+00:00,-0.01546995
2001-01-25 00:00:00+00:00,0.02232415
2001-01-26 00:00:00+00:00,-0.01437532
2001-01-29 00:00:00+00:00,0.01034968
2001-01-30 00:00:00+00:00,0.01539707
2001-01-31 00:00:00+00:00,-0.01094746
2001-02-01 00:00:00+00:00,0.01212331
2001-02-02 00:00:00+00:00,-0.00128637
2001-02-05 00:00:00+00:00,0.01527338
2001-02-06 00:00:00+00:00,0.00066182
2001-02-07 00:00:00+00:00,-0.02592118
2001-02-08 00:00:00+00:00,-0.00776463
2001-02-09 00:00:00+00:00,-0.01637797
2001-02-12 00:00:00+00:00,-0.00013667
2001-02-13 00:00:00+00:00,0.01647208
2001-02-14 00:00:00+00:00,0.00206698
2001-02-15 00:00:00+00:00,0.01318797
2001-02-16 00:00:00+00:00,0.00216812
2001-02-20 00:00:00+00:00,-0.00427575
2001-02-21 00:00:00+00:00,-0.01707327
2001-02-22 00:00:00+00:00,0.00253783
2001-02-23 00:00:00+00:00,0.01228351
2001-02-26 00:00:00+00:00,-0.01500616
2001-02-27 00:00:00+00:00,0.00347283
2001-02-28 00:00:00+00:00,-0.02053955
2001-03-01 00:00:00+00:00,0.00127539
2001-03-02 00:00:00+00:00,-0.02729061
2001-03-05 00:00:00+00:00,-0.00297902
2001-03-06 00:00:00+00:00,0.00248552
2001-03-07 00:00:00+00:00,-0.01603199
2001-03-08 00:00:00+00:00,0.00106979
2001-03-09 00:00:00+00:00,0.00059078
2001-03-12 00:00:00+00:00,-0.01375325
2001-03-13 00:00:00+00:00,0.01034488
2001-03-14 00:00:00+00:00,-0.02071432
2001-03-15 00:00:00+00:00,0.00012037
2001-03-16 00:00:00+00:00,-0.00894986
2001-03-19 00:00:00+00:00,-0.00206570
2001-03-20 00:00:00+00:00,0.01300612
2001-03-21 00:00:00+00:00,-0.02185456
2001-03-22 00:00:00+00:00,-0.00353644
2001-03-23 00:00:00+00:00,0.01149848
2001-03-26 00:00:00+00:00,0.00255672
2001-03-27 00:00:00+00:00,0.00971932
2001-03-28 00:00:00+00:00,-0.00374244
2001-03-29 00:00:00+00:00,-0.02093795
2001-03-30 00:00:00+00:00,-0.04121703
2001-04-02 00:00:00+00:00,-0.00536087
2001-04-03 00:00:00+00:00,0.01228264
2001-04-04 00:00:00+00:00,0.00386909
2001-04-05 00:00:00+00:00,0.01950974
2001-04-06 00:00:00+00:00,0.00161132
2001-04-09 00:00:00+00:00,-0.01755714
2001-04-10 00:00:00+00:00,0.00918571
2001-04-11 00:00:00+00:00,-0.00504476
2001-04-12 00:00:00+00:00,0.01621451
2001-04-16 00:00:00+00:00,-0.01029502
2001-04-17 00:00:00+00:00,0.01567326
2001-04-18 00:00:00+00:00,0.01543286
2001-04-19 00:00:00+00:00,0.01033639
2001-04-20 00:00:00+00:00,-0.01508154
2001-04-23 00:00:00+00:00,0.02106963
2001-04-24 00:00:00+00:00,-0.01623569
2001-04-25 00:00:00+00:00,-0.00131735
2001-04-26 00:00:00+00:00,-0.01649918
2001-04-27 00:00:00+00:00,-0.01418453
2001-04-30 00:00:00+00:00,0.00531971
2001-05-01 00:00:00+00:00,0.02448864
2001-05-02 00:00:00+00:00,0.00524000
2001-05-03 00:00:00+00:00,0.00474252
2001-05-04 00:00:00+00:00,0.00328326
2001-05-07 00:00:00+00:00,-0.00010083
2001-05-08 00:00:00+00:00,-0.00227195
2001-05-09 00:00:00+00:00,-0.01531937
2001-05-10 00:00:00+00:00,-0.00691514
2001-05-11 00:00:00+00:00,-0.00010083
2001-05-14 00:00:00+00:00,-0.01157825
2001-05-15 00:00:00+00:00,-0.00341587
2001-05-16 00:00:00+00:00,-0.00108082
2001-05-17 00:00:00+00:00,0.01503938
2001-05-18 00:00:00+00:00,-0.01817522
2001-05-21 00:00:00+00:00,0.01752714
2001-05-22 00:00:00+00:00,-0.00229816
2001-05-23 00:00:00+00:00,0.04834134
2001-05-24 00:00:00+00:00,-0.00487686
2001-05-25 00:00:00+00:00,-0.00991704
2001-05-29 00:00:00+00:00,0.00808150
2001-05-30 00:00:00+00:00,-0.00441289
2001-05-31 00:00:00+00:00,0.01887381
2001-06-01 00:00:00+00:00,0.00085256
2001-06-04 00:00:00+00:00,-0.00414191
2001-06-05 00:00:00+00:00,-0.01713473
2001-06-06 00:00:00+00:00,-0.00105925
2001-06-07 00:00:00+00:00,0.00495035
2001-06-08 00:00:00+00:00,-0.01628566
2001-06-11 00:00:00+00:00,-0.01593256
2001-06-12 00:00:00+00:00,0.00112180
2001-06-13 00:00:00+00:00,-0.00423603
2001-06-14 00:00:00+00:00,0.01088513
2001-06-15 00:00:00+00:00,-0.00507096
2001-06-18 00:00:00+00:00,-0.00472998
2001-06-19 00:00:00+00:00,0.00381650
2001-06-20 00:00:00+00:00,-0.01022066
2001-06-21 00:00:00+00:00,-0.01211014
2001-06-22 00:00:00+00:00,-0.00021724
2001-06-25 00:00:00+00:00,0.00878746
2001-06-26 00:00:00+00:00,0.00113444
2001-06-27 00:00:00+00:00,-0.00868634
2001-06-28 00:00:00+00:00,-0.00736950
2001-06-29 00:00:00+00:00,-0.00096324
2001-07-02 00:00:00+00:00,0.00534747
2001-07-03 00:00:00+00:00,0.00014758
