Date,SP400
2002-12-13 00:00:00+00:00,-0.01536486
2002-12-16 00:00:00+00:00,0.02134682
2002-12-17 00:00:00+00:00,-0.01027224
2002-12-18 00:00:00+00:00,-0.01037788
2002-12-19 00:00:00+00:00,-0.00398195
2002-12-20 00:00:00+00:00,0.01069456
2002-12-23 00:00:00+00:00,0.00435144
2002-12-24 00:00:00+00:00,-0.00554594
2002-12-26 00:00:00+00:00,0.00250878
2002-12-27 00:00:00+00:00,-0.01754319
2002-12-30 00:00:00+00:00,0.00231188
2002-12-31 00:00:00+00:00,0.00581599
2003-01-02 00:00:00+00:00,0.02694969
2003-01-03 00:00:00+00:00,-0.00003333
2003-01-06 00:00:00+00:00,0.00902697
2003-01-07 00:00:00+00:00,-0.00631757
2003-01-08 00:00:00+00:00,-0.01561868
2003-01-09 00:00:00+00:00,0.01648856
2003-01-10 00:00:00+00:00,0.00290176
2003-01-13 00:00:00+00:00,-0.00520974
2003-01-14 00:00:00+00:00,-0.00116372
2003-01-15 00:00:00+00:00,-0.00456279
2003-01-16 00:00:00+00:00,0.00110543
2003-01-17 00:00:00+00:00,-0.01707768
2003-01-21 00:00:00+00:00,-0.01506140
2003-01-22 00:00:00+00:00,-0.00730894
2003-01-23 00:00:00+00:00,0.00682547
2003-01-24 00:00:00+00:00,-0.02187291
2003-01-27 00:00:00+00:00,-0.01731886
2003-01-28 00:00:00+00:00,0.00900760
2003-01-29 00:00:00+00:00,0.00553678
2003-01-30 00:00:00+00:00,-0.01520198
2003-01-31 00:00:00+00:00,0.01928318
2003-02-03 00:00:00+00:00,-0.00099168
2003-02-04 00:00:00+00:00,-0.00003167
2003-02-05 00:00:00+00:00,-0.01203702
2003-02-06 00:00:00+00:00,-0.00853741
2003-02-07 00:00:00+00:00,-0.01228685
2003-02-10 00:00:00+00:00,0.00815664
2003-02-11 00:00:00+00:00,-0.00200093
2003-02-12 00:00:00+00:00,-0.02050078
2003-02-13 00:00:00+00:00,-0.00456381
2003-02-14 00:00:00+00:00,0.01109561
2003-02-18 00:00:00+00:00,0.02122841
2003-02-19 00:00:00+00:00,-0.00933924
2003-02-20 00:00:00+00:00,-0.00225747
2003-02-21 00:00:00+00:00,0.01111701
2003-02-24 00:00:00+00:00,-0.01424512
2003-02-25 00:00:00+00:00,0.01040705
2003-02-26 00:00:00+00:00,-0.01036474
2003-02-27 00:00:00+00:00,0.00568421
2003-02-28 00:00:00+00:00,0.00466308
2003-03-03 00:00:00+00:00,-0.00323081
2003-03-04 00:00:00+00:00,-0.03310259
2003-03-05 00:00:00+00:00,-0.00508518
2003-03-06 00:00:00+00:00,-0.00383967
2003-03-07 00:00:00+00:00,0.00598369
2003-03-10 00:00:00+00:00,-0.03574184
2003-03-11 00:00:00+00:00,-0.02385497
2003-03-12 00:00:00+00:00,-0.00187551
2003-03-13 00:00:00+00:00,0.03108922
2003-03-14 00:00:00+00:00,-0.00028248
2003-03-17 00:00:00+00:00,0.02638385
2003-03-18 00:00:00+00:00,0.01295853
2003-03-19 00:00:00+00:00,-0.00245122
2003-03-20 00:00:00+00:00,0.01015509
2003-03-21 00:00:00+00:00,0.01389335
2003-03-24 00:00:00+00:00,-0.03081603
2003-03-25 00:00:00+00:00,0.01389399
2003-03-26 00:00:00+00:00,-0.00605632
2003-03-27 00:00:00+00:00,0.00263514
2003-03-28 00:00:00+00:00,0.00141984
2003-03-31 00:00:00+00:00,-0.01137745
2003-04-01 00:00:00+00:00,0.00705111
2003-04-02 00:00:00+00:00,0.02106533
2003-04-03 00:00:00+00:00,-0.00739195
2003-04-04 00:00:00+00:00,-0.00003014
2003-04-07 00:00:00+00:00,-0.00170631
2003-04-08 00:00:00+00:00,-0.00458475
2003-04-09 00:00:00+00:00,-0.00749352
2003-04-10 00:00:00+00:00,0.00239417
2003-04-11 00:00:00+00:00,-0.00245163
2003-04-14 00:00:00+00:00,0.01573286
2003-04-15 00:00:00+00:00,0.00736988
2003-04-16 00:00:00+00:00,-0.01235714
2003-04-17 00:00:00+00:00,0.01220680
2003-04-21 00:00:00+00:00,0.00399798
2003-04-22 00:00:00+00:00,0.01744135
2003-04-23 00:00:00+00:00,0.01133988
2003-04-24 00:00:00+00:00,-0.00691542
2003-04-25 00:00:00+00:00,-0.00973550
2003-04-28 00:00:00+00:00,0.01373464
2003-04-29 00:00:00+00:00,0.00457146
2003-04-30 00:00:00+00:00,0.00523849
2003-05-01 00:00:00+00:00,-0.00071382
