Date,BRE
2000-10-02 00:00:00+00:00,-0.01214907
2000-10-03 00:00:00+00:00,0.00449603
2000-10-04 00:00:00+00:00,-0.00295922
2000-10-05 00:00:00+00:00,0.00169550
2000-10-06 00:00:00+00:00,-0.00016834
2000-10-09 00:00:00+00:00,-0.00016833
2000-10-10 00:00:00+00:00,-0.00203044
2000-10-11 00:00:00+00:00,-0.00389592
2000-10-12 00:00:00+00:00,-0.00016695
2000-10-13 00:00:00+00:00,-0.01137170
2000-10-16 00:00:00+00:00,0.00546547
2000-10-17 00:00:00+00:00,-0.00578798
2000-10-18 00:00:00+00:00,-0.00204794
2000-10-19 00:00:00+00:00,-0.00299011
2000-10-20 00:00:00+00:00,-0.00958648
2000-10-23 00:00:00+00:00,-0.00111629
2000-10-24 00:00:00+00:00,-0.02098482
2000-10-25 00:00:00+00:00,-0.01355655
2000-10-26 00:00:00+00:00,-0.01173255
2000-10-27 00:00:00+00:00,0.02209385
2000-10-30 00:00:00+00:00,0.00365947
2000-10-31 00:00:00+00:00,0.00900587
2000-11-01 00:00:00+00:00,-0.01124460
2000-11-02 00:00:00+00:00,-0.00017194
2000-11-03 00:00:00+00:00,-0.02333825
2000-11-06 00:00:00+00:00,0.00373291
2000-11-07 00:00:00+00:00,-0.01479275
2000-11-08 00:00:00+00:00,-0.01291807
2000-11-09 00:00:00+00:00,-0.00017250
2000-11-10 00:00:00+00:00,0.01563853
2000-11-13 00:00:00+00:00,0.00276923
2000-11-14 00:00:00+00:00,-0.00017167
2000-11-15 00:00:00+00:00,-0.00115157
2000-11-16 00:00:00+00:00,0.00276690
2000-11-17 00:00:00+00:00,-0.01680544
2000-11-20 00:00:00+00:00,0.05012419
2000-11-21 00:00:00+00:00,-0.00017167
2000-11-22 00:00:00+00:00,-0.01363321
2000-11-24 00:00:00+00:00,-0.02439628
2000-11-27 00:00:00+00:00,-0.01193546
2000-11-28 00:00:00+00:00,0.00377560
2000-11-29 00:00:00+00:00,0.01262749
2000-11-30 00:00:00+00:00,-0.00408120
2000-12-01 00:00:00+00:00,-0.01291293
2000-12-04 00:00:00+00:00,-0.00314540
2000-12-05 00:00:00+00:00,0.02269893
2000-12-06 00:00:00+00:00,-0.01688028
2000-12-07 00:00:00+00:00,-0.00115594
2000-12-08 00:00:00+00:00,0.01172879
2000-12-11 00:00:00+00:00,-0.00312275
2000-12-12 00:00:00+00:00,0.00082495
2000-12-13 00:00:00+00:00,0.01563173
2000-12-14 00:00:00+00:00,-0.00898726
2000-12-15 00:00:00+00:00,-0.00016334
2000-12-18 00:00:00+00:00,0.00771366
2000-12-19 00:00:00+00:00,0.00768321
2000-12-20 00:00:00+00:00,-0.01090052
2000-12-21 00:00:00+00:00,0.00573971
2000-12-22 00:00:00+00:00,-0.00699118
2000-12-26 00:00:00+00:00,-0.00015528
2000-12-27 00:00:00+00:00,0.00377239
2000-12-28 00:00:00+00:00,0.00846967
2000-12-29 00:00:00+00:00,-0.00289642
2001-01-02 00:00:00+00:00,0.00474407
2001-01-03 00:00:00+00:00,0.01157742
2001-01-04 00:00:00+00:00,-0.00986873
2001-01-05 00:00:00+00:00,-0.01088108
2001-01-08 00:00:00+00:00,0.00379077
2001-01-09 00:00:00+00:00,0.00868146
2001-01-10 00:00:00+00:00,-0.00014278
2001-01-11 00:00:00+00:00,-0.01380145
2001-01-12 00:00:00+00:00,0.00869753
2001-01-16 00:00:00+00:00,-0.00112237
2001-01-17 00:00:00+00:00,-0.00601571
2001-01-18 00:00:00+00:00,0.00378117
2001-01-19 00:00:00+00:00,-0.00209998
2001-01-22 00:00:00+00:00,0.00083892
2001-01-23 00:00:00+00:00,-0.00504347
2001-01-24 00:00:00+00:00,-0.00800105
2001-01-25 00:00:00+00:00,-0.00014250
2001-01-26 00:00:00+00:00,-0.00112869
2001-01-29 00:00:00+00:00,-0.00112578
2001-01-30 00:00:00+00:00,0.00775997
2001-01-31 00:00:00+00:00,-0.00426396
2001-02-01 00:00:00+00:00,-0.00914198
2001-02-02 00:00:00+00:00,-0.01359959
2001-02-05 00:00:00+00:00,-0.01612179
2001-02-06 00:00:00+00:00,0.00590521
2001-02-07 00:00:00+00:00,-0.00214484
2001-02-08 00:00:00+00:00,0.01092918
2001-02-09 00:00:00+00:00,0.01186333
2001-02-12 00:00:00+00:00,-0.00311878
2001-02-13 00:00:00+00:00,-0.00212616
2001-02-14 00:00:00+00:00,-0.00013695
2001-02-15 00:00:00+00:00,-0.00212967
2001-02-16 00:00:00+00:00,-0.00611622
2001-02-20 00:00:00+00:00,-0.01213639
2001-02-21 00:00:00+00:00,-0.03434107
2001-02-22 00:00:00+00:00,0.00498298
2001-02-23 00:00:00+00:00,0.00456151
2001-02-26 00:00:00+00:00,-0.00013070
2001-02-27 00:00:00+00:00,-0.00012847
2001-02-28 00:00:00+00:00,-0.00909269
2001-03-19 00:00:00+00:00,-0.00012278
2001-03-26 00:00:00+00:00,-0.05316079
2001-03-27 00:00:00+00:00,0.01250206
2001-03-28 00:00:00+00:00,-0.00330492
2001-03-29 00:00:00+00:00,-0.02395716
2001-03-30 00:00:00+00:00,-0.00786972
2001-04-02 00:00:00+00:00,-0.00920899
2001-04-03 00:00:00+00:00,-0.00841488
2001-04-04 00:00:00+00:00,0.01019678
2001-04-05 00:00:00+00:00,-0.00272922
2001-04-06 00:00:00+00:00,0.00928657
2001-04-09 00:00:00+00:00,0.00032479
2001-04-10 00:00:00+00:00,0.02294322
2001-04-11 00:00:00+00:00,-0.01625306
2001-04-12 00:00:00+00:00,-0.00422791
2001-04-16 00:00:00+00:00,-0.02226206
2001-04-17 00:00:00+00:00,-0.00669784
2001-04-18 00:00:00+00:00,0.02500402
2001-04-19 00:00:00+00:00,-0.02490849
2001-04-20 00:00:00+00:00,-0.04614094
2001-04-23 00:00:00+00:00,-0.01341011
2001-04-24 00:00:00+00:00,0.00239098
2001-04-25 00:00:00+00:00,-0.00440615
2001-04-26 00:00:00+00:00,0.01396477
2001-04-27 00:00:00+00:00,0.03955403
2001-04-30 00:00:00+00:00,0.01404107
2001-05-01 00:00:00+00:00,-0.01718087
2001-05-02 00:00:00+00:00,-0.02660834
2001-05-03 00:00:00+00:00,0.01637122
2001-05-04 00:00:00+00:00,0.00191349
2001-05-07 00:00:00+00:00,0.01108234
2001-05-08 00:00:00+00:00,-0.02567275
2001-05-09 00:00:00+00:00,-0.02330357
2001-05-10 00:00:00+00:00,-0.01605343
2001-05-11 00:00:00+00:00,-0.00492510
2001-05-14 00:00:00+00:00,-0.01875154
2001-05-15 00:00:00+00:00,-0.02148554
2001-05-16 00:00:00+00:00,0.01188627
2001-05-17 00:00:00+00:00,0.01602050
2001-05-18 00:00:00+00:00,0.00847696
2001-05-21 00:00:00+00:00,-0.02409520
2001-05-22 00:00:00+00:00,0.00620818
2001-05-23 00:00:00+00:00,-0.02081598
2001-05-24 00:00:00+00:00,-0.00833045
2001-05-25 00:00:00+00:00,0.02305240
2001-05-29 00:00:00+00:00,-0.00313470
2001-05-30 00:00:00+00:00,-0.01857466
2001-05-31 00:00:00+00:00,0.00344190
2001-06-01 00:00:00+00:00,-0.02080491
2001-06-04 00:00:00+00:00,0.00062122
2001-06-05 00:00:00+00:00,-0.00825614
2001-06-06 00:00:00+00:00,0.00376108
2001-06-07 00:00:00+00:00,0.01940564
2001-06-08 00:00:00+00:00,-0.00653638
2001-06-11 00:00:00+00:00,0.00133749
2001-06-12 00:00:00+00:00,-0.01635281
2001-06-13 00:00:00+00:00,-0.01069866
2001-06-14 00:00:00+00:00,-0.00009584
2001-06-15 00:00:00+00:00,0.00547857
2001-06-18 00:00:00+00:00,-0.05181164
2001-06-19 00:00:00+00:00,-0.00183111
2001-06-20 00:00:00+00:00,-0.00307267
2001-06-21 00:00:00+00:00,0.06173654
2001-06-22 00:00:00+00:00,0.06050491
2001-06-25 00:00:00+00:00,0.02291880
2001-06-26 00:00:00+00:00,-0.01803290
2001-06-27 00:00:00+00:00,-0.01169083
2001-06-28 00:00:00+00:00,0.03722491
2001-06-29 00:00:00+00:00,-0.01818331
2001-07-02 00:00:00+00:00,-0.00390033
2001-07-03 00:00:00+00:00,-0.02974021
2001-07-05 00:00:00+00:00,-0.07042784
2001-07-06 00:00:00+00:00,0.00585391
2001-07-09 00:00:00+00:00,-0.01170956
2001-07-10 00:00:00+00:00,-0.03332422
2001-07-11 00:00:00+00:00,-0.00362620
2001-07-12 00:00:00+00:00,-0.06334047
2001-07-13 00:00:00+00:00,0.01605198
2001-07-16 00:00:00+00:00,-0.01044776
2001-07-17 00:00:00+00:00,0.05399831
2001-07-18 00:00:00+00:00,-0.00034887
2001-07-19 00:00:00+00:00,0.01258794
2001-07-20 00:00:00+00:00,0.04240933
2001-07-23 00:00:00+00:00,0.03589107
2001-07-24 00:00:00+00:00,-0.04796845
2001-07-25 00:00:00+00:00,-0.00851849
2001-07-26 00:00:00+00:00,-0.00507303
2001-07-27 00:00:00+00:00,0.00364547
2001-07-30 00:00:00+00:00,0.05669038
2001-07-31 00:00:00+00:00,-0.04336404
2001-08-01 00:00:00+00:00,-0.03003850
2001-08-02 00:00:00+00:00,0.01342471
2001-08-03 00:00:00+00:00,-0.01225669
2001-08-06 00:00:00+00:00,0.03583716
2001-08-07 00:00:00+00:00,0.00491223
2001-08-08 00:00:00+00:00,-0.00732651
2001-08-09 00:00:00+00:00,0.00065831
2001-08-10 00:00:00+00:00,0.00993145
2001-08-13 00:00:00+00:00,-0.02631043
2001-08-14 00:00:00+00:00,-0.01398883
2001-08-15 00:00:00+00:00,0.01743325
2001-08-16 00:00:00+00:00,0.00141835
2001-08-17 00:00:00+00:00,-0.01999565
2001-08-20 00:00:00+00:00,-0.00034716
2001-08-21 00:00:00+00:00,-0.01918050
2001-08-22 00:00:00+00:00,0.02251867
2001-08-23 00:00:00+00:00,-0.00314101
