Date,NZD
2004-02-24 00:00:00+00:00,0.02945038
2004-02-25 00:00:00+00:00,-0.00786939
2004-02-26 00:00:00+00:00,0.00055729
2004-02-27 00:00:00+00:00,0.00143189
2004-03-01 00:00:00+00:00,0.00507221
2004-03-02 00:00:00+00:00,-0.02559635
2004-03-03 00:00:00+00:00,-0.03343332
2004-03-04 00:00:00+00:00,-0.00331902
2004-03-05 00:00:00+00:00,0.01481675
2004-03-08 00:00:00+00:00,0.00443816
2004-03-09 00:00:00+00:00,0.00591272
2004-03-10 00:00:00+00:00,-0.02297208
2004-03-11 00:00:00+00:00,-0.05078341
2004-03-12 00:00:00+00:00,-0.02008832
2004-03-15 00:00:00+00:00,0.00154512
2004-03-16 00:00:00+00:00,0.01661441
2004-03-17 00:00:00+00:00,0.00838157
2004-03-18 00:00:00+00:00,0.02478080
2004-03-19 00:00:00+00:00,-0.01227686
2004-03-22 00:00:00+00:00,0.01476658
2004-03-23 00:00:00+00:00,0.00058596
2004-03-24 00:00:00+00:00,-0.02449039
2004-03-25 00:00:00+00:00,-0.01550543
2004-03-26 00:00:00+00:00,0.01089474
2004-03-29 00:00:00+00:00,0.00307762
2004-03-30 00:00:00+00:00,0.01763463
2004-03-31 00:00:00+00:00,0.03467930
2004-04-01 00:00:00+00:00,0.00148388
2004-04-02 00:00:00+00:00,-0.03170004
2004-04-05 00:00:00+00:00,-0.02454663
2004-04-06 00:00:00+00:00,0.02014512
2004-04-07 00:00:00+00:00,0.00611899
2004-04-08 00:00:00+00:00,0.00303708
2004-04-12 00:00:00+00:00,0.00976037
2004-04-13 00:00:00+00:00,-0.02574085
2004-04-14 00:00:00+00:00,-0.05859578
2004-04-15 00:00:00+00:00,0.01331159
2004-04-16 00:00:00+00:00,0.00028976
2004-04-19 00:00:00+00:00,0.01542944
2004-04-20 00:00:00+00:00,-0.02976134
2004-04-21 00:00:00+00:00,-0.03878773
2004-04-22 00:00:00+00:00,0.01844157
2004-04-23 00:00:00+00:00,0.00414666
2004-04-26 00:00:00+00:00,0.00381807
2004-04-27 00:00:00+00:00,0.00540898
2004-04-28 00:00:00+00:00,-0.02617506
2004-04-29 00:00:00+00:00,-0.00228824
2004-04-30 00:00:00+00:00,0.01841112
2004-05-03 00:00:00+00:00,-0.00483436
2004-05-04 00:00:00+00:00,0.02085617
2004-05-05 00:00:00+00:00,0.01014809
2004-05-06 00:00:00+00:00,-0.01331416
2004-05-07 00:00:00+00:00,-0.03967887
2004-05-10 00:00:00+00:00,-0.04210836
2004-05-11 00:00:00+00:00,-0.00168831
2004-05-12 00:00:00+00:00,0.01658323
2004-05-13 00:00:00+00:00,-0.02968128
2004-05-14 00:00:00+00:00,0.01669543
2004-05-17 00:00:00+00:00,-0.02987811
2004-05-18 00:00:00+00:00,0.00502209
2004-05-19 00:00:00+00:00,0.03691507
2004-05-20 00:00:00+00:00,-0.00497447
2004-05-21 00:00:00+00:00,0.01782349
2004-05-24 00:00:00+00:00,-0.00789206
2004-05-25 00:00:00+00:00,0.03220740
2004-05-26 00:00:00+00:00,0.00871125
2004-05-27 00:00:00+00:00,0.04670779
2004-05-28 00:00:00+00:00,-0.02113198
2004-06-01 00:00:00+00:00,-0.00257679
2004-06-02 00:00:00+00:00,-0.02393635
2004-06-03 00:00:00+00:00,-0.00487050
2004-06-04 00:00:00+00:00,0.01225469
2004-06-07 00:00:00+00:00,0.03564106
2004-06-08 00:00:00+00:00,-0.02371243
2004-06-09 00:00:00+00:00,-0.02495469
2004-06-10 00:00:00+00:00,0.01258211
2004-06-14 00:00:00+00:00,-0.02559661
2004-06-15 00:00:00+00:00,0.03815103
2004-06-16 00:00:00+00:00,-0.02385237
2004-06-17 00:00:00+00:00,-0.01738926
2004-06-18 00:00:00+00:00,0.00904262
2004-06-21 00:00:00+00:00,0.00480663
2004-06-22 00:00:00+00:00,0.00157379
2004-06-23 00:00:00+00:00,-0.00614741
2004-06-24 00:00:00+00:00,0.02803857
2004-06-25 00:00:00+00:00,0.00314676
2004-06-28 00:00:00+00:00,0.01743837
2004-06-29 00:00:00+00:00,-0.02901431
2004-06-30 00:00:00+00:00,0.00859367
2004-07-01 00:00:00+00:00,0.02065085
2004-07-02 00:00:00+00:00,0.02295682
2004-07-06 00:00:00+00:00,0.00525877
2004-07-07 00:00:00+00:00,0.02294594
2004-07-08 00:00:00+00:00,-0.00126271
2004-07-09 00:00:00+00:00,0.00365176
2004-07-12 00:00:00+00:00,0.01223119
2004-07-13 00:00:00+00:00,-0.00887545
2004-07-14 00:00:00+00:00,-0.01779268
2004-07-15 00:00:00+00:00,-0.01022970
2004-07-16 00:00:00+00:00,0.03038851
2004-07-19 00:00:00+00:00,-0.00615246
2004-07-20 00:00:00+00:00,-0.00923968
2004-07-21 00:00:00+00:00,-0.04780260
2004-07-22 00:00:00+00:00,0.01195962
2004-07-23 00:00:00+00:00,-0.01761121
2004-07-26 00:00:00+00:00,-0.00003875
2004-07-27 00:00:00+00:00,-0.02695179
2004-07-28 00:00:00+00:00,0.00316950
2004-07-29 00:00:00+00:00,0.01694243
2004-07-30 00:00:00+00:00,0.00472638
2004-08-02 00:00:00+00:00,0.01739278
2004-08-03 00:00:00+00:00,0.01409982
2004-08-04 00:00:00+00:00,0.00307986
2004-08-05 00:00:00+00:00,-0.00315556
2004-08-06 00:00:00+00:00,0.02585818
2004-08-09 00:00:00+00:00,0.00919942
2004-08-10 00:00:00+00:00,-0.01046432
2004-08-11 00:00:00+00:00,0.00828118
2004-08-12 00:00:00+00:00,0.01622570
2004-08-13 00:00:00+00:00,0.02279217
2004-08-16 00:00:00+00:00,-0.00274853
2004-08-17 00:00:00+00:00,-0.00636982
2004-08-18 00:00:00+00:00,0.00237846
2004-08-19 00:00:00+00:00,0.02140015
2004-08-20 00:00:00+00:00,0.00473970
2004-08-23 00:00:00+00:00,-0.03491471
2004-08-24 00:00:00+00:00,-0.04084335
2004-08-25 00:00:00+00:00,0.00924558
2004-08-26 00:00:00+00:00,0.00303915
2004-08-27 00:00:00+00:00,0.00918842
2004-08-30 00:00:00+00:00,-0.01443817
2004-08-31 00:00:00+00:00,0.01692370
2004-09-01 00:00:00+00:00,0.00362765
2004-09-02 00:00:00+00:00,-0.02141780
2004-09-03 00:00:00+00:00,-0.00621729
2004-09-07 00:00:00+00:00,0.00181314
2004-09-08 00:00:00+00:00,0.00737874
2004-09-09 00:00:00+00:00,0.00765916
2004-09-10 00:00:00+00:00,-0.00464976
2004-09-13 00:00:00+00:00,-0.00004472
2004-09-14 00:00:00+00:00,0.02000112
2004-09-15 00:00:00+00:00,-0.01836603
2004-09-16 00:00:00+00:00,0.01166476
2004-09-17 00:00:00+00:00,0.00056651
2004-09-20 00:00:00+00:00,0.00485391
2004-09-21 00:00:00+00:00,0.00178694
2004-09-22 00:00:00+00:00,0.00086936
2004-09-23 00:00:00+00:00,0.01673342
2004-09-24 00:00:00+00:00,-0.00004709
2004-09-27 00:00:00+00:00,-0.01033425
2004-09-28 00:00:00+00:00,0.01546415
2004-09-29 00:00:00+00:00,0.00085857
2004-09-30 00:00:00+00:00,0.02559422
2004-10-01 00:00:00+00:00,-0.00808781
2004-10-04 00:00:00+00:00,-0.00991454
2004-10-05 00:00:00+00:00,0.00806753
2004-10-06 00:00:00+00:00,0.00234782
2004-10-07 00:00:00+00:00,0.00593282
2004-10-08 00:00:00+00:00,0.02976043
2004-10-12 00:00:00+00:00,-0.01913639
2004-10-13 00:00:00+00:00,-0.01101818
2004-10-14 00:00:00+00:00,0.01694741
2004-10-15 00:00:00+00:00,0.01916850
2004-10-18 00:00:00+00:00,-0.00736898
2004-10-19 00:00:00+00:00,0.00288915
