,model,benchmark,alpha
2011-08-31 00:00:00+00:00,-0.00773009,-0.00465399,0.00669058
2011-09-30 00:00:00+00:00,0.00567037,0.00804961,-0.00174123
2011-10-31 00:00:00+00:00,-0.02894986,-0.00040060,0.00882521
2011-11-30 00:00:00+00:00,-0.00871278,-0.00498652,-0.01031190
2011-12-31 00:00:00+00:00,0.01534233,0.00000000,0.00869723
2012-01-31 00:00:00+00:00,0.00825290,0.00395572,0.00136336
2012-02-29 00:00:00+00:00,0.00275784,-0.00299108,-0.00649238
2012-03-31 00:00:00+00:00,-0.02211970,0.00000000,-0.00166411
2012-04-30 00:00:00+00:00,-0.01414030,-0.00032681,-0.01502629
2012-05-31 00:00:00+00:00,0.06349012,0.00457227,0.03270973
2012-06-30 00:00:00+00:00,-0.03775376,0.00000000,-0.00464507
2012-07-31 00:00:00+00:00,0.00496527,0.00019181,-0.02388099
2012-08-31 00:00:00+00:00,-0.02054094,0.00406861,-0.00879176
2012-09-30 00:00:00+00:00,-0.01036050,0.00000000,-0.00219849
2012-10-31 00:00:00+00:00,-0.03744571,0.00184047,-0.00751583
2012-11-30 00:00:00+00:00,-0.00872498,-0.00021511,-0.00745922
2012-12-31 00:00:00+00:00,0.02653213,0.00230336,0.02599370
2013-01-31 00:00:00+00:00,0.06828268,0.00030744,0.05303720
2013-02-28 00:00:00+00:00,-0.01567479,0.00472391,-0.01657637
2013-03-31 00:00:00+00:00,0.00657064,0.00000000,-0.00611064
2013-04-30 00:00:00+00:00,0.01359299,-0.00033855,-0.00085296
2013-05-31 00:00:00+00:00,-0.00091704,-0.00146616,0.01672566
2013-06-30 00:00:00+00:00,-0.00156182,0.00000000,0.01373293
2013-07-31 00:00:00+00:00,-0.00091819,0.00022936,0.00909735
2013-08-31 00:00:00+00:00,-0.00575354,0.00000000,0.01200181
2013-09-30 00:00:00+00:00,-0.01679681,-0.00466293,-0.00722520
2013-10-31 00:00:00+00:00,-0.01161421,-0.00204414,-0.02340283
2013-11-30 00:00:00+00:00,0.02324031,0.00000000,0.00632176
2013-12-31 00:00:00+00:00,0.04799616,-0.00019473,0.04226103
2014-01-31 00:00:00+00:00,-0.07115293,-0.00206125,-0.04874803
2014-02-28 00:00:00+00:00,-0.00028682,-0.00069070,-0.00619242
2014-03-31 00:00:00+00:00,-0.02231258,0.00335920,-0.01944970
2014-04-30 00:00:00+00:00,-0.00606098,0.00180876,-0.01025636
2014-05-31 00:00:00+00:00,0.00075188,0.00000000,-0.02190585
2014-06-30 00:00:00+00:00,0.00229353,-0.00036961,-0.00275138
2014-07-31 00:00:00+00:00,-0.01742311,-0.01237476,-0.00789461
2014-08-31 00:00:00+00:00,0.03519493,0.00000000,-0.00409261
2014-09-30 00:00:00+00:00,0.07314392,0.00733066,0.05294892
2014-10-31 00:00:00+00:00,0.00173305,0.01072955,-0.01458820
2014-11-30 00:00:00+00:00,0.07195259,0.00000000,0.01498251
2014-12-31 00:00:00+00:00,0.03072640,0.00291240,0.01470637
2015-01-31 00:00:00+00:00,0.08326334,0.00000000,0.03858999
2015-02-28 00:00:00+00:00,-0.02019732,0.00000000,-0.01730772
2015-03-31 00:00:00+00:00,0.00012531,-0.00004774,-0.01675676
2015-04-30 00:00:00+00:00,-0.03235468,-0.00940174,-0.00088723
2015-05-31 00:00:00+00:00,0.00070873,0.00000000,0.00462533
2015-06-30 00:00:00+00:00,-0.02884926,0.00095022,0.01395279
2015-07-31 00:00:00+00:00,0.03585012,0.00325429,0.00484187
2015-08-31 00:00:00+00:00,-0.04683195,-0.00503415,-0.02847658
2015-09-30 00:00:00+00:00,-0.00156009,-0.00137895,-0.01312763
2015-10-31 00:00:00+00:00,-0.03027946,0.00000000,-0.01869272
2015-11-30 00:00:00+00:00,0.02075112,-0.00099790,-0.00557977
2015-12-31 00:00:00+00:00,-0.02435297,-0.00134331,-0.01080023
2016-01-31 00:00:00+00:00,-0.00198983,0.00000000,-0.04212710
2016-02-29 00:00:00+00:00,0.02053534,0.00389373,-0.00895283
2016-03-31 00:00:00+00:00,-0.01373058,0.00196052,0.01681112
2016-04-30 00:00:00+00:00,-0.01133708,0.00000000,0.01133590
2016-05-31 00:00:00+00:00,-0.02529231,-0.00210410,-0.00481063
2016-06-30 00:00:00+00:00,0.01662396,0.00290132,-0.02743755
2016-07-31 00:00:00+00:00,-0.00640405,0.00000000,-0.01853813
2016-08-31 00:00:00+00:00,-0.01243075,-0.00346792,0.01949623
2016-09-30 00:00:00+00:00,-0.00961506,-0.00278264,0.00206319
2016-10-31 00:00:00+00:00,-0.02136981,-0.00132841,0.00491790
2016-11-30 00:00:00+00:00,0.03652861,-0.00067306,0.05587332
2016-12-31 00:00:00+00:00,0.01499220,0.00000000,0.00933747
2017-01-31 00:00:00+00:00,-0.01753573,-0.00359690,-0.00590110
2017-02-28 00:00:00+00:00,0.02039326,-0.00268686,-0.00168360
2017-03-31 00:00:00+00:00,-0.01798686,-0.00437814,-0.00758769
2017-04-30 00:00:00+00:00,-0.01181027,0.00000000,-0.01017933
2017-05-31 00:00:00+00:00,0.00299374,0.00331128,0.00310375
2017-06-30 00:00:00+00:00,-0.00240913,-0.01316613,0.03314712
2017-07-31 00:00:00+00:00,0.03260260,0.00206041,0.02529879
2017-08-31 00:00:00+00:00,-0.01794847,0.00420058,-0.03740687
2017-09-30 00:00:00+00:00,-0.02613529,0.00000000,-0.00481606
2017-10-31 00:00:00+00:00,0.01977438,0.00734580,-0.02218669
2017-11-30 00:00:00+00:00,0.00651464,0.00278366,0.00405942
2017-12-31 00:00:00+00:00,0.00827094,0.00000000,0.00180742
2018-01-31 00:00:00+00:00,0.13457921,0.00372696,0.09289465
2018-02-28 00:00:00+00:00,-0.03637710,-0.00891596,0.02921134
2018-03-31 00:00:00+00:00,-0.01159760,0.00000000,-0.00945874
2018-04-30 00:00:00+00:00,0.00086219,0.00076282,0.00099767
2018-05-31 00:00:00+00:00,-0.00967233,-0.00334400,0.01721620
2018-06-30 00:00:00+00:00,-0.00197387,0.00000000,-0.00635206
2018-07-31 00:00:00+00:00,0.00775241,0.00180376,0.01582483
2018-08-31 00:00:00+00:00,0.01907501,-0.00072479,-0.00588880
2018-09-30 00:00:00+00:00,-0.01135053,0.00000000,-0.00410230
2018-10-31 00:00:00+00:00,-0.03331455,0.00113177,-0.00430243
2018-11-30 00:00:00+00:00,-0.01365722,0.00343251,-0.00174907
2018-12-31 00:00:00+00:00,0.01223593,-0.00081384,-0.00111501
2019-01-31 00:00:00+00:00,-0.02076838,0.00446129,-0.00036957
2019-02-28 00:00:00+00:00,-0.00878931,-0.00135547,-0.01162586
2019-03-31 00:00:00+00:00,0.02817121,0.00000000,-0.00487691
2019-04-30 00:00:00+00:00,0.00690058,0.00098467,-0.01843996
2019-05-31 00:00:00+00:00,0.02208605,-0.00196725,0.04806742
2019-06-30 00:00:00+00:00,0.02780349,0.00000000,0.00434945
2019-07-31 00:00:00+00:00,0.04624272,0.00248039,0.01172781
2019-08-31 00:00:00+00:00,0.02881948,0.00000000,-0.00352984
2019-09-30 00:00:00+00:00,-0.01725431,-0.00134403,0.01615151
2019-10-31 00:00:00+00:00,-0.03573246,0.00126338,-0.01117899
2019-11-30 00:00:00+00:00,0.02197718,0.00000000,0.01401414
2019-12-31 00:00:00+00:00,-0.02841561,-0.00126731,-0.02121372
2020-01-31 00:00:00+00:00,0.01654198,-0.00779980,0.00900377
2020-02-29 00:00:00+00:00,0.02918242,0.00000000,0.04568670
