,replication_bps_per_month,overlay_bps_per_month
2015-12-31 00:00:00+00:00,0.024065,0.786893
2016-01-31 00:00:00+00:00,0.030180,0.261225
2016-02-29 00:00:00+00:00,0.005049,0.388986
2016-03-31 00:00:00+00:00,0.016166,0.151611
2016-04-30 00:00:00+00:00,0.011989,0.268049
2016-05-31 00:00:00+00:00,0.004747,0.125489
2016-06-30 00:00:00+00:00,0.013737,0.217327
2016-07-31 00:00:00+00:00,0.021872,0.224941
2016-08-31 00:00:00+00:00,0.003852,0.281642
2016-09-30 00:00:00+00:00,0.014719,0.198207
2016-10-31 00:00:00+00:00,0.013123,0.235946
2016-11-30 00:00:00+00:00,0.005936,0.450911
2016-12-31 00:00:00+00:00,0.006607,0.279836
2017-01-31 00:00:00+00:00,0.009616,0.277021
2017-02-28 00:00:00+00:00,0.000958,0.122596
2017-03-31 00:00:00+00:00,0.021722,0.177585
2017-04-30 00:00:00+00:00,0.043101,0.454806
2017-05-31 00:00:00+00:00,0.004706,0.249101
2017-06-30 00:00:00+00:00,0.008240,0.125103
2017-07-31 00:00:00+00:00,0.015837,0.119526
2017-08-31 00:00:00+00:00,0.005657,0.309386
2017-09-30 00:00:00+00:00,0.006495,0.153099
2017-10-31 00:00:00+00:00,0.003622,0.271762
2017-11-30 00:00:00+00:00,0.008128,0.169207
2017-12-31 00:00:00+00:00,0.007037,0.101965
2018-01-31 00:00:00+00:00,0.010582,0.410142
2018-02-28 00:00:00+00:00,0.006376,0.591608
2018-03-31 00:00:00+00:00,0.007822,0.287707
2018-04-30 00:00:00+00:00,0.006761,0.357188
2018-05-31 00:00:00+00:00,0.003976,0.445393
2018-06-30 00:00:00+00:00,0.001699,0.187128
2018-07-31 00:00:00+00:00,0.002901,0.168243
2018-08-31 00:00:00+00:00,0.000258,0.170775
2018-09-30 00:00:00+00:00,0.008300,0.233126
2018-10-31 00:00:00+00:00,0.001461,0.578938
2018-11-30 00:00:00+00:00,0.003442,0.216614
2018-12-31 00:00:00+00:00,0.024275,0.286361
2019-01-31 00:00:00+00:00,0.047552,0.457418
2019-02-28 00:00:00+00:00,0.004199,0.241854
2019-03-31 00:00:00+00:00,0.001040,0.153828
2019-04-30 00:00:00+00:00,0.006213,0.200323
2019-05-31 00:00:00+00:00,0.000553,0.325030
2019-06-30 00:00:00+00:00,0.000067,0.042630
2019-07-31 00:00:00+00:00,0.002213,0.212767
2019-08-31 00:00:00+00:00,0.001040,0.186583
2019-09-30 00:00:00+00:00,0.012479,0.073246
2019-10-31 00:00:00+00:00,0.022332,0.271947
2019-11-30 00:00:00+00:00,0.002326,0.437967
2019-12-31 00:00:00+00:00,0.012875,0.201774
2020-01-31 00:00:00+00:00,0.018764,0.213564
2020-02-29 00:00:00+00:00,0.005065,0.121611
2020-03-31 00:00:00+00:00,0.019221,0.767191
2020-04-30 00:00:00+00:00,0.038686,0.347279
2020-05-31 00:00:00+00:00,0.007504,0.593996
2020-06-30 00:00:00+00:00,0.021950,0.004000
2020-07-31 00:00:00+00:00,0.043951,0.002000
2020-08-31 00:00:00+00:00,0.001360,0.914817
2020-09-30 00:00:00+00:00,0.014376,0.109278
2020-10-31 00:00:00+00:00,0.011915,0.376045
2020-11-30 00:00:00+00:00,0.006111,0.170134
2020-12-31 00:00:00+00:00,0.009026,0.166949
2021-01-31 00:00:00+00:00,0.016188,0.510587
2021-02-28 00:00:00+00:00,0.006970,0.107069
2021-03-31 00:00:00+00:00,0.006783,0.086276
2021-04-30 00:00:00+00:00,0.015794,0.141255
2021-05-31 00:00:00+00:00,0.002864,0.057750
2021-06-30 00:00:00+00:00,0.011819,0.192905
2021-07-31 00:00:00+00:00,0.018629,0.248470
2021-08-31 00:00:00+00:00,0.001128,0.276923
2021-09-30 00:00:00+00:00,0.011462,0.452746
2021-10-31 00:00:00+00:00,0.015947,0.723112
2021-11-30 00:00:00+00:00,0.000352,0.080078
2021-12-31 00:00:00+00:00,0.004658,0.570751
2022-01-31 00:00:00+00:00,0.008671,0.314810
2022-02-28 00:00:00+00:00,0.000002,0.103995
2022-03-31 00:00:00+00:00,0.005753,0.101904
2022-04-30 00:00:00+00:00,0.011504,0.154979
2022-05-31 00:00:00+00:00,0.000002,0.201902
2022-06-30 00:00:00+00:00,0.004518,0.221587
2022-07-31 00:00:00+00:00,0.009034,0.033107
2022-08-31 00:00:00+00:00,0.000002,0.122732
2022-09-30 00:00:00+00:00,0.012134,0.292547
2022-10-31 00:00:00+00:00,0.024259,0.341248
2022-11-30 00:00:00+00:00,0.001530,0.083143
2022-12-31 00:00:00+00:00,0.001525,0.491289
2023-01-31 00:00:00+00:00,0.000610,0.679704
2023-02-28 00:00:00+00:00,0.001220,0.097939
2023-03-31 00:00:00+00:00,0.023848,0.715358
2023-04-30 00:00:00+00:00,0.059899,0.287281
2023-05-31 00:00:00+00:00,0.025342,0.409244
2023-06-30 00:00:00+00:00,0.028812,0.041038
2023-07-31 00:00:00+00:00,0.011870,0.120988
2023-08-31 00:00:00+00:00,0.000001,0.205454
2023-09-30 00:00:00+00:00,0.000000,0.226341
2023-10-31 00:00:00+00:00,0.000000,0.451647
2023-11-30 00:00:00+00:00,0.000000,0.050252
2023-12-31 00:00:00+00:00,0.000000,0.570431
2024-01-31 00:00:00+00:00,0.000000,0.275113
2024-02-29 00:00:00+00:00,0.000000,0.253353
2024-03-31 00:00:00+00:00,0.000000,0.111605
