DateUTC,AUD,CAD,CHF,EUR,GBP,JPY,US2Y,US5Y,US10Y,BOBL,BUND,S&P500,NASDAQ,DOW,EUROSTOXX,DAX,FTSE,TOPIX,WTI_CRUDE,BRENT_CRUDE,GASOIL,GOLD,SILVER,COPPER,CORN,WHEAT
2010-02-23 00:00:00+00:00,-0.02291251,-0.00135516,-0.00011083,-0.01249682,-0.00581496,0.02224531,0.00157629,0.00820964,0.01479595,0.00876518,0.01570133,-0.01852641,-0.02200120,-0.00154186,,-0.01617623,-0.01605555,,0.00895177,-0.03553789,-0.02589497,-0.01605356,-0.02633537,-0.02994010,0.05082885,-0.03391010
2010-02-24 00:00:00+00:00,0.00314706,-0.01208281,-0.00516787,0.00044047,-0.00583189,0.00089854,0.00243505,-0.00040595,0.00065776,0.00203048,0.00403337,0.01137587,0.01440117,-0.00693766,,0.00357041,0.01598794,,-0.00928156,0.02163687,0.00741724,-0.02858171,-0.05031040,-0.04355388,0.00917193,0.02595478
2010-02-25 00:00:00+00:00,-0.01146149,-0.00263857,-0.00443774,0.00280622,-0.01968383,0.02253131,0.00207378,-0.00671120,-0.00794385,0.00355241,0.00402510,-0.00228191,-0.00072447,-0.00107021,,-0.01371299,-0.02618675,,-0.04443020,-0.04575436,-0.05808342,0.02058490,-0.01069561,-0.02688848,-0.01467140,-0.03541762
2010-02-26 00:00:00+00:00,0.02383572,-0.00296259,0.00760117,0.01136696,0.00012780,0.00605776,-0.00408288,0.00445366,0.00586563,-0.00000390,0.00023735,0.00202489,0.00547881,0.00388011,,0.00992530,0.02854023,,0.03403849,0.03377235,0.04695270,0.01875111,0.04806705,0.04698168,0.02948276,0.04860736
2010-03-01 00:00:00+00:00,0.00848145,-0.00242153,-0.00311545,-0.00675781,-0.03109569,-0.00418019,-0.00000353,-0.00027346,-0.00160028,0.00016552,0.00096089,0.02014659,0.02663480,0.00067260,,0.02135674,0.01971867,,-0.01935721,-0.01860142,0.01254234,-0.00108561,-0.00690462,0.04007597,-0.03089120,-0.04971170
2010-03-02 00:00:00+00:00,0.00688905,0.02339184,-0.05156448,0.00367957,-0.00806604,0.00890105,-0.00036297,0.00107426,-0.00027067,-0.00093386,-0.01310497,0.00514260,0.01027501,0.00240946,,0.01084688,0.02814605,,0.02113315,0.03262937,0.01246870,0.03414572,-0.01990757,0.03720001,0.00182535,0.00133290
2010-03-03 00:00:00+00:00,0.00276552,0.01879108,0.01590859,0.01470194,0.01939664,0.00602442,-0.00043518,0.00013038,0.00026143,-0.00110373,-0.00203897,0.00222019,-0.00030589,0.00095898,,0.01350021,0.02054571,,0.02833346,0.02752852,0.02674799,0.01044891,0.06588949,0.01604666,0.02884983,0.03961970
2010-03-04 00:00:00+00:00,-0.00984908,0.00206473,0.00407505,-0.01796015,-0.00841845,-0.01591344,-0.00172865,-0.00121623,0.00185820,-0.01176418,0.00154543,0.00646495,0.00833339,-0.00808824,,-0.00628183,-0.00279368,,-0.00720025,-0.01710326,-0.01188070,-0.01785663,0.01236315,-0.03478655,-0.02120638,-0.04553475
2010-03-05 00:00:00+00:00,0.01678288,0.00309495,-0.01114748,0.00677194,0.01702951,-0.02771270,-0.00129892,-0.00512660,-0.00798269,-0.00291493,-0.00130694,0.02537819,0.02765567,0.01631209,,0.02785427,0.02723566,,0.03080084,0.03333234,0.03154552,0.00369282,0.01053711,0.02507318,-0.03061998,-0.02894024
2010-03-08 00:00:00+00:00,0.00352350,-0.00144160,0.00675688,0.00153729,-0.01095626,0.00053788,0.00042736,-0.00095056,-0.00214092,-0.00000473,-0.01655404,0.00108265,0.00301337,0.00378682,,-0.00196261,0.00139386,,0.01137303,0.01346615,-0.00683540,-0.01974603,0.01238771,-0.00320986,0.00122201,0.01051574
2010-03-09 00:00:00+00:00,0.00890947,-0.00082631,-0.01102041,-0.00594583,-0.01154742,0.00830564,0.00057102,0.00134715,0.00266756,0.00153885,0.00914171,0.00591931,0.01373300,-0.00757767,,0.00586862,0.00184395,,-0.01061251,-0.01351720,-0.00153770,-0.00303887,-0.02059973,0.00101734,-0.03040138,-0.01549601
2010-03-10 00:00:00+00:00,0.00525432,-0.00154601,-0.00161713,0.00852958,-0.00187251,-0.01259755,-0.00129911,-0.00365228,-0.00320844,-0.00188813,-0.00317986,0.00918927,0.01837272,0.00702753,,0.01552847,0.01185139,,0.00722121,0.01521814,0.04072665,-0.02531900,0.00407226,-0.02568270,-0.01387413,-0.02661353
2010-03-11 00:00:00+00:00,-0.00022276,0.00544789,0.00892915,0.00321898,0.01014738,-0.00163362,-0.00129995,-0.00284667,-0.00160930,-0.00206129,-0.00383491,0.00849249,0.00660873,-0.00767436,,-0.00236548,-0.00659303,,0.00211973,-0.00272833,-0.00636287,0.00016667,-0.03160474,0.00546425,0.00124640,-0.01163732
2010-03-12 00:00:00+00:00,0.00152572,0.00358631,0.00760406,0.01250223,0.01634243,0.00162656,-0.00086873,-0.00054671,0.00012883,-0.00086268,0.00228121,-0.00349392,-0.00055558,0.00629662,,0.00395639,0.00588302,,-0.02606669,-0.02105259,0.00035765,-0.01174450,0.02978016,0.00191206,-0.00696179,0.02149527
2010-03-15 00:00:00+00:00,-0.00579152,-0.00030926,-0.00063861,-0.01047086,-0.01522964,-0.00127153,0.00100430,0.00135114,0.00079845,0.00119657,0.00162711,-0.00153061,-0.00753963,-0.00199229,,-0.00613507,-0.01421527,0.00269120,-0.03585628,-0.03539792,-0.05063590,0.00661230,-0.00670390,-0.03814860,-0.00319483,-0.02176941
2010-03-16 00:00:00+00:00,-0.00504339,-0.00153013,-0.00159147,0.00430270,0.01034856,0.00534649,0.00201172,0.00527895,0.00855199,0.00213852,0.00659645,0.01591093,0.01196141,0.00378985,,0.01055828,0.01403174,0.00214604,0.03918135,0.03852941,0.03193015,0.03083446,0.02661886,0.03032578,0.01842734,0.02988604
2010-03-17 00:00:00+00:00,0.01364757,0.00529263,0.00645961,-0.00051314,0.01260736,0.00170972,-0.00029232,-0.00189659,-0.00000511,0.00419327,0.00121370,0.01059105,0.00488980,0.00642170,,0.00827398,0.00541758,0.00643346,0.02686017,0.02098066,0.01603449,0.00301505,0.01740679,0.03164777,0.03715676,0.03176228
