Date,EU-DJ-OIL
2018-07-03 00:00:00+00:00,0.01182220
2018-07-04 00:00:00+00:00,0.00252161
2018-07-05 00:00:00+00:00,0.00794110
2018-07-06 00:00:00+00:00,-0.00543663
2018-07-09 00:00:00+00:00,0.01561058
2018-07-10 00:00:00+00:00,0.00779702
2018-07-11 00:00:00+00:00,-0.05653750
2018-07-12 00:00:00+00:00,0.03562786
2018-07-13 00:00:00+00:00,0.00507053
2018-07-16 00:00:00+00:00,-0.01308619
2018-07-17 00:00:00+00:00,-0.00005606
2018-07-18 00:00:00+00:00,0.00137952
2018-07-19 00:00:00+00:00,0.00051784
2018-07-20 00:00:00+00:00,0.01226242
2018-07-23 00:00:00+00:00,-0.01759847
2018-07-24 00:00:00+00:00,0.00887282
2018-07-25 00:00:00+00:00,-0.00433760
2018-07-26 00:00:00+00:00,0.01771998
2018-07-27 00:00:00+00:00,0.01233903
2018-07-30 00:00:00+00:00,0.01051787
2018-07-31 00:00:00+00:00,0.00902943
2018-08-01 00:00:00+00:00,-0.00796894
2018-08-02 00:00:00+00:00,0.00379463
2018-08-03 00:00:00+00:00,-0.01457630
2018-08-06 00:00:00+00:00,0.00439221
2018-08-07 00:00:00+00:00,0.01627281
2018-08-08 00:00:00+00:00,-0.00877171
2018-08-09 00:00:00+00:00,-0.00390313
2018-08-10 00:00:00+00:00,-0.01770711
2018-08-13 00:00:00+00:00,-0.00005675
2018-08-14 00:00:00+00:00,-0.00539192
2018-08-15 00:00:00+00:00,-0.03082236
2018-08-16 00:00:00+00:00,0.00897004
2018-08-17 00:00:00+00:00,-0.00582876
2018-08-20 00:00:00+00:00,0.01213492
2018-08-21 00:00:00+00:00,0.01170021
2018-08-22 00:00:00+00:00,0.00787862
2018-08-23 00:00:00+00:00,0.00472290
2018-08-24 00:00:00+00:00,0.00917777
2018-08-27 00:00:00+00:00,0.00715162
2018-08-28 00:00:00+00:00,-0.00611638
2018-08-29 00:00:00+00:00,-0.00033604
2018-08-30 00:00:00+00:00,-0.00116681
2018-08-31 00:00:00+00:00,-0.01281850
2018-09-03 00:00:00+00:00,0.00528013
2018-09-04 00:00:00+00:00,-0.00425109
2018-09-05 00:00:00+00:00,-0.01942501
2018-09-06 00:00:00+00:00,-0.01036254
2018-09-07 00:00:00+00:00,-0.00613224
2018-09-10 00:00:00+00:00,0.00285029
2018-09-11 00:00:00+00:00,0.01502578
2018-09-12 00:00:00+00:00,0.01594482
2018-09-13 00:00:00+00:00,-0.00343506
2018-09-14 00:00:00+00:00,0.00135143
2018-09-17 00:00:00+00:00,0.00134930
2018-09-18 00:00:00+00:00,-0.01613169
2018-09-19 00:00:00+00:00,0.00480392
2018-09-20 00:00:00+00:00,0.00734294
2018-09-21 00:00:00+00:00,-0.00090830
2018-09-24 00:00:00+00:00,-0.00119190
