Date,US10U
2016-09-11 00:00:00+00:00,-0.00478935
2016-09-12 00:00:00+00:00,-0.00022857
2016-09-13 00:00:00+00:00,0.00130004
2016-09-14 00:00:00+00:00,-0.00513351
2016-09-15 00:00:00+00:00,0.00196444
2016-09-16 00:00:00+00:00,0.00108571
2016-09-18 00:00:00+00:00,-0.00033579
2016-09-19 00:00:00+00:00,-0.00011640
2016-09-20 00:00:00+00:00,-0.00055490
2016-09-21 00:00:00+00:00,-0.00000656
2016-09-22 00:00:00+00:00,0.00535371
2016-09-23 00:00:00+00:00,0.00162654
2016-09-25 00:00:00+00:00,0.00075507
2016-09-26 00:00:00+00:00,0.00075435
2016-09-27 00:00:00+00:00,0.00031778
2016-09-28 00:00:00+00:00,0.00411141
2016-09-29 00:00:00+00:00,-0.00162640
2016-09-30 00:00:00+00:00,0.00301979
2016-10-02 00:00:00+00:00,-0.00475131
2016-10-03 00:00:00+00:00,0.00009979
2016-10-04 00:00:00+00:00,-0.00195870
2016-10-05 00:00:00+00:00,-0.00424131
2016-10-06 00:00:00+00:00,-0.00371440
2016-10-07 00:00:00+00:00,-0.00274371
2016-10-09 00:00:00+00:00,0.00185557
2016-10-10 00:00:00+00:00,-0.00165130
2016-10-11 00:00:00+00:00,-0.00176394
2016-10-12 00:00:00+00:00,-0.00110848
2016-10-13 00:00:00+00:00,0.00307113
2016-10-14 00:00:00+00:00,-0.00165300
2016-10-16 00:00:00+00:00,-0.00220480
2016-10-17 00:00:00+00:00,-0.00044882
2016-10-18 00:00:00+00:00,0.00197228
2016-10-19 00:00:00+00:00,0.00273789
2016-10-20 00:00:00+00:00,-0.00044758
2016-10-21 00:00:00+00:00,0.00021005
2016-10-23 00:00:00+00:00,0.00075807
2016-10-24 00:00:00+00:00,0.00108621
2016-10-25 00:00:00+00:00,-0.00296363
2016-10-26 00:00:00+00:00,0.00119790
2016-10-27 00:00:00+00:00,-0.00472087
2016-10-28 00:00:00+00:00,-0.00540391
2016-10-30 00:00:00+00:00,0.00231704
2016-10-31 00:00:00+00:00,-0.00022950
2016-11-01 00:00:00+00:00,-0.00023097
2016-11-02 00:00:00+00:00,0.00264223
2016-11-03 00:00:00+00:00,0.00230420
2016-11-04 00:00:00+00:00,-0.00110999
2016-11-06 00:00:00+00:00,-0.00199187
2016-11-07 00:00:00+00:00,0.00065048
2016-11-08 00:00:00+00:00,0.00031858
2016-11-09 00:00:00+00:00,0.00064910
2016-11-10 00:00:00+00:00,-0.01862348
2016-11-11 00:00:00+00:00,-0.00943869
2016-11-13 00:00:00+00:00,-0.00488406
2016-11-14 00:00:00+00:00,-0.00445383
2016-11-15 00:00:00+00:00,0.00181538
2016-11-16 00:00:00+00:00,-0.00320865
2016-11-17 00:00:00+00:00,0.00204880
2016-11-18 00:00:00+00:00,-0.01166653
2016-11-20 00:00:00+00:00,-0.00151495
2016-11-21 00:00:00+00:00,0.00184022
2016-11-22 00:00:00+00:00,0.00056417
2016-11-23 00:00:00+00:00,0.00206506
2016-11-24 00:00:00+00:00,-0.00508541
2016-11-25 00:00:00+00:00,-0.00024564
2016-11-27 00:00:00+00:00,0.00299880
2016-11-28 00:00:00+00:00,0.00218190
2016-11-29 00:00:00+00:00,0.00090872
2016-11-30 00:00:00+00:00,0.00021686
2016-12-01 00:00:00+00:00,-0.01060617
2016-12-02 00:00:00+00:00,-0.00490089
2016-12-04 00:00:00+00:00,0.00700353
2016-12-05 00:00:00+00:00,0.00196111
2016-12-06 00:00:00+00:00,-0.00465010
2016-12-07 00:00:00+00:00,-0.00024691
2016-12-08 00:00:00+00:00,0.00441164
2016-12-09 00:00:00+00:00,-0.00766809
2016-12-11 00:00:00+00:00,-0.00433847
2016-12-12 00:00:00+00:00,-0.00142267
2016-12-13 00:00:00+00:00,0.00374564
2016-12-14 00:00:00+00:00,0.00232662
2016-12-15 00:00:00+00:00,-0.01076044
2016-12-16 00:00:00+00:00,-0.00001403
2016-12-18 00:00:00+00:00,-0.00119480
2016-12-19 00:00:00+00:00,0.00034090
2016-12-20 00:00:00+00:00,0.00104891
2016-12-21 00:00:00+00:00,0.00116619
2016-12-22 00:00:00+00:00,0.00140068
2016-12-23 00:00:00+00:00,-0.00107414
2016-12-26 00:00:00+00:00,0.00010342
2016-12-27 00:00:00+00:00,-0.00060358
2016-12-28 00:00:00+00:00,0.00010367
2016-12-29 00:00:00+00:00,0.00600061
2016-12-30 00:00:00+00:00,0.00104091
2017-01-02 00:00:00+00:00,0.00221062
2017-01-03 00:00:00+00:00,0.00115442
2017-01-04 00:00:00+00:00,-0.00199855
2017-01-05 00:00:00+00:00,0.00618207
2017-01-06 00:00:00+00:00,0.00335530
2017-01-08 00:00:00+00:00,-0.00464675
2017-01-09 00:00:00+00:00,-0.00106106
2017-01-10 00:00:00+00:00,0.00545958
2017-01-11 00:00:00+00:00,-0.00047764
2017-01-12 00:00:00+00:00,0.00473703
2017-01-13 00:00:00+00:00,-0.00347493
2017-01-15 00:00:00+00:00,-0.00036194
2017-01-16 00:00:00+00:00,0.00137465
2017-01-17 00:00:00+00:00,0.00091024
2017-01-18 00:00:00+00:00,0.00021636
2017-01-19 00:00:00+00:00,-0.00682816
2017-01-20 00:00:00+00:00,-0.00280450
2017-01-22 00:00:00+00:00,0.00138545
2017-01-23 00:00:00+00:00,0.00091787
2017-01-24 00:00:00+00:00,0.00277783
2017-01-25 00:00:00+00:00,-0.00593036
2017-01-26 00:00:00+00:00,-0.00584901
2017-01-27 00:00:00+00:00,0.00127693
2017-01-29 00:00:00+00:00,0.00385439
2017-01-30 00:00:00+00:00,0.00010253
2017-01-31 00:00:00+00:00,0.00127006
2017-02-01 00:00:00+00:00,-0.00141381
2017-02-02 00:00:00+00:00,0.00185448
2017-02-03 00:00:00+00:00,-0.00246187
2017-02-05 00:00:00+00:00,0.00197242
2017-02-06 00:00:00+00:00,0.00126835
2017-02-07 00:00:00+00:00,0.00545894
2017-02-08 00:00:00+00:00,-0.00001508
2017-02-09 00:00:00+00:00,0.00264911
2017-02-10 00:00:00+00:00,-0.00486707
2017-02-12 00:00:00+00:00,-0.00152412
2017-02-13 00:00:00+00:00,0.00056630
2017-02-14 00:00:00+00:00,-0.00129354
2017-02-15 00:00:00+00:00,-0.00327265
2017-02-16 00:00:00+00:00,-0.00141531
2017-02-17 00:00:00+00:00,0.00244012
2017-02-19 00:00:00+00:00,0.00313374
2017-02-20 00:00:00+00:00,-0.00140945
2017-02-21 00:00:00+00:00,0.00045108
2017-02-22 00:00:00+00:00,-0.00164352
2017-02-23 00:00:00+00:00,0.00371486
2017-02-24 00:00:00+00:00,0.00323659
2017-02-26 00:00:00+00:00,0.00496197
2017-02-27 00:00:00+00:00,-0.00082025
2017-02-28 00:00:00+00:00,-0.00208948
2017-03-01 00:00:00+00:00,-0.00498357
2017-03-02 00:00:00+00:00,-0.01487455
2017-03-03 00:00:00+00:00,-0.00025524
2017-03-05 00:00:00+00:00,-0.00001961
2017-03-06 00:00:00+00:00,0.00033327
2017-03-07 00:00:00+00:00,-0.00178802
2017-03-08 00:00:00+00:00,-0.00108232
2017-03-09 00:00:00+00:00,-0.00510013
2017-03-10 00:00:00+00:00,-0.00310790
2017-03-12 00:00:00+00:00,0.00236134
2017-03-13 00:00:00+00:00,0.00069212
2017-03-14 00:00:00+00:00,-0.00370236
2017-03-15 00:00:00+00:00,0.00283968
2017-03-16 00:00:00+00:00,0.00889227
2017-03-17 00:00:00+00:00,-0.00367160
2017-03-19 00:00:00+00:00,0.00388092
2017-03-20 00:00:00+00:00,0.00021513
2017-03-21 00:00:00+00:00,0.00127350
2017-03-22 00:00:00+00:00,0.00573996
2017-03-23 00:00:00+00:00,0.00044626
2017-03-24 00:00:00+00:00,-0.00224151
2017-03-26 00:00:00+00:00,0.00454592
2017-03-27 00:00:00+00:00,0.00242646
2017-03-28 00:00:00+00:00,-0.00316198
2017-03-29 00:00:00+00:00,-0.00270474
2017-03-30 00:00:00+00:00,0.00290265
2017-03-31 00:00:00+00:00,-0.00282033
2017-04-02 00:00:00+00:00,0.00231801
2017-04-03 00:00:00+00:00,-0.00072134
2017-04-04 00:00:00+00:00,0.00675023
2017-04-05 00:00:00+00:00,-0.00222597
2017-04-06 00:00:00+00:00,0.00148860
2017-04-07 00:00:00+00:00,0.00125392
2017-04-09 00:00:00+00:00,-0.00512304
2017-04-10 00:00:00+00:00,0.00021052
2017-04-11 00:00:00+00:00,0.00370457
2017-04-12 00:00:00+00:00,0.00311070
2017-04-13 00:00:00+00:00,0.00495205
2017-04-16 00:00:00+00:00,0.00458208
2017-04-17 00:00:00+00:00,-0.00082475
2017-04-18 00:00:00+00:00,-0.00334869
2017-04-19 00:00:00+00:00,0.00492520
