Date,AUD
2000-11-21 00:00:00+00:00,-0.01299966
2000-11-22 00:00:00+00:00,0.06262176
2000-11-24 00:00:00+00:00,-0.01382873
2000-11-27 00:00:00+00:00,0.01014266
2000-11-28 00:00:00+00:00,-0.01308956
2000-11-29 00:00:00+00:00,-0.00552253
2000-11-30 00:00:00+00:00,0.02552761
2000-12-01 00:00:00+00:00,0.03391036
2000-12-04 00:00:00+00:00,0.02477790
2000-12-05 00:00:00+00:00,-0.01174690
2000-12-06 00:00:00+00:00,0.02461824
2000-12-07 00:00:00+00:00,-0.00180900
2000-12-08 00:00:00+00:00,-0.00455174
2000-12-11 00:00:00+00:00,-0.01610407
2000-12-12 00:00:00+00:00,0.00020517
2000-12-13 00:00:00+00:00,-0.01124162
2000-12-14 00:00:00+00:00,0.00986266
2000-12-15 00:00:00+00:00,0.00500940
2000-12-18 00:00:00+00:00,-0.00935004
2000-12-19 00:00:00+00:00,0.01276494
2000-12-20 00:00:00+00:00,0.02148907
2000-12-21 00:00:00+00:00,0.01654830
2000-12-22 00:00:00+00:00,-0.00158155
2000-12-26 00:00:00+00:00,0.01497440
2000-12-27 00:00:00+00:00,0.00055797
2000-12-28 00:00:00+00:00,-0.01749159
2000-12-29 00:00:00+00:00,0.01498156
2001-01-02 00:00:00+00:00,-0.00015750
2001-01-03 00:00:00+00:00,-0.00480394
2001-01-04 00:00:00+00:00,0.02943524
2001-01-05 00:00:00+00:00,0.01876236
2001-01-08 00:00:00+00:00,-0.01011265
2001-01-09 00:00:00+00:00,-0.01842899
2001-01-10 00:00:00+00:00,-0.02392273
2001-01-11 00:00:00+00:00,0.01386570
2001-01-12 00:00:00+00:00,-0.01726479
2001-01-16 00:00:00+00:00,-0.00194278
2001-01-17 00:00:00+00:00,-0.00842718
2001-01-18 00:00:00+00:00,0.02082825
2001-01-19 00:00:00+00:00,-0.00908726
2001-01-22 00:00:00+00:00,-0.00265785
2001-01-23 00:00:00+00:00,-0.01129821
2001-01-24 00:00:00+00:00,-0.03163002
2001-01-25 00:00:00+00:00,0.00132836
2001-01-26 00:00:00+00:00,-0.00124484
2001-01-29 00:00:00+00:00,-0.00271214
2001-01-30 00:00:00+00:00,0.01458747
2001-01-31 00:00:00+00:00,0.00790530
