Date,US-DISCRETE
2012-03-29 00:00:00+00:00,-0.00044693
2012-03-30 00:00:00+00:00,0.00378421
2012-04-02 00:00:00+00:00,0.00243846
2012-04-03 00:00:00+00:00,-0.00088761
2012-04-04 00:00:00+00:00,-0.01019264
2012-04-05 00:00:00+00:00,0.00738381
2012-04-06 00:00:00+00:00,-0.00000205
2012-04-09 00:00:00+00:00,-0.01000018
2012-04-10 00:00:00+00:00,-0.02379055
2012-04-11 00:00:00+00:00,0.01333086
2012-04-12 00:00:00+00:00,0.01315542
2012-04-13 00:00:00+00:00,-0.00179371
2012-04-16 00:00:00+00:00,-0.00493721
2012-04-17 00:00:00+00:00,0.01149458
2012-04-18 00:00:00+00:00,0.00088949
2012-04-19 00:00:00+00:00,-0.00868601
2012-04-20 00:00:00+00:00,0.00269337
2012-04-23 00:00:00+00:00,-0.01097896
2012-04-24 00:00:00+00:00,-0.00362648
2012-04-25 00:00:00+00:00,0.01636481
2012-04-26 00:00:00+00:00,0.01207529
2012-04-27 00:00:00+00:00,0.01325713
2012-04-30 00:00:00+00:00,-0.00436473
2012-05-01 00:00:00+00:00,0.00613108
2012-05-02 00:00:00+00:00,0.00391675
2012-05-03 00:00:00+00:00,-0.00607462
2012-05-04 00:00:00+00:00,-0.02051263
2012-05-07 00:00:00+00:00,0.00022008
2012-05-08 00:00:00+00:00,-0.01336571
2012-05-09 00:00:00+00:00,-0.00316288
2012-05-10 00:00:00+00:00,0.00248826
2012-05-11 00:00:00+00:00,-0.00045439
2012-05-14 00:00:00+00:00,-0.01424004
2012-05-15 00:00:00+00:00,-0.00229521
2012-05-16 00:00:00+00:00,0.00022710
2012-05-17 00:00:00+00:00,-0.02825906
2012-05-18 00:00:00+00:00,-0.00591243
2012-05-21 00:00:00+00:00,0.01497976
2012-05-22 00:00:00+00:00,0.00468349
2012-05-23 00:00:00+00:00,0.00442857
2012-05-24 00:00:00+00:00,0.00510528
2012-05-25 00:00:00+00:00,-0.00046440
2012-05-29 00:00:00+00:00,0.01293960
2012-05-30 00:00:00+00:00,-0.01506015
2012-05-31 00:00:00+00:00,-0.00301332
2012-06-01 00:00:00+00:00,-0.03090339
2012-06-04 00:00:00+00:00,0.00359401
2012-06-05 00:00:00+00:00,0.00405890
2012-06-06 00:00:00+00:00,0.02307636
2012-06-07 00:00:00+00:00,-0.00000239
2012-06-08 00:00:00+00:00,-0.01744419
2012-06-11 00:00:00+00:00,-0.00396801
2012-06-12 00:00:00+00:00,0.00065674
2012-06-13 00:00:00+00:00,0.00374089
2012-06-14 00:00:00+00:00,0.00629089
2012-06-15 00:00:00+00:00,0.00138732
2012-06-18 00:00:00+00:00,0.00809355
2012-06-19 00:00:00+00:00,0.01170007
2012-06-20 00:00:00+00:00,-0.00408496
2012-06-21 00:00:00+00:00,-0.01412205
