Date,HANGENT
2023-06-09 00:00:00+00:00,0.01733420
2023-06-12 00:00:00+00:00,0.00152437
2023-06-13 00:00:00+00:00,0.00942094
2023-06-14 00:00:00+00:00,-0.01027440
2023-06-15 00:00:00+00:00,0.05562001
2023-06-16 00:00:00+00:00,0.02764732
2023-06-19 00:00:00+00:00,-0.02377233
2023-06-20 00:00:00+00:00,-0.03822800
2023-06-21 00:00:00+00:00,-0.03957091
2023-06-23 00:00:00+00:00,-0.04634282
2023-06-26 00:00:00+00:00,-0.00536750
2023-06-27 00:00:00+00:00,0.04105449
2023-06-28 00:00:00+00:00,0.00311171
2023-06-29 00:00:00+00:00,-0.03069275
2023-06-30 00:00:00+00:00,0.00095365
2023-07-03 00:00:00+00:00,0.05636115
2023-07-04 00:00:00+00:00,0.00689633
2023-07-05 00:00:00+00:00,-0.03922842
2023-07-06 00:00:00+00:00,-0.04841502
2023-07-07 00:00:00+00:00,-0.02184873
2023-07-10 00:00:00+00:00,0.01872879
2023-07-11 00:00:00+00:00,0.01071067
2023-07-12 00:00:00+00:00,0.03417228
2023-07-13 00:00:00+00:00,0.02952214
2023-07-14 00:00:00+00:00,-0.00045366
2023-07-17 00:00:00+00:00,-0.00015008
2023-07-18 00:00:00+00:00,-0.04975743
2023-07-19 00:00:00+00:00,-0.01072728
2023-07-20 00:00:00+00:00,0.00109917
2023-07-21 00:00:00+00:00,0.00594152
2023-07-24 00:00:00+00:00,-0.03897640
2023-07-25 00:00:00+00:00,0.11286607
2023-07-26 00:00:00+00:00,-0.02226789
2023-07-27 00:00:00+00:00,0.04015778
2023-07-28 00:00:00+00:00,0.01908696
2023-07-31 00:00:00+00:00,0.04945425
2023-08-01 00:00:00+00:00,-0.02017535
2023-08-02 00:00:00+00:00,-0.05689592
2023-08-03 00:00:00+00:00,-0.00254769
2023-08-04 00:00:00+00:00,0.01018940
2023-08-07 00:00:00+00:00,0.00014575
2023-08-08 00:00:00+00:00,-0.03737551
2023-08-09 00:00:00+00:00,0.01093978
2023-08-10 00:00:00+00:00,0.00634587
2023-08-11 00:00:00+00:00,-0.02907242
2023-08-14 00:00:00+00:00,-0.04144971
2023-08-15 00:00:00+00:00,-0.01732703
2023-08-16 00:00:00+00:00,-0.03023646
2023-08-17 00:00:00+00:00,0.00336540
2023-08-18 00:00:00+00:00,-0.04597022
2023-08-21 00:00:00+00:00,-0.03332818
2023-08-22 00:00:00+00:00,0.01579614
2023-08-23 00:00:00+00:00,0.01236292
2023-08-24 00:00:00+00:00,0.04323199
2023-08-25 00:00:00+00:00,-0.02863400
2023-08-28 00:00:00+00:00,0.02598615
2023-08-29 00:00:00+00:00,0.03668720
2023-08-30 00:00:00+00:00,-0.00975413
2023-08-31 00:00:00+00:00,-0.00442592
2023-09-01 00:00:00+00:00,-0.00015280
2023-09-04 00:00:00+00:00,0.06943192
2023-09-05 00:00:00+00:00,-0.04518281
2023-09-06 00:00:00+00:00,0.00470540
2023-09-07 00:00:00+00:00,-0.03079733
2023-09-08 00:00:00+00:00,-0.00015354
2023-09-11 00:00:00+00:00,0.00619956
2023-09-12 00:00:00+00:00,-0.00568383
2023-09-13 00:00:00+00:00,-0.00839316
2023-09-14 00:00:00+00:00,0.00892577
2023-09-15 00:00:00+00:00,0.01030948
2023-09-18 00:00:00+00:00,-0.03373371
2023-09-19 00:00:00+00:00,0.00995053
2023-09-20 00:00:00+00:00,-0.01659180
2023-09-21 00:00:00+00:00,-0.03118287
2023-09-22 00:00:00+00:00,0.05746936
2023-09-25 00:00:00+00:00,-0.04999515
2023-09-26 00:00:00+00:00,-0.02376225
2023-09-27 00:00:00+00:00,0.00758723
2023-09-28 00:00:00+00:00,-0.03099374
2023-09-29 00:00:00+00:00,0.05916966
2023-10-03 00:00:00+00:00,-0.07441452
2023-10-04 00:00:00+00:00,-0.01594218
2023-10-05 00:00:00+00:00,-0.00133955
2023-10-06 00:00:00+00:00,0.03051782
2023-10-09 00:00:00+00:00,0.00818951
2023-10-10 00:00:00+00:00,0.03723972
2023-10-11 00:00:00+00:00,0.00636970
2023-10-12 00:00:00+00:00,0.04538117
2023-10-13 00:00:00+00:00,-0.05501201
2023-10-16 00:00:00+00:00,-0.01813696
