Date,CHINAA-CON
2023-12-01 00:00:00+00:00,-0.01561060
2023-12-04 00:00:00+00:00,-0.01057586
2023-12-05 00:00:00+00:00,-0.03874924
2023-12-06 00:00:00+00:00,0.00411532
2023-12-07 00:00:00+00:00,-0.00509227
2023-12-08 00:00:00+00:00,0.00692731
2023-12-11 00:00:00+00:00,0.01216883
2023-12-12 00:00:00+00:00,-0.00037937
2023-12-13 00:00:00+00:00,-0.01662777
2023-12-14 00:00:00+00:00,-0.00478908
2023-12-15 00:00:00+00:00,-0.00253717
2023-12-18 00:00:00+00:00,-0.02613277
2023-12-19 00:00:00+00:00,0.00896875
2023-12-20 00:00:00+00:00,-0.01607424
2023-12-21 00:00:00+00:00,0.02459508
2023-12-22 00:00:00+00:00,-0.00241970
2023-12-25 00:00:00+00:00,0.00834390
2023-12-26 00:00:00+00:00,-0.01392057
2023-12-27 00:00:00+00:00,0.00473074
2023-12-28 00:00:00+00:00,0.05561356
2023-12-29 00:00:00+00:00,0.00017589
2024-01-02 00:00:00+00:00,-0.01789435
2024-01-03 00:00:00+00:00,-0.00452609
2024-01-04 00:00:00+00:00,-0.01085650
2024-01-05 00:00:00+00:00,-0.00276985
2024-01-08 00:00:00+00:00,-0.06696860
2024-01-09 00:00:00+00:00,0.00054018
2024-01-10 00:00:00+00:00,0.00379328
2024-01-11 00:00:00+00:00,0.00586543
2024-01-12 00:00:00+00:00,-0.00731464
2024-01-15 00:00:00+00:00,-0.00838334
2024-01-16 00:00:00+00:00,0.01183372
2024-01-17 00:00:00+00:00,-0.05603270
2024-01-18 00:00:00+00:00,0.02828325
2024-01-19 00:00:00+00:00,0.02248101
2024-01-22 00:00:00+00:00,-0.02949232
2024-01-23 00:00:00+00:00,0.00255249
2024-01-24 00:00:00+00:00,0.05485779
2024-01-25 00:00:00+00:00,0.01666189
2024-01-26 00:00:00+00:00,-0.01127405
2024-01-29 00:00:00+00:00,-0.02513533
2024-01-30 00:00:00+00:00,-0.04036341
2024-01-31 00:00:00+00:00,-0.00781957
2024-02-01 00:00:00+00:00,0.00812832
2024-02-02 00:00:00+00:00,-0.02100633
2024-02-05 00:00:00+00:00,0.02162427
2024-02-06 00:00:00+00:00,0.07433195
2024-02-07 00:00:00+00:00,0.01084914
2024-02-08 00:00:00+00:00,0.00627237
2024-02-09 00:00:00+00:00,-0.00486281
2024-02-12 00:00:00+00:00,0.00286995
2024-02-13 00:00:00+00:00,0.01508524
2024-02-14 00:00:00+00:00,-0.01831110
2024-02-15 00:00:00+00:00,0.00796242
2024-02-16 00:00:00+00:00,0.03318484
2024-02-19 00:00:00+00:00,-0.01804662
2024-02-20 00:00:00+00:00,0.01232365
2024-02-21 00:00:00+00:00,0.03550676
2024-02-22 00:00:00+00:00,0.02247458
2024-02-23 00:00:00+00:00,-0.00811756
2024-02-26 00:00:00+00:00,-0.03181151
2024-02-27 00:00:00+00:00,0.02936895
2024-02-28 00:00:00+00:00,-0.02448795
2024-02-29 00:00:00+00:00,0.01802264
2024-03-01 00:00:00+00:00,0.01915918
2024-03-04 00:00:00+00:00,0.00220842
2024-03-05 00:00:00+00:00,0.01969446
2024-03-06 00:00:00+00:00,-0.00291775
2024-03-07 00:00:00+00:00,-0.00601017
2024-03-08 00:00:00+00:00,0.00571643
2024-03-11 00:00:00+00:00,0.05053115
2024-03-12 00:00:00+00:00,0.01188264
2024-03-13 00:00:00+00:00,-0.01903704
2024-03-14 00:00:00+00:00,-0.00380216
2024-03-15 00:00:00+00:00,-0.00453819
2024-03-18 00:00:00+00:00,0.00931201
2024-03-19 00:00:00+00:00,-0.00767309
2024-03-20 00:00:00+00:00,0.00077615
2024-03-21 00:00:00+00:00,-0.00067212
2024-03-22 00:00:00+00:00,-0.01442721
2024-03-25 00:00:00+00:00,-0.00182158
2024-03-26 00:00:00+00:00,0.01631727
2024-03-27 00:00:00+00:00,-0.02528657
2024-03-28 00:00:00+00:00,0.01136737
2024-03-29 00:00:00+00:00,0.00015782
