Date,US-MATERIAL
2012-01-04 00:00:00+00:00,0.00551377
2012-01-05 00:00:00+00:00,0.00274155
2012-01-06 00:00:00+00:00,-0.00136767
2012-01-09 00:00:00+00:00,0.04901389
2012-01-10 00:00:00+00:00,0.01716390
2012-01-11 00:00:00+00:00,0.01046362
2012-01-12 00:00:00+00:00,0.01433804
2012-01-13 00:00:00+00:00,-0.00654528
2012-01-17 00:00:00+00:00,0.00579625
2012-01-18 00:00:00+00:00,0.01074064
2012-01-19 00:00:00+00:00,0.00025807
2012-01-20 00:00:00+00:00,-0.00337002
2012-01-23 00:00:00+00:00,0.00077890
2012-01-24 00:00:00+00:00,-0.00104036
2012-01-25 00:00:00+00:00,0.01586363
2012-01-26 00:00:00+00:00,0.00025461
2012-01-27 00:00:00+00:00,0.00051028
2012-01-30 00:00:00+00:00,-0.00102483
2012-01-31 00:00:00+00:00,0.00076669
2012-02-01 00:00:00+00:00,0.00946606
2012-02-02 00:00:00+00:00,-0.00177673
2012-02-03 00:00:00+00:00,0.01269461
2012-02-06 00:00:00+00:00,-0.00602045
2012-02-07 00:00:00+00:00,-0.00126361
2012-02-08 00:00:00+00:00,0.00075551
2012-02-09 00:00:00+00:00,0.00176424
2012-02-10 00:00:00+00:00,-0.01915087
2012-02-13 00:00:00+00:00,0.00487772
2012-02-14 00:00:00+00:00,-0.01355131
2012-02-15 00:00:00+00:00,-0.00000311
2012-02-16 00:00:00+00:00,0.01684085
2012-02-17 00:00:00+00:00,0.00152679
2012-02-21 00:00:00+00:00,0.00534097
2012-02-22 00:00:00+00:00,-0.00050860
2012-02-23 00:00:00+00:00,-0.00050907
2012-02-24 00:00:00+00:00,0.00151739
2012-02-27 00:00:00+00:00,-0.00050919
2012-02-28 00:00:00+00:00,0.00328734
2012-02-29 00:00:00+00:00,-0.01766119
2012-03-01 00:00:00+00:00,0.00975656
2012-03-02 00:00:00+00:00,-0.00381669
2012-03-05 00:00:00+00:00,-0.01532011
2012-03-06 00:00:00+00:00,-0.02100290
2012-03-07 00:00:00+00:00,0.00344054
2012-03-08 00:00:00+00:00,0.01583305
2012-03-09 00:00:00+00:00,0.05091992
2012-03-12 00:00:00+00:00,-0.01092169
2012-03-13 00:00:00+00:00,0.02657167
2012-03-14 00:00:00+00:00,-0.00028921
2012-03-15 00:00:00+00:00,0.00641769
2012-03-16 00:00:00+00:00,0.01254460
2012-03-19 00:00:00+00:00,0.00969843
2012-03-20 00:00:00+00:00,-0.00989377
2012-03-21 00:00:00+00:00,-0.00025869
2012-03-23 00:00:00+00:00,-0.00589502
2012-03-26 00:00:00+00:00,0.00850106
2012-03-27 00:00:00+00:00,0.00894214
2012-03-28 00:00:00+00:00,-0.02609142
2012-03-29 00:00:00+00:00,0.00650026
2012-03-30 00:00:00+00:00,0.00025642
2012-04-02 00:00:00+00:00,0.00723108
2012-04-03 00:00:00+00:00,-0.00179759
2012-04-04 00:00:00+00:00,-0.00796718
2012-04-05 00:00:00+00:00,-0.00285105
2012-04-09 00:00:00+00:00,-0.01792448
2012-04-10 00:00:00+00:00,-0.01798706
2012-04-11 00:00:00+00:00,0.00430671
2012-04-12 00:00:00+00:00,0.03056873
2012-04-13 00:00:00+00:00,-0.00884965
2012-04-16 00:00:00+00:00,-0.00394030
2012-04-17 00:00:00+00:00,0.02134724
2012-04-18 00:00:00+00:00,-0.00851811
2012-04-19 00:00:00+00:00,-0.00182395
2012-04-20 00:00:00+00:00,-0.00026280
2012-04-23 00:00:00+00:00,-0.01408677
2012-04-24 00:00:00+00:00,0.00184938
2012-04-25 00:00:00+00:00,0.01531301
2012-04-26 00:00:00+00:00,-0.00000254
2012-04-27 00:00:00+00:00,0.00884011
2012-04-30 00:00:00+00:00,-0.00747884
2012-05-01 00:00:00+00:00,0.01090655
2012-05-02 00:00:00+00:00,-0.01490462
2012-05-03 00:00:00+00:00,0.00130193
2012-05-04 00:00:00+00:00,-0.02422711
2012-05-07 00:00:00+00:00,-0.00374000
2012-05-08 00:00:00+00:00,-0.00482583
2012-05-09 00:00:00+00:00,-0.00107962
2012-05-10 00:00:00+00:00,-0.00350673
2012-05-11 00:00:00+00:00,-0.00324849
2012-05-14 00:00:00+00:00,-0.00814387
2012-05-15 00:00:00+00:00,-0.00875781
2012-05-16 00:00:00+00:00,-0.01545949
2012-05-17 00:00:00+00:00,-0.02523397
2012-05-18 00:00:00+00:00,-0.00287830
2012-05-21 00:00:00+00:00,0.01961110
2012-05-22 00:00:00+00:00,0.00339208
2012-05-23 00:00:00+00:00,-0.00000240
2012-05-24 00:00:00+00:00,0.00930095
2012-05-25 00:00:00+00:00,-0.00195771
2012-05-29 00:00:00+00:00,0.01511096
2012-05-30 00:00:00+00:00,-0.01682028
2012-05-31 00:00:00+00:00,-0.00729305
2012-06-01 00:00:00+00:00,-0.01808100
2012-06-04 00:00:00+00:00,-0.00546831
2012-06-05 00:00:00+00:00,0.01330408
2012-06-06 00:00:00+00:00,0.02140783
2012-06-07 00:00:00+00:00,-0.08608400
2012-06-08 00:00:00+00:00,0.00302323
2012-06-11 00:00:00+00:00,0.01265712
2012-06-12 00:00:00+00:00,-0.01161249
2012-06-13 00:00:00+00:00,-0.00334996
2012-06-14 00:00:00+00:00,0.00335571
2012-06-15 00:00:00+00:00,0.00697096
2012-06-18 00:00:00+00:00,0.00692252
2012-06-19 00:00:00+00:00,0.02310612
2012-06-20 00:00:00+00:00,-0.00887575
2012-06-21 00:00:00+00:00,-0.03201528
2012-06-22 00:00:00+00:00,-0.00953141
2012-06-25 00:00:00+00:00,-0.00925313
2012-06-26 00:00:00+00:00,0.00140736
2012-06-27 00:00:00+00:00,0.00872754
2012-06-28 00:00:00+00:00,0.00278934
2012-06-29 00:00:00+00:00,0.02950763
2012-07-02 00:00:00+00:00,-0.00784489
2012-07-03 00:00:00+00:00,0.01825871
2012-07-05 00:00:00+00:00,-0.00026985
2012-07-06 00:00:00+00:00,-0.01231804
2012-07-09 00:00:00+00:00,-0.00677944
2012-07-10 00:00:00+00:00,-0.01801564
2012-07-11 00:00:00+00:00,0.00277665
2012-07-12 00:00:00+00:00,-0.00804051
2012-07-13 00:00:00+00:00,0.01815882
2012-07-16 00:00:00+00:00,-0.00466803
2012-07-17 00:00:00+00:00,0.01433409
2012-07-18 00:00:00+00:00,0.00217196
2012-07-19 00:00:00+00:00,0.01355876
2012-07-20 00:00:00+00:00,-0.00588962
2012-07-23 00:00:00+00:00,-0.01453848
2012-07-24 00:00:00+00:00,-0.01666493
2012-07-25 00:00:00+00:00,0.00305274
2012-07-26 00:00:00+00:00,0.00221249
2012-07-27 00:00:00+00:00,0.01823412
2012-07-30 00:00:00+00:00,-0.00325954
2012-07-31 00:00:00+00:00,-0.00218101
2012-08-01 00:00:00+00:00,-0.00109408
2012-08-02 00:00:00+00:00,-0.01366001
2012-08-03 00:00:00+00:00,0.02021375
2012-08-06 00:00:00+00:00,0.00976917
2012-08-07 00:00:00+00:00,0.01101855
2012-08-08 00:00:00+00:00,0.00212407
2012-08-09 00:00:00+00:00,0.00264991
2012-08-10 00:00:00+00:00,0.00105559
2012-08-13 00:00:00+00:00,-0.00766898
2012-08-14 00:00:00+00:00,-0.00346608
2012-08-15 00:00:00+00:00,0.00454184
2012-08-16 00:00:00+00:00,0.01436709
2012-08-17 00:00:00+00:00,-0.00262569
2012-08-20 00:00:00+00:00,-0.00131806
2012-08-21 00:00:00+00:00,0.01158500
2012-08-22 00:00:00+00:00,-0.01432215
2012-08-23 00:00:00+00:00,0.00290269
2012-08-24 00:00:00+00:00,-0.00922055
2012-08-27 00:00:00+00:00,-0.00266112
2012-08-28 00:00:00+00:00,-0.00746564
2012-08-29 00:00:00+00:00,0.00348805
2012-08-30 00:00:00+00:00,0.02916504
2012-08-31 00:00:00+00:00,0.00938873
2012-09-04 00:00:00+00:00,-0.01520282
2012-09-05 00:00:00+00:00,-0.00000296
2012-09-06 00:00:00+00:00,0.02897078
2012-09-07 00:00:00+00:00,0.01947073
2012-09-10 00:00:00+00:00,0.00206215
2012-09-11 00:00:00+00:00,0.00051237
2012-09-12 00:00:00+00:00,-0.00180509
2012-09-13 00:00:00+00:00,0.02991722
2012-09-14 00:00:00+00:00,0.01126683
2012-09-17 00:00:00+00:00,-0.01213768
2012-09-18 00:00:00+00:00,0.04662534
2012-09-19 00:00:00+00:00,0.00857450
2012-09-20 00:00:00+00:00,-0.01345075
2012-09-21 00:00:00+00:00,-0.00332493
2012-09-24 00:00:00+00:00,-0.00660879
2012-09-25 00:00:00+00:00,-0.01355809
2012-09-26 00:00:00+00:00,-0.00415126
2012-09-27 00:00:00+00:00,0.00754751
2012-09-28 00:00:00+00:00,-0.00129460
2012-10-01 00:00:00+00:00,0.00180873
2012-10-02 00:00:00+00:00,-0.00697568
2012-10-03 00:00:00+00:00,-0.00208316
2012-10-04 00:00:00+00:00,0.01407061
2012-10-05 00:00:00+00:00,0.00128220
2012-10-08 00:00:00+00:00,0.00025386
2012-10-09 00:00:00+00:00,-0.00641802
2012-10-10 00:00:00+00:00,-0.00723423
2012-10-11 00:00:00+00:00,-0.00234414
