Date,SUGAR_WHITE
2000-09-11 00:00:00+00:00,-0.04699865
2000-09-12 00:00:00+00:00,0.01304636
2000-09-13 00:00:00+00:00,0.00240273
2000-09-14 00:00:00+00:00,-0.01960295
2000-09-15 00:00:00+00:00,-0.03331836
2000-09-18 00:00:00+00:00,-0.01493166
2000-09-19 00:00:00+00:00,0.01164929
2000-09-20 00:00:00+00:00,-0.05186975
2000-09-21 00:00:00+00:00,-0.03957518
2000-09-22 00:00:00+00:00,0.03794399
2000-09-25 00:00:00+00:00,0.00787163
2000-09-26 00:00:00+00:00,-0.02545743
2000-09-27 00:00:00+00:00,0.01321107
2000-09-28 00:00:00+00:00,0.00708118
2000-09-29 00:00:00+00:00,0.01951440
2000-10-02 00:00:00+00:00,0.00301250
2000-10-03 00:00:00+00:00,0.00299385
2000-10-04 00:00:00+00:00,0.04305133
2000-10-05 00:00:00+00:00,-0.00491913
2000-10-06 00:00:00+00:00,0.00684653
2000-10-09 00:00:00+00:00,0.04709822
2000-10-10 00:00:00+00:00,0.00401984
2000-10-11 00:00:00+00:00,0.03497188
2000-10-12 00:00:00+00:00,-0.03579525
2000-10-13 00:00:00+00:00,0.01490712
2000-10-16 00:00:00+00:00,0.03272117
2000-10-17 00:00:00+00:00,-0.04817535
2000-10-18 00:00:00+00:00,0.02037285
2000-10-19 00:00:00+00:00,-0.01237073
2000-10-20 00:00:00+00:00,0.00206028
2000-10-23 00:00:00+00:00,-0.01476692
2000-10-24 00:00:00+00:00,-0.03868195
2000-10-25 00:00:00+00:00,-0.03210302
2000-10-26 00:00:00+00:00,-0.09281333
2000-10-27 00:00:00+00:00,-0.00266256
2000-10-30 00:00:00+00:00,0.01996437
2000-10-31 00:00:00+00:00,0.03441717
2000-11-01 00:00:00+00:00,-0.01505110
2000-11-02 00:00:00+00:00,-0.00788425
2000-11-03 00:00:00+00:00,-0.00019222
2000-11-06 00:00:00+00:00,-0.00139633
2000-11-07 00:00:00+00:00,-0.01648633
2000-11-08 00:00:00+00:00,-0.04493826
2000-11-09 00:00:00+00:00,-0.07057373
2000-11-10 00:00:00+00:00,0.03671644
2000-11-13 00:00:00+00:00,-0.02744919
2000-11-14 00:00:00+00:00,-0.04635215
2000-11-15 00:00:00+00:00,0.03413904
2000-11-16 00:00:00+00:00,0.01978311
2000-11-17 00:00:00+00:00,0.00566194
2000-11-20 00:00:00+00:00,-0.00933547
2000-11-21 00:00:00+00:00,-0.00310833
2000-11-22 00:00:00+00:00,-0.00100744
2000-11-23 00:00:00+00:00,0.03156763
2000-11-24 00:00:00+00:00,0.01627601
2000-11-27 00:00:00+00:00,0.01450332
2000-11-28 00:00:00+00:00,-0.03421104
2000-11-29 00:00:00+00:00,-0.00761352
2000-11-30 00:00:00+00:00,-0.01716473
2000-12-01 00:00:00+00:00,-0.01229620
2000-12-04 00:00:00+00:00,0.02457246
2000-12-05 00:00:00+00:00,-0.01674704
2000-12-06 00:00:00+00:00,-0.01062286
2000-12-07 00:00:00+00:00,0.00400801
2000-12-08 00:00:00+00:00,0.02282839
2000-12-11 00:00:00+00:00,-0.01633324
2000-12-12 00:00:00+00:00,-0.00561214
2000-12-13 00:00:00+00:00,-0.03701883
2000-12-14 00:00:00+00:00,-0.02790188
2000-12-15 00:00:00+00:00,0.01017042
2000-12-18 00:00:00+00:00,-0.00018056
2000-12-19 00:00:00+00:00,0.00155997
2000-12-20 00:00:00+00:00,0.05869575
2000-12-21 00:00:00+00:00,0.01444517
2000-12-22 00:00:00+00:00,-0.00513061
2000-12-27 00:00:00+00:00,0.05007209
2000-12-28 00:00:00+00:00,-0.02566321
2000-12-29 00:00:00+00:00,0.01375540
2001-01-02 00:00:00+00:00,0.01039161
2001-01-03 00:00:00+00:00,0.00953203
2001-01-04 00:00:00+00:00,0.00988981
2001-01-05 00:00:00+00:00,0.01024111
2001-01-08 00:00:00+00:00,0.00023936
2001-01-09 00:00:00+00:00,-0.01131705
2001-01-10 00:00:00+00:00,-0.01658248
2001-01-11 00:00:00+00:00,0.00145129
2001-01-12 00:00:00+00:00,-0.02314720
2001-01-15 00:00:00+00:00,-0.00179599
2001-01-16 00:00:00+00:00,0.02720539
2001-01-17 00:00:00+00:00,-0.01668380
2001-01-18 00:00:00+00:00,-0.01925462
2001-01-19 00:00:00+00:00,0.02729790
2001-01-22 00:00:00+00:00,-0.01592561
2001-01-23 00:00:00+00:00,0.00921516
2001-01-24 00:00:00+00:00,-0.00340662
2001-01-25 00:00:00+00:00,-0.01153075
2001-01-26 00:00:00+00:00,0.00106199
2001-01-29 00:00:00+00:00,-0.01481452
2001-01-30 00:00:00+00:00,-0.04324312
2001-01-31 00:00:00+00:00,0.03301124
2001-02-01 00:00:00+00:00,0.04073691
2001-02-02 00:00:00+00:00,-0.01837557
2001-02-05 00:00:00+00:00,-0.01362717
2001-02-06 00:00:00+00:00,-0.00921058
2001-02-07 00:00:00+00:00,-0.03321466
2001-02-08 00:00:00+00:00,-0.00772025
2001-02-09 00:00:00+00:00,-0.00900250
2001-02-12 00:00:00+00:00,-0.00269045
2001-02-13 00:00:00+00:00,-0.00184032
2001-02-14 00:00:00+00:00,-0.01881683
2001-02-15 00:00:00+00:00,-0.00186625
2001-02-16 00:00:00+00:00,-0.00879217
2001-02-19 00:00:00+00:00,0.00941105
2001-02-20 00:00:00+00:00,-0.04214773
2001-02-21 00:00:00+00:00,0.01706271
2001-02-22 00:00:00+00:00,-0.01241392
2001-02-23 00:00:00+00:00,-0.00851872
2001-02-26 00:00:00+00:00,-0.00899243
2001-02-27 00:00:00+00:00,-0.04455344
2001-02-28 00:00:00+00:00,0.04902894
2001-03-01 00:00:00+00:00,0.02958771
2001-03-02 00:00:00+00:00,-0.00321281
2001-03-05 00:00:00+00:00,0.02182733
2001-03-06 00:00:00+00:00,-0.00841004
2001-03-07 00:00:00+00:00,-0.03111075
2001-03-08 00:00:00+00:00,-0.01433735
2001-03-09 00:00:00+00:00,-0.00505957
2001-03-12 00:00:00+00:00,-0.01672373
2001-03-13 00:00:00+00:00,-0.01368971
2001-03-14 00:00:00+00:00,-0.00105201
2001-03-15 00:00:00+00:00,0.02713120
2001-03-16 00:00:00+00:00,-0.01809610
2001-03-19 00:00:00+00:00,-0.01237104
2001-03-20 00:00:00+00:00,-0.01290929
2001-03-21 00:00:00+00:00,0.01639087
2001-03-22 00:00:00+00:00,-0.02245135
2001-03-23 00:00:00+00:00,0.00308775
2001-03-26 00:00:00+00:00,0.00948614
2001-03-27 00:00:00+00:00,0.01445633
2001-03-28 00:00:00+00:00,0.00076953
2001-03-29 00:00:00+00:00,-0.01733517
2001-03-30 00:00:00+00:00,-0.02938657
2001-04-02 00:00:00+00:00,-0.00384841
2001-04-03 00:00:00+00:00,0.00172883
2001-04-04 00:00:00+00:00,0.01334960
2001-04-05 00:00:00+00:00,-0.00614880
2001-04-06 00:00:00+00:00,0.02919933
2001-04-09 00:00:00+00:00,0.00904403
2001-04-10 00:00:00+00:00,0.05466424
