Date,EURIBOR
2000-11-10 00:00:00+00:00,0.00061990
2000-11-13 00:00:00+00:00,0.00019706
2000-11-14 00:00:00+00:00,-0.00011958
2000-11-15 00:00:00+00:00,0.00003857
2000-11-16 00:00:00+00:00,-0.00006650
2000-11-17 00:00:00+00:00,-0.00022491
2000-11-20 00:00:00+00:00,-0.00017239
2000-11-21 00:00:00+00:00,-0.00038287
2000-11-22 00:00:00+00:00,0.00040849
2000-11-23 00:00:00+00:00,-0.00027797
2000-11-24 00:00:00+00:00,-0.00017239
2000-11-27 00:00:00+00:00,-0.00022335
2000-11-28 00:00:00+00:00,0.00114993
2000-11-29 00:00:00+00:00,0.00030634
2000-11-30 00:00:00+00:00,0.00167806
2000-12-01 00:00:00+00:00,-0.00048458
2000-12-04 00:00:00+00:00,0.00125625
2000-12-05 00:00:00+00:00,0.00073088
2000-12-06 00:00:00+00:00,0.00157241
2000-12-07 00:00:00+00:00,-0.00011297
2000-12-08 00:00:00+00:00,-0.00069098
2000-12-11 00:00:00+00:00,-0.00111211
2000-12-12 00:00:00+00:00,-0.00021753
2000-12-13 00:00:00+00:00,0.00131010
2000-12-14 00:00:00+00:00,0.00083553
2000-12-15 00:00:00+00:00,0.00078247
2000-12-18 00:00:00+00:00,0.00073224
2000-12-19 00:00:00+00:00,-0.00100104
2000-12-20 00:00:00+00:00,0.00110231
2000-12-21 00:00:00+00:00,-0.00035944
2000-12-22 00:00:00+00:00,-0.00003732
2000-12-27 00:00:00+00:00,0.00036749
2000-12-28 00:00:00+00:00,-0.00120886
2000-12-29 00:00:00+00:00,0.00115397
2001-01-02 00:00:00+00:00,0.00320277
2001-01-03 00:00:00+00:00,-0.00083509
2001-01-04 00:00:00+00:00,-0.00083305
2001-01-05 00:00:00+00:00,0.00090960
2001-01-08 00:00:00+00:00,-0.00040177
2001-01-09 00:00:00+00:00,-0.00187294
2001-01-10 00:00:00+00:00,-0.00135072
2001-01-11 00:00:00+00:00,0.00074917
2001-01-12 00:00:00+00:00,-0.00192883
2001-01-15 00:00:00+00:00,0.00017117
2001-01-16 00:00:00+00:00,0.00011804
2001-01-17 00:00:00+00:00,-0.00072253
2001-01-18 00:00:00+00:00,0.00095789
2001-01-19 00:00:00+00:00,-0.00019433
2001-01-22 00:00:00+00:00,-0.00092919
2001-01-23 00:00:00+00:00,0.00054098
2001-01-24 00:00:00+00:00,-0.00166585
2001-01-25 00:00:00+00:00,-0.00051102
2001-01-26 00:00:00+00:00,0.00038232
2001-01-29 00:00:00+00:00,0.00049115
2001-01-30 00:00:00+00:00,0.00059725
2001-01-31 00:00:00+00:00,0.00091526
2001-02-01 00:00:00+00:00,0.00028384
2001-02-02 00:00:00+00:00,-0.00034755
2001-02-05 00:00:00+00:00,0.00043872
2001-02-06 00:00:00+00:00,-0.00029518
2001-02-07 00:00:00+00:00,0.00028214
2001-02-08 00:00:00+00:00,-0.00092468
2001-02-09 00:00:00+00:00,0.00022991
2001-02-12 00:00:00+00:00,-0.00034724
2001-02-13 00:00:00+00:00,0.00033539
2001-02-14 00:00:00+00:00,-0.00076716
2001-02-15 00:00:00+00:00,-0.00249970
2001-02-16 00:00:00+00:00,0.00023286
2001-02-19 00:00:00+00:00,0.00007522
2001-02-20 00:00:00+00:00,-0.00024215
2001-02-21 00:00:00+00:00,-0.00013655
2001-02-22 00:00:00+00:00,-0.00008220
2001-02-23 00:00:00+00:00,0.00081235
2001-02-26 00:00:00+00:00,0.00060357
2001-02-27 00:00:00+00:00,0.00128783
2001-02-28 00:00:00+00:00,-0.00002722
2001-03-01 00:00:00+00:00,-0.00002625
2001-03-02 00:00:00+00:00,-0.00018313
2001-03-05 00:00:00+00:00,-0.00034117
2001-03-06 00:00:00+00:00,0.00034211
2001-03-07 00:00:00+00:00,0.00044913
2001-03-08 00:00:00+00:00,0.00071136
2001-03-09 00:00:00+00:00,-0.00033699
2001-03-12 00:00:00+00:00,-0.00017979
2001-03-13 00:00:00+00:00,-0.00091250
2001-03-14 00:00:00+00:00,0.00061031
2001-03-15 00:00:00+00:00,0.00061147
2001-03-16 00:00:00+00:00,0.00129100
2001-03-19 00:00:00+00:00,-0.00080409
2001-03-20 00:00:00+00:00,-0.00090765
2001-03-21 00:00:00+00:00,0.00145289
2001-03-22 00:00:00+00:00,0.00098053
2001-03-23 00:00:00+00:00,-0.00069430
2001-03-26 00:00:00+00:00,-0.00011878
2001-03-27 00:00:00+00:00,-0.00058656
2001-03-28 00:00:00+00:00,-0.00069405
2001-03-29 00:00:00+00:00,0.00030095
2001-03-30 00:00:00+00:00,0.00004022
2001-04-02 00:00:00+00:00,-0.00043090
2001-04-03 00:00:00+00:00,0.00009619
2001-04-04 00:00:00+00:00,-0.00053200
2001-04-05 00:00:00+00:00,-0.00011100
2001-04-06 00:00:00+00:00,0.00104090
2001-04-09 00:00:00+00:00,-0.00011100
2001-04-10 00:00:00+00:00,-0.00068589
2001-04-11 00:00:00+00:00,-0.00236158
2001-04-12 00:00:00+00:00,-0.00042512
2001-04-17 00:00:00+00:00,-0.00079369
2001-04-18 00:00:00+00:00,-0.00042138
2001-04-19 00:00:00+00:00,-0.00141533
2001-04-20 00:00:00+00:00,-0.00036880
2001-04-23 00:00:00+00:00,0.00037079
2001-04-24 00:00:00+00:00,-0.00204484
2001-04-25 00:00:00+00:00,0.00026332
2001-04-26 00:00:00+00:00,0.00173348
2001-04-27 00:00:00+00:00,-0.00188803
2001-04-30 00:00:00+00:00,-0.00215441
2001-05-01 00:00:00+00:00,0.00078733
2001-05-02 00:00:00+00:00,-0.00042096
2001-05-03 00:00:00+00:00,0.00078900
2001-05-04 00:00:00+00:00,0.00084392
2001-05-07 00:00:00+00:00,0.00010845
2001-05-08 00:00:00+00:00,-0.00004836
2001-05-09 00:00:00+00:00,0.00073976
2001-05-10 00:00:00+00:00,0.00115776
2001-05-11 00:00:00+00:00,-0.00088817
2001-05-14 00:00:00+00:00,-0.00146560
2001-05-15 00:00:00+00:00,-0.00057337
2001-05-16 00:00:00+00:00,0.00032258
2001-05-17 00:00:00+00:00,-0.00009794
2001-05-18 00:00:00+00:00,-0.00041349
2001-05-21 00:00:00+00:00,-0.00030964
2001-05-22 00:00:00+00:00,-0.00041455
2001-05-23 00:00:00+00:00,0.00026790
2001-05-24 00:00:00+00:00,0.00037287
2001-05-25 00:00:00+00:00,-0.00093982
2001-05-28 00:00:00+00:00,0.00116089
2001-05-29 00:00:00+00:00,-0.00046762
2001-05-30 00:00:00+00:00,-0.00025768
2001-05-31 00:00:00+00:00,-0.00083419
2001-06-01 00:00:00+00:00,0.00189637
2001-06-04 00:00:00+00:00,0.00037201
2001-06-05 00:00:00+00:00,0.00131711
2001-06-06 00:00:00+00:00,-0.00046577
2001-06-07 00:00:00+00:00,-0.00046612
2001-06-08 00:00:00+00:00,-0.00046646
