Date,GBP
2001-02-08 00:00:00+00:00,-0.01553030
2001-02-09 00:00:00+00:00,0.00318743
2001-02-12 00:00:00+00:00,0.00705359
2001-02-13 00:00:00+00:00,0.00069056
2001-02-14 00:00:00+00:00,0.00647371
2001-02-15 00:00:00+00:00,-0.01166819
2001-02-16 00:00:00+00:00,0.00124647
2001-02-20 00:00:00+00:00,-0.00482734
2001-02-21 00:00:00+00:00,-0.00511440
2001-02-22 00:00:00+00:00,0.00346987
2001-02-23 00:00:00+00:00,0.01204588
2001-02-26 00:00:00+00:00,-0.01402341
2001-02-27 00:00:00+00:00,-0.00151333
2001-02-28 00:00:00+00:00,0.00333313
2001-03-01 00:00:00+00:00,0.01564158
2001-03-02 00:00:00+00:00,0.01798872
2001-03-05 00:00:00+00:00,-0.00380367
2001-03-06 00:00:00+00:00,-0.00067428
2001-03-07 00:00:00+00:00,-0.00885105
2001-03-08 00:00:00+00:00,0.01137387
2001-03-09 00:00:00+00:00,-0.00244086
2001-03-12 00:00:00+00:00,-0.00557849
2001-03-13 00:00:00+00:00,-0.01953256
2001-03-14 00:00:00+00:00,-0.00509118
2001-03-15 00:00:00+00:00,-0.00579392
2001-03-16 00:00:00+00:00,-0.01556733
2001-03-19 00:00:00+00:00,-0.00713442
2001-03-20 00:00:00+00:00,0.01338832
2001-03-21 00:00:00+00:00,-0.00305348
2001-03-22 00:00:00+00:00,-0.01467573
2001-03-23 00:00:00+00:00,0.00890619
2001-03-26 00:00:00+00:00,0.01167307
2001-03-27 00:00:00+00:00,-0.00374381
2001-03-28 00:00:00+00:00,0.00631336
2001-03-29 00:00:00+00:00,-0.01377386
2001-03-30 00:00:00+00:00,-0.01358602
2001-04-02 00:00:00+00:00,-0.00096369
2001-04-03 00:00:00+00:00,0.02278178
2001-04-04 00:00:00+00:00,0.00156417
2001-04-05 00:00:00+00:00,-0.00848666
2001-04-06 00:00:00+00:00,0.01278752
2001-04-09 00:00:00+00:00,0.01242628
2001-04-10 00:00:00+00:00,-0.01699843
2001-04-11 00:00:00+00:00,0.00351962
2001-04-12 00:00:00+00:00,0.00351318
2001-04-16 00:00:00+00:00,-0.00623269
2001-04-17 00:00:00+00:00,-0.00680904
2001-04-18 00:00:00+00:00,-0.00430603
2001-04-19 00:00:00+00:00,0.02318413
2001-04-20 00:00:00+00:00,-0.00287924
2001-04-23 00:00:00+00:00,-0.00371145
2001-04-24 00:00:00+00:00,-0.00511113
2001-04-25 00:00:00+00:00,0.00575412
2001-04-26 00:00:00+00:00,0.00156500
2001-04-27 00:00:00+00:00,-0.01121922
2001-04-30 00:00:00+00:00,-0.00359830
2001-05-01 00:00:00+00:00,0.00493293
2001-05-02 00:00:00+00:00,-0.00205949
2001-05-03 00:00:00+00:00,0.00380918
2001-05-04 00:00:00+00:00,0.00366485
2001-05-07 00:00:00+00:00,-0.00107509
2001-05-08 00:00:00+00:00,-0.01736072
2001-05-09 00:00:00+00:00,-0.00627818
2001-05-10 00:00:00+00:00,0.00243437
2001-05-11 00:00:00+00:00,-0.00460218
2001-05-14 00:00:00+00:00,-0.00066478
2001-05-15 00:00:00+00:00,0.00610490
2001-05-16 00:00:00+00:00,0.00946315
2001-05-17 00:00:00+00:00,0.00046245
2001-05-18 00:00:00+00:00,0.01193187
2001-05-21 00:00:00+00:00,-0.00051603
2001-05-22 00:00:00+00:00,-0.01678860
2001-05-23 00:00:00+00:00,-0.01216074
2001-05-24 00:00:00+00:00,-0.01364496
2001-05-25 00:00:00+00:00,0.01893776
2001-05-29 00:00:00+00:00,0.00074491
2001-05-30 00:00:00+00:00,0.00637122
2001-05-31 00:00:00+00:00,-0.01510114
2001-06-01 00:00:00+00:00,0.00201991
2001-06-04 00:00:00+00:00,-0.00489711
2001-06-05 00:00:00+00:00,-0.00533214
2001-06-06 00:00:00+00:00,-0.02817520
2001-06-07 00:00:00+00:00,-0.00124892
2001-06-08 00:00:00+00:00,-0.01276231
2001-06-11 00:00:00+00:00,-0.00994586
2001-06-12 00:00:00+00:00,-0.00198854
2001-06-13 00:00:00+00:00,0.02539537
2001-06-14 00:00:00+00:00,0.01629996
2001-06-15 00:00:00+00:00,-0.00166503
2001-06-18 00:00:00+00:00,-0.00081022
2001-06-19 00:00:00+00:00,-0.00638252
2001-06-20 00:00:00+00:00,-0.00152849
2001-06-21 00:00:00+00:00,0.02543991
2001-06-22 00:00:00+00:00,-0.00760098
2001-06-25 00:00:00+00:00,0.00331824
2001-06-26 00:00:00+00:00,0.00189333
2001-06-27 00:00:00+00:00,0.00160612
2001-06-28 00:00:00+00:00,-0.01058030
2001-06-29 00:00:00+00:00,0.00702325
2001-07-02 00:00:00+00:00,0.00387457
2001-07-03 00:00:00+00:00,-0.01426161
2001-07-05 00:00:00+00:00,-0.00808620
2001-07-06 00:00:00+00:00,0.01708611
2001-07-09 00:00:00+00:00,-0.00549432
2001-07-10 00:00:00+00:00,0.00360326
2001-07-11 00:00:00+00:00,-0.00407606
2001-07-12 00:00:00+00:00,-0.00066692
2001-07-13 00:00:00+00:00,-0.00807413
2001-07-16 00:00:00+00:00,-0.00124248
2001-07-17 00:00:00+00:00,-0.00238723
2001-07-18 00:00:00+00:00,0.02568843
2001-07-19 00:00:00+00:00,0.01517767
2001-07-20 00:00:00+00:00,0.00411483
2001-07-23 00:00:00+00:00,-0.01690284
2001-07-24 00:00:00+00:00,0.00640106
2001-07-25 00:00:00+00:00,0.00553503
2001-07-26 00:00:00+00:00,0.00130723
2001-07-27 00:00:00+00:00,-0.00626896
2001-07-30 00:00:00+00:00,0.00412511
2001-07-31 00:00:00+00:00,-0.00206199
2001-08-01 00:00:00+00:00,0.01255569
2001-08-02 00:00:00+00:00,-0.00344812
2001-08-03 00:00:00+00:00,-0.00373345
2001-08-06 00:00:00+00:00,-0.01243086
2001-08-07 00:00:00+00:00,-0.00404451
2001-08-08 00:00:00+00:00,-0.00122517
2001-08-09 00:00:00+00:00,0.01376371
2001-08-10 00:00:00+00:00,-0.00290221
2001-08-13 00:00:00+00:00,-0.00290574
2001-08-14 00:00:00+00:00,0.01004649
2001-08-15 00:00:00+00:00,0.01588031
2001-08-16 00:00:00+00:00,0.00908208
2001-08-17 00:00:00+00:00,-0.00064487
2001-08-20 00:00:00+00:00,-0.00313763
2001-08-21 00:00:00+00:00,0.00739377
2001-08-22 00:00:00+00:00,-0.00092043
2001-08-23 00:00:00+00:00,-0.00175014
2001-08-24 00:00:00+00:00,-0.00562376
2001-08-27 00:00:00+00:00,0.00198653
2001-08-28 00:00:00+00:00,0.00849580
2001-08-29 00:00:00+00:00,0.00183867
2001-08-30 00:00:00+00:00,0.00872740
2001-08-31 00:00:00+00:00,-0.00557926
2001-09-04 00:00:00+00:00,-0.01673923
2001-09-05 00:00:00+00:00,0.02196646
2001-09-06 00:00:00+00:00,-0.00283531
2001-09-07 00:00:00+00:00,0.00719447
2001-09-10 00:00:00+00:00,-0.00392213
2001-09-11 00:00:00+00:00,-0.00996516
2001-09-13 00:00:00+00:00,0.02667901
2001-09-14 00:00:00+00:00,0.00101145
2001-09-17 00:00:00+00:00,-0.00728282
2001-09-18 00:00:00+00:00,0.00294454
2001-09-19 00:00:00+00:00,0.00007521
2001-09-20 00:00:00+00:00,-0.00525579
2001-09-21 00:00:00+00:00,-0.01322054
2001-09-24 00:00:00+00:00,0.00987097
2001-09-25 00:00:00+00:00,0.01009675
2001-09-26 00:00:00+00:00,0.00649237
2001-09-27 00:00:00+00:00,-0.00115378
2001-09-28 00:00:00+00:00,-0.00169933
2001-10-01 00:00:00+00:00,0.00729852
2001-10-02 00:00:00+00:00,-0.01201782
2001-10-03 00:00:00+00:00,0.00745646
2001-10-04 00:00:00+00:00,0.00239064
2001-10-05 00:00:00+00:00,0.00537921
2001-10-09 00:00:00+00:00,-0.02921650
2001-10-10 00:00:00+00:00,-0.01093162
2001-10-11 00:00:00+00:00,-0.00919283
2001-10-12 00:00:00+00:00,0.00911136
2001-10-15 00:00:00+00:00,-0.00310539
2001-10-16 00:00:00+00:00,-0.00061467
2001-10-17 00:00:00+00:00,-0.00089216
2001-10-18 00:00:00+00:00,-0.00200094
2001-10-19 00:00:00+00:00,-0.01477173
2001-10-22 00:00:00+00:00,-0.01432161
2001-10-23 00:00:00+00:00,0.00050343
2001-10-24 00:00:00+00:00,0.00472754
2001-10-25 00:00:00+00:00,0.00106512
2001-10-26 00:00:00+00:00,0.01201325
2001-10-29 00:00:00+00:00,0.02115095
2001-10-30 00:00:00+00:00,0.00077255
2001-10-31 00:00:00+00:00,0.00325661
2001-11-01 00:00:00+00:00,0.01014008
2001-11-02 00:00:00+00:00,-0.00074096
2001-11-05 00:00:00+00:00,-0.00279750
2001-11-06 00:00:00+00:00,0.00063569
2001-11-07 00:00:00+00:00,0.00269596
2001-11-08 00:00:00+00:00,-0.01074052
2001-11-09 00:00:00+00:00,0.00435981
2001-11-13 00:00:00+00:00,-0.01888708
2001-11-14 00:00:00+00:00,-0.00227211
2001-11-15 00:00:00+00:00,-0.01283683
2001-11-16 00:00:00+00:00,-0.00536747
2001-11-19 00:00:00+00:00,-0.02052677
2001-11-20 00:00:00+00:00,0.00887340
2001-11-21 00:00:00+00:00,-0.00597801
