Date,LUMBER-new
2023-06-16 00:00:00+00:00,-0.00768400
2023-06-20 00:00:00+00:00,0.05430392
2023-06-21 00:00:00+00:00,0.04386791
2023-06-22 00:00:00+00:00,0.00426294
2023-06-23 00:00:00+00:00,0.00602953
2023-06-26 00:00:00+00:00,-0.01966156
2023-06-27 00:00:00+00:00,-0.00556750
2023-06-28 00:00:00+00:00,-0.01006671
2023-06-29 00:00:00+00:00,-0.03177052
2023-06-30 00:00:00+00:00,0.00254243
2023-07-03 00:00:00+00:00,-0.01765678
2023-07-05 00:00:00+00:00,0.02646804
2023-07-06 00:00:00+00:00,0.02731149
2023-07-07 00:00:00+00:00,0.00519861
2023-07-10 00:00:00+00:00,0.08760190
2023-07-11 00:00:00+00:00,0.01676559
2023-07-12 00:00:00+00:00,-0.01887185
2023-07-13 00:00:00+00:00,0.00503596
2023-07-14 00:00:00+00:00,0.00070954
2023-07-17 00:00:00+00:00,0.01519888
2023-07-18 00:00:00+00:00,-0.01642394
2023-07-19 00:00:00+00:00,-0.08168747
2023-07-20 00:00:00+00:00,-0.02972944
2023-07-21 00:00:00+00:00,0.00160386
2023-07-24 00:00:00+00:00,-0.01563900
2023-07-25 00:00:00+00:00,-0.05597166
2023-07-26 00:00:00+00:00,-0.01155521
2023-07-27 00:00:00+00:00,0.00168811
2023-07-28 00:00:00+00:00,-0.01640337
2023-07-31 00:00:00+00:00,-0.01735552
2023-08-01 00:00:00+00:00,-0.01555320
2023-08-02 00:00:00+00:00,-0.01186318
2023-08-03 00:00:00+00:00,-0.00216615
2023-08-04 00:00:00+00:00,-0.01791195
2023-08-07 00:00:00+00:00,0.00771570
2023-08-08 00:00:00+00:00,-0.00119992
2023-08-09 00:00:00+00:00,-0.01305913
2023-08-10 00:00:00+00:00,-0.00812599
2023-08-11 00:00:00+00:00,0.00278112
2023-08-14 00:00:00+00:00,0.01377918
2023-08-15 00:00:00+00:00,0.04034049
2023-08-16 00:00:00+00:00,0.05501914
2023-08-17 00:00:00+00:00,-0.05210013
2023-08-18 00:00:00+00:00,0.06862040
2023-08-21 00:00:00+00:00,-0.00862444
2023-08-22 00:00:00+00:00,-0.01052300
2023-08-23 00:00:00+00:00,-0.00589033
2023-08-24 00:00:00+00:00,-0.00493106
2023-08-25 00:00:00+00:00,-0.05154516
2023-08-28 00:00:00+00:00,-0.02254496
2023-08-29 00:00:00+00:00,0.02143910
2023-08-30 00:00:00+00:00,-0.01966953
2023-08-31 00:00:00+00:00,-0.00316115
2023-09-01 00:00:00+00:00,-0.02088251
2023-09-05 00:00:00+00:00,0.00077969
2023-09-06 00:00:00+00:00,0.00574429
2023-09-07 00:00:00+00:00,-0.01603953
2023-09-08 00:00:00+00:00,-0.01023401
2023-09-11 00:00:00+00:00,-0.00825387
2023-09-12 00:00:00+00:00,0.00784226
2023-09-13 00:00:00+00:00,0.00979601
2023-09-14 00:00:00+00:00,0.00774623
2023-09-15 00:00:00+00:00,-0.02104717
2023-09-18 00:00:00+00:00,-0.02418983
2023-09-19 00:00:00+00:00,-0.01642488
2023-09-20 00:00:00+00:00,-0.01353395
2023-09-21 00:00:00+00:00,-0.01157797
2023-09-22 00:00:00+00:00,0.05274522
2023-09-25 00:00:00+00:00,0.04378575
2023-09-26 00:00:00+00:00,-0.02845231
2023-09-27 00:00:00+00:00,0.03143697
2023-09-28 00:00:00+00:00,0.01823241
2023-09-29 00:00:00+00:00,-0.01848337
2023-10-02 00:00:00+00:00,-0.01574837
2023-10-03 00:00:00+00:00,-0.01293518
2023-10-04 00:00:00+00:00,0.01165458
2023-10-05 00:00:00+00:00,-0.04139131
2023-10-06 00:00:00+00:00,0.01484499
2023-10-09 00:00:00+00:00,-0.01113879
2023-10-10 00:00:00+00:00,0.02772944
2023-10-11 00:00:00+00:00,0.02723612
2023-10-12 00:00:00+00:00,-0.01670390
2023-10-13 00:00:00+00:00,-0.00021469
2023-10-16 00:00:00+00:00,-0.01291001
2023-10-17 00:00:00+00:00,-0.00512667
2023-10-18 00:00:00+00:00,0.00473088
2023-10-19 00:00:00+00:00,-0.01015477
2023-10-20 00:00:00+00:00,-0.03514411
2023-10-23 00:00:00+00:00,-0.03060894
2023-10-24 00:00:00+00:00,-0.00124197
2023-10-25 00:00:00+00:00,0.00184545
2023-10-26 00:00:00+00:00,0.03982687
2023-10-27 00:00:00+00:00,0.01489160
2023-10-30 00:00:00+00:00,-0.00021425
2023-10-31 00:00:00+00:00,0.00379759
2023-11-01 00:00:00+00:00,0.00775427
2023-11-02 00:00:00+00:00,0.02764758
2023-11-03 00:00:00+00:00,0.05843819
2023-11-06 00:00:00+00:00,0.01978728
2023-11-07 00:00:00+00:00,-0.02180944
2023-11-08 00:00:00+00:00,0.01213276
2023-11-09 00:00:00+00:00,0.01676833
2023-11-10 00:00:00+00:00,0.01197139
2023-11-13 00:00:00+00:00,0.01468486
2023-11-14 00:00:00+00:00,-0.04099097
2023-11-15 00:00:00+00:00,0.00639122
2023-11-16 00:00:00+00:00,0.02426989
2023-11-17 00:00:00+00:00,0.00257608
2023-11-20 00:00:00+00:00,0.03138638
2023-11-21 00:00:00+00:00,-0.02115970
2023-11-22 00:00:00+00:00,0.01270232
2023-11-24 00:00:00+00:00,0.02079190
2023-11-27 00:00:00+00:00,-0.02014020
2023-11-28 00:00:00+00:00,-0.02225126
2023-11-29 00:00:00+00:00,-0.02713876
2023-11-30 00:00:00+00:00,-0.02000473
2023-12-01 00:00:00+00:00,0.00645500
2023-12-04 00:00:00+00:00,-0.00877505
2023-12-05 00:00:00+00:00,-0.00497864
2023-12-06 00:00:00+00:00,0.02653088
2023-12-07 00:00:00+00:00,0.00544835
2023-12-08 00:00:00+00:00,-0.00209164
2023-12-11 00:00:00+00:00,0.03375035
2023-12-12 00:00:00+00:00,0.02112339
2023-12-13 00:00:00+00:00,-0.00924517
2023-12-14 00:00:00+00:00,0.01790444
2023-12-15 00:00:00+00:00,0.01147893
2023-12-18 00:00:00+00:00,0.00960957
2023-12-19 00:00:00+00:00,0.02104564
2023-12-20 00:00:00+00:00,0.01731665
2023-12-21 00:00:00+00:00,0.03528639
2023-12-22 00:00:00+00:00,-0.00531346
2023-12-26 00:00:00+00:00,-0.02418385
2023-12-27 00:00:00+00:00,-0.01494334
2023-12-28 00:00:00+00:00,0.00676286
2023-12-29 00:00:00+00:00,-0.00716112
2024-01-02 00:00:00+00:00,0.01900258
2024-01-03 00:00:00+00:00,-0.01490514
2024-01-04 00:00:00+00:00,0.00240594
2024-01-05 00:00:00+00:00,0.00239476
2024-01-08 00:00:00+00:00,0.00152901
2024-01-09 00:00:00+00:00,-0.03069964
2024-01-10 00:00:00+00:00,-0.01350954
2024-01-11 00:00:00+00:00,-0.00468377
2024-01-12 00:00:00+00:00,-0.00200303
2024-01-16 00:00:00+00:00,-0.01453528
2024-01-17 00:00:00+00:00,-0.02545936
2024-01-18 00:00:00+00:00,0.00619317
2024-01-19 00:00:00+00:00,-0.00112433
2024-01-22 00:00:00+00:00,0.01256258
2024-01-23 00:00:00+00:00,0.05599909
2024-01-24 00:00:00+00:00,0.01388567
2024-01-25 00:00:00+00:00,0.02053236
2024-01-26 00:00:00+00:00,0.01347583
2024-01-29 00:00:00+00:00,0.00658589
2024-01-30 00:00:00+00:00,-0.00698509
2024-01-31 00:00:00+00:00,-0.01213607
2024-02-01 00:00:00+00:00,-0.01734918
2024-02-02 00:00:00+00:00,0.00758090
2024-02-05 00:00:00+00:00,-0.01056553
2024-02-06 00:00:00+00:00,-0.00107891
2024-02-07 00:00:00+00:00,0.00411365
2024-02-08 00:00:00+00:00,-0.00971086
2024-02-09 00:00:00+00:00,-0.00194929
2024-02-12 00:00:00+00:00,0.00152735
2024-02-13 00:00:00+00:00,0.00240113
2024-02-14 00:00:00+00:00,0.00940730
2024-02-15 00:00:00+00:00,0.00065197
2024-02-16 00:00:00+00:00,0.02139583
2024-02-20 00:00:00+00:00,-0.02324893
2024-02-21 00:00:00+00:00,0.01101428
2024-02-22 00:00:00+00:00,0.01267443
2024-02-23 00:00:00+00:00,0.00149564
2024-02-26 00:00:00+00:00,-0.00015044
2024-02-27 00:00:00+00:00,-0.00616931
2024-02-28 00:00:00+00:00,0.00064228
2024-02-29 00:00:00+00:00,0.01435587
2024-03-01 00:00:00+00:00,0.02603791
2024-03-04 00:00:00+00:00,0.01734736
2024-03-05 00:00:00+00:00,0.00392766
2024-03-06 00:00:00+00:00,0.00309164
2024-03-07 00:00:00+00:00,0.01627652
2024-03-08 00:00:00+00:00,0.01532418
2024-03-11 00:00:00+00:00,0.00466228
2024-03-12 00:00:00+00:00,-0.01074654
2024-03-13 00:00:00+00:00,-0.01406671
2024-03-14 00:00:00+00:00,0.00797812
2024-03-15 00:00:00+00:00,-0.02721660
2024-03-18 00:00:00+00:00,0.01389630
2024-03-19 00:00:00+00:00,-0.00185909
2024-03-20 00:00:00+00:00,0.02779512
2024-03-21 00:00:00+00:00,0.00462724
2024-03-22 00:00:00+00:00,0.00461204
2024-03-25 00:00:00+00:00,0.00461581
2024-03-26 00:00:00+00:00,-0.02348553
2024-03-27 00:00:00+00:00,-0.03186681
2024-03-28 00:00:00+00:00,-0.00351122
