Date,EU-DIV30
2010-08-13 00:00:00+00:00,-0.00429553
2010-08-16 00:00:00+00:00,-0.00490912
2010-08-17 00:00:00+00:00,0.02962447
2010-08-18 00:00:00+00:00,-0.00305833
2010-08-19 00:00:00+00:00,-0.03177079
2010-08-20 00:00:00+00:00,-0.02438094
2010-08-23 00:00:00+00:00,0.01284674
2010-08-24 00:00:00+00:00,-0.03124609
2010-08-25 00:00:00+00:00,-0.01683734
2010-08-26 00:00:00+00:00,0.01307743
2010-08-27 00:00:00+00:00,0.02605544
2010-08-30 00:00:00+00:00,-0.00805461
2010-08-31 00:00:00+00:00,0.00301067
2010-09-01 00:00:00+00:00,0.05379092
2010-09-02 00:00:00+00:00,0.00232924
2010-09-03 00:00:00+00:00,0.01251826
2010-09-06 00:00:00+00:00,0.00469449
2010-09-07 00:00:00+00:00,-0.01998251
2010-09-08 00:00:00+00:00,0.01582978
2010-09-09 00:00:00+00:00,0.01629710
2010-09-10 00:00:00+00:00,0.00081385
2010-09-13 00:00:00+00:00,0.00346884
2010-09-14 00:00:00+00:00,-0.00029825
2010-09-15 00:00:00+00:00,-0.00529856
2010-09-16 00:00:00+00:00,-0.00832951
2010-09-17 00:00:00+00:00,-0.01132490
2010-09-20 00:00:00+00:00,0.01422186
2010-09-21 00:00:00+00:00,0.00169689
2010-09-22 00:00:00+00:00,-0.02128635
2010-09-23 00:00:00+00:00,-0.01496218
2010-09-24 00:00:00+00:00,0.02813074
2010-09-27 00:00:00+00:00,-0.00480553
2010-09-28 00:00:00+00:00,0.00585884
2010-09-29 00:00:00+00:00,-0.00953436
2010-09-30 00:00:00+00:00,-0.00660845
2010-10-01 00:00:00+00:00,-0.00722586
2010-10-04 00:00:00+00:00,-0.00904628
2010-10-05 00:00:00+00:00,0.02516908
2010-10-06 00:00:00+00:00,0.01357846
2010-10-07 00:00:00+00:00,0.00582310
2010-10-08 00:00:00+00:00,-0.00625696
2010-10-11 00:00:00+00:00,0.00051928
2010-10-12 00:00:00+00:00,-0.00951928
2010-10-13 00:00:00+00:00,0.03106698
2010-10-14 00:00:00+00:00,-0.00269891
2010-10-15 00:00:00+00:00,-0.00007194
2010-10-18 00:00:00+00:00,0.00818319
2010-10-19 00:00:00+00:00,-0.00240499
2010-10-20 00:00:00+00:00,0.01101976
2010-10-21 00:00:00+00:00,0.02053800
2010-10-22 00:00:00+00:00,-0.00351782
